kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.4453208	0.0046322	0.9177421	0.3145094	0.3030353	0.8759193	0.0970420	0.9840698	0.3853388	0.1830350
0.6836497	0.0022720	0.7535903	0.3680072	0.6055246	0.7935372	0.0992470	0.5961796	0.3850773	0.1181746
0.8519445	0.0084069	0.4185615	0.5340044	0.5384583	0.8319137	0.5843535	0.6149275	0.6650218	0.8752409
0.9541469	0.0050042	0.7683031	0.1577221	0.6229368	0.8031891	0.1102694	0.9175125	0.2729126	0.0970856
0.8881389	0.0196203	0.8990857	0.3726894	0.2569048	0.7946123	0.0667850	0.7847494	0.3404671	0.1238856
0.7499546	0.0067245	0.7682924	0.4221392	0.5048159	0.4522173	0.0693950	0.7681875	0.3080210	0.1543599
0.7556101	0.0139916	0.7995951	0.4310857	0.5906854	0.8583056	0.0757325	0.7289227	0.3550641	0.1756824
0.8033580	0.0169560	0.7032652	0.4285286	0.6092439	0.8084639	0.0800686	0.4482041	0.3003189	0.0550687
1.0000000	0.0071768	0.7707487	0.3748207	0.7856295	0.8576221	0.1186322	0.6872469	0.1553105	0.1631246
0.8073093	0.0267630	0.7686115	0.4712355	0.6108789	0.8228255	0.1036682	0.7438914	0.3391441	0.0464124
