kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.0000000	0.0126748	0.9164456	0.4107780	0.0472034	0.0028230	0.0458247	0.6528758	0.2997340	0.0680417
0.8680795	0.0000000	0.9178737	0.4285501	0.6515609	0.8549075	0.0731111	0.8762942	0.2920482	0.1281472
0.7882775	0.8289047	0.0000000	0.8449560	0.5944275	0.9002527	0.7333771	0.0458721	0.8187194	0.6911126
0.7242224	0.0047682	0.7709411	0.0000000	0.6554419	0.8489645	0.0531432	0.6883859	0.4020017	0.0530211
0.7656469	0.0360406	0.8738811	0.4534516	0.0000000	0.7156873	0.1210515	0.8145706	0.3470532	0.2146733
0.8822673	0.0155178	0.6413945	0.3059790	0.7554305	0.0000000	0.1166904	0.9115016	0.4019353	0.0965747
0.8769250	0.0034797	0.7478133	0.4886346	0.6241656	0.9710682	0.0000000	0.7551502	0.3835620	0.1222881
0.7803021	0.0031523	0.7785089	0.3733650	0.4970603	0.8748650	0.1096867	0.0000000	0.3236412	0.0916758
0.9298530	0.0109683	0.7427378	0.4126479	0.4946525	0.6778326	0.0514811	0.7296106	0.0000000	0.0745548
0.7601245	0.0064843	0.8455539	0.3423547	0.6391262	0.9452398	0.1000826	0.9682522	0.3243687	0.0000000
