kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.8809142	0.0155011	0.4249507	0.4716537	0.6167064	0.7041696	0.5384235	0.7687974	0.3235225	0.9683197
0.8812734	0.0134301	0.8911357	0.2499765	0.5998730	0.7490190	0.0653695	0.6723150	0.1676506	0.0792254
0.6550644	0.0176439	0.9292242	0.2453862	0.5697635	0.8284898	0.1161707	0.7802082	0.3489694	0.1177759
0.7556730	0.0115737	0.6573357	0.3710206	0.6604575	0.9237197	0.0885453	0.6507672	0.3717402	0.0783637
0.6766901	0.0004337	0.9051991	0.3389320	0.5528733	0.9589899	0.0444347	0.7575731	0.3717397	0.1236801
0.8817794	0.0143361	0.8019619	0.4109029	0.5682266	0.8007581	0.1063361	0.7369555	0.3758618	0.1483151
0.5657425	0.0002093	0.7590808	0.2935741	0.3886974	0.7482796	0.0687539	0.7573087	0.2594874	0.1319556
0.8669469	0.0050195	0.6735164	0.4056200	0.7362817	0.8195092	0.0525192	0.7431379	0.4364018	0.0793709
0.8632794	0.0133515	0.9457322	0.3623556	0.5983791	0.9003480	0.0402226	0.6580568	0.1571546	0.0628225
0.8463687	0.0017415	0.5073019	0.4765707	0.5406036	0.7392478	0.3924650	0.6648707	0.3643067	0.6479281
