kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.5226349	0.0090884	1.0542225	0.4528870	0.3718053	1.0591177	0.1349550	1.1266010	0.4573254	0.1830812
0.9327716	0.0070554	0.9671879	0.5108984	0.7710644	0.9891642	0.1188034	0.8677247	0.4520756	0.1271689
1.0808912	0.0093412	0.4986363	0.6742415	0.6576769	0.9771718	0.6932441	0.8037353	0.8885126	1.0467313
1.0389100	0.0111327	0.9520120	0.2339150	0.7865718	1.0522106	0.1053927	1.0448393	0.3527934	0.0979396
0.9912535	0.0175355	1.0822917	0.4780917	0.3362481	1.0324644	0.1096510	0.9132833	0.3913939	0.1571162
0.8856738	0.0119552	1.0154575	0.4200769	0.6834807	0.5348187	0.0815367	0.9624276	0.3885404	0.1203546
1.0117460	0.0192338	1.0126484	0.5068266	0.7286075	1.0138454	0.0750024	0.9625138	0.3928808	0.2189811
1.0094753	0.0091500	1.0054179	0.5029805	0.6999339	1.0114710	0.0833219	0.5127033	0.3997368	0.0668169
0.9998386	0.0104995	0.9154715	0.5249185	0.7787509	1.0484007	0.1612010	0.9168611	0.2434002	0.1847341
0.9199338	0.0191793	0.8926672	0.4703624	0.7590615	1.0272291	0.1287590	0.9257815	0.3879848	0.0617449
