kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.0000000	0.0140271	1.0218401	0.4587531	0.0667851	0.0021162	0.0924955	0.8854548	0.3825572	0.1167749
1.0613279	0.0000000	1.0195860	0.4878056	0.7050269	0.9757758	0.0868644	0.9089331	0.3749492	0.1467039
0.9951740	1.0007013	0.0000000	1.0466740	0.7565084	1.0695433	0.9835935	0.0412480	1.0489681	0.9934515
1.0092333	0.0064141	1.0448991	0.0000000	0.7590277	1.0085314	0.0922726	0.9259744	0.3966762	0.0850297
0.9981842	0.0155164	1.0631281	0.4945746	0.0000000	0.9624940	0.1064288	0.9371237	0.4286110	0.1807869
1.0004251	0.0176404	0.9404825	0.4061948	0.8461315	0.0000000	0.1312037	0.8949207	0.4183877	0.1482934
0.9930571	0.0099309	0.9890745	0.4847785	0.7143142	1.0335024	0.0000000	0.9538545	0.3741709	0.1376135
1.0102661	0.0078337	1.0070159	0.5010516	0.6876329	0.9798880	0.0995168	0.0000000	0.3698436	0.1118670
1.0065719	0.0123444	0.9108743	0.4432417	0.7004414	1.0043435	0.0794857	0.9524770	0.0000000	0.1030709
0.9074433	0.0095863	0.8885415	0.4666462	0.7657552	1.0818886	0.1146115	0.9822972	0.4028854	0.0000000
