kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
1.1044448	0.0219439	0.4874059	0.6493805	0.7553488	1.0225183	0.6880497	0.8881569	0.4408140	0.9731631
1.0050054	0.0139724	0.9250766	0.3149009	0.7045574	1.0507505	0.0537416	0.8380591	0.2329489	0.0729436
0.8719740	0.0132034	1.0707689	0.2960329	0.6757063	0.9940152	0.1335279	0.9391273	0.3488903	0.1138351
1.0382293	0.0173704	0.9695234	0.5319779	0.7592542	1.1317658	0.0995059	0.9038777	0.4146793	0.1547526
1.0017550	0.0008731	0.9781232	0.4032303	0.6510304	1.0221867	0.0883297	0.9235920	0.4319842	0.1211992
0.9917701	0.0140191	1.0129153	0.4513518	0.7332933	1.0133536	0.1286584	0.9633704	0.4433716	0.1915185
0.6522715	0.0005647	1.0314010	0.4218575	0.4587885	0.9980629	0.0507320	1.0268487	0.3713115	0.1276933
1.0838400	0.0099361	0.9460309	0.4712847	0.8450221	0.9790277	0.0900606	0.8957790	0.4218252	0.1475376
1.0443308	0.0200500	1.0968434	0.4322071	0.7552314	1.0903087	0.0770736	0.9173594	0.1728652	0.0781357
1.0617628	0.0020094	0.6390329	0.6344064	0.6791976	1.0361448	0.4864165	0.8800812	0.4301707	0.8727594
