kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.5008189	0.0127176	0.9818512	0.4795441	0.3324627	1.1045998	0.1056719	1.0434533	0.4640470	0.1517048
1.0125105	0.0123226	1.0390861	0.4295586	0.7854833	1.0432120	0.1239412	0.8333896	0.3868802	0.1313757
1.0911912	0.0150209	0.4416826	0.6871964	0.6481565	0.9651552	0.6404138	0.7779366	0.8354014	1.0097269
0.9194143	0.0082332	1.1086003	0.2380554	0.8203923	1.0749548	0.0894210	1.0153109	0.3757571	0.0924170
0.9820085	0.0071317	0.9922026	0.4840418	0.3209922	0.9850834	0.1090312	0.8763735	0.4248245	0.1574557
0.8954211	0.0094229	1.1203391	0.3668665	0.6735965	0.5413624	0.1336871	0.9108058	0.3751545	0.1827852
1.0329355	0.0189251	0.8730500	0.4415425	0.7310422	0.9873005	0.0545326	0.9672063	0.4032354	0.1834523
0.9251986	0.0057406	1.0156839	0.5314814	0.7403460	1.1134351	0.0872301	0.4649432	0.3301353	0.1065518
0.9488330	0.0162892	0.9056469	0.4936033	0.7479182	1.0066438	0.1506233	0.8822733	0.2494021	0.1837504
0.9485918	0.0068306	0.9439990	0.4938816	0.8112835	1.0052759	0.1294629	0.9185437	0.3829211	0.0434816
