kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.0000000	0.0166727	1.0697014	0.4354636	0.0574997	0.0017671	0.1114654	0.8505001	0.4201973	0.1406133
0.9859899	0.0000000	1.0370331	0.3857393	0.6613597	0.9377380	0.0834046	1.0336949	0.3621751	0.1754024
0.9541669	0.9784126	0.0000000	1.0260265	0.7633702	0.9997167	0.9728930	0.0487848	0.9657141	1.0037049
0.9391670	0.0049140	1.0219070	0.0000000	0.8096067	0.9860978	0.0760313	0.9466795	0.3555510	0.1095938
1.0803987	0.0275076	0.9700942	0.4989295	0.0000000	1.0076494	0.1045787	0.8934816	0.4503233	0.1561474
1.0600685	0.0095523	0.9801816	0.4863469	0.7883808	0.0000000	0.1382107	0.9618206	0.3960505	0.1342217
0.9035753	0.0113743	1.0015895	0.4097590	0.7125832	0.9476309	0.0000000	0.9787412	0.3894709	0.1255019
0.9925767	0.0143278	1.0499736	0.5292598	0.7228772	1.0833252	0.0841268	0.0000000	0.4235072	0.1183235
0.9197728	0.0131943	1.0055476	0.4596582	0.7111817	1.0362827	0.0753864	0.8802995	0.0000000	0.0791494
1.0396434	0.0220173	0.9968980	0.4515918	0.7995088	1.0671016	0.1211405	1.0726571	0.3900482	0.0000000
