kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
1.1220392	0.0118932	0.5201808	0.7243240	0.8163838	0.9732270	0.8135304	0.8440012	0.4175219	0.9602690
0.9860436	0.0131101	1.0892983	0.2670645	0.6848927	1.0532840	0.0463887	0.8389393	0.2196267	0.1209484
0.8472581	0.0078241	0.9591436	0.2836306	0.6757642	1.0062794	0.0905262	0.9364557	0.3481236	0.1213377
1.0008827	0.0072927	0.9360788	0.4335593	0.7390247	1.0759671	0.0935361	0.9550773	0.4498517	0.1932310
0.9164465	0.0049772	1.0574654	0.3520002	0.6492129	0.9702990	0.0793267	0.9710616	0.3813156	0.1175130
0.9690548	0.0086104	1.0240592	0.4567485	0.7696281	0.9529365	0.1186116	0.9176219	0.4076590	0.1614946
0.7021406	0.0009183	1.0431243	0.4242232	0.4852594	1.0796679	0.0533858	0.9394895	0.3724022	0.1183027
1.0851914	0.0131521	1.0054470	0.4717926	0.8487146	1.0371495	0.0884864	0.9315782	0.3720140	0.1355306
1.0899899	0.0125880	1.0157079	0.4012561	0.6683583	1.0645532	0.0856458	0.9056036	0.1470111	0.0416289
1.0252926	0.0056511	0.5862111	0.6102803	0.6914729	0.9770163	0.5944198	0.8706545	0.4153974	0.8651987
