kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.5000000	0.0095675	1.0000000	0.4628153	0.3565473	0.9999997	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0047837	1.0000000	0.4628153	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0100157	0.5000000	0.6641571	0.7395992	1.0000000	0.6477776	0.8239608	0.7137971	0.9550407
1.0000000	0.0095675	1.0000000	0.2314081	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.3698000	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	0.5000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.0512620	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.1025239	0.4580827	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.1025239	0.9161442	0.1943497	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.0640637
