kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.0000000	0.0095675	1.0000000	0.4628153	0.0523454	0.0022873	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0000000	1.0000000	0.4628153	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	1.0000000	0.0000000	0.9999984	0.7395992	1.0000000	1.0000000	0.0433537	1.0000000	1.0000000
1.0000000	0.0095675	1.0000000	0.0000000	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.0000000	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	0.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.0000000	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.1025239	0.0000002	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.1025239	0.9161442	0.0000000	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.0000000
