kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
1.0000000	0.0104761	0.4372259	0.6991037	0.7839970	0.9977127	0.7378107	0.8172464	0.4642135	0.9831273
1.0000000	0.0095675	1.0000000	0.2744015	0.6872538	0.9977127	0.0738926	0.8727961	0.2365960	0.0777749
0.7550634	0.0095675	1.0000000	0.2795162	0.6583218	0.9977126	0.1025239	0.8758661	0.3886994	0.1156616
1.0000000	0.0095739	0.9241981	0.4863143	0.6872538	1.0000000	0.0882159	0.9158918	0.4169976	0.1911371
1.0000000	0.0000122	1.0000000	0.3775899	0.6872541	1.0000000	0.1025239	0.8727963	0.3886994	0.1281270
0.9326694	0.0095675	1.0000000	0.4517706	0.7250753	1.0000000	0.1025239	0.9580933	0.3886994	0.1281270
0.6144682	0.0000118	1.0000000	0.4628153	0.4177928	0.9977126	0.0395625	0.9414902	0.3886994	0.0592852
1.0000000	0.0095675	1.0000000	0.4628153	0.8278596	0.9977127	0.1025239	0.9304530	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.3899190	0.6872541	0.9977127	0.1025239	0.8727963	0.1713155	0.0868278
1.0000000	0.0000907	0.6450568	0.5929387	0.6872538	1.0000000	0.3868193	0.9013476	0.3318401	0.7589558
