kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.5000048	0.0095675	1.0000000	0.4628153	0.3566821	0.9999997	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0047907	1.0000000	0.4628154	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0100153	0.5000086	0.6639384	0.7395992	1.0000000	0.6475282	0.8239702	0.7137456	0.9549524
1.0000000	0.0095675	1.0000000	0.2315308	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628153	0.3698796	1.0000000	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628154	0.7395992	0.5001087	0.1025239	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628154	0.7395992	1.0000000	0.0512956	0.9161442	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628154	0.7395992	1.0000000	0.1025239	0.4581328	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.4628154	0.7395992	1.0000000	0.1025239	0.9161442	0.1943751	0.1281270
1.0000000	0.0095675	1.0000000	0.4628154	0.7395992	1.0000000	0.1025239	0.9161442	0.3886994	0.0640931
