kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
1.0000000	0.0104750	0.4372356	0.6988404	0.7839966	0.9977127	0.7375490	0.8172585	0.4641634	0.9830724
1.0000000	0.0095675	1.0000000	0.2745014	0.6872577	0.9977127	0.0738950	0.8727962	0.2365978	0.0777774
0.7550837	0.0095675	1.0000000	0.2796134	0.6585760	0.9977127	0.1025239	0.8758662	0.3886994	0.1156622
1.0000000	0.0095739	0.9242070	0.4862133	0.6872577	1.0000000	0.0881771	0.9158946	0.4169761	0.1910318
1.0000000	0.0000173	1.0000000	0.3778382	0.6872866	1.0000000	0.1025239	0.8727974	0.3886994	0.1281270
0.9327167	0.0095675	1.0000000	0.4518028	0.7253919	1.0000000	0.1025239	0.9580922	0.3886994	0.1281270
0.6144790	0.0000121	1.0000000	0.4628153	0.4180342	0.9977126	0.0395643	0.9414902	0.3886994	0.0592863
1.0000000	0.0095675	1.0000000	0.4628156	0.8274131	0.9977177	0.1025239	0.9304462	0.3886994	0.1281270
1.0000000	0.0095675	1.0000000	0.3901314	0.6872866	0.9977132	0.1025239	0.8727974	0.1713440	0.0868468
1.0000000	0.0000907	0.6450629	0.5928058	0.6872543	1.0000000	0.3866833	0.9013507	0.3318119	0.7587917
