kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.3431213	0.0080832	0.8132614	0.3578790	0.2962214	0.9404496	0.1257902	0.7753039	0.3863136	0.1339626
0.6676072	0.0204427	0.8518994	0.3250721	0.7514660	0.8863277	0.0874819	0.6428149	0.2049370	0.1368637
0.8409678	0.0080685	0.3484541	0.6251238	0.5773643	0.7472733	0.4997981	0.6274817	0.6906666	0.7408281
0.7550520	0.0067542	0.9169818	0.2067472	0.6390384	0.9803101	0.0556265	0.7750691	0.3444338	0.0884922
0.8166517	0.0056817	0.7762300	0.4945837	0.3315344	0.8310409	0.1003935	0.7123470	0.4133909	0.1066544
0.7177945	0.0060748	0.8287131	0.2750321	0.6147437	0.4068785	0.0812593	0.7817367	0.3210463	0.1332466
0.6634472	0.0277295	0.7241485	0.3203947	0.5610361	0.8460503	0.0449331	0.8478880	0.2552304	0.1630845
0.7746651	0.0031853	0.9260386	0.4047945	0.6009271	0.8778282	0.0479370	0.3726605	0.3062088	0.0632270
0.7266330	0.0222325	0.6424004	0.3697448	0.6088097	0.8084616	0.1481521	0.6929547	0.1592848	0.1293446
0.7814526	0.0027004	0.7372602	0.4099674	0.8029031	0.9351251	0.1318355	0.6727553	0.3641573	0.0355505
