kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.0000000	0.0126490	0.9892551	0.3555695	0.0475434	0.0006690	0.0901402	0.6456134	0.3344356	0.1153597
0.8177011	0.0000000	0.8227856	0.3298976	0.4856870	0.6617188	0.0485007	0.8541969	0.3257643	0.1083753
0.7330091	0.7246520	0.0000000	0.7704530	0.6367525	0.7315095	0.8760653	0.0464258	0.8318584	0.9128441
0.7337402	0.0009443	0.8479162	0.0000000	0.7305681	0.7766224	0.0672451	0.7391050	0.3033430	0.0889775
0.9828026	0.0200684	0.7136496	0.3682709	0.0000000	0.8355127	0.0901081	0.8369683	0.2952131	0.1095744
0.9462050	0.0039609	0.8474322	0.4130385	0.7261972	0.0000000	0.1169603	0.7336726	0.3555459	0.1113119
0.6709268	0.0036141	0.8718039	0.3702782	0.6611455	0.7485418	0.0000000	0.9097501	0.2820231	0.1166618
0.7284298	0.0104962	0.8537083	0.4091583	0.6158779	0.8214637	0.0419932	0.0000000	0.3422795	0.0783275
0.7360246	0.0108227	0.8917680	0.4586807	0.5565234	0.9191134	0.1138701	0.7703225	0.0000000	0.0342773
0.9016887	0.0100834	0.7420817	0.4052187	0.6552085	0.8001001	0.0914338	0.9509398	0.3839632	0.0000000
