kdpE	puuD	arcA	icd	kdpB	kdpA	fadE	ybdN	hybG	tpx
0.9654312	0.0135799	0.5523805	0.6030714	0.6882375	0.6583305	0.6273078	0.6699443	0.3532802	0.8299592
0.7643474	0.0114412	0.8990885	0.2150933	0.5684475	0.8898971	0.0504449	0.6800401	0.1888436	0.0970966
0.8649333	0.0044475	0.7579759	0.2450904	0.6336483	0.9076347	0.0724934	0.8134432	0.3195504	0.0892786
0.8638468	0.0082512	0.7199187	0.3045757	0.5917779	0.7853507	0.0751490	0.8594944	0.3661637	0.1641201
0.8257928	0.0019582	0.8688194	0.2884910	0.6391967	0.7338278	0.0836093	0.7191769	0.3604670	0.1183347
0.8027559	0.0093566	0.8062027	0.3110668	0.6203972	0.7523714	0.1310941	0.7237737	0.2871315	0.0923897
0.6602852	0.0002939	0.7970337	0.2931234	0.3421274	0.9645275	0.0355247	0.7686049	0.3312589	0.1036857
0.8487515	0.0027330	0.7945486	0.4120081	0.7592443	0.7812321	0.0548858	0.7308557	0.3133267	0.1069731
0.8543040	0.0083185	0.7880771	0.3411391	0.5282078	0.8803753	0.0808740	0.8317500	0.2116728	0.0193410
0.7874339	0.0041500	0.5234820	0.4126520	0.5702907	0.7164671	0.5017030	0.7169086	0.3993845	0.8241620
