lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.4156155	0.5936760	0.7573102	0.4059789	0.2325100	0.2807934	0.8484963	0.4722428	0.4576349	0.2990720	0.6418669	0.4666498	0.4758119	0.4095277	0.1454075
0.8791366	0.3533184	0.6415972	0.3304542	0.1911050	0.2723028	0.8308338	0.5383481	0.4191122	0.3215301	0.7248969	0.1415205	0.4668205	0.4671912	0.0683354
0.8111521	0.1330429	0.4232373	0.5355618	0.4442904	0.6360942	0.6575773	0.2727140	0.2889491	0.3266863	0.6918529	0.1362593	0.2851771	0.0423983	0.0495942
0.7581791	0.5007278	0.6871465	0.1505701	0.2353662	0.2856735	0.8620106	0.4470874	0.4409087	0.4762523	0.8596085	0.1335730	0.4439621	0.4822989	0.0332395
0.7886569	0.5095576	0.8666092	0.3107650	0.0889217	0.2988790	0.7770475	0.5159682	0.4813458	0.3962949	0.7642287	0.2050575	0.5417411	0.5324917	0.0385917
0.9666714	0.5284562	0.8654695	0.3031798	0.2245687	0.1534339	0.7604857	0.5337934	0.4858926	0.3934119	0.6706186	0.1370375	0.4458627	0.6625075	0.0303306
0.7277800	0.5200608	0.6956557	0.3081947	0.2489114	0.4407710	0.3635236	0.5707272	0.6697360	0.5952698	0.8338316	0.2001269	0.3634861	0.5198213	0.0660005
0.9279012	0.4545371	0.8898708	0.3396403	0.2143712	0.3311840	0.7928069	0.2201852	0.3472370	0.4570555	0.7783190	0.1464547	0.3659242	0.4716243	0.0758066
0.7097733	0.6260546	0.9077947	0.3656791	0.2755330	0.2466053	0.7596090	0.4973597	0.2171858	0.1194912	0.7820380	0.1686223	0.5288438	0.4170456	0.0266715
0.8734778	0.6787338	0.7860416	0.3159626	0.1741968	0.2327544	0.8770797	0.5545944	0.4263727	0.2086745	0.8757338	0.1468688	0.4163088	0.5027016	0.0239478
0.9376910	0.5509518	0.8794405	0.3279513	0.2365241	0.2752650	0.7241349	0.4232688	0.4830528	0.4390441	0.4278207	0.1287915	0.4845136	0.4382487	0.0312744
0.8003595	0.5748927	0.7580714	0.3531282	0.2574525	0.2913677	0.8926374	0.5267321	0.5059304	0.3754929	0.8447009	0.0641438	0.3715845	0.4519763	0.0437863
0.6636001	0.5465631	0.8237942	0.3604900	0.2504244	0.2369719	0.6945645	0.4251211	0.5292653	0.3175946	0.7553279	0.1397695	0.1983111	0.5092961	0.0222364
0.8146699	0.5902707	0.8020956	0.3548771	0.2315226	0.2695542	0.7553926	0.4696412	0.3997274	0.4602414	0.7238188	0.2346481	0.4760473	0.2841097	0.0352464
0.7404551	0.5235099	0.7365008	0.4381449	0.2957093	0.2378086	0.7240531	0.5567707	0.4386497	0.3479890	0.6658399	0.1395128	0.4113909	0.4391069	0.0322819
