lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.0000000	0.5999610	0.8665640	0.5083243	0.1954039	0.3448110	0.6779274	0.5065384	0.4086534	0.5173855	0.6291463	0.8914184	0.4612105	0.4792735	0.6950244
0.6736472	0.0000000	0.8003859	0.3410374	0.2554998	0.3106664	0.6995376	0.5738910	0.4020739	0.3112603	0.7786334	0.1649507	0.5376341	0.5583691	0.0950632
0.7773132	0.0076711	0.0000000	0.8469147	0.7648626	0.8311705	0.3933601	0.0022243	0.2581810	0.2552907	0.0110379	0.1686766	0.0372913	0.0430710	0.0321410
0.7954184	0.4695135	0.8140725	0.0000000	0.2063916	0.4441724	0.6722729	0.3851816	0.3946387	0.4200451	0.6432920	0.1574078	0.3663235	0.3682597	0.1004347
0.8671216	0.4615799	0.8298480	0.5126489	0.0000000	0.3800876	0.8903997	0.3962504	0.3463160	0.4212838	0.7989972	0.1669051	0.4406238	0.4219947	0.0485311
0.8475455	0.6432411	0.9114496	0.3676771	0.2443106	0.0000000	0.6646658	0.4146187	0.3492282	0.3600463	0.8565955	0.1698977	0.5569931	0.4468203	0.0716374
0.8871096	0.7271787	0.7939425	0.4014995	0.2106397	0.2778383	0.0000000	0.4760073	0.8271046	0.5787809	0.7812724	0.1483072	0.5075068	0.4854143	0.0549816
0.8506312	0.5034346	0.7327526	0.3764323	0.2282346	0.2836413	0.8376249	0.0000000	0.4408707	0.3853875	0.7064221	0.1532255	0.5637249	0.4365775	0.0194592
0.8170001	0.4052372	0.7778639	0.4845700	0.2996861	0.3318534	0.5314157	0.4169414	0.0000000	0.0451995	0.8708818	0.1558119	0.4325626	0.4663687	0.0710833
0.8387997	0.5970855	0.9691707	0.2949388	0.2181874	0.1987771	0.8064801	0.4341544	0.4238214	0.0000000	0.6615309	0.2015376	0.3923265	0.5429287	0.0320029
0.8554398	0.3935972	0.7166608	0.3847675	0.2210089	0.3424327	0.7832057	0.3914212	0.4565143	0.3234606	0.0000000	0.1226522	0.4332515	0.3664241	0.0463237
0.7227361	0.4618714	0.8575460	0.3396461	0.2905455	0.1801717	0.7336449	0.6605828	0.4857161	0.3909141	0.7789680	0.0000807	0.4474688	0.5294214	0.0608179
0.7830008	0.4276795	0.8746145	0.2891996	0.2315355	0.4071084	0.8613900	0.4759441	0.4504624	0.2882844	0.7160673	0.2464169	0.0000000	0.4573634	0.0352509
0.8612076	0.6141781	0.6876535	0.4239188	0.2733017	0.3515957	0.7746281	0.4289649	0.4590074	0.4066189	0.6407527	0.2159329	0.4764092	0.0000000	0.0595654
0.8423810	0.4588764	0.7552971	0.3950870	0.2680175	0.3771674	0.8692767	0.4488354	0.4556173	0.3991911	0.8672821	0.1708371	0.3952701	0.4488113	0.0000000
