lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.8242076	0.5795155	0.7542395	0.2226070	0.0773014	0.1432371	0.6648045	0.6584429	0.5995724	0.4792101	0.8418296	0.2241260	0.4143195	0.4506511	0.0062159
0.8064738	0.5093162	0.7918669	0.3632709	0.2479895	0.1243976	0.8016276	0.5059727	0.4908632	0.6094953	0.8442141	0.1833118	0.5170741	0.4598894	0.0441741
0.7508240	0.3853239	0.6351480	0.2383615	0.3512710	0.2342397	0.8192646	0.4417993	0.4292419	0.4142452	0.7311792	0.0957673	0.4141191	0.5914946	0.0054181
0.9186478	0.4969459	0.7742549	0.4270944	0.2277417	0.1607664	0.7570697	0.3187038	0.3295907	0.2621065	0.6912643	0.1680549	0.5144794	0.3571273	0.0114791
0.6450301	0.4461262	0.7464505	0.3855018	0.3007015	0.1401227	0.7486239	0.3798669	0.4623911	0.5349070	0.7279053	0.1181890	0.4681712	0.3280491	0.0658049
0.6693939	0.3810561	0.6817395	0.3894880	0.2852367	0.4349815	0.6972907	0.4416851	0.4996877	0.5228342	0.7920817	0.0656251	0.4030003	0.2075735	0.0219618
0.3504745	0.6212355	0.8153429	0.3893923	0.2012977	0.3211085	0.8585791	0.4591532	0.4239160	0.4836583	0.7345837	0.5515195	0.4670256	0.4247520	0.1360047
0.8614909	0.5561435	0.7221519	0.3681543	0.1113094	0.2223926	0.8566102	0.6233182	0.6984385	0.5104364	0.7664752	0.1216753	0.4158318	0.5438931	0.0083612
0.6920814	0.5904481	0.7555202	0.4264183	0.1649218	0.2843625	0.6516672	0.4903832	0.6733618	0.3351483	0.8538642	0.2926764	0.3246381	0.5282955	0.0717058
0.7452491	0.4063796	0.6348644	0.3247419	0.2103767	0.5078555	0.8723800	0.3968649	0.6738017	0.5337877	0.8429684	0.2570200	0.3660281	0.5559113	0.0709055
0.7833728	0.4971335	0.9493462	0.3258149	0.1815374	0.3660397	0.7820604	0.4740399	0.0935835	0.0538754	0.8567635	0.1309020	0.6301699	0.3969946	0.0184104
0.8359141	0.4106614	0.7195697	0.2935739	0.2256094	0.1895315	0.8101351	0.5281003	0.3924382	0.5451192	0.7834744	0.1274360	0.3202488	0.4409436	0.0411906
0.8105742	0.4707020	0.6595156	0.2821944	0.1390036	0.2385060	0.7495609	0.5300827	0.6801291	0.6101757	0.9775103	0.1234696	0.4175803	0.4302072	0.1017282
0.7285640	0.4313381	0.8087696	0.3535646	0.1886655	0.2720614	0.8077823	0.4138406	0.6585172	0.6030342	0.9109349	0.1718121	0.3452577	0.4215269	0.0034098
1.0000000	0.2549193	0.4355405	0.5709319	0.3196252	0.5843632	0.6906880	0.3657787	0.1816229	0.2694464	0.7188499	0.1537814	0.3261549	0.0914423	0.0247450
