lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.5148076	0.6381707	0.9702153	0.5191664	0.3331525	0.3706622	1.0582314	0.6336203	0.5031651	0.4804777	0.9447063	0.5807113	0.5327476	0.5766041	0.1779156
1.0405989	0.4117985	1.0072674	0.4711940	0.2832178	0.3171938	1.0383762	0.6417931	0.5365108	0.5301699	0.9828200	0.1963645	0.5890736	0.6324063	0.0643579
1.0139432	0.1550727	0.5313754	0.6987235	0.5522559	0.8506798	1.0650979	0.3456459	0.3225344	0.3197417	0.8667299	0.1824350	0.4103536	0.0485336	0.0665909
1.0325936	0.6131909	0.9463656	0.2226784	0.3432249	0.4374480	1.0547579	0.5829691	0.5352736	0.5094650	1.0199542	0.2012815	0.5988719	0.5666502	0.0635430
0.9497605	0.6305445	1.0702920	0.4404525	0.1477099	0.3931546	1.0809431	0.6162368	0.5691231	0.4715616	1.0207841	0.2141913	0.5687316	0.6575828	0.0638650
1.0445730	0.7201225	1.0666364	0.4704582	0.2907633	0.2305147	0.9835596	0.6554515	0.5783358	0.4924763	1.0020710	0.2359582	0.5993629	0.7458930	0.0516452
0.9883131	0.6738362	0.9409772	0.4078008	0.3195013	0.4212917	0.4837518	0.5801638	0.8263924	0.7610712	0.9801527	0.2053203	0.5410148	0.5902246	0.0489435
1.1323774	0.6127776	0.9868028	0.4007887	0.2821462	0.3820626	0.9472674	0.2737647	0.5749615	0.4974489	0.9574831	0.1620577	0.5456799	0.6577074	0.0611348
0.9804916	0.6862801	1.0750958	0.4970993	0.3269846	0.4092149	1.0093945	0.6539017	0.2996416	0.1929164	0.9433022	0.2332475	0.6063587	0.6373126	0.0537296
1.0557142	0.7061316	1.0382922	0.4965995	0.2530753	0.3689912	1.0054449	0.6344500	0.5381262	0.2759510	1.0504196	0.2023737	0.5430246	0.6796606	0.0472295
0.9814103	0.7551972	1.0192706	0.4421213	0.2919591	0.4069848	0.9721849	0.5523723	0.5482276	0.5164388	0.5493802	0.1922895	0.5439706	0.6658288	0.0576413
1.0085107	0.7292847	1.0286156	0.5396213	0.3401729	0.4119307	1.0637364	0.6377575	0.6192420	0.4851627	0.9900062	0.0744735	0.5856044	0.6005114	0.0680850
0.9815395	0.6927074	1.0498471	0.4924631	0.2984918	0.3577699	0.9543947	0.5913126	0.6102336	0.5092614	0.9752625	0.1950397	0.2860438	0.6730763	0.0464116
1.0289785	0.7055373	0.9669381	0.5322076	0.3160231	0.3898892	1.0223953	0.5600576	0.5587953	0.5151931	0.9598672	0.2220316	0.6079914	0.3247588	0.0425287
1.0015766	0.5854192	0.9533773	0.5343511	0.3421710	0.3597738	0.9802873	0.5793402	0.5741230	0.4863743	0.9895449	0.2246989	0.5292627	0.4539440	0.0462149
