lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.0000000	0.6125897	1.0291299	0.4981439	0.2958373	0.3976220	0.9718074	0.6259778	0.5912657	0.5778784	0.9368354	1.1060875	0.6106744	0.6116593	1.0279949
0.9781727	0.0000000	1.0182704	0.4464348	0.3106777	0.3470565	1.0016580	0.6718541	0.5563262	0.4237642	0.9981801	0.2242610	0.6427587	0.6383408	0.0670278
0.9984607	0.0034286	0.0000000	1.0006444	1.0173522	1.0192223	0.5258447	0.0075042	0.3959065	0.3746023	0.0178288	0.2050362	0.0640257	0.0458749	0.0513859
0.9278499	0.6481330	1.0620038	0.0000000	0.2841935	0.4751124	1.0196167	0.5144327	0.5388319	0.4861502	0.8956475	0.1956047	0.4925582	0.4735462	0.0617686
1.0983623	0.6319187	1.0416647	0.5709509	0.0000000	0.3947735	1.0598217	0.4972832	0.4857483	0.5248800	1.0627795	0.2127294	0.5949920	0.5399764	0.0598772
1.0510994	0.6755343	1.0122175	0.4445037	0.3588013	0.0000000	1.0402766	0.6134260	0.4822387	0.4056883	1.0063412	0.2262136	0.6277393	0.5919113	0.0759906
0.9920252	0.6518063	1.0426858	0.4502484	0.2931377	0.4045582	0.0000000	0.5846032	1.0071444	0.7581942	0.9386531	0.1954916	0.5768108	0.6749373	0.0771394
1.0520920	0.7025835	0.9974976	0.4816328	0.3343264	0.3813821	1.0329735	0.0000000	0.5359575	0.5588820	0.9865687	0.2125810	0.6204554	0.5855366	0.0398203
1.1448721	0.6607195	1.0384835	0.4880506	0.4219913	0.4169877	0.7585534	0.5427899	0.0000000	0.0466044	1.0751918	0.1969692	0.5649046	0.5471325	0.0789855
1.0542129	0.7433115	1.0747830	0.4780696	0.3027753	0.3627010	0.9740283	0.6687615	0.5646263	0.0000000	0.9488111	0.2136018	0.5894800	0.6957153	0.0560724
1.1050528	0.5861557	0.9876907	0.4871895	0.3083944	0.4283423	0.9774742	0.5436347	0.6018220	0.5212465	0.0000000	0.1572800	0.5822945	0.5515031	0.0645726
0.9365753	0.6712768	1.0190909	0.5125676	0.3267215	0.3795592	0.9783785	0.6405585	0.5846862	0.5471268	1.0781558	0.0002281	0.6021591	0.6971134	0.0526973
0.9915424	0.6462755	0.9440779	0.4553164	0.3182495	0.4269856	1.1003743	0.5897312	0.5852494	0.4328159	1.0096969	0.2028978	0.0000000	0.5950584	0.0477802
1.0951699	0.7036820	0.9165684	0.4666423	0.3410896	0.3786720	0.9442622	0.6367229	0.5846883	0.5185879	0.9630179	0.2112366	0.5611580	0.0000000	0.0630853
1.0329496	0.6675311	1.0071928	0.4664389	0.3099220	0.4394870	1.0379014	0.5704153	0.6213448	0.4701573	1.0042674	0.2271241	0.5038142	0.5990958	0.0000000
