lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
1.0368972	0.6835940	0.9999618	0.3075167	0.1869997	0.1424525	0.9515136	0.7614680	0.7260665	0.6290328	0.9646873	0.2275221	0.5463789	0.7531290	0.0182745
0.9554643	0.6168726	1.0101629	0.4415566	0.2616421	0.1546538	0.9653329	0.7031530	0.7290192	0.7772537	1.0155066	0.2079225	0.5788642	0.6352558	0.0592079
0.9910497	0.5701404	0.8790707	0.3925999	0.3952325	0.3100246	1.0693202	0.6104572	0.4694942	0.4632582	1.0925570	0.1446085	0.4835579	0.6321843	0.0154667
1.0663612	0.5682436	0.9741891	0.5436155	0.3398301	0.2185768	0.8784328	0.5366209	0.3897096	0.3339320	0.9113297	0.1868232	0.6419114	0.4442120	0.0143752
0.8263597	0.5176743	0.9390502	0.5198588	0.3292917	0.2194339	1.0277887	0.5761074	0.6688348	0.5264127	0.9717484	0.1258016	0.5754527	0.4751948	0.0607375
0.8831963	0.4939954	0.7948620	0.5932902	0.3972483	0.5252791	0.9914600	0.5151879	0.6000763	0.6208210	0.9803457	0.1243987	0.4797034	0.2517143	0.0216485
0.3942597	0.7319080	0.9598853	0.5010282	0.2574526	0.4096340	1.0611576	0.6012359	0.6331516	0.6061399	0.9840077	0.6897258	0.6241588	0.6327074	0.2223591
1.0656138	0.7489707	0.9947076	0.4728358	0.1852579	0.3408296	1.0212271	0.7977722	0.8385834	0.6103307	1.0643080	0.2162155	0.5187018	0.6927852	0.0180730
0.7496227	0.7396767	1.0724729	0.5552530	0.2394249	0.3970665	0.9407383	0.6715501	0.6636616	0.6013491	1.0003852	0.3087798	0.4980811	0.7668082	0.0606151
0.9102649	0.4856258	0.8847825	0.4641218	0.3033580	0.5051060	1.0063787	0.5290436	0.7299650	0.7386129	1.0373948	0.2355500	0.4844176	0.6663456	0.0534402
0.9795399	0.7121862	1.0512155	0.4894953	0.2478392	0.3814594	1.1072956	0.5885903	0.1399878	0.0978886	1.0871570	0.1689556	0.7226314	0.6251372	0.0087740
1.0499252	0.6607524	1.0646612	0.3546707	0.2847338	0.2272621	1.0528813	0.7073001	0.5679737	0.6648206	1.0210229	0.1822543	0.5160711	0.6006690	0.0462711
0.9664427	0.6476467	0.9955798	0.3703383	0.2774219	0.2631917	0.9103301	0.6368339	0.7546561	0.6470734	0.9979801	0.1672606	0.5429166	0.6296699	0.0739394
1.0017833	0.6552113	1.1123152	0.4756174	0.2739979	0.3789441	0.9268404	0.6052617	0.8475035	0.7923608	0.9937645	0.2602775	0.4798588	0.5457297	0.0033056
1.0149963	0.2289891	0.5904174	0.6510833	0.4701846	0.7469436	0.9395446	0.4394398	0.2438532	0.2975559	0.9817399	0.2124087	0.4126449	0.0912071	0.0569665
