lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.0009958	0.6551973	0.9551272	0.5059451	0.2691381	0.3371551	0.9945081	0.5675158	0.5770011	0.5734501	0.9210366	0.9933422	0.6151817	0.6716160	1.0093537
1.0248466	0.0000000	1.0360478	0.4869762	0.2934902	0.3563872	1.0549360	0.5827823	0.4771474	0.4832365	1.0963305	0.2080388	0.5465049	0.6526684	0.0482423
0.9938824	0.0028328	0.0000000	1.0260960	1.0269456	1.0649616	0.5038757	0.0010873	0.3750141	0.4059261	0.0185984	0.1888874	0.0650188	0.0091455	0.0697103
1.0135680	0.6910220	0.9374822	0.0000000	0.3339183	0.3948429	0.9611689	0.5456454	0.6253786	0.4686049	0.8501975	0.2017292	0.5191079	0.5275825	0.0797869
1.0139296	0.6113108	0.9734436	0.5556954	0.0000000	0.4465505	1.1097139	0.5299014	0.5070374	0.5263290	1.0221079	0.2100684	0.5893441	0.5941873	0.0659393
1.0113223	0.6380696	0.9993417	0.4147053	0.2994038	0.0000000	1.1326744	0.6061858	0.5324462	0.4382048	0.9917792	0.2139267	0.6099632	0.5518020	0.0500522
0.9298564	0.6075012	1.0344769	0.4770496	0.3112573	0.3549718	0.0000000	0.6481651	1.0066251	0.7336303	0.9530674	0.2135564	0.5516115	0.6787445	0.0654125
1.0826099	0.6800486	1.0550525	0.5024489	0.2844860	0.3278301	0.9831217	0.0000000	0.5314192	0.5886540	0.9595160	0.1673122	0.5590886	0.5828175	0.0502642
1.0581837	0.6548522	0.9286931	0.4735402	0.3465128	0.3597173	0.7853073	0.6133801	0.0000000	0.0442089	1.0602069	0.2389323	0.5247989	0.6552797	0.0839939
0.9929719	0.6758094	1.1222045	0.4804375	0.3412563	0.3690106	1.0249351	0.6905207	0.5493342	0.0000000	0.9698044	0.2138608	0.4855555	0.6506749	0.0417235
1.0474837	0.5849849	0.9593872	0.5477901	0.3411083	0.4136734	1.0342575	0.5414776	0.5963459	0.4973555	0.0000000	0.1652690	0.6086120	0.4891749	0.0683775
1.0576808	0.6607508	1.0308685	0.4444188	0.3584231	0.3930996	1.0505901	0.6240927	0.6064066	0.5921359	1.0913791	0.0015428	0.6110055	0.6432834	0.0428590
0.9770963	0.6577247	0.9817598	0.5100773	0.2964588	0.4409128	0.9713660	0.6158663	0.5460464	0.4626336	0.9969464	0.1819336	0.0000000	0.6216980	0.0483608
0.9120427	0.6402264	0.9462754	0.4467750	0.2872315	0.3735456	0.9485062	0.5636754	0.5885235	0.5912762	1.0058587	0.2089239	0.5546000	0.0000000	0.0676201
1.0559729	0.6799264	0.9557452	0.4629332	0.3150259	0.3623096	0.9252281	0.6341289	0.5897639	0.4238759	0.9658114	0.2411093	0.5198950	0.6744550	0.0000000
