lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.9034726	0.6900935	1.0292148	0.2811724	0.2364263	0.1638184	0.9039741	0.7722005	0.7659058	0.6408504	1.0391776	0.2600454	0.5204538	0.7060048	0.0159384
1.0382703	0.6349003	1.0164760	0.4261484	0.2521980	0.1365828	0.9234799	0.6758106	0.8529208	0.9391475	0.9830048	0.2057681	0.5613930	0.6405006	0.0645115
0.9412462	0.5117487	0.9443475	0.4141794	0.4130025	0.3263239	0.9821449	0.6342888	0.4465078	0.4539435	1.1197222	0.1637384	0.4993728	0.5614641	0.0075615
0.9851738	0.6679095	0.9231064	0.5428339	0.3633627	0.2095876	0.9354122	0.6106728	0.3922837	0.3238060	0.9438823	0.2013401	0.6823871	0.4444368	0.0107429
0.8957444	0.5438319	0.9346221	0.4661513	0.3847348	0.1872180	0.9551501	0.5363226	0.6558687	0.4725075	0.9760378	0.1459125	0.6158385	0.4925842	0.0778988
0.9016683	0.4340295	0.7928808	0.5836787	0.3642143	0.5195128	0.9889878	0.4642446	0.6205706	0.6267493	0.9804283	0.1574918	0.5102877	0.2266519	0.0209740
0.3845094	0.7778906	1.0596500	0.5331203	0.2549331	0.4369612	1.0568926	0.6173156	0.6618204	0.6324394	0.9979112	0.5605097	0.6060326	0.6210348	0.1919924
1.0613742	0.8246989	1.0319628	0.5058081	0.1720498	0.3555313	0.9428039	0.8196104	0.7341440	0.5369264	1.0562915	0.2366701	0.5442916	0.6655372	0.0142866
0.6950683	0.7211974	0.9527600	0.4720649	0.2342678	0.3996602	0.8821569	0.6534869	0.6233789	0.6021665	0.9860940	0.3023816	0.4790920	0.6609700	0.0698578
0.9251091	0.5482856	0.8725545	0.4275661	0.3318680	0.4328244	0.9412323	0.4933573	0.8087290	0.6514519	1.0739899	0.3012640	0.5456484	0.6585874	0.0532888
1.0208836	0.7099867	0.9389480	0.4555580	0.3373432	0.3338573	1.0776324	0.5128187	0.1749923	0.1023669	1.0435371	0.1345365	0.7512229	0.6699287	0.0069121
1.0890781	0.6330739	1.0218877	0.4020290	0.2572400	0.2063584	1.0918641	0.6302122	0.5975838	0.7104662	1.0363791	0.1724858	0.4366733	0.5799760	0.0637913
0.9175750	0.7010329	0.9760518	0.3725866	0.2183314	0.2732622	0.9416172	0.7258141	0.7782013	0.6748677	1.0450479	0.2131374	0.5774604	0.6655696	0.0648302
0.9820234	0.5551856	1.0286794	0.4237730	0.2880517	0.3509665	0.9663839	0.6038815	0.7891376	0.8470101	1.0643245	0.2036428	0.5642772	0.5469068	0.0043746
0.9355707	0.2382189	0.6574789	0.7517822	0.4977782	0.7459910	0.9282369	0.4829476	0.2860231	0.2778070	0.8764333	0.2700359	0.4424611	0.0675802	0.0707337
