lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.5000002	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.5322924	0.5543084	0.6215728	0.1818556
1.0000000	0.3321654	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096795	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.1405331	0.5000000	0.6875912	0.5476826	0.8339654	0.9950344	0.3605704	0.3616177	0.3226751	0.8731143	0.1977985	0.3667128	0.0756136	0.0563315
1.0000000	0.6643060	1.0000000	0.2375395	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096795	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.1515560	0.3829455	0.9985727	0.5919734	0.5565864	0.5096795	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.1914748	0.9985727	0.5919734	0.5565864	0.5096795	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.4997717	0.5919734	0.8418833	0.6932481	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.2959885	0.5565864	0.5096803	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9907617	0.5919734	0.2797164	0.2350251	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.2548797	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096795	0.4913316	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.0989034	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096795	0.9823951	0.1977985	0.2771550	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096795	0.9823951	0.1977985	0.5543084	0.3107883	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096803	0.9823951	0.1977985	0.5543084	0.6215728	0.0281665
