lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.9999991	0.5543084	0.6215728	1.0000000
1.0000000	0.0000003	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.0022259	0.0000000	0.9999998	0.9999999	1.0000000	0.5184911	0.0031347	0.4241799	0.3873755	0.0149563	0.1977985	0.0388376	0.0416381	0.0563315
1.0000000	0.6643060	1.0000000	0.0000011	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.0000001	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.0000001	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.0000000	0.5919734	0.9542824	0.7414317	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.0000001	0.5565864	0.5096795	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.7822114	0.5919734	0.0000002	0.0429545	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.0000016	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.0000028	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.0000004	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.0000000	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.5543084	0.0000001	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096798	0.9823951	0.1977985	0.5543084	0.6215728	0.0000003
