lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
1.0000000	0.6620802	1.0000000	0.2719363	0.2292553	0.1799629	0.9320912	0.7666878	0.7664596	0.6113212	0.9674428	0.1977985	0.5297837	0.6917357	0.0075231
1.0000000	0.6620802	1.0000000	0.4434996	0.2334067	0.1589011	0.9320866	0.7078809	0.7645400	0.8078391	0.9914709	0.1977985	0.6600965	0.6419882	0.0563315
0.9705672	0.5785403	0.9059411	0.3643446	0.3335264	0.2723792	0.9837408	0.6358533	0.4521262	0.4368450	0.9838611	0.1062854	0.4880093	0.6508143	0.0077440
1.0000000	0.6620802	1.0000000	0.4750502	0.3031043	0.1562116	0.9792681	0.5888388	0.4171788	0.3375004	0.9674428	0.1563305	0.6126881	0.5799347	0.0090768
0.8323329	0.6015082	0.9301376	0.4539467	0.3252077	0.1790179	0.9991784	0.5647581	0.5589080	0.4686761	0.9632306	0.1651228	0.5439506	0.4880764	0.0684109
0.8291506	0.5445439	0.7675064	0.5554494	0.3889390	0.5275765	0.9999964	0.5271007	0.5877249	0.5801519	0.9717574	0.1487954	0.4418891	0.2582791	0.0215541
0.3877310	0.7234701	1.0000000	0.4750502	0.2321998	0.3829455	0.9999996	0.5888388	0.6321806	0.5255880	0.9832564	0.6890938	0.6219578	0.5869172	0.2247617
1.0000000	0.7015069	1.0000000	0.4750502	0.1755008	0.3345847	0.9993343	0.8275193	0.6307993	0.5243878	0.9846253	0.1977985	0.5154710	0.5799348	0.0114240
0.7121273	0.7060654	1.0000000	0.4750502	0.2253396	0.3829455	0.9314851	0.6813650	0.5932772	0.5268167	0.9941288	0.3261725	0.5154709	0.7242962	0.0490266
0.9035358	0.5079342	0.8370553	0.5285260	0.2759892	0.4893066	0.9320418	0.5291613	0.7455652	0.7456475	0.9742407	0.2282003	0.4802584	0.6291841	0.0620568
1.0000000	0.6620802	1.0000000	0.4750502	0.3031043	0.3131276	0.9772125	0.5888388	0.1731010	0.0862197	0.9860589	0.1318573	0.7344140	0.5799347	0.0125499
1.0000000	0.6620802	1.0000000	0.3668524	0.2303983	0.2020152	0.9999998	0.5998485	0.6683433	0.6933468	0.9916098	0.1977985	0.5154710	0.5799348	0.0563315
0.9466114	0.6901179	1.0000000	0.2952565	0.3031043	0.3038239	0.9321928	0.7211490	0.8206945	0.6399866	0.9857659	0.2134829	0.5154709	0.5799347	0.0591793
0.9627069	0.6611051	0.9987906	0.4754035	0.2542462	0.3835624	0.9322347	0.5884396	0.8478000	0.8141789	0.9673799	0.2084611	0.5151356	0.6216023	0.0074920
0.9283486	0.2747283	0.6186705	0.6228978	0.4620756	0.7069714	0.9207438	0.4266091	0.2541860	0.3050015	0.9140490	0.2195052	0.3831097	0.0993314	0.0603295
