lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.5000179	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.5320553	0.5543084	0.6215728	0.1818404
1.0000000	0.3322258	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096796	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.1405349	0.5000000	0.6875901	0.5476788	0.8339621	0.9950353	0.3605705	0.3616253	0.3227636	0.8731161	0.1977985	0.3667145	0.0756146	0.0563315
1.0000000	0.6643060	1.0000000	0.2375818	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096796	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.1516298	0.3829455	0.9985727	0.5919734	0.5565864	0.5096796	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.1915327	0.9985727	0.5919734	0.5565864	0.5096796	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.4997716	0.5919734	0.8418122	0.6930070	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.2960091	0.5565865	0.5096818	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9907624	0.5919734	0.2797168	0.2350737	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.2549770	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096796	0.4914622	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096795	0.9823951	0.0989288	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096796	0.9823951	0.1977985	0.2772451	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096796	0.9823951	0.1977985	0.5543084	0.3108490	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565865	0.5096818	0.9823951	0.1977985	0.5543084	0.6215728	0.0281686
