lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.0000068	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.9999926	0.5543084	0.6215728	1.0000000
1.0000000	0.0000017	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.0022261	0.0000001	0.9999990	0.9999964	0.9999996	0.5184898	0.0031347	0.4241809	0.3872305	0.0149600	0.1977985	0.0388410	0.0416382	0.0563315
1.0000000	0.6643060	1.0000000	0.0000045	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.0000027	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.0000049	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.0000002	0.5919734	0.9541725	0.7411062	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.0000011	0.5565864	0.5096798	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.7822116	0.5919734	0.0000057	0.0429600	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.0000057	0.9823951	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.0000055	0.1977985	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.0000032	0.5543084	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.0000030	0.6215728	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096794	0.9823951	0.1977985	0.5543084	0.0000044	0.0563315
1.0000000	0.6643060	1.0000000	0.4750502	0.3031043	0.3829455	0.9985727	0.5919734	0.5565864	0.5096804	0.9823951	0.1977985	0.5543084	0.6215728	0.0000010
