lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
1.0000000	0.6620802	1.0000000	0.2719378	0.2292571	0.1799655	0.9320910	0.7666878	0.7664257	0.6111733	0.9674430	0.1977985	0.5297841	0.6917352	0.0075231
1.0000000	0.6620803	1.0000000	0.4435015	0.2334192	0.1589248	0.9320858	0.7078809	0.7643546	0.8074506	0.9914699	0.1977985	0.6600842	0.6419869	0.0563315
0.9705727	0.5785598	0.9059417	0.3643393	0.3335119	0.2723616	0.9837417	0.6358539	0.4521491	0.4369910	0.9838621	0.1062756	0.4880194	0.6508355	0.0077439
1.0000000	0.6620802	1.0000000	0.4750502	0.3031043	0.1562145	0.9792689	0.5888388	0.4171887	0.3376240	0.9674430	0.1563320	0.6126872	0.5799350	0.0090768
0.8323465	0.6015135	0.9301378	0.4539451	0.3252035	0.1790144	0.9991784	0.5647583	0.5589136	0.4686986	0.9632312	0.1650631	0.5439532	0.4880852	0.0684095
0.8291645	0.5445611	0.7675069	0.5554422	0.3889208	0.5275504	0.9999964	0.5271014	0.5877555	0.5802471	0.9717595	0.1487407	0.4419000	0.2583073	0.0215529
0.3877527	0.7234700	1.0000000	0.4750502	0.2322000	0.3829455	0.9999996	0.5888388	0.6321788	0.5255756	0.9832564	0.6887526	0.6219576	0.5869172	0.2247299
1.0000000	0.7015047	1.0000000	0.4750502	0.1755238	0.3345898	0.9993338	0.8275193	0.6307461	0.5241382	0.9846251	0.1977985	0.5154755	0.5799375	0.0114240
0.7121507	0.7060653	1.0000000	0.4750502	0.2253403	0.3829455	0.9314850	0.6813650	0.5932709	0.5267801	0.9941287	0.3260150	0.5154712	0.7242959	0.0490218
0.9035766	0.5080306	0.8370584	0.5284953	0.2759334	0.4892042	0.9320417	0.5291653	0.7455648	0.7455333	0.9742479	0.2280776	0.4803039	0.6292706	0.0620538
1.0000000	0.6620802	1.0000000	0.4750502	0.3031043	0.3131279	0.9771955	0.5888388	0.1730670	0.0862304	0.9860589	0.1318583	0.7344130	0.5799348	0.0125499
1.0000000	0.6620803	1.0000000	0.3668591	0.2304113	0.2020342	0.9999998	0.5998485	0.6682608	0.6930548	0.9916088	0.1977985	0.5154755	0.5799375	0.0563315
0.9466213	0.6901177	1.0000000	0.2952578	0.3031043	0.3038249	0.9321927	0.7211490	0.8206546	0.6398263	0.9857658	0.2134536	0.5154715	0.5799350	0.0591787
0.9627226	0.6611057	0.9987906	0.4754033	0.2542490	0.3835619	0.9322343	0.5884396	0.8476988	0.8139534	0.9673805	0.2084213	0.5151375	0.6216032	0.0074916
0.9283511	0.2747410	0.6186707	0.6228924	0.4620602	0.7069519	0.9207462	0.4266095	0.2541826	0.3050968	0.9140532	0.2194958	0.3831179	0.0993422	0.0603293
