lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.3404199	0.5702650	0.7318320	0.3852210	0.2318816	0.2892842	0.7757432	0.4715530	0.3679710	0.4233214	0.6806859	0.4400635	0.4982892	0.3612787	0.2254904
0.8297919	0.3096368	0.6703650	0.3188200	0.2140166	0.2440967	0.7716583	0.5190650	0.3643918	0.3084752	0.7626540	0.1560054	0.4277823	0.5674144	0.0516551
0.8413369	0.1537578	0.2706056	0.5510285	0.3634900	0.6478696	0.7538482	0.2350570	0.3433573	0.1994335	0.6864178	0.1519126	0.3494793	0.0528898	0.0593448
0.7149045	0.5402222	0.7256508	0.1963842	0.3514048	0.2962745	0.7863255	0.3830541	0.3122530	0.3613477	0.8222465	0.2028768	0.4006771	0.3658791	0.0388610
0.8334743	0.6006834	0.7761196	0.2895017	0.1032357	0.3191207	0.9839159	0.5650351	0.4831157	0.4742028	0.8073267	0.1007844	0.3569242	0.3852017	0.0482503
0.7942917	0.4189152	0.8870455	0.2650338	0.2578991	0.2088291	0.8994489	0.4204182	0.3412266	0.4274286	0.8219018	0.1521339	0.4630604	0.6188285	0.0209833
0.7431741	0.6265647	0.7832430	0.3420554	0.2359472	0.2312700	0.4306274	0.4513566	0.6575496	0.5913398	0.7755476	0.1453846	0.4628906	0.4619756	0.0628346
0.8638129	0.4248946	0.9115334	0.4526404	0.1426829	0.2862967	0.8007702	0.1688473	0.4141338	0.3771538	0.7783164	0.1329807	0.4979696	0.4669167	0.0381317
0.9046534	0.4953181	0.8313412	0.4945042	0.2371957	0.3178640	0.6389700	0.4555545	0.2639120	0.1635245	0.8361723	0.1919553	0.6301756	0.3786156	0.0357684
0.8081551	0.4900542	0.8906250	0.3380929	0.2713741	0.3771786	0.7722512	0.4502346	0.5125761	0.2087894	0.8711248	0.1931740	0.6233837	0.4275784	0.0379990
0.7982635	0.6047240	0.8436008	0.3401088	0.1841885	0.2973798	0.7038862	0.4658647	0.4403781	0.4144593	0.4103556	0.2713009	0.5641296	0.5879264	0.0349964
0.8001565	0.5002711	0.8131800	0.3502787	0.2720520	0.3245157	0.7491284	0.4750057	0.3979069	0.3744543	0.6980077	0.0861609	0.3848862	0.4456800	0.0474359
0.8407277	0.6318719	0.7643760	0.4381225	0.2519978	0.2947210	0.8022373	0.4242012	0.5408040	0.4288755	0.7382156	0.1574874	0.2064848	0.4992083	0.0575258
0.8276202	0.6034377	0.7779807	0.4314030	0.3423590	0.2852670	0.8894876	0.4509270	0.4395621	0.4083463	0.5782935	0.1610888	0.4862658	0.2365822	0.0213782
0.7454821	0.4398578	0.6542304	0.3472858	0.3135220	0.2726746	0.7827073	0.3260729	0.4402451	0.4195325	0.8643057	0.1724464	0.4755977	0.4152670	0.0561336
