lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.0006598	0.5886910	0.6681192	0.3451177	0.2124386	0.2997410	0.7545919	0.4043715	0.4845932	0.5207602	0.6830198	0.7821652	0.4325168	0.5236647	0.8495409
0.7383258	0.0000000	0.8459758	0.4258220	0.1598712	0.2552263	0.8224266	0.4044789	0.3766622	0.4387125	0.8838606	0.1436283	0.4852898	0.5224539	0.0514696
0.7870018	0.0014378	0.0000000	0.9195759	0.8118896	0.8469461	0.4039184	0.0013398	0.2583307	0.2805088	0.0080555	0.1613092	0.0292273	0.0050967	0.0462041
0.7042523	0.5821913	0.6665793	0.0000000	0.3344004	0.3262878	0.6600055	0.4695881	0.4942034	0.3701540	0.6527765	0.1471382	0.4098558	0.4511564	0.0730338
0.8806624	0.5450182	0.7549513	0.5366757	0.0000000	0.3020133	0.9140340	0.3423253	0.4581836	0.4406157	0.9745766	0.1976386	0.4511336	0.3810893	0.0972204
0.7407116	0.4725899	0.6263638	0.3292201	0.2490602	0.0000000	1.0266390	0.4462088	0.3867232	0.3031071	0.7688074	0.1906067	0.5546541	0.4214164	0.0616164
0.7493782	0.4148832	0.7886717	0.3911969	0.2651069	0.2043361	0.0000000	0.5040016	0.6956598	0.5182447	0.6630022	0.1557378	0.4036904	0.5752173	0.0565047
0.9067220	0.5002779	0.8154004	0.3711109	0.2235455	0.3309051	0.8561182	0.0000000	0.4073644	0.5136043	0.7832889	0.1159116	0.3552692	0.5354951	0.0321468
0.7693777	0.4510718	0.6103018	0.3321456	0.2432638	0.2205334	0.6209807	0.5421437	0.0000000	0.0534501	0.7660556	0.1585292	0.4245003	0.5627479	0.0518297
0.8349170	0.5860876	0.9330328	0.4268859	0.2890914	0.2774784	0.8036896	0.5593217	0.4322080	0.0000000	0.9234048	0.1615378	0.4606053	0.5653660	0.0385092
0.7746654	0.5219490	0.7066265	0.4402345	0.3157616	0.2924083	0.8897808	0.4480647	0.4864589	0.3191623	0.0000000	0.1386061	0.4263978	0.3879249	0.0573313
0.7728285	0.4966372	0.8147990	0.3446894	0.2752511	0.2948269	0.8015031	0.5129374	0.4803642	0.4524610	0.8993416	0.0006517	0.5020876	0.5757055	0.0498335
0.6690600	0.5180384	0.7607290	0.4416250	0.2719455	0.3746458	0.7648295	0.5145360	0.3469741	0.3976307	0.7723212	0.1634184	0.0000000	0.5096189	0.0358088
0.6457756	0.4482818	0.6683298	0.4237775	0.1750750	0.2438723	0.6198749	0.4547431	0.5191814	0.4197821	0.9947257	0.1699715	0.4711487	0.0000000	0.0499541
0.7545166	0.4410284	0.6787576	0.3578144	0.2206044	0.2796738	0.7378455	0.5572348	0.5176095	0.2816168	0.7577892	0.1637127	0.3169833	0.5906034	0.0000000
