lexA	argW	fis	mtlR	glcC	xylR	marR	hupA	marA	putA	valT	recN	leuT	ksgA	murG
0.7843181	0.5047655	0.8085071	0.1739147	0.2045628	0.1082464	0.7137398	0.5282456	0.5101898	0.5387080	0.7516739	0.2078407	0.3452110	0.6351362	0.0130376
0.7751834	0.4405289	0.6726721	0.4206974	0.1854563	0.1545730	0.7725887	0.5405354	0.8588957	0.7246708	0.7805702	0.1651309	0.4177592	0.5357479	0.0406087
0.6493257	0.4450105	0.7004439	0.3431714	0.3587869	0.2914777	0.8044337	0.4655840	0.3743615	0.3705521	0.9473473	0.1252806	0.4096083	0.4153963	0.0044849
0.8469032	0.5952744	0.7439169	0.4444814	0.2753664	0.1308640	0.7509237	0.4182114	0.2875362	0.2366271	0.7717354	0.1738554	0.5557663	0.3454436	0.0162457
0.6970218	0.3363201	0.6350943	0.3597158	0.3246971	0.1614435	0.8050545	0.4227564	0.5182943	0.3586069	0.6763590	0.1065490	0.4619567	0.4098095	0.0417536
0.6210628	0.3216895	0.6330738	0.5723144	0.2868537	0.4698161	0.7259270	0.3734829	0.4266798	0.4939053	0.7087624	0.1808626	0.4479606	0.2172429	0.0102031
0.2842659	0.5762901	0.7658602	0.4344056	0.2233481	0.2816017	0.7783076	0.4966301	0.5816116	0.4966428	0.8910993	0.4407720	0.5169084	0.4356116	0.1417487
0.9141446	0.6867509	0.7267117	0.3461197	0.1454195	0.2620654	0.7813078	0.7239440	0.5544317	0.4685698	0.7821108	0.2222063	0.4444331	0.5229102	0.0052426
0.4785603	0.6200996	0.7399020	0.4265356	0.2325248	0.2954224	0.6819254	0.5068654	0.5134359	0.5824660	0.8541840	0.3260768	0.4761753	0.5078003	0.0865405
0.7744701	0.4262990	0.6108327	0.3457301	0.2638275	0.3192397	0.7487013	0.3575745	0.5930510	0.5284499	0.8492416	0.2080864	0.4198904	0.4462666	0.0527506
0.9118580	0.4762846	0.6510052	0.3292733	0.2968436	0.2083340	0.7681512	0.3393351	0.1242760	0.0784156	0.7541307	0.1076600	0.5866504	0.5273664	0.0059056
0.8562407	0.4430530	0.7030805	0.3157224	0.1885318	0.1815873	0.8189464	0.5605814	0.5291885	0.5089051	0.7116870	0.1644693	0.3659327	0.3857641	0.0326173
0.7900160	0.6026338	0.7764384	0.2818770	0.1981768	0.1932861	0.7101092	0.5212317	0.6282473	0.5818513	0.7543798	0.1522203	0.4974134	0.5701305	0.0588894
0.7814832	0.3679552	0.8851756	0.3626036	0.2207445	0.2891655	0.7401390	0.4402037	0.6108787	0.6303422	0.8180104	0.1354812	0.4517798	0.4522935	0.0015267
0.7731568	0.1858646	0.4989870	0.5686996	0.3960413	0.5937827	0.7325705	0.3273937	0.2137211	0.2774206	0.6958998	0.2178201	0.3581819	0.0311153	0.0254950
