glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.4330559	0.7993779	0.8531857	0.1439691	0.1136731	0.7776511	0.8798636	0.4218186	0.3219700	0.3311404	0.6163208	0.7740537	0.6871869	0.8393727	0.7656057
0.8677270	0.3498511	0.6980204	0.1701919	0.0754667	0.8011428	0.6503240	0.3619310	0.2960440	0.3422116	0.4439753	0.6923716	0.4738853	0.7129396	0.6994756
0.6900994	0.8410406	0.4026656	0.3821365	0.4365657	0.6407186	0.7488125	0.0677385	0.5777022	0.5687331	0.2739514	0.6546361	0.1387563	0.7432937	0.1484185
0.7613387	0.7286637	0.8318474	0.0598673	0.0669571	1.0000000	0.7677796	0.3909139	0.3892152	0.2376240	0.5735055	0.6985787	0.6204338	0.8036447	0.7361516
0.6379162	0.7728424	0.6821152	0.1137987	0.0456233	0.6105648	0.8209281	0.3472718	0.3280057	0.2762343	0.5163992	0.8880635	0.7405764	0.8453967	0.7678743
0.7836650	0.8907442	0.8183628	0.1089603	0.0622446	0.3124041	0.6796658	0.4827079	0.3352395	0.2874411	0.4609402	0.7152113	0.7333587	0.6909058	0.5743057
0.6379855	0.7708329	0.7014577	0.1171634	0.0800628	0.8726715	0.3406739	0.3970289	0.2685706	0.2917593	0.5972284	0.7946970	0.5974992	0.7122701	0.6910819
0.7190576	0.7250730	0.8045142	0.0941761	0.0836221	0.7618361	0.7738645	0.1836542	0.4068271	0.2672411	0.5488220	0.9001392	0.5943516	0.8833266	0.6255984
0.7064847	0.7670530	0.9731738	0.1214270	0.1089047	0.6111727	0.7093553	0.4575003	0.1126191	0.3510528	0.4483105	0.6774050	0.6984069	0.7860765	0.6530513
0.7443067	0.8551967	0.7637569	0.1012905	0.0844163	0.7049578	0.8534658	0.4639897	0.3562295	0.1080711	0.4381887	0.7255520	0.6820413	0.8076627	0.7769308
0.7299985	0.6828267	0.7474779	0.0713550	0.0882764	0.6172532	0.7561254	0.4560837	0.3388996	0.2743516	0.2705023	0.6723040	0.7018689	0.8346580	0.6755940
0.7123606	0.7434859	0.9251558	0.1391801	0.0920236	0.8154417	0.7227001	0.3600267	0.3213434	0.3393489	0.5614036	0.4373299	0.6116790	0.6977253	0.5839686
0.8262055	0.6955871	0.7693630	0.1043803	0.0544311	0.5984815	0.9510151	0.4909486	0.2068322	0.2381259	0.5028014	0.8355889	0.3776751	0.8459645	0.6631997
0.8432911	0.6783619	0.8386878	0.1502703	0.1015669	0.6714332	0.7636341	0.4217084	0.3101820	0.2761820	0.5037403	0.6356396	0.5566700	0.2900509	0.5681768
0.7251915	0.6680623	0.8084559	0.2326025	0.1172563	0.6906161	0.8307011	0.4049266	0.3494740	0.3653644	0.4115572	0.7755640	0.6075425	0.8483966	0.2866229
