glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.0000000	0.8741618	0.7266816	0.1331805	0.0622686	0.7727168	0.6719829	0.5589587	0.3927592	0.3660971	0.4972387	0.7874574	0.7282672	0.7086725	0.7299136
0.8690528	0.0000000	0.8683611	0.0992435	0.1012515	0.7165820	0.7412043	0.3811807	0.2558019	0.3220942	0.5280214	0.5807540	0.6848825	0.8283514	0.6937024
0.7550799	0.0382689	0.0000000	0.7201103	0.6709547	0.1017873	0.0232357	0.0045994	0.7695006	0.7204047	0.0275594	0.0198327	0.0056171	0.0661620	0.0468705
0.7648173	0.8191903	0.6849002	0.0000000	0.1015566	0.8311744	0.8722504	0.3697868	0.3106249	0.3898087	0.5174007	0.7005340	0.7188159	0.7651544	0.7165380
0.6951438	0.6558932	0.7661014	0.1621252	0.0000000	0.9205327	0.7966369	0.4781470	0.3278108	0.2670171	0.4510362	0.7482251	0.5870694	0.8329039	0.7329933
0.6905865	0.6864322	0.8407956	0.1363403	0.0671137	0.0000000	0.7112563	0.4821472	0.2416665	0.2648266	0.4949982	0.7687288	0.5682784	0.6650183	0.6745230
0.8490123	0.7152246	0.7603063	0.1052815	0.1013700	0.8248357	0.0000000	0.3626144	0.3197686	0.4040597	0.5355435	0.5723065	0.6511546	0.7304108	0.6348781
0.7489378	0.8522185	0.9054069	0.1377434	0.1292068	0.7389717	0.6224149	0.0000000	0.3413295	0.2640940	0.4429249	0.7223770	0.6829725	0.8119333	0.8848490
0.7188358	0.7586796	0.7448634	0.1395407	0.0541778	0.6600597	0.8473571	0.4435378	0.0000000	0.2559263	0.4375167	0.7256741	0.6736955	0.7817714	0.6587851
0.6066842	0.8291164	0.7434824	0.1519673	0.1345979	0.7193943	0.7358595	0.3583414	0.3968370	0.0000000	0.5161754	0.6440829	0.4743608	0.6196011	0.5725378
0.7256222	0.7591793	0.7547536	0.1866420	0.0975031	0.6200620	0.7002245	0.5205871	0.2981977	0.2366950	0.0000000	0.6786495	0.5980057	0.8162735	0.6960101
0.7422993	0.7684171	0.7175785	0.1419112	0.0810513	0.8757499	0.7512365	0.3543722	0.3168615	0.3374306	0.5605451	0.0000000	0.6281279	0.8335263	0.8116132
0.7865341	0.6063663	0.6876799	0.1329227	0.1470970	0.7495862	0.6877139	0.3108403	0.3309331	0.3273950	0.4031849	0.6483540	0.0000000	0.7323320	0.7205747
0.8138979	0.7389125	0.8436991	0.1553570	0.0807017	0.7543114	0.7776371	0.3235477	0.2696395	0.3138620	0.5235162	0.7002784	0.5658092	0.0000000	0.6914318
0.8095777	0.6788461	0.7349870	0.0976327	0.0953667	0.7591089	0.7660176	0.3802974	0.3820469	0.2764940	0.4297523	0.6905750	0.6100496	0.7816185	0.0000000
