glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.7214177	0.6897646	0.7372914	0.1988714	0.1309176	0.6337708	0.7438212	0.3975850	0.3042088	0.2730543	0.4350995	0.7549888	0.5928708	0.8884596	0.7673694
0.7749204	0.7637705	0.8216960	0.0904741	0.0712661	0.7487410	0.6808659	0.6026759	0.1911693	0.2841184	0.4274068	0.5757819	0.7057974	0.6251604	0.7104540
0.7907177	0.7628086	0.8554088	0.1035168	0.0654595	0.6276048	0.7560625	0.3810747	0.3456878	0.2442755	0.4680961	0.7104360	0.4724659	0.8113267	0.5807427
0.8349030	0.8625903	0.5630030	0.1823872	0.2111277	0.6242293	0.8235091	0.1675168	0.6442858	0.4860850	0.3092553	0.6932366	0.2526831	0.6948866	0.4694240
0.7415107	0.8014595	0.8595092	0.1032550	0.1068457	0.5246185	0.7491678	0.4474505	0.1893339	0.3427398	0.5494404	0.7167877	0.6142906	0.7009004	0.6234575
0.8104179	0.7767538	0.8412335	0.0917429	0.0419180	0.6365502	0.8073129	0.3548283	0.1773542	0.3198253	0.3906730	0.6220169	0.6934656	0.8057234	0.6936784
0.8155713	0.7820839	0.5437100	0.2843297	0.1677473	0.7101909	0.7263538	0.2652624	0.4773179	0.4539647	0.6857838	0.6509881	0.3782451	0.7517308	0.4853207
0.6126860	0.7604555	0.7951000	0.1274240	0.1190220	0.7096613	0.7607255	0.3357340	0.3614593	0.1887191	0.5059811	0.8228849	0.6417584	0.7326785	0.6635327
0.8872551	0.7737829	0.8835178	0.0741434	0.0498734	0.7339586	0.6291538	0.5650087	0.1431082	0.1513457	0.5452791	0.8200924	0.6208343	0.8297618	0.7739170
0.6368592	0.7443529	0.7333274	0.0630537	0.1469973	0.5597838	0.7091335	0.4858931	0.3234608	0.1162640	0.5784900	0.6707568	0.7042743	0.7512765	0.6140158
0.8204084	0.7645831	0.6046055	0.1543116	0.0951235	0.4986393	0.8128812	0.4963041	0.2049775	0.3861878	0.6368431	0.7276531	0.5956680	0.8423336	0.7084369
0.4755177	0.7722903	0.7383652	0.0978741	0.1601958	0.7268587	0.7475216	0.3264829	0.3754350	0.3151176	0.7110765	0.6421351	0.6878578	0.6832110	0.6693959
0.5200362	0.7510934	0.6723756	0.1588299	0.1244491	0.7766665	0.7029604	0.4527621	0.1835374	0.2740850	0.4862299	0.8076323	0.5371352	0.6780559	0.6793329
0.6557580	0.7768755	0.7439309	0.0782964	0.0379069	0.6807516	0.7788572	0.3728759	0.1476803	0.3028262	0.4184787	0.7456830	0.6836363	0.6598722	0.7874661
0.7711495	0.7406017	0.7437563	0.0805585	0.0385119	0.5193511	0.7250995	0.4369046	0.2031624	0.2442179	0.6004188	0.8114148	0.6406939	0.7450216	0.6105277
