glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.5125651	1.0668876	1.0552930	0.1715761	0.0764793	0.9218165	1.1006223	0.5948926	0.4143769	0.3916326	0.7953991	0.9309661	0.8286216	1.0820135	0.8975531
1.0181734	0.4762615	0.9591173	0.1952781	0.1406551	0.9070413	0.9661158	0.4827430	0.4278937	0.4473434	0.6194204	0.9911707	0.7481536	0.9738967	0.9015873
0.9458573	1.0088973	0.5270074	0.6076671	0.6136928	0.7544667	0.9228487	0.0977258	0.7366241	0.6547886	0.4416192	0.8500587	0.2051746	0.9934308	0.2413635
1.0395416	0.9103489	1.0689663	0.0963277	0.1151805	1.0490975	1.0551987	0.5889793	0.3877079	0.3540509	0.6534858	0.9367358	0.7955912	1.0139189	0.9473671
0.9023558	1.0523628	1.0011067	0.1861082	0.0523739	0.9010174	0.9872689	0.5123147	0.3633071	0.4469420	0.7221116	1.0187372	0.8224547	1.0421347	0.9676735
0.9895094	1.0847683	1.0747265	0.1506968	0.0938257	0.4851167	1.0038327	0.6472746	0.3901960	0.3853037	0.6338718	0.9594394	0.8647444	1.0382915	0.8911511
0.9741275	1.0163701	0.9527285	0.1654287	0.1099783	0.9782483	0.4575705	0.5799997	0.3538157	0.3836117	0.6672143	0.9786855	0.8187444	0.9117630	0.9837433
0.9841710	1.0466544	1.0787338	0.1629819	0.1168064	0.9678224	1.0261435	0.3043628	0.3701183	0.3687208	0.6536693	1.0275335	0.8756055	0.9694940	0.9405316
0.9903272	0.9968686	1.0376607	0.1811224	0.1278288	0.8724096	0.9682716	0.5994664	0.1787506	0.4066360	0.6242689	0.9353897	0.8273374	0.9958433	0.8873853
0.9704582	1.0414235	0.9899563	0.1496037	0.0981307	0.9504944	1.0163583	0.5686178	0.4495455	0.1921869	0.7392307	0.9869008	0.8573120	0.9753685	0.9350098
0.9925690	1.0136747	0.9886483	0.1507779	0.1118624	0.9402471	0.9839059	0.5386613	0.3731636	0.3707754	0.3251591	0.8676808	0.8414309	0.9856350	0.9539234
1.0191593	1.0192505	1.0703687	0.2210702	0.1188980	0.9808340	0.9334853	0.5116000	0.4709067	0.4271850	0.7362013	0.5523912	0.8309265	1.0055016	0.9511291
1.0557802	1.0485708	1.0914991	0.1419732	0.0796510	0.8752064	1.0004857	0.6345803	0.3672206	0.3577480	0.6790119	1.0686933	0.4548428	0.9947314	0.9194754
1.1080293	1.0044841	1.0399688	0.1933047	0.1093029	0.8787653	0.9835725	0.5138681	0.3729003	0.3300489	0.7101439	0.8990487	0.8136412	0.4666986	0.9186230
0.9854428	0.9940268	0.9828506	0.2099046	0.1501794	0.9331963	1.0297071	0.5158267	0.4431259	0.4288920	0.6564351	1.0655521	0.8508595	0.9968171	0.4395993
