glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.0000000	0.9980582	0.9612161	0.1580520	0.1188761	0.9833557	0.9601901	0.5896843	0.4412505	0.4782837	0.7000306	0.9469914	0.9149454	0.9621901	0.8944645
1.0947923	0.0000000	0.9878711	0.1741841	0.1139637	1.0405596	0.9940063	0.5431313	0.4211241	0.4442103	0.7047948	0.8783757	0.7777406	1.0438962	1.0112516
0.9854877	0.0302214	0.0000000	1.0566616	0.9176640	0.1259380	0.0380551	0.0095159	1.0210214	1.0435290	0.0273144	0.0257086	0.0109885	0.0680231	0.0711389
1.0249215	1.0429016	0.9752409	0.0000000	0.1190687	0.9928843	1.0612525	0.5451586	0.3690194	0.4565925	0.7036186	0.9999842	0.8279254	1.0278353	0.9026078
0.9840236	0.9146726	0.9966936	0.1861473	0.0000000	0.9934837	1.0953210	0.5787256	0.3439096	0.3885834	0.6739336	0.8980694	0.8452626	1.0545875	0.9849750
1.0316843	0.9875887	1.0543667	0.1647106	0.0711911	0.0000000	0.9939886	0.5980652	0.3677697	0.3956543	0.6327113	1.0312598	0.8787068	0.9822565	0.9619494
1.0664341	1.0012491	1.0150870	0.1218733	0.1154750	0.9609547	0.0000000	0.5217795	0.4133305	0.4241313	0.6444913	0.9272974	0.9195818	0.8924439	0.9154556
0.9385557	1.0631277	1.0575972	0.1699907	0.1267254	0.9098920	0.9531874	0.0000000	0.4130529	0.3642215	0.6124585	0.9698690	0.8471252	0.9655474	1.0857556
0.9781493	1.0425799	1.0981673	0.1440208	0.0900559	0.9430542	1.0652449	0.6806929	0.0000000	0.3871678	0.6376019	0.9869565	0.8919126	1.0636623	0.9288443
0.9212738	1.0381810	0.9632555	0.2057480	0.1633435	0.9403442	1.0352111	0.5168857	0.4183024	0.0000000	0.6479433	0.8526038	0.7021739	0.8640610	0.8342485
0.9888991	0.9946250	1.0928227	0.1937034	0.1093051	0.9151942	1.0490496	0.5969004	0.4227125	0.3751789	0.0000000	0.9881683	0.8303203	1.0166551	0.9504357
1.0419675	0.9484758	1.0210996	0.1838100	0.1231725	1.0501897	0.9967150	0.5063579	0.4073723	0.4222189	0.7668784	0.0000000	0.8132995	0.9615201	0.9707509
1.0235487	0.9949771	0.9524079	0.2584067	0.1616495	0.9113216	0.9588739	0.3771126	0.4198801	0.3971324	0.5822826	0.8632938	0.0000000	1.0144684	0.8594335
1.1273067	0.9471490	0.9573460	0.1976196	0.1214597	0.8991193	1.0051887	0.5140777	0.3976571	0.3928392	0.6518157	0.9454685	0.8098592	0.0000000	0.9648116
1.0786601	0.9795641	0.9826673	0.1694975	0.1186932	0.8897538	1.0129021	0.4071074	0.4612679	0.3794729	0.5967884	1.0037915	0.7104432	0.9782177	0.0000000
