glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.9439444	0.9789681	1.0541229	0.2278211	0.1477813	0.8344448	0.9669614	0.5039185	0.2747884	0.3785131	0.6961416	0.9970822	0.7833108	1.0618595	1.0090018
1.0992322	1.0346127	1.0160198	0.1456751	0.1202853	0.9684529	0.9428270	0.8077905	0.2175732	0.3363317	0.6529135	0.9376468	0.9183595	0.9906647	0.8555966
0.9982757	0.9903506	1.1047008	0.1834311	0.1080678	0.9248918	0.9524417	0.5105825	0.4549811	0.3813483	0.6669620	0.9330482	0.8507245	1.0678873	0.8616516
1.0828734	1.0408601	0.6469192	0.2378231	0.3035004	0.7557731	0.9840143	0.1540168	0.7450667	0.6056194	0.5302487	0.8598161	0.3329151	0.8960198	0.5644834
1.0100494	0.9365102	1.0355626	0.1796735	0.1565287	0.7673072	0.9953046	0.5363294	0.2489841	0.4630184	0.6490364	0.8518648	0.7950271	0.8282927	0.8343085
1.0560326	1.0109735	0.9941414	0.1294465	0.0932124	0.9019498	1.0686579	0.4466212	0.2388151	0.3838443	0.5907918	0.9132468	0.8617347	1.0702551	0.9485567
1.0566400	1.0220819	0.7428430	0.3421046	0.2595260	0.9231156	0.9961471	0.3041204	0.5495518	0.4873922	0.7525974	0.9229335	0.5372097	1.0416356	0.6052890
0.8055597	0.9830306	0.9626465	0.2003143	0.1273150	0.9118893	0.9949151	0.4733897	0.4547832	0.3071183	0.7190319	0.9586758	0.8571776	0.9316527	0.9106112
1.0289620	1.0003134	1.0617102	0.0705082	0.0717603	0.9093998	0.9635122	0.6054786	0.1770665	0.2465522	0.6698088	1.0682365	0.9388808	1.0565209	0.9263349
0.9091667	1.0011427	1.0336577	0.0929396	0.1075202	0.8223108	1.0568252	0.6141571	0.4098067	0.2339360	0.6755231	0.9379027	0.9271892	0.8743716	0.8209520
0.9408499	1.0650622	0.8605609	0.1159445	0.1253320	0.7269346	0.9926386	0.5882588	0.2747869	0.3977161	0.8978513	0.9826121	0.7750867	1.0763031	0.8718624
0.7676949	1.0411938	0.8829027	0.1107782	0.1614091	0.9492163	1.0563297	0.4430869	0.4531013	0.3793160	0.9317408	0.9079340	0.7906913	1.0749382	0.8469372
0.6767286	1.0379973	0.9439332	0.1714955	0.0983472	0.8504878	1.0059999	0.5338796	0.2474348	0.3633611	0.7255172	0.8889744	0.7235228	0.9618561	0.8913667
0.8527168	1.0181295	1.0153384	0.1068495	0.0706753	0.8708154	1.0335341	0.5373487	0.2430299	0.3341493	0.7057134	1.0200110	0.9225886	0.8891772	1.0279533
1.0554861	0.9866314	1.0246679	0.0908628	0.0706541	0.7903318	0.9607421	0.5842261	0.3116457	0.3282898	0.8461374	1.0660731	0.9598387	0.9741095	0.8932029
