glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.4670041	0.9707152	1.0770509	0.1604036	0.0810482	0.9539092	1.0847361	0.6256102	0.3292818	0.3392778	0.7682932	0.9747667	0.8243804	0.9969966	0.8409400
0.9981943	0.4908603	0.9445197	0.1743794	0.1391259	0.9513583	0.9921154	0.4271563	0.4425952	0.4566001	0.6724141	0.9671071	0.8378066	0.9958406	0.8776418
0.9876141	1.0854283	0.5277399	0.6197690	0.6352817	0.7033095	0.9280499	0.0892762	0.6587093	0.7277978	0.4722043	0.9511508	0.2250380	0.9563507	0.2204223
1.0238738	0.9797066	1.0549519	0.0727429	0.1163076	0.9364180	1.0752224	0.5655458	0.3944414	0.3606144	0.7017700	0.9243044	0.7914417	0.9770476	0.9418152
1.0111939	0.9992431	0.9892304	0.2166851	0.0310863	0.9229343	1.0647355	0.5412154	0.3546898	0.4088871	0.7457734	1.0111489	0.8256222	0.9148775	1.0231416
0.9213335	0.9716705	1.0844663	0.1448295	0.0987032	0.5165671	1.1400833	0.6007750	0.3298123	0.3835145	0.6524499	0.9593339	0.8236754	0.9666786	0.8962485
1.0570630	1.0249657	1.0365950	0.1622657	0.1121348	0.9654798	0.4572875	0.4937048	0.3877448	0.3428476	0.6489648	0.9473227	0.8766575	0.9112247	0.9792716
0.9620352	1.0359454	1.1651100	0.1604369	0.1287365	0.9564526	1.0089005	0.2890154	0.3821613	0.3703706	0.6306906	0.9644292	0.7010552	0.9768491	0.8902349
0.9200446	0.9654320	1.0736361	0.1998339	0.1238617	0.9822069	1.0637224	0.5830837	0.1902714	0.4722579	0.6356669	0.9224303	0.9012790	1.0014087	1.0156328
0.9915484	0.9908978	1.0098504	0.1454138	0.1115532	0.9750114	1.0529544	0.6430760	0.4177823	0.1962812	0.7693236	0.9794191	0.8405567	1.0364110	1.0447952
0.9707243	1.0777795	1.0166248	0.1576866	0.1171847	0.9371019	1.0617393	0.5061504	0.3677641	0.3687243	0.2951553	0.9111864	0.8442206	0.9780475	0.9296065
1.0239701	1.0787364	1.0140276	0.2199371	0.1352612	0.9041180	0.9163253	0.4265738	0.5206032	0.3783896	0.7128480	0.5505109	0.8570824	0.9221716	0.9237830
1.0201037	1.0548678	1.1532392	0.1672680	0.1181104	0.9543797	0.9289511	0.6071677	0.4592062	0.3563444	0.6956817	1.0837564	0.4651734	1.0786195	0.9289838
0.9701671	1.0181662	0.9619707	0.1991626	0.1206574	0.8939020	0.9682729	0.5917987	0.3525346	0.3362772	0.7542631	0.8942099	0.8460375	0.5316558	0.8939319
0.9692190	0.9835555	0.9568058	0.2127293	0.1565347	0.9307400	1.0162310	0.4813235	0.4665809	0.3489638	0.6245743	1.0509063	0.8682930	0.9619774	0.4333001
