glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.0000000	0.9597790	0.9874986	0.1789327	0.1183745	0.8745222	0.8463785	0.6239167	0.4784303	0.3985253	0.6950302	1.0113899	0.8929766	0.9627950	0.9700037
0.9845743	0.0000000	1.0343891	0.1529633	0.1120635	1.0385372	0.9987484	0.5233084	0.3981676	0.3945088	0.6193245	0.9557546	0.7492610	0.9830377	0.9911121
0.9698737	0.0285540	0.0000000	0.9810962	0.9396516	0.1170722	0.0307979	0.0146380	0.9880839	0.9648207	0.0342391	0.0242241	0.0211692	0.0590423	0.0725688
0.9637128	1.0702450	1.0065385	0.0000000	0.1356294	0.9188960	0.9509634	0.5725725	0.4647162	0.4512295	0.7175074	0.9436062	0.7953259	0.9825406	0.9336761
0.9837390	1.0046883	1.0694902	0.1518099	0.0000000	0.9551216	0.9958438	0.4840883	0.4003924	0.3774258	0.7578308	0.9161678	0.8445037	0.9853268	1.0833761
1.0226232	0.9207238	1.0027980	0.1632579	0.0791234	0.0000000	1.0334110	0.5867904	0.3172582	0.3767547	0.6497340	1.0147259	0.8834503	1.0816298	0.8670687
1.0410893	0.8313697	0.9091013	0.1443193	0.1075273	0.8614741	0.0000000	0.5062216	0.3996194	0.3965815	0.6196264	0.9441413	0.9873583	1.0653005	0.9318870
0.9823544	1.0514811	1.0416953	0.2043080	0.1268969	0.9052275	0.9248891	0.0000000	0.4156026	0.4238754	0.6057997	0.8910729	0.8352732	1.0137583	1.0840048
1.0914063	0.9961211	1.1487518	0.1524271	0.0811579	0.8998326	1.0318053	0.5341726	0.0000000	0.4343136	0.6633990	0.9243888	0.8813068	0.9411860	0.9247291
0.9360898	0.8836921	0.8957805	0.2081848	0.1773122	0.8687409	0.9817527	0.5762270	0.3717814	0.0000000	0.6700371	0.9784259	0.7867928	1.0047269	0.8978296
0.9857700	0.9578884	1.0700145	0.2117961	0.1400426	0.9137259	1.1166510	0.5594598	0.4488689	0.3660996	0.0000000	0.9647634	0.8551060	1.0039845	0.8822858
1.0291376	0.9904668	0.9964638	0.1552300	0.1203741	0.9876703	1.0854629	0.4743696	0.3994365	0.4385297	0.7659093	0.0000000	0.8164045	1.0004753	0.9382148
0.9113283	1.0072088	0.8549308	0.2353276	0.1863284	0.9497509	0.9675310	0.4298451	0.3775565	0.3994269	0.5970781	0.9238675	0.0000000	0.9948922	0.8382505
1.1231057	1.0111428	0.9532955	0.1625775	0.1199862	0.9096684	1.0589351	0.5051864	0.3696310	0.4094371	0.6823876	0.9366907	0.7734667	0.0000000	0.9162067
1.0073316	0.9511006	0.9761737	0.1848262	0.1473588	0.8663573	1.0684571	0.4648214	0.4885651	0.3694638	0.5836361	0.9821081	0.8188836	1.0169344	0.0000000
