glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.9887732	1.0594623	0.9778128	0.1943351	0.1632217	0.7897853	0.9214603	0.5362598	0.2545707	0.4039793	0.7143567	0.9895585	0.7551949	1.0231119	1.0115921
0.9811255	0.9833752	1.0242318	0.1187175	0.1060736	0.9576095	0.9564004	0.8482186	0.2563177	0.3229699	0.6885820	0.9327521	0.9170037	1.1091695	0.9110672
1.0410015	0.9356403	1.0766074	0.1635453	0.1323568	0.8701192	0.9913627	0.5197232	0.4985058	0.3510380	0.7355865	0.9604842	0.8339722	1.0313938	0.8193955
1.0586483	1.0206579	0.6444780	0.2550848	0.3606516	0.6938350	0.9467742	0.1082926	0.7431017	0.5956578	0.5133889	0.9290221	0.2966234	0.8672466	0.5760057
1.0041179	0.9531673	0.9393414	0.2113219	0.1915415	0.7874733	1.0190487	0.5312276	0.2415964	0.4929194	0.6239821	0.8896850	0.7685773	0.9055850	0.8259098
1.1197525	1.0020504	1.0476403	0.1274895	0.1525226	0.8960181	0.9875628	0.4375518	0.2070887	0.4496244	0.5981811	0.8630976	0.8719283	1.0691632	0.9595900
0.9835567	1.0422016	0.6926733	0.3524306	0.2392597	0.8701287	1.0236412	0.2648791	0.5373469	0.4394372	0.7496225	0.8721244	0.5485500	0.8758854	0.5356181
0.8004030	1.0135960	0.9104150	0.1954649	0.0989135	0.8457956	0.9905822	0.4820522	0.4488990	0.3003716	0.6583872	0.9118643	0.9141775	1.0202272	0.8816639
0.9820691	0.9966627	1.0245295	0.0569517	0.0606175	0.9123757	1.0145401	0.6456799	0.1860553	0.2529501	0.7029204	1.0467336	0.8356522	1.1537123	0.9296874
0.9757330	0.9204846	1.0448768	0.0773480	0.0794176	0.8423500	1.0057927	0.5933191	0.4109387	0.2205730	0.7046438	0.9925928	0.8447009	0.9217695	0.7619318
0.9447053	1.0056005	0.9948605	0.1236544	0.1573607	0.7301367	1.0097182	0.5441035	0.2867894	0.3588964	0.8875461	0.9411139	0.7898788	1.1377768	0.8575804
0.7946002	0.9953666	0.9020390	0.1014152	0.1649623	0.9252536	1.0121243	0.5077810	0.3993229	0.3468193	0.9399628	1.0291479	0.8012018	0.9469737	0.8084546
0.7215510	0.9758849	0.9575499	0.1792334	0.1086905	0.9304493	1.0200003	0.4638165	0.2954306	0.3415077	0.7557800	0.8806655	0.7361463	0.8886215	0.8421376
0.9250638	1.1923155	1.0428202	0.1237121	0.1021248	0.7402032	1.1261449	0.4626918	0.2586297	0.3592968	0.6671198	1.0224072	0.9504252	0.9172706	1.0721707
1.0427985	0.9170902	1.0378658	0.0791620	0.1181111	0.8189596	1.0030233	0.5351364	0.3335404	0.3571540	0.7739730	1.0182607	0.9622260	0.9152984	0.9587034
