glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.5000075	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.4989964	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458622	0.9835917	0.9110855
1.0000000	0.9883360	0.5000004	0.6251090	0.5611801	0.7251221	0.9999790	0.0988169	0.7356060	0.6152761	0.4220567	0.8331302	0.2299496	0.9253708	0.2662722
1.0000000	0.9979909	1.0000000	0.0872694	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458622	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.0542278	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458623	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.4620287	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458623	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.5000415	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.2673901	0.4007969	0.3866154	0.6541633	0.9507682	0.8458620	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.2004037	0.3866154	0.6541633	0.9507682	0.8458623	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.1933145	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.3270921	0.9507682	0.8458622	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.4753853	0.8458622	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.4230216	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458622	0.4917979	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458622	0.9835917	0.4555437
