glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.0000001	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.0000000	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.0173320	0.0000003	1.0000000	0.9999993	0.1060411	0.0289426	0.0065353	1.0000000	0.9999996	0.0280515	0.0234680	0.0107706	0.0839731	0.0719227
1.0000000	0.9979909	1.0000000	0.0000014	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.0000018	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.0000000	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.0000008	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.0000007	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.0000001	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.0000002	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.0000001	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.0000000	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.0000018	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.0000000	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.0000000
