glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.9152932	0.9806589	1.0000000	0.1745238	0.1084269	0.8180162	0.9999996	0.5282023	0.2558328	0.3866154	0.6947513	0.9613314	0.8351072	0.9840973	0.9387776
1.0000000	0.9806589	1.0000000	0.1745238	0.1084269	0.9270990	0.9999996	0.7486767	0.2326647	0.3866154	0.6261121	0.9273002	0.8587116	0.9929197	0.8391628
1.0000000	0.9985172	1.0000000	0.1745238	0.1074161	0.9336358	0.9999995	0.5282024	0.4007969	0.3194290	0.7084014	0.9652825	0.8506688	0.9859717	0.8391629
1.0000000	0.9760742	0.6265107	0.2081430	0.2729938	0.8394087	0.9999938	0.1818314	0.6301073	0.5393791	0.5383621	0.8735587	0.4216132	0.8699113	0.6509185
1.0000000	0.9978865	0.9392586	0.1985983	0.1289831	0.8075948	0.9999993	0.5359847	0.2370852	0.4058014	0.6062193	0.9212454	0.8289077	0.8971502	0.8096076
1.0000000	0.9806589	1.0000000	0.1082407	0.1084269	0.9289437	0.9710684	0.5282023	0.2221841	0.3866154	0.6261121	0.9273002	0.8351072	0.9910370	0.9156551
1.0000000	0.9771915	0.6741002	0.3913776	0.3099668	0.8670815	0.9999956	0.2793699	0.5622375	0.5145456	0.6526835	0.9043881	0.4980141	0.9296340	0.5129818
0.8045457	0.9806589	1.0000000	0.1745238	0.1084269	0.9297550	0.9999997	0.5282023	0.4007969	0.2773553	0.6545604	0.9273002	0.8588726	0.9391902	0.8391628
1.0000000	0.9806589	1.0000000	0.0829577	0.0914450	0.9513665	0.9710684	0.5995401	0.2131250	0.2625446	0.6629703	0.9562693	0.8970098	0.9864544	0.9144069
0.9043123	0.9982537	1.0000000	0.1062904	0.0865429	0.8180162	0.9999995	0.5439731	0.4007969	0.2506840	0.6874855	0.9355206	0.8351072	0.8996187	0.8391628
0.9281043	0.9794920	0.8353168	0.1617846	0.1486797	0.7846114	0.9999987	0.4910942	0.2962471	0.4431353	0.8615227	0.9079823	0.7084826	0.9820191	0.7319902
0.7650957	0.9806589	1.0000000	0.1065902	0.1084269	0.9441981	0.9999995	0.5282023	0.4007969	0.3866154	0.8599599	0.9753173	0.8351072	0.9859474	0.9181620
0.6369490	0.9798490	0.8754046	0.2302609	0.1300046	0.8404964	0.9999989	0.4143225	0.2696860	0.4280334	0.7183241	0.9136025	0.7467297	0.8939384	0.7667631
0.9229427	0.9990190	1.0000000	0.0981466	0.0839108	0.8180162	0.9999996	0.5282023	0.2269246	0.3016376	0.7040150	0.9557061	0.8815932	0.9050112	0.9334489
1.0000000	0.9806589	1.0000000	0.0994386	0.1084269	0.8180162	0.9999995	0.5282024	0.2957239	0.3866154	0.7653255	0.9564114	0.8635909	0.9851772	0.9285625
