glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.5001643	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458623	0.9835917	0.9110855
1.0000000	0.4991778	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458619	0.9835917	0.9110855
1.0000000	0.9883364	0.5000009	0.6251048	0.5611617	0.7251357	0.9999790	0.0988185	0.7355950	0.6152639	0.4220599	0.8331324	0.2300165	0.9253726	0.2662778
1.0000000	0.9979909	1.0000000	0.0872800	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458619	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.0542485	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458622	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.4622937	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458622	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.5001632	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458623	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240572	0.9999994	0.2674636	0.4007969	0.3866154	0.6541633	0.9507682	0.8458613	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.2004860	0.3866154	0.6541633	0.9507682	0.8458622	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.1933677	0.6541633	0.9507682	0.8458623	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.3271739	0.9507682	0.8458619	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.4754599	0.8458619	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.4231759	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458619	0.4919582	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458619	0.9835917	0.4555905
