glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.0000041	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.0000039	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.0173334	0.0000007	1.0000000	0.9999982	0.1060446	0.0289588	0.0065353	0.9999996	0.9999961	0.0280518	0.0234682	0.0107788	0.0839735	0.0719227
1.0000000	0.9979909	1.0000000	0.0000035	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458623	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.0000045	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.0000060	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.0000031	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.0000035	0.4007969	0.3866154	0.6541633	0.9507682	0.8458623	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.0000027	0.3866154	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.0000025	0.6541633	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.0000013	0.9507682	0.8458624	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.0000033	0.8458623	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.0000049	0.9835917	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458624	0.0000030	0.9110855
1.0000000	0.9979909	1.0000000	0.1745238	0.1084269	0.9240573	0.9999994	0.5347376	0.4007969	0.3866154	0.6541633	0.9507682	0.8458623	0.9835917	0.0000017
