glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.9154380	0.9806609	1.0000000	0.1745238	0.1084269	0.8180770	0.9999996	0.5282024	0.2558924	0.3866154	0.6947483	0.9613309	0.8351251	0.9840972	0.9387768
1.0000000	0.9806609	1.0000000	0.1745238	0.1084269	0.9270972	0.9999996	0.7486726	0.2327338	0.3866154	0.6261142	0.9273013	0.8586899	0.9929187	0.8391648
1.0000000	0.9985170	1.0000000	0.1745238	0.1074171	0.9336223	0.9999994	0.5282028	0.4007969	0.3195503	0.7083879	0.9652803	0.8506512	0.9859709	0.8391703
1.0000000	0.9760749	0.6265129	0.2081353	0.2729544	0.8394360	0.9999938	0.1818410	0.6300666	0.5393403	0.5383726	0.8735643	0.4218334	0.8699153	0.6509386
1.0000000	0.9978872	0.9392709	0.1985722	0.1289239	0.8076640	0.9999993	0.5360348	0.2370291	0.4057104	0.6062560	0.9212558	0.8291219	0.8971584	0.8096534
1.0000000	0.9806609	1.0000000	0.1082432	0.1084269	0.9289409	0.9710861	0.5282024	0.2222575	0.3866154	0.6261142	0.9273013	0.8351251	0.9910363	0.9156549
1.0000000	0.9771920	0.6741021	0.3913665	0.3099290	0.8671006	0.9999956	0.2793783	0.5622039	0.5145141	0.6526902	0.9043920	0.4981947	0.9296368	0.5130051
0.8048798	0.9806609	1.0000000	0.1745238	0.1084269	0.9297517	0.9999997	0.5282024	0.4007969	0.2774328	0.6545603	0.9273013	0.8588507	0.9391948	0.8391648
1.0000000	0.9806609	1.0000000	0.0829611	0.0914515	0.9513508	0.9710861	0.5995388	0.2132022	0.2626326	0.6629696	0.9562691	0.8969238	0.9864541	0.9144068
0.9044759	0.9982537	1.0000000	0.1062930	0.0865512	0.8180770	0.9999995	0.5439729	0.4007969	0.2507804	0.6874830	0.9355212	0.8351251	0.8996273	0.8391648
0.9281138	0.9794927	0.8353225	0.1617696	0.1486337	0.7846504	0.9999987	0.4911178	0.2961926	0.4430737	0.8615294	0.9079891	0.7087329	0.9820220	0.7320270
0.7654973	0.9806609	1.0000000	0.1065928	0.1084269	0.9441866	0.9999995	0.5282024	0.4007969	0.3866154	0.8599445	0.9753162	0.8351251	0.9859472	0.9181618
0.6369972	0.9798495	0.8754089	0.2302487	0.1299746	0.8405222	0.9999989	0.4143439	0.2696495	0.4279893	0.7183346	0.9136070	0.7468975	0.8939412	0.7667860
0.9230744	0.9990188	1.0000000	0.0981495	0.0839202	0.8180770	0.9999996	0.5282024	0.2269960	0.3016979	0.7040113	0.9557059	0.8815331	0.9050192	0.9334483
1.0000000	0.9806652	1.0000000	0.0994477	0.1084269	0.8181652	0.9999995	0.5282028	0.2958422	0.3866154	0.7652977	0.9564105	0.8635270	0.9851767	0.9285607
