glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.3830597	0.7622603	0.7309441	0.1043548	0.0816602	0.7915271	0.7460479	0.4730495	0.2275436	0.2744239	0.5701154	0.6812095	0.5676415	0.6324616	0.6810998
0.8527812	0.3143139	0.7089748	0.1304601	0.0887018	0.6939142	0.7492811	0.3138026	0.3209406	0.4173356	0.5838342	0.6980192	0.5943163	0.7390919	0.6449062
0.7505021	0.7586681	0.4738919	0.5663122	0.3961248	0.5314744	0.7558794	0.0498895	0.5767793	0.5795387	0.3976539	0.7081583	0.2426819	0.6808565	0.2214961
0.8122028	0.6897366	0.8100710	0.0643238	0.0655115	0.6864918	0.8383017	0.3993602	0.2478992	0.2847707	0.5511934	0.7717839	0.5310657	0.7505422	0.7383328
0.7762783	0.7311003	0.7950646	0.1173755	0.0255730	0.6485824	0.8621576	0.4608794	0.3380486	0.3658270	0.6402210	0.7560495	0.6229170	0.6926212	0.6720445
0.6879535	0.7141128	0.7678138	0.0982893	0.0463505	0.4194644	0.9576711	0.4502746	0.2321858	0.2644259	0.5389411	0.6546031	0.5699610	0.8810809	0.7520541
0.8079438	0.8296886	0.7368375	0.2099079	0.0741988	0.7069258	0.4067673	0.3965959	0.3130543	0.2490832	0.4274527	0.7697223	0.6357283	0.6696226	0.8670680
0.6832730	0.7252854	0.8420944	0.1770424	0.1006327	0.8537621	0.7736314	0.2353198	0.3493392	0.2559858	0.4652300	0.7174689	0.6709943	0.7278771	0.6917126
0.7543465	0.7114485	0.9805188	0.1581341	0.1029863	0.9151077	0.7713813	0.4115038	0.1590090	0.4102402	0.4815047	0.7551264	0.6255156	0.7610650	0.7798380
0.7780340	0.6880861	0.7786630	0.1138743	0.0774878	0.6849035	0.7123136	0.3757399	0.4265929	0.1291974	0.6769731	0.7166446	0.5788212	0.7112176	0.7149843
0.8014394	0.8706196	0.7210937	0.1020892	0.1162914	0.6296059	0.8921389	0.4122583	0.2734588	0.3447783	0.2529369	0.6636388	0.5542178	0.6659610	0.7045821
0.7790247	0.8852048	0.8185207	0.1963828	0.1234673	0.6901365	0.7234388	0.2670727	0.5011808	0.2373680	0.5441185	0.3705015	0.6094932	0.7398742	0.7340586
0.7426691	0.8863831	0.8559922	0.1366179	0.1200372	0.6840082	0.8204312	0.5497228	0.3222831	0.2349305	0.5053132	0.7321735	0.4100741	0.8808170	0.7035283
0.7249251	0.7550602	0.6524947	0.1547744	0.0712079	0.7158317	0.6941946	0.4039613	0.3021512	0.3039051	0.5346753	0.6910803	0.5798995	0.3957277	0.5804631
0.6834350	0.8667680	0.7309025	0.1510006	0.1169681	0.7332426	0.8193780	0.3332610	0.4330271	0.3376045	0.4581838	0.7691102	0.6671851	0.7464349	0.3526176
