glrR	flxA	fis	mtlR	glcC	proL	pdxA	alaX	gltX	cspI	valX	pheV	leuV	tufB	argX
0.0000000	0.6481153	0.8217555	0.1132015	0.0812044	0.6222017	0.6326318	0.5609915	0.3508328	0.2988557	0.4574457	0.8531790	0.7069308	0.6878612	0.8313653
0.7639757	0.0000000	0.7995628	0.0990688	0.0708063	0.7226355	0.6520829	0.4049162	0.2955007	0.2846543	0.3749789	0.6491572	0.5670795	0.7059613	0.7805624
0.8734529	0.0251627	0.0000000	0.7396546	0.6352230	0.0895845	0.0160996	0.0113746	0.6915470	0.7302275	0.0429981	0.0271466	0.0321612	0.0416578	0.0624161
0.7030180	0.9802984	0.7576697	0.0000000	0.0985175	0.7437152	0.7311454	0.4812327	0.2876793	0.3279683	0.5066412	0.7033429	0.5344239	0.8022936	0.6210814
0.7088585	0.7785273	0.7746566	0.0981062	0.0000000	0.7325154	0.8129098	0.3251342	0.2916746	0.3337566	0.5304318	0.6695802	0.5481706	0.7900318	0.7814576
0.7955389	0.6901583	0.7480322	0.1014176	0.1062384	0.0000000	0.8016597	0.4607006	0.1999230	0.2743034	0.4415678	0.8389340	0.6749240	0.7663177	0.6524559
0.7641162	0.5787566	0.6666611	0.1274220	0.1001927	0.6326786	0.0000000	0.3417257	0.3080780	0.3500416	0.4252614	0.7476490	0.8107532	0.8977591	0.6890320
0.7759993	0.8211734	0.7925609	0.1805416	0.1036108	0.7122477	0.7319715	0.0000000	0.3051745	0.2943605	0.3807901	0.7044718	0.6932933	0.7524265	0.8971502
0.8541317	0.7898720	0.9386347	0.0936392	0.0500089	0.6643514	0.7491125	0.4057059	0.0000000	0.3417292	0.5186922	0.7013183	0.6870421	0.8207739	0.7237598
0.7363436	0.6240610	0.7517751	0.1420402	0.1197882	0.5627234	0.8588589	0.4198844	0.2496404	0.0000000	0.4929240	0.6794917	0.5827083	0.7926819	0.6280897
0.7527725	0.7271445	0.7613817	0.1715608	0.1185103	0.6571115	0.7480579	0.3343716	0.3398137	0.3322601	0.0000000	0.7568348	0.6801897	0.7512072	0.7214598
0.9814476	0.7512724	0.6645681	0.1180566	0.0943028	0.8058192	0.8666566	0.3186393	0.2989109	0.3771701	0.4435679	0.0000000	0.6164479	0.7964194	0.6732102
0.7286508	0.7667896	0.6780567	0.2218335	0.1258789	0.6597238	0.7573674	0.3654021	0.3344597	0.2926482	0.4644905	0.6686558	0.0000000	0.6242748	0.6654728
0.8739898	0.7651707	0.6573773	0.1593357	0.0908686	0.8334326	0.8124734	0.3538559	0.2646571	0.3910801	0.4941722	0.6674206	0.5386830	0.0000000	0.7527189
0.7628226	0.6765649	0.7595288	0.1365885	0.1395939	0.6647037	0.8123565	0.3159459	0.3611542	0.3004860	0.4656924	0.7710701	0.6963501	0.8529177	0.0000000
