malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.0571578	0.7529055	0.0610989	0.0189317	0.0225219	0.0000000	0.5977204	0.5559653	0.0000000	0.6123592	0.1172504	0.7164426	0.8747106	0.7306545	0.4057315	0.7098339	0.0573882	0.3632623	0.0353677	0.6384739	0.0357769	0.6890716	0.6578564	0.6063431	0.0370962	0.0984246	0.3706260	0.4641176	0.5553886	0.0360066	0.6541266	0.0142275	0.0137178	0.7381022	0.8197710	0.6520312	0.2064324	0.6678483	0.1183235	0.0578410	0.6519284	0.3397288	0.6994457	0.0471030	0.1162018	0.7745338	0.6785282	0.0145704	0.6161761	0.2576360	0.1205905	0.2241601	0.2509165	0.1590046	0.6447709	0.5610637	0.6963422	0.1349958	0.6139552	0.2334891	0.3632842	0.0195714	0.7627316	0.0764930	0.6616693	0.0585279	0.0035394	0.3622079	0.5918130	0.0359067	0.6854584	0.3488217	0.5930708	0.7054571	0.0010263	0.6616135	0.6614873	0.7366799	0.3821196	0.0721400	0.0845370	0.0365290	0.7369570	0.0230371	0.1644322	0.5735980	0.6418970	0.5839715	0.0799086	0.2474284	0.7306954	0.0569824	0.4734592	0.7437630	0.6992217	0.5561798	0.0129133	0.5989341	0.7468303	0.6280764	0.0518766	0.7637789	0.0039651	0.5900657	0.6407720	0.5318426	0.4175665	0.5183375	0.6159275	0.6511151	0.0180061	0.6679077	0.7331319	0.6753409	0.0498021	0.7512176	0.7343794	0.0836705	0.6322200	0.0518992	0.0843583	0.3980432	0.0854405	0.2313467	0.5929627	0.0623901	0.4508895	0.0471731	0.2249655	0.1170330	0.3453858	0.0406390	0.0137319	0.1936432	0.0025046	0.0197809	0.3690031	0.0895299	0.3119238	0.0290592	0.4767214	0.6190426	0.3515584	0.0970347	0.7360353	0.6591722	0.0423358	0.0081902	0.0604416	0.5465571	0.0346129	0.0000994	0.2724299	0.0315556	0.6181597	0.0302527	0.7321361	0.6688626	0.0178980	0.0215051	0.0155531	0.0053123	0.6607326	0.4900875	0.4656165	0.0953207	0.6764146	0.6645931	0.7417813	0.6541150	0.7915202	0.6820625	0.6763739	0.4789659	0.7236547	0.6606274	0.7021023	0.6741114	0.7426245	0.5341329	0.6574945	0.5366306	0.7893620	0.1566322	0.0394801	0.0148444	0.3205410	0.3025849	0.0128248	0.4172261	0.0310014	0.1073546	0.0261970	0.0460767	0.1829630	0.1302669	0.0433088	0.4036532	0.7943593	0.1378284
0.7132961	0.0000000	0.5730682	0.6711329	0.5452811	0.5579850	0.6165403	0.4923505	0.1599163	0.5799256	0.0970108	0.3700955	0.2784309	0.2959233	0.3986270	0.2155746	0.7265826	0.5115377	0.0705248	0.2665372	0.6635846	0.0486398	0.3017387	0.0724753	0.0586368	0.4004084	0.4343245	0.1034235	0.1850580	0.8449840	0.2547220	0.6879513	0.3083309	0.1528301	0.6647360	0.8033158	0.6425495	0.0828725	0.5121143	0.5426419	0.6387060	0.3057391	0.0488278	0.7124358	0.7264773	0.2500504	0.6335705	0.3280692	0.0388024	0.7160827	0.5901484	0.4730921	0.0274970	0.4043444	0.7184738	0.7467717	0.1791932	0.6239433	0.6670277	0.1765522	0.1345055	0.3673905	0.6548292	0.2947334	0.6188343	0.4784534	0.6008451	0.2904456	0.2627192	0.1542110	0.0290317	0.7044573	0.2530812	0.1148561	0.5159171	0.0260606	0.3386078	0.2134347	0.4598836	0.6607240	0.7001951	0.3601193	0.2908700	0.5726169	0.0216824	0.1456060	0.0073234	0.2046617	0.0639916	0.6154652	0.0597477	0.3569912	0.2109737	0.1845819	0.3878813	0.0104054	0.1773498	0.0404837	0.3032948	0.0588274	0.6395683	0.0193249	0.3700387	0.0796695	0.0273908	0.0768208	0.0625886	0.2830846	0.2685513	0.0627877	0.3179631	0.1898665	0.2280834	0.1294051	0.3470975	0.0773353	0.2792173	0.5864475	0.6498645	0.7257208	0.0787544	0.6403931	0.6709135	0.6549665	0.3140850	0.3544884	0.4663775	0.7671453	0.1560796	0.7026783	0.3836668	0.3856215	0.0121504	0.5816463	0.2530850	0.0390718	0.3239030	0.6762826	0.3681900	0.5384628	0.6049179	0.7891129	0.3301806	0.0623251	0.2622096	0.7924678	0.6382715	0.5460156	0.6337749	0.0964945	0.3824691	0.4879375	0.7092601	0.6213940	0.1540523	0.2146770	0.0548439	0.1886057	0.3747912	0.4075799	0.5517519	0.5015473	0.1012200	0.5499020	0.4542550	0.3930022	0.1826950	0.7157338	0.6797355	0.6986767	0.5696804	0.6100439	0.7382032	0.7226734	0.7398198	0.6613964	0.6811782	0.7587190	0.7529798	0.6244195	0.7488877	0.6300690	0.7280534	0.1132886	0.1067409	0.0056144	0.3066142	0.3646856	0.0087284	0.4360391	0.0178320	0.1541093	0.0434961	0.0548251	0.1641155	0.1072788	0.0303342	0.4936758	0.0000000	0.5808591
0.0393666	0.7259975	0.0000000	0.0006127	0.0311721	0.0000000	0.5943822	0.4081947	0.0001940	0.5861506	0.1187370	0.5871015	0.6422183	0.7157833	0.4544508	0.7363157	0.0628121	0.4091133	0.6065373	0.7011374	0.0210969	0.6438816	0.6285689	0.6578221	0.0413100	0.0726077	0.2454774	0.6156155	0.8073379	0.0214524	0.6981543	0.0075251	0.0164911	0.6313839	0.8807717	0.6522895	0.1987442	0.6790089	0.0287447	0.0218606	0.5764295	0.3009442	0.6727607	0.0641465	0.1694672	0.7838762	0.6075932	0.0239574	0.6568609	0.0089943	0.1345632	0.0602864	0.6762633	0.3422407	0.0199983	0.7409628	0.6889318	0.2626395	0.5616631	0.2903413	0.4569966	0.0084686	0.7421835	0.0740997	0.7758030	0.0607605	0.0053896	0.4223831	0.6240856	0.0330822	0.7873249	0.0024136	0.6379267	0.6551707	0.0073300	0.6401745	0.6793475	0.6077659	0.3637577	0.0442995	0.0555427	0.0448732	0.8080352	0.0382037	0.7786270	0.6799218	0.6305907	0.6187677	0.6763822	0.1979829	0.8114289	0.0753132	0.6347728	0.7091880	0.6102625	0.7014545	0.0205333	0.6429089	0.7069372	0.7755809	0.0478118	0.7491881	0.0115356	0.6433394	0.5228012	0.7397507	0.6497673	0.6254587	0.7087695	0.6879686	0.0395702	0.7267313	0.6031718	0.5336750	0.0760444	0.7027058	0.8026083	0.0304104	0.5946779	0.0522407	0.6849577	0.0229200	0.0131855	0.0258871	0.7019041	0.0211745	0.3930211	0.0171802	0.2512082	0.0167712	0.3804626	0.0623577	0.0222982	0.0799141	0.0018583	0.0270950	0.3603218	0.0426055	0.3718630	0.0270003	0.0550033	0.5311651	0.3843577	0.0897453	0.7571061	0.7560451	0.0067373	0.0267484	0.0500340	0.5306212	0.0181634	0.0002167	0.0205136	0.1095671	0.7533130	0.0167704	0.7441636	0.6188958	0.0472942	0.0281418	0.0101655	0.0050257	0.6018909	0.4034680	0.4285675	0.0122319	0.7207319	0.7638471	0.5713111	0.6820776	0.6433290	0.7126367	0.6222389	0.5407719	0.7300329	0.6952481	0.6829338	0.7406665	0.7724502	0.7484181	0.6893972	0.5949345	0.6288802	0.1054423	0.0749652	0.0052930	0.3887306	0.2863360	0.0101977	0.4103513	0.0182393	0.1150464	0.0191152	0.1155696	0.2046639	0.1379387	0.0549318	0.4170330	0.7269563	0.1659462
0.7001288	0.0000000	0.5997622	0.6153760	0.6209842	0.5539168	0.6466067	0.4543808	0.2174353	0.6070700	0.0584954	0.3649258	0.4110490	0.3196831	0.3930407	0.2127680	0.7108211	0.3172973	0.0589925	0.1757052	0.5977984	0.0405058	0.3544120	0.0431439	0.0948974	0.4508908	0.5764104	0.0603141	0.1255266	0.5308257	0.2312067	0.5060978	0.3379705	0.1610485	0.7372327	0.7597887	0.6117305	0.1204686	0.5871101	0.6289289	0.6786659	0.2658506	0.0636972	0.6719601	0.7261969	0.2340326	0.5530911	0.3444276	0.0684556	0.6032995	0.5301375	0.6140832	0.0399838	0.3827267	0.5355832	0.7642346	0.2132205	0.4173686	0.6014298	0.1892356	0.1910547	0.3405723	0.6894245	0.4501174	0.5969489	0.6450557	0.5355912	0.3786670	0.3243813	0.1478689	0.0515229	0.6143562	0.3258125	0.1262506	0.6527988	0.0127329	0.2979805	0.3432131	0.3418136	0.6784367	0.7130872	0.4060788	0.2833555	0.5571733	0.0436203	0.1654236	0.0546743	0.2320453	0.0630175	0.6542571	0.1156003	0.3418331	0.1725044	0.2612338	0.3665168	0.0367717	0.1903397	0.0183843	0.3911520	0.0553404	0.5996521	0.0295531	0.4638255	0.0760625	0.0558761	0.0674847	0.0516847	0.2968594	0.3233925	0.0650891	0.3282924	0.2007160	0.2930525	0.1220408	0.3545510	0.1237581	0.2178273	0.6216191	0.6584626	0.6265547	0.0429506	0.6158880	0.6412232	0.7470836	0.3743555	0.3859294	0.3893209	0.5925870	0.2227189	0.7613759	0.6300096	0.4811685	0.0133761	0.2056799	0.7070466	0.0210274	0.2949344	0.6527580	0.5335773	0.4774486	0.7523517	0.7407447	0.3775817	0.1094275	0.2613223	0.1636504	0.5768169	0.5461916	0.7116390	0.1540262	0.4164796	0.4193182	0.6082014	0.7720719	0.1920677	0.3204614	0.0365809	0.1818592	0.3710654	0.5098724	0.5472993	0.5380905	0.1281973	0.5418973	0.5268175	0.3847161	0.3326849	0.7363242	0.7357401	0.7349223	0.6759833	0.7484026	0.6663346	0.7433716	0.6359340	0.6662330	0.7243280	0.5779167	0.7100997	0.6539399	0.6669861	0.6597559	0.0000000	0.7099765	0.7275900	0.5597998	0.0406818	0.7892962	0.6779083	0.6930387	0.5848736	0.6971463	0.6435142	0.6850713	0.7095711	0.7143367	0.7142927	0.0201259	0.6787081	0.1859433
0.0746256	0.5987606	0.0000000	0.0002921	0.0236492	0.4867394	0.7287297	0.5356758	0.0000000	0.7307597	0.0904058	0.5271452	0.7024411	0.6479224	0.6131473	0.6667231	0.0426181	0.3930556	0.7369878	0.6387242	0.0258687	0.6151049	0.7738834	0.7506962	0.0413960	0.0974422	0.5500911	0.6751166	0.6264794	0.0206478	0.7478839	0.0171200	0.0136379	0.6497851	0.7613717	0.6724038	0.1939797	0.6191991	0.0600529	0.5397182	0.6965877	0.5421735	0.7515954	0.0658004	0.1005086	0.7461083	0.6634132	0.0212370	0.6633187	0.0131192	0.1186932	0.1007017	0.6345333	0.6115999	0.0023479	0.8372362	0.6500292	0.2354213	0.6410009	0.1066109	0.5491774	0.0032881	0.7086259	0.3524109	0.6270978	0.6588000	0.6318545	0.2830266	0.6872639	0.0279363	0.7843074	0.0004134	0.8291991	0.6457628	0.6911785	0.6555994	0.5916353	0.7600672	0.4970848	0.0867916	0.0460359	0.2862396	0.7999005	0.0502492	0.6904203	0.6534008	0.6731512	0.6543008	0.7451435	0.2882120	0.7775352	0.3392217	0.6456183	0.7421278	0.7060218	0.6057241	0.0113181	0.6459015	0.6611679	0.7238198	0.0570748	0.6141473	0.0105463	0.6535298	0.6467233	0.6825543	0.7268638	0.8465047	0.7208283	0.6929064	0.0414386	0.6856645	0.6363402	0.7120855	0.3390623	0.8740985	0.7535384	0.0220691	0.5436801	0.0667834	0.7007764	0.0373458	0.0164423	0.0226887	0.6423833	0.0213035	0.3102160	0.0298643	0.1329941	0.0159374	0.3687724	0.0709563	0.0468863	0.0955490	0.0202531	0.0143576	0.3197750	0.0955807	0.3259459	0.0193256	0.0279220	0.5201763	0.3113768	0.0372680	0.7795844	0.6405878	0.0095155	0.6359990	0.0610450	0.7252804	0.0240847	0.4998071	0.0350355	0.0657606	0.7879976	0.2896806	0.6097825	0.6272214	0.2863625	0.4640787	0.6330571	0.5411325	0.6863307	0.4641223	0.5794124	0.0100404	0.5163448	0.7323100	0.7503627	0.6194887	0.7009183	0.6290387	0.6223812	0.6435673	0.7531741	0.7469718	0.6356343	0.7327279	0.7096135	0.6398119	0.6913977	0.6840926	0.7062437	0.1383792	0.0843597	0.0057907	0.3650966	0.4021156	0.0083560	0.3928069	0.0154564	0.0891607	0.0243573	0.0584851	0.1584748	0.1164993	0.0314614	0.4456658	0.5862161	0.1720322
0.0515168	0.6732766	0.1434989	0.1108636	0.1227686	0.0188454	0.0000000	0.0000000	0.0069282	0.8230416	0.1093509	0.6094400	0.6894834	0.7129550	0.3850408	0.5889332	0.3720592	0.0192377	0.0392931	0.6019025	0.0659909	0.6734353	0.7015499	0.5924856	0.0656798	0.1372876	0.2327178	0.2691352	0.5155138	0.1383838	0.7862996	0.0145551	0.0018820	0.6511798	0.6124127	0.0267148	0.2586329	0.4729742	0.2771059	0.0251931	0.0362056	0.2865159	0.6416142	0.0706432	0.2357357	0.6787937	0.0464952	0.0261267	0.6303724	0.4157491	0.1946300	0.3777086	0.1569028	0.0019647	0.6789552	0.0247940	0.7137182	0.2139963	0.0183307	0.2404167	0.3034232	0.0116199	0.0371529	0.0687300	0.0728554	0.0316836	0.0105672	0.3265025	0.5707637	0.0305317	0.3504885	0.5590598	0.7229326	0.2509426	0.0343853	0.5204713	0.6502786	0.7523394	0.0523790	0.0814392	0.0580975	0.0505011	0.7077972	0.0584385	0.0790377	0.2377503	0.6101983	0.6677272	0.0766997	0.2379979	0.7126731	0.0418324	0.3738475	0.6401992	0.5533133	0.6610020	0.0075977	0.4190544	0.7041020	0.6752900	0.0676517	0.3350232	0.0117785	0.5622588	0.7647922	0.2759250	0.2068628	0.6219234	0.6967503	0.6631240	0.0436147	0.7900833	0.5847480	0.5219964	0.0321296	0.6265915	0.5731247	0.0324008	0.0149715	0.0804539	0.0369625	0.6583697	0.1262633	0.4577569	0.6724085	0.0191126	0.3917504	0.1310349	0.2346703	0.3333522	0.3205856	0.0581864	0.0033329	0.0952917	0.0029155	0.0161268	0.3086210	0.2865286	0.2466759	0.0223232	0.5621701	0.6015668	0.3246315	0.1640330	0.8264010	0.3333730	0.2692787	0.0079778	0.1553676	0.4387607	0.0550001	0.0578523	0.6487380	0.0811025	0.6809688	0.0330263	0.6411524	0.6342018	0.0355505	0.0273372	0.0505085	0.0060570	0.6122432	0.4085280	0.4436280	0.1236285	0.6093547	0.6089172	0.7615505	0.7572311	0.7614729	0.5903343	0.6910510	0.8718048	0.7365645	0.6584352	0.5627564	0.6688830	0.6658457	0.5880848	0.6982769	0.6955131	0.6944855	0.1686474	0.0724649	0.0065913	0.4243662	0.3867901	0.0093181	0.3278576	0.0406610	0.1719444	0.0346031	0.0768942	0.1927213	0.1869939	0.0838743	0.4943049	0.7277352	0.1902947
0.0863869	0.6319124	0.1063417	0.1593673	0.1701002	0.0506496	0.0000000	0.0223197	0.0000000	0.6664119	0.1510856	0.6264149	0.7871295	0.6324370	0.3768951	0.6290771	0.3167266	0.0441264	0.0474272	0.6855573	0.0660331	0.6684448	0.6400028	0.4732261	0.0477734	0.0999666	0.2395087	0.2897060	0.4677273	0.1224001	0.7541319	0.0365352	0.0070551	0.7262130	0.7008092	0.0139920	0.3319209	0.4353632	0.2575997	0.0600414	0.0253065	0.3262585	0.7189816	0.1035096	0.1819153	0.5975593	0.0430006	0.0293982	0.6270174	0.5882813	0.2016416	0.4198315	0.1023036	0.0050690	0.6813363	0.0183559	0.7739018	0.1714011	0.0140439	0.1894312	0.3469819	0.0163099	0.0204593	0.0883340	0.0608468	0.0305501	0.0154168	0.3384541	0.5458358	0.0316545	0.3173171	0.4831122	0.6110248	0.2877363	0.0290229	0.5302130	0.5888716	0.7091950	0.0600764	0.1649554	0.0994219	0.0254907	0.7342739	0.0598000	0.0568008	0.2399028	0.6580037	0.5225307	0.0922276	0.3225674	0.4809928	0.0483639	0.3958084	0.7036236	0.5721060	0.6116801	0.0126101	0.5246315	0.6367507	0.4730893	0.0724768	0.3680245	0.0084381	0.5548722	0.6292879	0.2590010	0.1843962	0.5214645	0.6277233	0.5589405	0.0227267	0.7260324	0.5762337	0.6983622	0.0433480	0.6481497	0.5656448	0.0412164	0.0201235	0.0346143	0.0747776	0.6919016	0.1618432	0.4880568	0.8752652	0.0116783	0.2911663	0.1725498	0.1623772	0.3607491	0.3749322	0.0979580	0.0145540	0.0689876	0.0057891	0.0232459	0.2729997	0.3609990	0.4070244	0.0428094	0.5821044	0.5652089	0.2775843	0.0813838	0.7257672	0.2838841	0.2072735	0.0135577	0.1391357	0.4157566	0.0972268	0.0511814	0.7957781	0.0417102	0.6672733	0.0494130	0.6656384	0.8862105	0.0194077	0.0245306	0.0243999	0.0142433	0.6865409	0.5536953	0.4600796	0.0752259	0.6479590	0.7089310	0.7648184	0.7046570	0.6532894	0.6788744	0.6328660	0.6792533	0.7239277	0.6151076	0.6116878	0.6533276	0.6339114	0.7136781	0.7309645	0.7147665	0.6526051	0.1294707	0.1308901	0.0171672	0.3347063	0.3464734	0.0008982	0.3999680	0.0263961	0.0728190	0.0346939	0.0549807	0.1574534	0.0875619	0.0415619	0.4387473	0.7162503	0.1489799
0.0760370	0.6514388	0.0968358	0.0956883	0.0391264	0.0458134	0.6762339	0.0000000	0.0000000	0.6355896	0.1598348	0.6278737	0.7014495	0.7428156	0.3855312	0.5036218	0.1626945	0.0470482	0.0523851	0.7900509	0.0297746	0.6579820	0.6112682	0.6176856	0.0685661	0.0622938	0.3590982	0.2882549	0.5204022	0.0756094	0.6834910	0.0168975	0.0288308	0.6717043	0.7795625	0.7430996	0.1901072	0.5157611	0.2129344	0.0499823	0.6997640	0.2984446	0.5846890	0.0854188	0.1823775	0.6933984	0.5501752	0.0289071	0.6161281	0.5491380	0.2251034	0.3550333	0.0760932	0.0142076	0.6824093	0.6051384	0.6811180	0.1527241	0.6051319	0.2559331	0.2915117	0.0045976	0.6001441	0.0917614	0.5679366	0.0332425	0.0057266	0.4174071	0.5137485	0.0300022	0.4341103	0.5927460	0.6720413	0.2683413	0.0161406	0.5387747	0.6545776	0.6818860	0.2749818	0.0725782	0.0334166	0.0135774	0.5467392	0.0169340	0.1095608	0.3912143	0.6037785	0.5405508	0.0726452	0.3012133	0.6485026	0.0625196	0.4940818	0.6029516	0.6126167	0.6421421	0.0343807	0.6496458	0.7923201	0.5508065	0.0326151	0.4477629	0.0044462	0.5296428	0.7098634	0.3470700	0.3718636	0.5130911	0.6999839	0.7787219	0.0541840	0.6166510	0.5547060	0.6753288	0.0230385	0.7142853	0.5225080	0.0582078	0.7107029	0.0555602	0.0771684	0.7236902	0.0801045	0.3690149	0.6316778	0.0338194	0.4400631	0.1081519	0.2848287	0.2586437	0.3241164	0.0587021	0.0203458	0.1292322	0.0049906	0.0431659	0.4427019	0.1891685	0.2404257	0.0172961	0.6150843	0.4584460	0.3031095	0.1342283	0.6425656	0.4244909	0.1159910	0.0099368	0.1613625	0.7072680	0.0590778	0.0123612	0.6868490	0.0345817	0.7377335	0.0246459	0.7174622	0.6642081	0.0267579	0.0147294	0.0285154	0.0090134	0.7619969	0.4655047	0.3898114	0.0886072	0.6084039	0.5874171	0.6314788	0.6083196	0.6108461	0.7052722	0.6969918	0.7130142	0.7120802	0.7909118	0.6683007	0.6818164	0.5511632	0.6605820	0.7635129	0.7393416	0.6339416	0.1236817	0.1121254	0.0094963	0.2929555	0.4428014	0.0048876	0.3707327	0.0334094	0.1635018	0.0297203	0.1146791	0.1848428	0.1473578	0.0565814	0.3905879	0.7746200	0.1429092
0.5525015	0.5776571	0.6825463	0.7422530	0.7833671	0.5140410	0.8560733	0.5035793	0.1854632	0.6031380	0.1246705	0.2927773	0.3526375	0.4355178	0.4112932	0.1804412	0.7680156	0.3015659	0.0524379	0.2229516	0.6162802	0.0350871	0.3359523	0.0452355	0.0659557	0.4470802	0.5553671	0.0781101	0.1997140	0.5926633	0.2097795	0.5725701	0.3378665	0.1813130	0.6981574	0.8198523	0.5928823	0.1585662	0.6049499	0.6345661	0.6754701	0.3239816	0.0943202	0.0802173	0.6143444	0.2484400	0.6286306	0.3749480	0.0609483	0.5551361	0.6393821	0.4929690	0.0192319	0.3344860	0.7072417	0.6089748	0.1835302	0.3909191	0.6188191	0.1676999	0.1590985	0.2869156	0.7107603	0.3803532	0.7501867	0.6764699	0.6009231	0.3282108	0.2316288	0.2059752	0.0349535	0.5874424	0.4126530	0.1356617	0.7150083	0.0344941	0.2906515	0.2947395	0.4093849	0.6402203	0.6573993	0.3453228	0.5100065	0.6564222	0.0473200	0.2208340	0.0328775	0.1598727	0.0710902	0.7046054	0.0801532	0.2952182	0.2165998	0.1619674	0.5061025	0.0502725	0.2591143	0.0476956	0.3446643	0.0992387	0.5816839	0.0174084	0.1737863	0.0774823	0.0626893	0.0596657	0.0768294	0.2390131	0.4072284	0.0892841	0.3574318	0.2244246	0.4238518	0.2453875	0.3643910	0.0753135	0.3794952	0.7231481	0.5767152	0.4940003	0.0530305	0.6722816	0.6187945	0.7595552	0.4343249	0.3113610	0.3728238	0.5761608	0.2140483	0.5574893	0.1123989	0.3795892	0.0095414	0.4572561	0.6458257	0.0105763	0.3112565	0.6494758	0.0037878	0.5113494	0.7040717	0.6715487	0.3498426	0.0970025	0.4624051	0.6721375	0.6343319	0.5201932	0.4564407	0.0733064	0.3424007	0.4760310	0.5971751	0.0785302	0.1738997	0.3122398	0.0591945	0.2154179	0.3618987	0.5839638	0.7040742	0.4729358	0.0554919	0.5635428	0.5409729	0.3535292	0.3454062	0.7235353	0.6736716	0.7836294	0.6582895	0.6995238	0.6516257	0.6564672	0.6873856	0.6828339	0.7285925	0.5601120	0.6511410	0.6617021	0.6360357	0.6758384	0.0000000	0.6131971	0.7309293	0.6518139	0.0454292	0.7515934	0.5703162	0.7169314	0.6940107	0.6989926	0.7605041	0.6337154	0.6186537	0.6418093	0.5652812	0.0152742	0.0000000	0.8584464
0.0427840	0.6826058	0.0543079	0.0296477	0.0306218	0.0000000	0.0000000	0.0151153	0.0019049	0.6301138	0.1350189	0.7816706	0.6966360	0.7190403	0.3616685	0.6153096	0.0581069	0.0169960	0.0267637	0.5817370	0.0169568	0.6575455	0.6429908	0.5786900	0.0515007	0.0514906	0.2358326	0.3710610	0.6318099	0.0447651	0.6174885	0.0050363	0.0130399	0.5487339	0.6565703	0.0362899	0.1699738	0.5911130	0.1780259	0.0488343	0.0410907	0.3355774	0.7811359	0.0621890	0.1283209	0.7494634	0.0459204	0.0189880	0.6085942	0.3278218	0.1321489	0.2176947	0.1881514	0.1356578	0.6649900	0.0342038	0.6092251	0.2030397	0.0056698	0.2097363	0.4176732	0.0070518	0.0302657	0.0637938	0.0401580	0.0475321	0.0066929	0.3581530	0.6092414	0.0387974	0.5570320	0.5489147	0.6593029	0.5817212	0.0146727	0.6920624	0.6536929	0.7262329	0.0543232	0.0565249	0.0650249	0.0308489	0.7308351	0.0153305	0.2255973	0.5282847	0.7515962	0.6910351	0.0842644	0.2011474	0.6065096	0.0387460	0.5529186	0.7226297	0.7194184	0.7275319	0.0051284	0.6269487	0.6136082	0.5572401	0.0797770	0.6683199	0.0162175	0.5038503	0.5654754	0.4880442	0.3729257	0.6379484	0.6575167	0.6086952	0.0498889	0.6965605	0.7163460	0.7060312	0.0591858	0.7525417	0.6517691	0.0188613	0.0134957	0.0488335	0.0478862	0.5987629	0.0639146	0.2235202	0.6449237	0.0157095	0.3859463	0.0324609	0.2227532	0.0992752	0.3510662	0.1327067	0.0322076	0.0473866	0.0135108	0.0129163	0.3128722	0.1347991	0.3020294	0.0128177	0.4498975	0.5843141	0.2918783	0.0655068	0.6387387	0.6773785	0.0290164	0.0491844	0.0814582	0.6221443	0.0278381	0.0014181	0.3726636	0.0645378	0.6103076	0.0281205	0.6937460	0.6066237	0.0684029	0.0241628	0.0201126	0.0047865	0.6783147	0.4246311	0.5342409	0.0450400	0.8140863	0.8155247	0.6001016	0.6920314	0.6075220	0.6630344	0.8142428	0.6016305	0.7997929	0.6395043	0.7005439	0.8080208	0.6682087	0.6821508	0.7457129	0.6944416	0.6395820	0.1062281	0.0616869	0.0162693	0.4764898	0.2700103	0.0094513	0.3752358	0.0339436	0.0614049	0.0327553	0.0802463	0.1911643	0.1556481	0.0985480	0.5413112	0.6799148	0.1821683
