malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.2746573	0.6690032	0.6225135	0.5594523	0.7172136	0.5069310	0.6644325	0.3934972	0.2044020	0.7493150	0.1034633	0.4404728	0.4683303	0.3667629	0.5333292	0.1807765	0.6016971	0.4182957	0.0483602	0.3641624	0.5989322	0.0617123	0.3719994	0.0821089	0.0549233	0.2319899	0.3605027	0.0677522	0.1989091	0.6294267	0.2676666	0.5724745	0.3743401	0.1539779	0.6583629	0.6412642	0.7495908	0.1351062	0.5236043	0.5409425	0.6328284	0.2733406	0.0913343	0.0519755	0.7261544	0.2964888	0.6653272	0.2840294	0.0560714	0.6075370	0.6753138	0.6618792	0.0450712	0.2839675	0.7042158	0.6368485	0.2712964	0.1592357	0.5907417	0.2428639	0.1048315	0.1258915	0.6469485	0.3803240	0.6283715	0.6599883	0.7332835	0.2936596	0.5195693	0.1724833	0.0253249	0.5925552	0.3268810	0.2005527	0.5531333	0.0337800	0.3493067	0.2963969	0.4340734	0.7766953	0.7158790	0.4238842	0.4836265	0.6397454	0.0255820	0.1695594	0.0242830	0.1599033	0.0539315	0.6706393	0.1143432	0.3235830	0.2382782	0.1884139	0.3576515	0.0759148	0.2957703	0.0437209	0.3883592	0.1006074	0.2373102	0.0227448	0.0557883	0.0545511	0.0597623	0.0561611	0.0474208	0.3049433	0.2703282	0.1301370	0.2926149	0.1649719	0.2311775	0.1637041	0.3104970	0.1206320	0.2494603	0.6269449	0.5802879	0.5401375	0.0850637	0.6970233	0.6940427	0.6665837	0.3989896	0.3458068	0.3855430	0.6190074	0.2618064	0.6503896	0.3879438	0.3617598	0.0185011	0.0937589	0.0013739	0.0214247	0.3587600	0.5882747	0.2868377	0.4766607	0.6149352	0.5175827	0.3337463	0.0741981	0.3616890	0.1798663	0.5691253	0.4766965	0.5981263	0.1754444	0.3217182	0.5156835	0.6054469	0.0812043	0.1634234	0.3300825	0.0356338	0.1550375	0.4456290	0.5359097	0.6866794	0.5100610	0.1039094	0.5440115	0.4849861	0.3905584	0.3160588	0.6216010	0.6473449	0.7407123	0.6400870	0.7121988	0.5632944	0.6373920	0.5971007	0.7241713	0.7379070	0.6162928	0.6338477	0.8477458	0.7174065	0.5778950	0.6730398	0.1207032	0.1098739	0.0023513	0.3883416	0.3553982	0.0023890	0.4174695	0.0312622	0.1314034	0.0241530	0.0965717	0.1251757	0.1946404	0.0559871	0.3868605	0.6827847	0.1681145
0.5838671	0.3265452	0.8834651	0.5461950	0.6605211	0.5481864	0.6106943	0.4328938	0.2390424	0.7055501	0.1074396	0.3359766	0.3798050	0.2845087	0.4589612	0.1451365	0.6523602	0.3881045	0.0149105	0.2669214	0.5676238	0.0075529	0.2736683	0.0406741	0.0608021	0.4395791	0.5940959	0.0752438	0.2040113	0.6837068	0.2388021	0.6116025	0.4423005	0.1450251	0.6392336	0.5819207	0.5848050	0.0886845	0.5235523	0.5779506	0.6406252	0.3666444	0.0566514	0.1257166	0.5951323	0.2634483	0.5710637	0.4526111	0.0307154	0.6085646	0.7257369	0.6292400	0.0271580	0.3159478	0.6530150	0.6436909	0.2436439	0.2181348	0.6008509	0.2290278	0.1740484	0.2290866	0.5985754	0.3467950	0.7883003	0.5685827	0.7125280	0.3628355	0.2666370	0.1449565	0.0559028	0.6174286	0.2582856	0.1132048	0.6767853	0.0520399	0.2148601	0.2777634	0.4100447	0.6861231	0.6756170	0.3657518	0.4058947	0.6681403	0.0386272	0.1174682	0.0186374	0.1557950	0.0841790	0.5288450	0.1580281	0.4570251	0.1873866	0.1902899	0.2853521	0.0403972	0.2940293	0.0115875	0.2962250	0.0897548	0.6613859	0.0351718	0.2279263	0.1239778	0.0443016	0.0876164	0.1013561	0.2796416	0.2467475	0.0696425	0.3528806	0.1785561	0.2310888	0.1916253	0.3397035	0.0649648	0.1905171	0.7395581	0.6629939	0.5719055	0.0647212	0.6619625	0.6364065	0.7180710	0.4694188	0.3998656	0.3603913	0.5858999	0.2892186	0.6482765	0.3925330	0.4536028	0.0070074	0.1482053	0.0184960	0.0163208	0.3134423	0.5934523	0.4369951	0.3443056	0.6396129	0.5284115	0.3668704	0.1027685	0.2508093	0.1864270	0.7285457	0.5853171	0.6368339	0.1497000	0.5229512	0.4670291	0.6519051	0.2527344	0.2200557	0.3534803	0.0500612	0.1777376	0.5766543	0.5216552	0.5835115	0.6281343	0.1546237	0.5139556	0.5418097	0.4100196	0.2633290	0.6901412	0.7843622	0.7324435	0.7179408	0.6311243	0.6284101	0.7312192	0.6215833	0.6187703	0.7742564	0.5952796	0.6664482	0.6182138	0.6271474	0.8213727	0.7824843	0.2084519	0.0976163	0.0106495	0.4043642	0.4068214	0.0283473	0.4057722	0.0141363	0.1925832	0.0172872	0.1242885	0.2298634	0.1283212	0.0421587	0.4360453	0.7759940	0.1953731
0.2983477	0.8025084	0.3520802	0.4580289	0.5502282	0.4193685	0.6702834	0.3956795	0.2616648	0.6164310	0.1419123	0.5375732	0.7031754	0.4745617	0.4804417	0.3619988	0.6017739	0.4085785	0.0644443	0.5289965	0.2839409	0.2407247	0.4177981	0.0835418	0.0677514	0.1945068	0.4866493	0.1046785	0.3118349	0.4202627	0.6145104	0.1877133	0.2326400	0.4868570	0.6163369	0.6258799	0.5538619	0.1657230	0.4071566	0.6695515	0.5872792	0.3206378	0.1694908	0.0539004	0.5321429	0.4662203	0.6023137	0.1038825	0.2738067	0.6071376	0.5317260	0.5028804	0.0414131	0.2459035	0.7246748	0.5515440	0.4745967	0.2405514	0.5680287	0.2804876	0.1455820	0.0926124	0.5166725	0.4464424	0.6877228	0.4961500	0.6509851	0.3225248	0.4487562	0.1522416	0.1016165	0.6895533	0.5516305	0.1604932	0.5846769	0.1284169	0.5677717	0.3586924	0.3298287	0.7074807	0.6042518	0.3733853	0.5301483	0.6532193	0.0409877	0.1559440	0.0838147	0.3274127	0.0972516	0.6702898	0.1824389	0.3778192	0.2649806	0.4113022	0.5652306	0.5315278	0.2760818	0.0445611	0.4542037	0.1816593	0.1992720	0.0578917	0.0231407	0.2093568	0.3744590	0.0926132	0.0930217	0.3590223	0.5009597	0.2462560	0.3183351	0.4692458	0.6181279	0.3897703	0.2816506	0.2251049	0.3533226	0.6486913	0.6061730	0.3637201	0.0501353	0.7960945	0.5513029	0.6035451	0.5478461	0.1124118	0.3715588	0.3468783	0.2387349	0.7618948	0.4002487	0.2345708	0.0158508	0.1658202	0.0098130	0.0181388	0.4752319	0.6202899	0.3299922	0.2295192	0.5714954	0.6573308	0.3905378	0.0776564	0.5665063	0.1803369	0.4925074	0.6310393	0.5158965	0.2509196	0.2284867	0.4300292	0.7154222	0.0318066	0.3869232	0.2860044	0.0407570	0.4381596	0.4689220	0.5022165	0.6738522	0.5847596	0.1962487	0.5198062	0.5506659	0.2872700	0.5898009	0.7269174	0.7279465	0.7606355	0.6723886	0.6501214	0.7871674	0.6183643	0.6351088	0.8534716	0.6707635	0.7101686	0.6844476	0.7890389	0.6061085	0.7588287	0.6675370	0.1241777	0.1073045	0.0098140	0.2920017	0.3200397	0.0213031	0.3573438	0.0163803	0.1401678	0.0224002	0.0515945	0.1568834	0.1490292	0.0451399	0.3151520	0.7426318	0.1346529
0.4935663	0.6299223	0.5930771	0.3308136	0.7983482	0.4965929	0.8168493	0.4596741	0.2256281	0.7617992	0.0903753	0.4049607	0.3364330	0.2754967	0.4849137	0.1504099	0.7802005	0.3639725	0.0629742	0.3437886	0.6739997	0.0420181	0.2324420	0.0635221	0.0358282	0.4300006	0.5352014	0.1015865	0.1848708	0.5882163	0.2207616	0.5619679	0.3307690	0.1445164	0.7121149	0.5928766	0.6827822	0.1384532	0.4781670	0.6874331	0.7128547	0.2982131	0.0814984	0.0812055	0.6075683	0.2735940	0.6944522	0.3654868	0.0369225	0.7142564	0.7228559	0.6421540	0.0396000	0.3040076	0.7293694	0.7264143	0.2242482	0.2089585	0.6315921	0.1789053	0.1791020	0.2956471	0.7038806	0.3735719	0.6211866	0.5815278	0.6979208	0.3261475	0.2366304	0.1191388	0.0276040	0.6316902	0.2284578	0.1224677	0.5693371	0.0242107	0.3023731	0.2640357	0.4193878	0.6868197	0.6681745	0.3962517	0.3393173	0.7370511	0.0236792	0.1883818	0.0107547	0.2652636	0.0665946	0.5095065	0.0707455	0.3552699	0.1833722	0.1906067	0.2695316	0.0303894	0.2175376	0.0637909	0.2657098	0.1622932	0.4952195	0.0348130	0.2072057	0.0797516	0.0806649	0.0345941	0.0356271	0.3143037	0.3013657	0.0536823	0.3451105	0.1896709	0.2093074	0.2146363	0.4202646	0.0817563	0.2237739	0.6846468	0.5762684	0.6040240	0.0720497	0.5742166	0.6861819	0.7173770	0.3744935	0.3800793	0.3013379	0.5408342	0.2600883	0.7164029	0.4055926	0.4661186	0.0182286	0.0719122	0.0032477	0.0171211	0.3244795	0.6473185	0.2774965	0.3603349	0.6136732	0.6066604	0.4003595	0.0790459	0.2625621	0.1222147	0.5903453	0.5428063	0.5737634	0.1238160	0.3739177	0.4885478	0.6454647	0.0873675	0.2166229	0.3198546	0.0272131	0.1975985	0.3723128	0.5330025	0.6975068	0.6161740	0.1005763	0.4577201	0.5909234	0.3727857	0.2579620	0.6587592	0.6779339	0.6897615	0.7170678	0.6726762	0.5986154	0.6598640	0.7286951	0.6970629	0.7947109	0.6942685	0.6514968	0.6653032	0.7334102	0.8042906	0.6723210	0.1746285	0.0618980	0.0108279	0.4354310	0.3355229	0.0034372	0.4224803	0.0148420	0.1436216	0.0325811	0.0924707	0.1466600	0.1385797	0.0482735	0.4761275	0.5709016	0.2292506
0.6049157	0.6876385	0.5800766	0.7118159	0.2679283	0.6261544	0.7980123	0.5562532	0.2726032	0.7040236	0.0832910	0.3460407	0.2492746	0.3352844	0.4778379	0.1462450	0.8090592	0.3576312	0.0446392	0.2459854	0.6516273	0.0304679	0.3398952	0.0705836	0.0848636	0.4920047	0.5038725	0.0957821	0.1508376	0.6136596	0.1277662	0.7569279	0.3077530	0.1166476	0.6630132	0.6637373	0.8122303	0.0713428	0.4272987	0.6728099	0.7136814	0.2814501	0.0410578	0.0750096	0.5975570	0.2182329	0.6825213	0.4561727	0.0284362	0.7775979	0.6389603	0.6667538	0.0232239	0.3837261	0.6676808	0.6463250	0.1908142	0.2024106	0.5653238	0.1701804	0.1598724	0.4288464	0.5850820	0.3855706	0.6209676	0.5185395	0.7452502	0.3359590	0.3252633	0.1394956	0.0695272	0.5904087	0.2658245	0.2626474	0.6581914	0.0290203	0.3013836	0.2456589	0.4918704	0.7100521	0.6792776	0.4884516	0.3197082	0.6842159	0.0307006	0.1708441	0.0034986	0.1469036	0.0581776	0.6814960	0.0994138	0.3368568	0.1519239	0.1440501	0.2589716	0.0201475	0.3513703	0.0371493	0.2898933	0.0727255	0.6491959	0.0146804	0.3190491	0.0818751	0.0301612	0.0543129	0.0431047	0.2288406	0.1990210	0.0412246	0.3364748	0.1634238	0.1691325	0.1560647	0.3465535	0.1072339	0.2151740	0.7886963	0.7255820	0.6340209	0.0415025	0.6891638	0.6552638	0.6819786	0.4056479	0.3958267	0.2883761	0.5887439	0.1692350	0.7600518	0.3732548	0.5095031	0.0054417	0.0852956	0.0035342	0.0299599	0.2814265	0.6887516	0.3147950	0.4232976	0.5825736	0.4723215	0.3499330	0.0869000	0.2431206	0.1028517	0.6381677	0.4573262	0.6465153	0.1262768	0.4035015	0.4717684	0.5890362	0.0519947	0.5124289	0.2973458	0.0851507	0.1145474	0.3975599	0.5503453	0.6187304	0.6045397	0.5235052	0.5362489	0.4255696	0.5743984	0.2792549	0.8207425	0.6607977	0.7953646	0.6544554	0.6148547	0.7473069	0.7020346	0.7192372	0.5808285	0.7950522	0.7013642	0.8048892	0.6165188	0.6922985	0.6243036	0.5520153	0.1051979	0.0595790	0.0130310	0.3745719	0.4070389	0.0023172	0.4538273	0.0155355	0.1054857	0.0255326	0.0750114	0.1917398	0.1315605	0.0440595	0.3969142	0.7807641	0.1684088
0.4535704	0.6902033	0.5682998	0.5591561	0.7012448	0.3113218	0.5568814	0.4953843	0.1941022	0.6573814	0.0984187	0.4264690	0.3952536	0.3676988	0.4377074	0.2084632	0.7071759	0.3533143	0.0247226	0.3388760	0.6355925	0.0338483	0.3350736	0.1051340	0.0654253	0.2637028	0.3211582	0.0718514	0.1945343	0.5426853	0.2917678	0.4393436	0.0822180	0.1763501	0.8659320	0.7317387	0.6107805	0.1238819	0.4599752	0.4317680	0.6581572	0.1258478	0.1073262	0.0665939	0.7175917	0.2660878	0.5484025	0.3242320	0.0991381	0.5958062	0.6588394	0.5827024	0.0207173	0.2605309	0.5387996	0.7366120	0.3178386	0.2551933	0.6446033	0.2028180	0.0576876	0.2644169	0.6491116	0.2412951	0.7485824	0.4082598	0.4947660	0.3250749	0.3586496	0.1482276	0.0619447	0.6068318	0.3382028	0.1706882	0.4941705	0.0315785	0.2658523	0.3298079	0.4665739	0.6422194	0.6549624	0.0504255	0.4058508	0.6118602	0.0239738	0.1401694	0.0293288	0.2103660	0.0603812	0.6150161	0.0610777	0.1579552	0.1941220	0.2749978	0.4542705	0.0291160	0.1871981	0.0686730	0.3500453	0.1403013	0.4926228	0.0344652	0.1192000	0.1088904	0.1184649	0.0360712	0.0325884	0.2672965	0.3712696	0.1132565	0.2730083	0.2230548	0.3197727	0.2241679	0.1399083	0.1190208	0.2939993	0.8340071	0.5597480	0.5457590	0.0400966	0.8504955	0.5595559	0.6340445	0.4608301	0.2676394	0.4119671	0.6458099	0.2195830	0.7352919	0.3299030	0.4177440	0.0071616	0.1001456	0.0032886	0.0382118	0.3612831	0.6319503	0.2956710	0.4196991	0.6379738	0.5474226	0.3470744	0.1313881	0.3757699	0.1947232	0.5283144	0.1585202	0.5238940	0.1460148	0.3531905	0.4217035	0.7527989	0.0622826	0.1642324	0.1859983	0.0297246	0.2774297	0.1857694	0.2651647	0.4556042	0.3530476	0.1471871	0.4679987	0.5229808	0.3746879	0.3123080	0.5778637	0.6973624	0.7001966	0.7066454	0.7200431	0.6377131	0.6915224	0.6311081	0.8169742	0.7249277	0.7175701	0.6993269	0.7677758	0.6542344	0.6998162	0.7186832	0.1206987	0.0680259	0.0075340	0.3938582	0.2539908	0.0140844	0.3499177	0.0085554	0.1336989	0.0414778	0.1206058	0.1624208	0.1278510	0.0583449	0.5612556	0.6928795	0.1870679
0.5581823	0.6792217	0.6240064	0.6828953	0.6932504	0.4283244	0.2659005	0.2707247	0.1716127	0.8359779	0.0971255	0.4748075	0.4165655	0.3234107	0.3881259	0.1653833	0.6048429	0.1756708	0.0414402	0.3112896	0.5776105	0.0774164	0.3942702	0.0575924	0.0518609	0.4366109	0.4507325	0.0866845	0.2291245	0.5908391	0.2837431	0.5239798	0.2763520	0.1552932	0.6037503	0.4830919	0.6428025	0.1190875	0.5388081	0.6846579	0.8056178	0.2933825	0.0740783	0.0694704	0.6785997	0.3207193	0.1662024	0.3039952	0.0668849	0.7582585	0.6709880	0.6907819	0.0320947	0.3641072	0.6323122	0.7029808	0.2961017	0.2189458	0.3942887	0.2214241	0.1899456	0.2245854	0.5702599	0.3646997	0.5471497	0.6777146	0.6584787	0.2632154	0.3520484	0.1492463	0.0282107	0.7024047	0.3200327	0.0813672	0.7533448	0.0270535	0.4155365	0.2397278	0.0841857	0.6573834	0.6708976	0.2963001	0.4202530	0.6975159	0.0362687	0.1640075	0.0240722	0.2441189	0.0995786	0.5566159	0.0927253	0.3893679	0.2246723	0.1763918	0.3892708	0.0453390	0.2382146	0.0345186	0.4095615	0.1710220	0.5089509	0.0119901	0.2462181	0.0681623	0.1046546	0.0294504	0.0705080	0.2872215	0.3030367	0.0625936	0.3483921	0.2235956	0.3351990	0.3327985	0.3392589	0.0579021	0.3020238	0.6664931	0.3210461	0.5584235	0.0615182	0.5741312	0.5993141	0.7659532	0.3722832	0.2678407	0.5126260	0.6308710	0.3245098	0.6270712	0.3310295	0.4906940	0.0150715	0.0921298	0.0038676	0.0358357	0.2761503	0.8151097	0.3197860	0.4753620	0.6827089	0.4944270	0.3517813	0.0718368	0.4937892	0.1328069	0.5752264	0.5654860	0.5028326	0.1317047	0.3130313	0.5073486	0.7522252	0.0724186	0.2665012	0.2486874	0.0370251	0.2574468	0.3263492	0.4257049	0.6311091	0.6407148	0.1362165	0.5625871	0.4594565	0.3355538	0.3298422	0.6152828	0.6318461	0.6830331	0.7190667	0.8079781	0.7302256	0.7666264	0.7010725	0.6536328	0.6351619	0.6345673	0.7358034	0.6428599	0.7733621	0.6986733	0.7473359	0.1448010	0.0888707	0.0154000	0.3991149	0.4051302	0.0069154	0.3841803	0.0310758	0.1418783	0.0469188	0.0794960	0.2509906	0.1842865	0.0420859	0.2707296	0.7568503	0.1443463
0.4725401	0.5521721	0.6336433	0.5088156	0.6481247	0.5449455	0.7203999	0.2118755	0.1720213	0.7113103	0.1438806	0.3895222	0.3851799	0.2868738	0.4532927	0.1655849	0.7141625	0.1779881	0.0283411	0.2431563	0.5318979	0.0310203	0.2986675	0.0728662	0.0627946	0.3031975	0.3865761	0.0788481	0.1768107	0.5514602	0.3188213	0.4306162	0.4554679	0.1438259	0.5960770	0.7471721	0.7364128	0.0972128	0.4509654	0.6486742	0.6670722	0.4565442	0.0811092	0.0678216	0.7137126	0.2890056	0.7279144	0.3346740	0.0688219	0.7104017	0.6879777	0.5806524	0.0539623	0.3442925	0.6588482	0.6836006	0.2319492	0.1654766	0.5739932	0.2679536	0.1091191	0.2595070	0.6696571	0.4251478	0.5862025	0.5520830	0.5862133	0.4147989	0.3451632	0.1946537	0.0565835	0.6262812	0.3110516	0.1722633	0.6981242	0.0112186	0.4172638	0.2765823	0.4501092	0.6321121	0.7550107	0.3750108	0.3934099	0.7609079	0.0169859	0.1102025	0.0106016	0.2120694	0.0654874	0.5777543	0.0661361	0.4142698	0.1603786	0.2129775	0.2916039	0.0648940	0.3800806	0.0399028	0.3454715	0.0799406	0.4377426	0.0525947	0.2396466	0.1301168	0.0972577	0.0576758	0.0877445	0.2205530	0.2765153	0.1054545	0.3142943	0.1913887	0.3328703	0.1597734	0.4035496	0.1031462	0.3155213	0.5999403	0.5845945	0.6273876	0.0585670	0.5132391	0.6101674	0.6760045	0.4720372	0.2704248	0.4008844	0.5388332	0.2223715	0.6959556	0.4563601	0.4441794	0.0064607	0.1176889	0.0053970	0.0342931	0.4083229	0.6393599	0.2641295	0.3680876	0.7110169	0.4899180	0.2654185	0.0827248	0.3451197	0.1456260	0.6608360	0.4976066	0.5331726	0.1164088	0.3112811	0.4690485	0.6957802	0.0841319	0.1524036	0.3355162	0.0239503	0.2397538	0.4149494	0.5886818	0.6496448	0.4982421	0.1271794	0.4756603	0.4431321	0.3778128	0.2333057	0.6337037	0.6067088	0.6799399	0.6456216	0.5976909	0.7359605	0.6906553	0.5876718	0.7052438	0.6883257	0.6820591	0.7083976	0.7023245	0.6811532	0.5794495	0.6889296	0.1895901	0.1086127	0.0034685	0.3252903	0.3435116	0.0182837	0.3533205	0.0510750	0.1543891	0.0410677	0.0780709	0.2106878	0.1729266	0.0291032	0.5570040	0.5409170	0.1394784
0.6158757	0.8101455	0.5275263	0.5944365	0.7275821	0.5280160	0.8301465	0.5367730	0.1108215	0.6420883	0.0987335	0.3595724	0.3075250	0.3092501	0.5234823	0.1633810	0.6525833	0.4374606	0.0260064	0.2265118	0.6832240	0.0586976	0.3440715	0.0526702	0.0562701	0.3877232	0.4897002	0.1045253	0.2336310	0.6131363	0.2768896	0.4705133	0.3917576	0.2019055	0.7711467	0.8669356	0.7408802	0.1261471	0.6728199	0.5871804	0.7029240	0.2934553	0.0547690	0.0675206	0.6446152	0.2138247	0.6505071	0.3413529	0.0260672	0.7584453	0.6604825	0.6804007	0.0226119	0.4353882	0.6474213	0.5740996	0.1807499	0.2603344	0.7247372	0.1589385	0.1255880	0.2604674	0.7266416	0.4061198	0.6756388	0.5868501	0.6497983	0.4496562	0.3886501	0.0840525	0.0429566	0.6291210	0.2537865	0.1982688	0.6603953	0.0219821	0.3950123	0.3742465	0.4213419	0.7489740	0.6501650	0.3671164	0.3714951	0.8269315	0.0265477	0.2122136	0.0134391	0.1824796	0.0983612	0.6951977	0.0717790	0.4011369	0.2263890	0.1836174	0.3316874	0.0211560	0.0314477	0.0211825	0.4268486	0.0909162	0.4870254	0.0217910	0.2562839	0.0939758	0.0501006	0.0314347	0.0811174	0.3727978	0.3123625	0.1150544	0.1110145	0.1300454	0.3135517	0.1497750	0.3454953	0.1216212	0.1715873	0.6622196	0.6433524	0.5091260	0.0570122	0.6337798	0.6227067	0.5845542	0.4059941	0.4491965	0.2998432	0.7444400	0.2319038	0.5736635	0.4381347	0.4410826	0.0087258	0.0891060	0.0020691	0.0549303	0.3334959	0.7216263	0.2806846	0.4400337	0.7071518	0.6010633	0.4119391	0.0621156	0.3087340	0.1405924	0.5197659	0.4962296	0.5187447	0.1150044	0.2902703	0.3847176	0.6122083	0.0643320	0.1653077	0.2919942	0.0214013	0.2066736	0.3709130	0.4657785	0.6929553	0.5965595	0.0982413	0.4252268	0.5133423	0.3803773	0.2488516	0.6168778	0.7523414	0.7703918	0.8012488	0.6179626	0.7516482	0.7295351	0.7098409	0.7274361	0.7289946	0.6234808	0.6379334	0.6928104	0.5853244	0.7684155	0.6643453	0.1365912	0.0364908	0.0206479	0.4383349	0.3592065	0.0168490	0.4482489	0.0283408	0.0902702	0.0320872	0.0546122	0.2045978	0.1228893	0.0621707	0.4496701	0.7061211	0.1999356
0.4442005	0.6664733	0.6033503	0.5341838	0.7117399	0.6097788	0.6559023	0.3534250	0.2446141	0.3003984	0.4693146	0.3488077	0.3453396	0.3602950	0.4182916	0.1785479	0.6371400	0.3388780	0.0366753	0.2510518	0.7471932	0.0356960	0.3212930	0.1049922	0.0563142	0.4450145	0.4388767	0.0641120	0.1581874	0.6098824	0.2701164	0.5763392	0.4754685	0.1492372	0.6228147	0.6229230	0.7135514	0.0781616	0.4826600	0.7069651	0.6742006	0.3297707	0.0579732	0.0303267	0.6615577	0.2080402	0.6502435	0.3229635	0.0392772	0.5279785	0.6531292	0.6560803	0.0361668	0.2731070	0.6678859	0.7711871	0.1962651	0.1820095	0.7621957	0.5225018	0.1123018	0.2346890	0.7305956	0.4246417	0.6457791	0.4904004	0.7516145	0.6292752	0.3753315	0.2130643	0.0460752	0.7130696	0.3182260	0.1701000	0.6999917	0.0295893	0.3191544	0.3198379	0.4665996	0.6059911	0.6205226	0.4011698	0.5056065	0.6975098	0.0366684	0.1965804	0.0081518	0.1273025	0.0576355	0.7915620	0.1123919	0.3471718	0.2129494	0.2367105	0.3757870	0.0327607	0.4841966	0.0365996	0.3712363	0.0974871	0.4779823	0.0489874	0.1875871	0.0665496	0.0527704	0.0515576	0.0495404	0.3412135	0.2817128	0.0881818	0.4002583	0.1684201	0.3003008	0.1201619	0.3092823	0.0939478	0.2926819	0.5980194	0.7066288	0.5393098	0.0508877	0.7665730	0.7646363	0.7984518	0.4280119	0.3030139	0.6691112	0.6397670	0.3621132	0.6603452	0.4001710	0.4693967	0.0075828	0.0946200	0.0014610	0.0488035	0.4851570	0.6705291	0.2988564	0.4346496	0.7163728	0.6123538	0.4727130	0.2478562	0.4962105	0.1800875	0.6273239	0.5388150	0.4696655	0.1112729	0.3284553	0.5708565	0.7171664	0.0598027	0.1769072	0.3005816	0.0258291	0.2448306	0.3755792	0.4820119	0.6291700	0.4665486	0.1357910	0.3226273	0.1569911	0.4702200	0.3066663	0.6934239	0.7841831	0.6560322	0.7465389	0.5941520	0.6477065	0.5799349	0.7367852	0.6124382	0.6743953	0.6940932	0.6497368	0.7581101	0.6764414	0.5550557	0.7208034	0.1477262	0.1010744	0.0256525	0.4160117	0.4857965	0.0091653	0.3861480	0.0055442	0.1677428	0.0466975	0.0763879	0.2336230	0.0999628	0.0865252	0.3145820	0.6325310	0.1171087
