malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.0000000	0.5741720	0.6084701	0.6341038	0.5057774	0.5707291	0.6460921	0.4732261	0.1960892	0.7238403	0.1099470	0.3878088	0.2262200	0.3581018	0.4486771	0.1615123	0.5956589	0.3889901	0.0476479	0.2846207	0.4955523	0.0127671	0.2655739	0.0320924	0.0849815	0.0680135	0.3368858	0.0617718	0.1548008	0.6478844	0.2167306	0.4666835	0.2633666	0.1679168	0.6624980	0.6622829	0.1142528	0.0784789	0.4414647	0.5593364	0.6438776	0.2814989	0.0630253	0.0770291	0.0368342	0.1527439	0.5999675	0.4441016	0.0430769	0.6664422	0.0268252	0.6851988	0.0398295	0.4511567	0.7332302	0.6370948	0.1203245	0.2149502	0.5618772	0.1970571	0.1154206	0.0048337	0.5896628	0.3440611	0.7668592	0.6301072	0.6219884	0.3386970	0.3177643	0.1933847	0.0416790	0.5954602	0.2839121	0.1412869	0.6261278	0.0256643	0.2924364	0.3197519	0.2748207	0.6720558	0.0222422	0.3351355	0.4179218	0.6371228	0.0290468	0.1509395	0.0099716	0.1679059	0.1204917	0.0759662	0.0724621	0.4310196	0.1434711	0.1666777	0.3137207	0.0098077	0.2481044	0.0403008	0.2730589	0.0774613	0.0511364	0.0318431	0.0096227	0.0474569	0.0345581	0.0447308	0.0539744	0.2990838	0.2474122	0.0635260	0.2938359	0.1505904	0.2505103	0.1269038	0.3223792	0.1236716	0.2545731	0.0479667	0.6291865	0.5653116	0.0513021	0.6302765	0.7964107	0.6717065	0.4235013	0.3971725	0.4104390	0.6262405	0.2629197	0.6666944	0.2977488	0.5733781	0.0142431	0.0427531	0.0072032	0.0258346	0.3140042	0.6535407	0.2801656	0.4456090	0.6763665	0.5239757	0.3329881	0.0627528	0.1994582	0.1581392	0.5759676	0.5080045	0.5597921	0.1105607	0.3420955	0.5045573	0.5960558	0.0751709	0.1603385	0.2784250	0.0400515	0.1871165	0.3676096	0.6098227	0.6396270	0.5436617	0.1348472	0.5729510	0.4946815	0.3810303	0.2299763	0.6373456	1.0000000	0.6832745	0.7523223	0.8336569	0.5977899	0.7222334	0.7939337	0.7950427	0.7299837	0.6399794	0.5966279	0.7422239	0.6166344	0.7017949	0.7333933	0.1369689	0.0704313	0.0057381	0.3654425	0.3387938	0.0186334	0.3702127	0.0149162	0.1153448	0.0278030	0.0517283	0.1724073	0.1897396	0.0638840	0.3409400	0.7645117	0.1547250
0.7759261	0.0000000	0.6107405	0.5101699	0.7410545	0.5665229	0.7469475	0.3820417	0.1603982	0.6148402	0.0987456	0.3211775	0.2756877	0.2823024	0.4069385	0.1839600	0.7093975	0.2511478	0.0547107	0.2039547	0.6091479	0.0359503	0.3127429	0.0328850	0.0698291	0.4522514	0.4377159	0.0526912	0.1826727	0.7377455	0.1981211	0.5309106	0.3512655	0.1585128	0.6614722	0.6605914	0.6523530	0.0828367	0.5337107	0.7620277	0.6618687	0.2916427	0.0666227	0.6398139	0.6736197	0.2233215	0.5607152	0.4125758	0.0497826	0.7047269	0.6799502	0.6283028	0.0425516	0.3450202	0.7719987	0.7852648	0.1922024	0.4134277	0.6021079	0.1870873	0.1796222	0.2999991	0.7896429	0.3739989	0.7173597	0.6627540	0.8181657	0.3984992	0.3186796	0.1831573	0.0206989	0.5632251	0.2714987	0.1267667	0.6984398	0.0169096	0.3333128	0.2874125	0.3588187	0.6216008	0.6699243	0.4665485	0.3837731	0.6911484	0.0121291	0.1111941	0.0097840	0.1567937	0.0883173	0.6240343	0.1180862	0.4103741	0.2729835	0.1711869	0.2987608	0.0280947	0.2796876	0.0533284	0.3283936	0.1104795	0.6193271	0.0166378	0.4030305	0.0832762	0.0557048	0.0563551	0.0827655	0.3392984	0.2587277	0.0514655	0.4325487	0.1677285	0.2844579	0.1928133	0.4183498	0.1083988	0.2261377	0.6537998	0.6498463	0.6593995	0.0392295	0.6525950	0.5689976	0.6890946	0.3007292	0.3786383	0.4037449	0.5467521	0.2191992	0.6395755	0.6311862	0.4358347	0.0312606	0.1136124	0.2095200	0.0098329	0.2766920	0.6487874	0.4586842	0.4292835	0.6289226	0.7396764	0.3015549	0.0584114	0.3099350	0.1770108	0.5653524	0.5090952	0.7013533	0.1041124	0.4351820	0.4931417	0.7009944	0.6734590	0.1336542	0.4043997	0.0205420	0.1847145	0.4802135	0.5190339	0.5928167	0.5506863	0.1358985	0.5316344	0.6173935	0.4065940	0.2660287	0.5805731	0.6666846	0.6507281	0.5860385	0.6605280	0.7441297	0.7811611	0.5940357	0.6993113	0.6217900	0.6718643	0.6980770	0.6648282	0.6284494	0.7128738	0.5669310	0.2086746	0.0883030	0.0198978	0.3369248	0.3686161	0.0175306	0.4340988	0.0314053	0.1169728	0.0215645	0.0705963	0.1604375	0.1200617	0.0331552	0.4016728	0.6915069	0.1245086
0.0684676	0.6510264	0.0000000	0.0004725	0.0381578	0.5851409	0.5285354	0.4553793	0.1805580	0.8252695	0.0453876	0.8456267	0.4757014	0.5674097	0.4894428	0.6003099	0.0496702	0.4074351	0.6149965	0.6894967	0.0302250	0.7912427	0.6827420	0.8095769	0.0524399	0.0649438	0.5344679	0.6119119	0.7501849	0.0238017	0.7322633	0.0080537	0.0076999	0.6311586	0.6636858	0.7586003	0.1434893	0.7775260	0.0416140	0.6641671	0.5955606	0.4950070	0.6971331	0.0517095	0.0866453	0.6518027	0.5285582	0.0172541	0.6929461	0.0181311	0.1191040	0.0237172	0.7118995	0.5917747	0.0021733	0.7512609	0.7920965	0.2083233	0.5709190	0.1940313	0.4553174	0.0085547	0.6507409	0.3368468	0.6447473	0.6819162	0.6668793	0.3177202	0.8281412	0.2537074	0.7455112	0.0130795	0.7562295	0.6706048	0.6982269	0.5713036	0.6155685	0.6693012	0.4243626	0.0488853	0.0441385	0.3968317	0.5351972	0.0222387	0.5896869	0.7378117	0.6559121	0.6294707	0.7866283	0.1841611	0.6160654	0.3473854	0.8035551	0.7538419	0.8820104	0.7261717	0.3933496	0.6522643	0.7194608	0.6052577	0.0439476	0.7010374	0.0088942	0.7510585	0.6013216	0.6312587	0.5838734	0.5651779	0.7074261	0.6145347	0.3271513	0.6878295	0.6569642	0.7532677	0.3442070	0.6829777	0.6198245	0.0198520	0.5828933	0.0602309	0.7266113	0.0265294	0.0475680	0.0318068	0.7298886	0.0246570	0.3880406	0.0062421	0.2270755	0.0275656	0.3590959	0.0560230	0.0201244	0.0728105	0.0086677	0.0335801	0.3219805	0.0465398	0.2210344	0.0157310	0.0171011	0.4665675	0.3150352	0.0770780	0.6960907	0.6049193	0.0123665	0.4939013	0.0265123	0.5834893	0.0154090	0.4448165	0.0216491	0.0481578	0.7812849	0.2512931	0.9034004	0.6836257	0.2851962	0.5087748	0.6403617	0.6071089	0.6935055	0.4343751	0.5141830	0.0099447	0.6573664	0.5768270	0.6940583	0.5721880	0.7008112	0.7124815	0.6496351	0.7787196	0.7691803	0.5422997	0.7857289	0.6655297	0.7379913	0.6435052	0.6718041	0.7707004	0.6784799	0.1600163	0.0962379	0.0040356	0.3238044	0.3189172	0.0153770	0.4074666	0.0448165	0.0988815	0.0204753	0.0546981	0.1824473	0.1443314	0.0247603	0.5011257	0.6524519	0.1721437
0.4974117	0.7781941	0.7919856	0.0000000	0.5994467	0.5503944	0.7263075	0.4562952	0.2195582	0.6951959	0.1079994	0.2512210	0.3626714	0.3759449	0.3807576	0.2028786	0.7370102	0.2831626	0.0378081	0.2896395	0.5865390	0.0357382	0.2822947	0.0349981	0.0520284	0.4779008	0.4585484	0.0589596	0.1473091	0.5643592	0.1950030	0.5683090	0.3323731	0.1440323	0.6582813	0.5699119	0.5391241	0.1495715	0.4264017	0.6396260	0.6713471	0.2935140	0.0585166	0.0630750	0.6634373	0.2822092	0.6609351	0.3385508	0.0882846	0.6826077	0.6817497	0.5601855	0.0336334	0.3184405	0.6329024	0.6215167	0.2012823	0.2213802	0.5501264	0.1542253	0.0856862	0.2582139	0.7171532	0.3211627	0.6685631	0.4829672	0.8257969	0.3284647	0.3183229	0.1537739	0.0436642	0.6702619	0.3504659	0.1281452	0.6213497	0.0152403	0.3071712	0.3014746	0.4292535	0.6690562	0.6631044	0.3334590	0.3138897	0.7007350	0.0271118	0.1465313	0.0285814	0.1297911	0.0991144	0.7168616	0.0638405	0.2865118	0.1658427	0.1669113	0.3377859	0.0174592	0.3101439	0.0263887	0.3259231	0.1027448	0.5548129	0.0240436	0.2725953	0.1172691	0.0599510	0.0437306	0.0417388	0.2983528	0.2829283	0.0526240	0.3682767	0.1797498	0.2758295	0.2727558	0.2533371	0.1015021	0.2731631	0.6549418	0.6330093	0.6930380	0.0527521	0.7060845	0.5470611	0.7758576	0.3341070	0.3210118	0.2692428	0.5813336	0.1733261	0.6517805	0.3689678	0.4260658	0.0126057	0.0756371	0.0054220	0.0259036	0.3728667	0.8215177	0.2761349	0.5103189	0.6007702	0.5073048	0.3583267	0.0725556	0.3416199	0.2043050	0.5357286	0.5156785	0.6233365	0.1640073	0.3322163	0.5462155	0.7152449	0.0480402	0.1902738	0.2967342	0.0484563	0.2807063	0.3081383	0.5339055	0.6788104	0.5713494	0.1161109	0.4933904	0.6152557	0.4048358	0.3756553	0.7526898	0.6658530	0.6978937	0.7540487	0.7315411	0.7555167	0.6553930	0.6854992	0.6231893	0.6971047	0.7662895	0.7199890	0.6766672	0.6102690	0.5603755	0.6250588	0.1935845	0.1102321	0.0101452	0.3154873	0.3355608	0.0121803	0.4144703	0.0224206	0.1324257	0.0341675	0.0817150	0.2416155	0.1471850	0.0315976	0.4386004	0.7599959	0.1934730
0.5385680	0.7560251	0.6752152	0.5336147	0.0000000	0.6272201	0.6823800	0.5700612	0.1760541	0.7267775	0.1119439	0.3524202	0.3888249	0.2826459	0.5069793	0.2531847	0.7228054	0.4186008	0.0792299	0.2714527	0.6717776	0.0581827	0.3532640	0.0918104	0.0794359	0.3233077	0.5319670	0.0658402	0.1788663	0.6862833	0.2746790	0.4742701	0.3496300	0.1606946	0.5410585	0.6046852	0.7435293	0.1158810	0.6475365	0.5565501	0.7652621	0.3139995	0.0879831	0.0723692	0.6319303	0.3008701	0.7114339	0.3048081	0.0843556	0.8353050	0.6553096	0.5567796	0.0241617	0.3973049	0.7268597	0.6282236	0.2226384	0.2963544	0.6180253	0.1746952	0.1361192	0.2607776	0.5560600	0.3457860	0.6851472	0.6074176	0.6214444	0.3759009	0.3356456	0.1718355	0.0540373	0.6352724	0.2894214	0.0839222	0.5836552	0.0348858	0.3491252	0.2748626	0.4661379	0.5656111	0.5808867	0.4105677	0.3384815	0.6094904	0.0147192	0.1794474	0.0066808	0.1976934	0.0318978	0.7494571	0.0377527	0.3825417	0.2232461	0.1908173	0.2905427	0.0414564	0.2298874	0.0231651	0.4305149	0.1264520	0.6577291	0.0144794	0.2371605	0.1335426	0.0732203	0.0841544	0.0756418	0.2276820	0.2806880	0.1368710	0.3154414	0.1578445	0.2756557	0.2515261	0.3807287	0.1233825	0.2408659	0.6753408	0.6573318	0.6034136	0.0565520	0.7483767	0.5792996	0.6853863	0.3593304	0.3548848	0.3752599	0.6099334	0.2355530	0.7376032	0.4540513	0.3691394	0.0112671	0.1329731	0.0078947	0.0245225	0.2369556	0.6550261	0.3102536	0.5195776	0.6586686	0.5476119	0.2934149	0.1020291	0.2863717	0.1758333	0.6008476	0.6179834	0.5619513	0.1388544	0.2964375	0.5766700	0.6211726	0.0540078	0.8145172	0.3069151	0.8397271	0.1908619	0.4022380	0.4317450	0.6585852	0.4947238	0.6703109	0.5307160	0.5016603	0.4320463	0.3368945	0.7052150	0.7103852	0.7040525	0.7224645	0.5065180	0.6995569	0.7588361	0.6013801	0.7534864	0.7637273	0.6783464	0.6357631	0.8533358	0.7066869	0.7419541	0.6964332	0.1637689	0.1244215	0.0168968	0.3395739	0.3524993	0.0319045	0.3293084	0.0251974	0.1552489	0.0397001	0.1137345	0.2337293	0.1683935	0.0777755	0.4608820	0.7148597	0.1973433
0.0326126	0.5756926	0.0624990	0.0453541	0.0329422	0.0000000	0.6213202	0.4574301	0.0015185	0.6885251	0.1372789	0.5733759	0.5997651	0.6894423	0.4557788	0.6467211	0.1066243	0.4028414	0.0825909	0.7907671	0.0370967	0.7474914	0.6385004	0.5675593	0.0483067	0.0636155	0.2240802	0.3973366	0.4754921	0.0419146	0.7366115	0.0032584	0.0038196	0.6883787	0.6170294	0.6836959	0.1512733	0.6170802	0.1398231	0.0399762	0.7001554	0.3721778	0.5677342	0.0758479	0.1037192	0.7541011	0.5761078	0.0424931	0.6081724	0.3982734	0.1101172	0.2861224	0.2160667	0.0560182	0.7210529	0.6946487	0.6156981	0.1938486	0.6852016	0.2133353	0.4091506	0.0066179	0.7938826	0.0487359	0.6344180	0.0527885	0.0089792	0.3456746	0.5787047	0.0377458	0.5352915	0.4497422	0.7736676	0.4846093	0.0013128	0.6808420	0.7012546	0.7140714	0.3587167	0.0504138	0.0583580	0.0548222	0.6734088	0.0265940	0.1942336	0.5474823	0.6667364	0.6408526	0.0731238	0.2350676	0.6239980	0.0526803	0.4798609	0.6305437	0.5938494	0.6591342	0.0048197	0.5386405	0.7881537	0.6130977	0.0424359	0.9127869	0.0095877	0.5891474	0.7092009	0.4290842	0.3578668	0.5467565	0.7307440	0.7230137	0.0327249	0.7758932	0.5948708	0.6077483	0.0947911	0.6533096	0.5775534	0.0342448	0.5598741	0.0659216	0.0326683	0.5160444	0.0528076	0.2837946	0.6714035	0.0087681	0.3783894	0.0804181	0.2358792	0.2013734	0.3236248	0.0705944	0.0154769	0.0662180	0.0097423	0.0172445	0.3302533	0.1391225	0.3123975	0.0308605	0.4406435	0.5228422	0.4385123	0.1655085	0.6182986	0.5406777	0.0923124	0.0240324	0.0637307	0.5015148	0.0531158	0.0025421	0.4679555	0.0764178	0.5708714	0.0184605	0.6450469	0.6518024	0.0382986	0.0190817	0.0215428	0.0072118	0.6429357	0.5097957	0.4934268	0.0777332	0.6491907	0.6136882	0.7442473	0.8218745	0.8111362	0.6630869	0.6964358	0.7320610	0.7174123	0.6373661	0.7022076	0.7555149	0.6037002	0.5927398	0.7290914	0.7245123	0.6354335	0.1249540	0.0673355	0.0128882	0.3048501	0.4154565	0.0144015	0.4499384	0.0624151	0.0754806	0.0293639	0.0679997	0.1805007	0.1240036	0.0728975	0.4511421	0.7007923	0.1279196
0.0653648	0.7051448	0.1411392	0.0452508	0.0773389	0.0238465	0.0000000	0.0204823	0.0050620	0.6699643	0.0834099	0.6394331	0.7078364	0.6885154	0.3879946	0.6633680	0.3185491	0.0220976	0.0414713	0.5987410	0.0309520	0.5692485	0.6418018	0.5416656	0.0216040	0.0697929	0.2700050	0.2203725	0.4781494	0.0956719	0.6737094	0.0380094	0.0055425	0.7163740	0.7352324	0.0424220	0.3705404	0.4312702	0.2576287	0.0604965	0.0270431	0.2372081	0.6680755	0.0754781	0.2170430	0.7430699	0.0669196	0.0197439	0.7452945	0.4876311	0.1746165	0.3394127	0.0774454	0.0247368	0.7175750	0.0206338	0.6681582	0.1938710	0.0210400	0.1893237	0.3539992	0.0051153	0.0226369	0.0640552	0.0690580	0.0609952	0.0265008	0.3544941	0.5153006	0.0382909	0.3146151	0.5317394	0.5235069	0.3218848	0.0040757	0.4620990	0.6949322	0.5741460	0.0677434	0.0488619	0.0476736	0.0434350	0.7848487	0.0337259	0.0339901	0.2947122	0.6080851	0.5786145	0.0783131	0.3133141	0.6630079	0.0782807	0.3745688	0.5934034	0.7097413	0.6829348	0.0247146	0.4939836	0.5856572	0.4693082	0.0747909	0.3825335	0.0065430	0.4877467	0.6737789	0.3135873	0.1939445	0.7039414	0.5662330	0.7402121	0.0312798	0.6834489	0.7032547	0.6044328	0.0665886	0.7069457	0.5069698	0.0566628	0.0676821	0.0523772	0.0948440	0.6430218	0.1352393	0.5189079	0.4930765	0.0259329	0.4050004	0.1552665	0.2381736	0.4188180	0.4306529	0.1044503	0.0078245	0.0763464	0.0026641	0.0166348	0.3395000	0.3148021	0.3785125	0.0225309	0.4770769	0.5487528	0.4311197	0.0782551	0.6685734	0.3037735	0.1863096	0.0039929	0.1708826	0.3828533	0.0678569	0.0376949	0.7335093	0.0465037	0.6792976	0.0191410	0.6915424	0.7076303	0.0291384	0.0337277	0.0304154	0.0109696	0.6757087	0.5128883	0.4371325	0.1037460	0.5963354	0.7915114	0.6939966	0.7265176	0.8892817	0.7664785	0.7935502	0.6323581	0.5799311	0.7077603	0.8203515	0.7739743	0.6983172	0.6482833	0.7861749	0.7844266	0.6583595	0.1525810	0.0751079	0.0193752	0.3642818	0.4006843	0.0068213	0.4131965	0.0204925	0.1345280	0.0217180	0.0820328	0.2223060	0.1689514	0.0822210	0.4332895	0.6737247	0.1735063
0.0791190	0.7949469	0.1011453	0.0808468	0.0664870	0.0250690	0.7886402	0.0000000	0.0063735	0.6256767	0.1405291	0.7519725	0.7010669	0.6308633	0.4409528	0.5395589	0.2910913	0.0410731	0.0474104	0.5799339	0.0613047	0.5551300	0.6667266	0.4642650	0.0375903	0.0742979	0.2718615	0.2624831	0.4480302	0.1468332	0.6374838	0.0277324	0.0152835	0.7566006	0.7739687	0.7023132	0.4649071	0.5825150	0.2191865	0.0775865	0.6339660	0.3618040	0.6985454	0.0857181	0.2641789	0.7559503	0.5649465	0.0214433	0.6314677	0.3997553	0.3012272	0.3093044	0.0799582	0.0116712	0.6731990	0.7860453	0.6026158	0.1738405	0.6044813	0.2969153	0.4275015	0.0198622	0.6352637	0.0957902	0.6799027	0.0384276	0.0085489	0.3282002	0.5520510	0.0096130	0.2914418	0.5551022	0.6399729	0.2573705	0.0455685	0.5415801	0.6716835	0.6282638	0.4364818	0.0927628	0.0516952	0.0089513	0.5840961	0.0313414	0.0540789	0.2704001	0.6368449	0.5393586	0.0921810	0.3854289	0.5580653	0.0608294	0.3499024	0.6116061	0.6496107	0.6441612	0.0226382	0.4304578	0.6209279	0.5800480	0.0429656	0.3466928	0.0099152	0.5822357	0.6962849	0.2876594	0.2524234	0.6658604	0.6405956	0.5631747	0.0268890	0.6251971	0.7689315	0.6100126	0.0422550	0.6130516	0.4470615	0.0689880	0.6331523	0.0531718	0.0399487	0.6611894	0.1558247	0.5338654	0.6507360	0.0215965	0.4244533	0.1656844	0.2888237	0.3247896	0.3442169	0.0877641	0.0128037	0.0436405	0.0027919	0.0140231	0.3458580	0.4080699	0.3919232	0.0304961	0.5490020	0.4703233	0.3064129	0.1386354	0.7607346	0.3090207	0.2316330	0.0193993	0.2005937	0.3823271	0.1201203	0.0154846	0.7212933	0.0437396	0.7111835	0.0644910	0.7106494	0.7208968	0.0300757	0.0263670	0.0197000	0.0162586	0.7576721	0.4962935	0.4905056	0.0907012	0.7694802	0.6768346	0.6157861	0.6457545	0.8235300	0.6395782	0.7132379	0.7012179	0.7956660	0.6848892	0.5274253	0.7933434	0.7165196	0.7958727	0.6937694	0.6830486	0.5867636	0.1479763	0.0577606	0.0267530	0.4177031	0.2664062	0.0152479	0.2633119	0.0421343	0.0690405	0.0556016	0.0527233	0.1155484	0.1419933	0.0575480	0.4147186	0.6747014	0.1325440
0.4077175	0.7162812	0.7098854	0.6387573	0.5793953	0.5400585	0.6679062	0.4291125	0.0000000	0.6693914	0.1083254	0.3241720	0.3126358	0.3409202	0.6083474	0.2220314	0.8507515	0.4264163	0.0379455	0.2899047	0.5211296	0.0698385	0.3365017	0.0405245	0.0667410	0.3744958	0.4606895	0.1226601	0.1695911	0.6271834	0.2353136	0.5239709	0.3270118	0.1625934	0.6398491	0.5918342	0.5525177	0.1265749	0.5347693	0.6001514	0.5962047	0.3546893	0.0400632	0.0485456	0.6471464	0.2252584	0.5494307	0.3769659	0.0574699	0.6627522	0.6787006	0.6474941	0.0446362	0.3526357	0.6874774	0.6306091	0.1634730	0.2036808	0.5733064	0.1877261	0.3852806	0.3388255	0.6897138	0.4507783	0.7198752	0.6599425	0.5799331	0.3408657	0.3754734	0.0234678	0.0104490	0.6203139	0.3338347	0.1984974	0.6562612	0.0243560	0.4126343	0.2444233	0.3168604	0.6559101	0.5852674	0.3106321	0.3773469	0.5949935	0.0206315	0.1626909	0.0047471	0.2372481	0.1147246	0.6020294	0.0813465	0.3118044	0.2401543	0.1921815	0.2712159	0.0195784	0.0074484	0.0638156	0.3498882	0.1550649	0.4438000	0.0404241	0.2422870	0.0897420	0.0460337	0.0932586	0.0313200	0.2306735	0.3055031	0.0797665	0.0249159	0.1534106	0.2473683	0.1540494	0.2670033	0.1152437	0.2678357	0.6951833	0.7220226	0.6256143	0.0834271	0.6709212	0.7141850	0.6982560	0.3159223	0.3165767	0.4795844	0.6088735	0.2334643	0.6503514	0.4234793	0.4091418	0.0186688	0.1024980	0.0062306	0.0156072	0.3185575	0.7604492	0.2800888	0.5300310	0.7335099	0.5788873	0.3007866	0.0818432	0.3418905	0.1206252	0.5315365	0.5212255	0.5680992	0.1228345	0.3741220	0.4977611	0.7317402	0.0488295	0.2368049	0.3749455	0.0032095	0.2381089	0.4335057	0.4691832	0.5756072	0.5436336	0.1000091	0.4941358	0.6627814	0.3438403	0.2625753	0.7387800	0.5988315	0.5667092	0.6892072	0.6472217	0.5855228	0.7420523	0.7258581	0.6291561	0.6553010	0.6887709	0.6671889	0.6504183	0.6528380	0.7071310	0.5342953	0.1816466	0.1300445	0.0071874	0.3478333	0.3219842	0.0140627	0.4067980	0.0249874	0.0940998	0.0250887	0.0732147	0.2051139	0.1632287	0.0558320	0.3850607	0.6928446	0.1576629
0.5345477	0.6687055	0.6202677	0.6330663	0.6709254	0.4800315	0.6317525	0.4820084	0.7304900	0.0000000	0.7598618	0.3960456	0.3723495	0.3039093	0.2526311	0.1647218	0.6911555	0.5962482	0.0392880	0.2796135	0.6000663	0.0297731	0.3587231	0.0555091	0.1196793	0.3083010	0.2637659	0.0899647	0.1214821	0.6344904	0.2703797	0.5933266	0.3341526	0.1309197	0.6259789	0.5782582	0.6672878	0.0851600	0.5069219	0.6753632	0.6497868	0.2251498	0.0459305	0.0686668	0.6026252	0.2202739	0.7351828	0.3999868	0.0426784	0.7857063	0.5989048	0.6691486	0.0251968	0.1789462	0.7064661	0.6753745	0.1445650	0.1734003	0.7091591	0.7726296	0.1421759	0.2176211	0.6589547	0.4696680	0.6286346	0.5626601	0.6271894	0.5696023	0.3519661	0.5412032	0.0315786	0.6511893	0.2994722	0.1320711	0.6480964	0.0272233	0.3481699	0.2680911	0.4621458	0.6393621	0.7007915	0.3835776	0.3530439	0.7124374	0.0193126	0.1685850	0.0082736	0.2048129	0.0533589	0.6880944	0.0565140	0.4007181	0.1660327	0.1812405	0.3410070	0.0326412	0.7106805	0.0198444	0.3517329	0.0510742	0.5316739	0.0176961	0.1607628	0.1726095	0.0401681	0.0427526	0.0459113	0.2936489	0.2436262	0.0540353	0.7106100	0.1480141	0.2188228	0.1638816	0.3674776	0.0908352	0.2592023	0.6850685	0.5482050	0.5902498	0.0490303	0.7357154	0.7606230	0.6905924	0.3915308	0.3448992	0.6555666	0.6238176	0.7845045	0.6634057	0.3800441	0.4506293	0.6429486	0.1034321	0.0084312	0.6400626	0.7676703	0.7024078	0.4189107	0.5297339	0.6112164	0.4749824	0.6536854	0.6184307	0.4036590	0.1693236	0.6481515	0.6379021	0.5282857	0.1154698	0.3612368	0.4921791	0.6767156	0.0723967	0.2133061	0.3644273	0.0264732	0.2720182	0.4545753	0.4337508	0.5993869	0.6054077	0.1512061	0.1032451	0.0318378	0.3803002	0.2479742	0.7402116	0.7255447	0.6803819	0.7579775	0.7193522	0.7545042	0.6683621	0.5757313	0.7540004	0.7107482	0.6811926	0.6854549	0.7348606	0.6384923	0.6883306	0.6820704	0.1429835	0.1298280	0.0054330	0.3900178	0.3701222	0.0040624	0.4006046	0.0183674	0.1793124	0.0441861	0.0442345	0.2641167	0.1104329	0.0493469	0.3471051	0.7163030	0.1597784
