malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.4236967	0.4833974	0.6199122	0.5332800	0.6797904	0.5007631	0.5453186	0.3986254	0.0003831	0.5376155	0.0801859	0.3765503	0.3721389	0.1412375	0.3975348	0.1644439	0.6132587	0.3263443	0.0000804	0.2866564	0.7370213	0.0316871	0.3146180	0.0567155	0.0001939	0.3354028	0.4857287	0.0492958	0.1927779	0.7249906	0.2103340	0.5118047	0.3635294	0.0877425	0.6124073	0.5877242	0.6233913	0.0552541	0.4403094	0.4799341	0.7850890	0.4960268	0.0357663	0.0002037	0.6327850	0.2372009	0.6318437	0.3504141	0.0765148	0.6348738	0.6550265	0.5914966	0.0126805	0.1885852	0.5419593	0.7652789	0.1109040	0.1925209	0.7057791	0.2829364	0.3895966	0.3633943	0.6920602	0.3319520	0.6227051	0.6430461	0.6618255	0.4128405	0.3104830	0.3321624	0.0223755	0.7266845	0.1618879	0.1712353	0.7369991	0.0095662	0.1977008	0.1563397	0.2666164	0.5599008	0.6487814	0.4136424	0.2367844	0.6437253	0.0191576	0.1489504	0.0076058	0.1531669	0.0021739	0.5707683	0.0670354	0.2567366	0.2163380	0.2484792	0.2116246	0.0468585	0.0000001	0.0162615	0.4172349	0.0284449	0.5443756	0.0119775	0.2967239	0.1009830	0.0503962	0.0832069	0.0364714	0.2171308	0.3680317	0.0982649	0.0504817	0.1975901	0.2778699	0.1444892	0.3053860	0.0106852	0.2703109	0.6710130	0.5644733	0.7871147	0.0615101	0.6691511	0.5214859	0.6561141	0.3861210	0.2343082	0.3471140	0.6637174	0.1644863	0.6787357	0.2335122	0.3623591	0.0452394	0.1490492	0.0080862	0.0128644	0.3704510	0.7060559	0.3639815	0.4097860	0.6646360	0.5126276	0.4126618	0.1137492	0.2968692	0.0119688	0.5735199	0.6922030	0.6334683	0.0849165	0.5048993	0.4084052	0.6108735	0.0651712	0.1285888	0.3663317	0.0265322	0.2845564	0.3182697	0.6553691	0.6069344	0.6451831	0.1096637	0.4718320	0.5178626	0.6228953	0.0729336	0.5640674	0.6549041	0.5266895	0.6528617	0.5483312	0.6953935	0.6597939	0.7549380	0.6377974	0.6115808	0.6958895	0.7073932	0.7586808	0.5189449	0.7535523	0.7552561	0.1474725	0.0230486	0.0035945	0.2762318	0.3880994	0.0051350	0.3625832	0.0054339	0.1184606	0.0379612	0.0753503	0.1402061	0.1441415	0.0047964	0.4470350	0.7220640	0.1549983
0.4874668	0.8826045	0.6441325	0.5891584	0.6071844	0.6849425	0.4382740	0.3601061	0.3205950	0.3165773	0.6229414	0.2349879	0.1242399	0.1346544	0.3419219	0.0737311	0.7568044	0.3596599	0.0524611	0.1662567	0.7135317	0.0122080	0.2969827	0.0127839	0.2843686	0.3777093	0.5292170	0.0668853	0.1143121	0.6727502	0.1807573	0.4831357	0.3514906	0.1690394	0.6986495	0.6990416	0.7328612	0.0351920	0.4941030	0.5807834	0.6381633	0.6203532	0.0288555	0.0690899	0.4991072	0.1461725	0.4495740	0.4093395	0.1091639	0.6687794	0.6835251	0.4712903	0.0025360	0.3424991	0.6072245	0.6322456	0.0641820	0.2062818	0.5593859	0.6026023	0.1162399	0.2166327	0.5517692	0.4017538	0.5342650	0.6259864	0.5409267	0.7575023	0.3073526	0.3034641	0.0017428	0.7289278	0.1363906	0.1009741	0.5499913	0.0241901	0.2529469	0.2387597	0.2824506	0.7480163	0.6872577	0.6838480	0.2292120	0.5937777	0.0262855	0.1398112	0.0104156	0.1912027	0.0004905	0.5352889	0.1231620	0.4175604	0.2871461	0.1110518	0.3471806	0.0088839	0.6252204	0.0140953	0.2483347	0.0319050	0.4269056	0.0000208	0.1950782	0.1009890	0.0576060	0.0398355	0.0229253	0.2308869	0.3273909	0.0428648	0.3399660	0.1480811	0.2433856	0.3230371	0.3937998	0.0586108	0.2331363	0.6615489	0.5096823	0.5903889	0.0198532	0.6643720	0.7175841	0.6813287	0.2733580	0.5010931	0.3955706	0.5595747	0.2804681	0.7343751	0.2791589	0.3825259	0.0107049	0.0495484	0.0090226	0.0437741	0.6095651	0.5928195	0.2501120	0.4612250	0.6563766	0.5110413	0.5886715	0.2450885	0.2619779	0.0022546	0.5814918	0.5270285	0.6042753	0.0408308	0.4364818	0.5568413	0.6443549	0.0372684	0.2237085	0.4611612	0.0128426	0.1651909	0.3824590	0.5379162	0.7561365	0.6453348	0.0993573	0.4356143	0.1220206	0.4898205	0.1949904	0.8060345	0.5231977	0.7401537	0.6360709	0.7019383	0.5537398	0.5734861	0.5895272	0.5586778	0.7583745	0.7164645	0.5545636	0.4817354	0.7475576	0.7679795	0.6707786	0.1024619	0.0375833	0.0126314	0.3036479	0.3528007	0.0054326	0.4125252	0.0227691	0.0952300	0.0012690	0.0978930	0.1632491	0.0391544	0.0022374	0.4982705	0.5552400	0.1675161
0.3025922	0.5012875	0.6895800	0.5671593	0.6197581	0.6113626	0.5801229	0.4856167	0.5545058	0.2801890	0.8196154	0.2790463	0.3176742	0.3748094	0.1502588	0.1872140	0.6048230	0.5995980	0.0000513	0.1984126	0.6398996	0.0255677	0.2404545	0.0551477	0.0866003	0.1578417	0.2735520	0.0647632	0.1520685	0.6571029	0.1989727	0.7961903	0.4449909	0.1492374	0.5480419	0.6654644	0.6832926	0.1188684	0.5640675	0.5085894	0.6210886	0.4315007	0.0756300	0.0181418	0.5778252	0.3089837	0.6319213	0.4113971	0.0526905	0.6944414	0.6004831	0.5709459	0.0349214	0.0063121	0.7241885	0.6530370	0.1557735	0.0875956	0.5492667	0.6196475	0.2531834	0.2196337	0.6651862	0.5273235	0.5957218	0.7320638	0.6117988	0.5875471	0.2149863	0.4024883	0.0034199	0.5577393	0.2920633	0.0021852	0.6684903	0.0206427	0.2384677	0.2604094	0.4319439	0.5586910	0.6013791	0.5615265	0.3582963	0.6476307	0.0116688	0.1831029	0.0333464	0.1252363	0.0470549	0.5860438	0.0021297	0.3788732	0.2860052	0.2348845	0.3448739	0.0196211	0.6768256	0.0244295	0.3336139	0.0930558	0.2467234	0.0000509	0.0735733	0.0806934	0.0527935	0.0652842	0.0270586	0.2471830	0.3154252	0.0705669	0.5831447	0.1310597	0.3134786	0.2662859	0.3825891	0.0953306	0.0632032	0.6183081	0.6056598	0.5527412	0.0561933	0.7347665	0.6770354	0.7073157	0.3719151	0.3332768	0.4084612	0.5697532	0.3931542	0.5879815	0.6321598	0.4049283	0.0738916	0.0841089	0.0148216	0.2166155	0.6560885	0.6948389	0.3367547	0.4221419	0.6769403	0.4833612	0.5581525	0.3474418	0.3175322	0.0046301	0.5350691	0.5335526	0.6024617	0.1559059	0.4034619	0.5963452	0.6188853	0.1390503	0.2141634	0.3338829	0.0112288	0.1612790	0.4617627	0.5716442	0.5925402	0.7630492	0.0819063	0.1724538	0.0210260	0.4242408	0.2629382	0.4547450	0.4936009	0.7339143	0.5915273	0.2975309	0.5219515	0.3637140	0.6648565	0.6810128	0.6601537	0.6645973	0.6724062	0.7568848	0.6598748	0.5093377	0.5835303	0.1613421	0.0807880	0.0033043	0.3471080	0.2369606	0.0000096	0.2030235	0.0131732	0.2610662	0.0004059	0.0437551	0.2091866	0.1105181	0.0070347	0.3242625	0.6926650	0.1306177
0.4849976	0.7504223	0.7237079	0.6868619	0.8040079	0.5799687	0.8054228	0.5431239	0.3066791	0.7162742	0.1310884	0.3192128	0.2847621	0.2294781	0.2421931	0.2059745	0.7387824	0.4378176	0.0405009	0.1698293	0.5808178	0.0339742	0.2472496	0.0597430	0.3735711	0.4932140	0.4302278	0.0483571	0.1335527	0.5976932	0.1077878	0.5509635	0.4516616	0.2144329	0.6286989	0.6184790	0.6500696	0.0947490	0.5087810	0.6763778	0.5488869	0.3912125	0.0261972	0.0383613	0.6617164	0.2419024	0.7166874	0.4130562	0.0669091	0.6322383	0.6106479	0.6729434	0.0285847	0.3450639	0.7513946	0.7747941	0.1733656	0.2230180	0.6059184	0.2408745	0.1524749	0.2291859	0.5793113	0.3298060	0.6586541	0.5811440	0.7058488	0.3159281	0.2091276	0.3655740	0.0406274	0.6171402	0.3077406	0.0639821	0.6109191	0.0290632	0.4216484	0.2671414	0.3693461	0.6526765	0.7174770	0.4969199	0.2325905	0.5146662	0.0033312	0.1185310	0.0165659	0.2285040	0.0395937	0.6231175	0.0004063	0.5258592	0.1792946	0.0658973	0.1431572	0.0160174	0.4239351	0.0191483	0.3319669	0.0534572	0.5834485	0.0220723	0.2010443	0.0263875	0.0526129	0.0208429	0.0476067	0.2670909	0.3589026	0.0639481	0.3457295	0.1438177	0.2134908	0.1645306	0.3987876	0.0543327	0.0455786	0.6478485	0.6103813	0.6379635	0.0001328	0.7013948	0.6426414	0.7719825	0.4009624	0.3555610	0.2433372	0.4570555	0.1444413	0.7029969	0.2027078	0.4582288	0.0026691	0.0949669	0.0069966	0.0189714	0.3129683	0.6246980	0.2580750	0.4245480	0.5383251	0.6662389	0.4160958	0.0721332	0.2201114	0.1167976	0.5772269	0.6788842	0.6072910	0.0859110	0.4175421	0.4965091	0.6233999	0.0464612	0.2119299	0.3588375	0.0296683	0.1745666	0.5642431	0.5301307	0.6676352	0.5283338	0.0591084	0.4430398	0.7263224	0.5006806	0.3623095	0.6306192	0.6273174	0.6007671	0.6107307	0.7480156	0.6786380	0.6108737	0.4986190	0.5350212	0.4420596	0.6509610	0.7239066	0.5406893	0.4877082	0.7487286	0.6488297	0.0604361	0.0592986	0.0190041	0.6082743	0.3166573	0.0050359	0.1298042	0.0057336	0.1003997	0.0281555	0.0518916	0.1212931	0.0914401	0.0036874	0.5538091	0.4998571	0.1994755
0.4639034	0.7147011	0.6053290	0.5487362	0.5533669	0.6348298	0.7950660	0.4229603	0.1411995	0.5984644	0.0606038	0.3746106	0.3044851	0.2673966	0.3895627	0.1445350	0.6905710	0.7556343	0.0003780	0.2350757	0.5836682	0.0297193	0.1024940	0.0778395	0.0192198	0.2834877	0.4183222	0.0514161	0.1630503	0.5591769	0.2198066	0.4019549	0.4048352	0.1465444	0.6557252	0.6967145	0.5805043	0.1207752	0.5381408	0.6573184	0.6810138	0.3117862	0.0753008	0.0651022	0.5869536	0.2035951	0.6357632	0.4748768	0.0344825	0.6351540	0.7335060	0.7049890	0.0288033	0.3392614	0.7132007	0.6134600	0.1229309	0.1361857	0.5886679	0.0864850	0.0022245	0.3646238	0.5569992	0.3813144	0.7324302	0.5884972	0.5585417	0.3089870	0.2754639	0.2442438	0.0399525	0.6127775	0.2169667	0.1462573	0.7252225	0.1076576	0.4181709	0.3415418	0.6897574	0.6440796	0.5958620	0.3538501	0.2933654	0.6016275	0.0004403	0.1332168	0.0142531	0.1668321	0.0000640	0.7794254	0.0638590	0.4379274	0.0726570	0.1515458	0.2553929	0.0328100	0.1313608	0.0629198	0.2731434	0.0924458	0.4512110	0.0010976	0.4528399	0.0742247	0.0561388	0.0655031	0.0298562	0.0988000	0.2972531	0.0624805	0.1903352	0.1824318	0.1447598	0.2278294	0.2926454	0.0695947	0.1342370	0.6620264	0.6752393	0.5916039	0.0002937	0.6469876	0.6685174	0.7296085	0.3087207	0.2845581	0.1495121	0.4982643	0.2100651	0.6477359	0.3453706	0.4225621	0.0368324	0.0273223	0.0008862	0.0509529	0.3885595	0.5536804	0.0984117	0.3433206	0.6502026	0.5351424	0.3518009	0.0841955	0.2553477	0.0056123	0.6946651	0.6529830	0.6362190	0.0489018	0.3277043	0.5594506	0.6930463	0.0411364	0.1641391	0.4992899	0.0026879	0.2133199	0.3890935	0.6236379	0.6317950	0.5969440	0.1424478	0.5918150	0.6008639	0.4479658	0.4130640	0.6990303	0.7284512	0.6244938	0.6221618	0.4817516	0.7433620	0.6419779	0.6729543	0.6844608	0.4645997	0.6195176	0.5303799	0.4454907	0.7431313	0.7029456	0.5361599	0.0204664	0.0719932	0.0007444	0.3022347	0.1828201	0.0070659	0.3488288	0.0427668	0.0936435	0.0002446	0.0838561	0.0694996	0.1744989	0.0411516	0.4115696	0.5831766	0.2327568
0.4420636	0.5809985	0.6020077	0.5659051	0.5562727	0.5700282	0.7738734	0.4612274	0.3134208	0.4706719	0.2538687	0.4664291	0.1995407	0.4264824	0.0302042	0.1238694	0.6846720	0.3865345	0.0327375	0.2860805	0.5723161	0.0312651	0.1807951	0.1088356	0.0492022	0.3381365	0.3681260	0.0485191	0.3128058	0.6065106	0.3346642	0.4594951	0.2631988	0.2091027	0.7031527	0.5496077	0.7990705	0.1220583	0.5407341	0.4797993	0.6051679	0.3722020	0.0714922	0.0335591	0.5505170	0.3144360	0.6779221	0.3697172	0.0800791	0.6014346	0.6472434	0.6477932	0.0500386	0.2093208	0.7178334	0.7228385	0.3152485	0.1657577	0.4931585	0.2893464	0.4197033	0.2119985	0.6967986	0.5185867	0.6825523	0.6418627	0.6389462	0.3478255	0.3244430	0.3447364	0.0346973	0.6851864	0.2178304	0.1220771	0.6024483	0.0211390	0.4200792	0.3637325	0.5677405	0.6259848	0.7478194	0.3058101	0.3650709	0.6830824	0.0362741	0.0875160	0.0187323	0.2286183	0.0815165	0.5476017	0.0536688	0.3214886	0.1271841	0.2542606	0.4081404	0.0541141	0.5782133	0.0752694	0.2024306	0.1075160	0.4323711	0.0216674	0.0495660	0.1442569	0.1005433	0.0560054	0.0601707	0.2854947	0.3190227	0.1206252	0.4820569	0.2480895	0.4480858	0.2841573	0.2765428	0.0380186	0.0603259	0.6098896	0.6481143	0.5756217	0.0001753	0.6168389	0.4539851	0.7015905	0.2755858	0.1747360	0.5770976	0.5038935	0.3082825	0.7191453	0.3581840	0.3802636	0.0001853	0.1945107	0.0136463	0.0397347	0.3834158	0.6399941	0.3181591	0.3694864	0.5262705	0.4623031	0.4079817	0.1620549	0.4363621	0.1461358	0.4996061	0.5738010	0.4988534	0.1194858	0.3010218	0.5144877	0.7155862	0.0954350	0.1551992	0.5372678	0.0230293	0.1704660	0.4709873	0.4832157	0.6692097	0.5872884	0.0944998	0.5653171	0.2602731	0.3926097	0.2414710	0.7407216	0.5095768	0.6350526	0.5845406	0.7567650	0.7159214	0.6770338	0.6898262	0.5810175	0.4258433	0.6612754	0.6187861	0.6590736	0.4177438	0.6375880	0.4505482	0.2388774	0.1445022	0.0009993	0.2311340	0.5326636	0.0000921	0.5448581	0.0232702	0.4662924	0.0090313	0.1434950	0.3485235	0.0003875	0.0059422	0.1211886	0.5998656	0.1465928
0.3495645	0.6550057	0.5368246	0.5374893	0.6614187	0.6811281	0.6306951	0.5381714	0.1698033	0.5111340	0.2217641	0.3515230	0.4271883	0.2879654	0.5720543	0.1819489	0.7132473	0.2718556	0.0413518	0.2961311	0.5171519	0.0268056	0.3739610	0.0120564	0.0134841	0.3383236	0.4218643	0.1096683	0.1341912	0.5972560	0.2837268	0.4394030	0.2730245	0.1826780	0.6080921	0.6453678	0.6490447	0.0361842	0.5508788	0.5384509	0.7398639	0.2977369	0.0466686	0.0474117	0.6472163	0.1500812	0.6199584	0.2873238	0.0700975	0.5769549	0.7553947	0.6188892	0.0283257	0.0914939	0.6485523	0.6056305	0.2576867	0.1276213	0.6697912	0.3612296	0.1443329	0.2172952	0.7248761	0.3280438	0.5096687	0.6347997	0.6197774	0.2404613	0.3289250	0.0758261	0.0040045	0.5477034	0.2793858	0.1296937	0.5891915	0.0273948	0.2507203	0.2896568	0.3202202	0.8120730	0.6492006	0.3476076	0.2929279	0.6937347	0.0378462	0.0213819	0.0181468	0.1171701	0.0041154	0.4910182	0.0806333	0.3216393	0.0929839	0.0870001	0.3681110	0.0258329	0.3056215	0.0315454	0.2735020	0.0191476	0.5735200	0.0305028	0.1345867	0.0949533	0.0258171	0.0241011	0.0578938	0.2374823	0.3151948	0.0652351	0.2696665	0.1333278	0.1736334	0.1706406	0.3119545	0.0923974	0.1924227	0.7040217	0.4905769	0.6263299	0.0002116	0.6973764	0.5480531	0.6802003	0.4316095	0.3341105	0.6508098	0.4788547	0.3620545	0.6372104	0.4519120	0.4347934	0.0049474	0.0803371	0.0004615	0.0734457	0.2928890	0.6473678	0.4438570	0.5137535	0.6414176	0.4966605	0.4111859	0.0635849	0.2555456	0.1498815	0.5404221	0.7076900	0.4548114	0.0899370	0.3703933	0.6420297	0.6449682	0.0557534	0.2441626	0.6087451	0.0571893	0.1863049	0.4861498	0.5538315	0.6662748	0.5847126	0.1123705	0.3596037	0.4232930	0.4022041	0.2413844	0.4940039	0.4257281	0.4658384	0.5422727	0.6807420	0.3944469	0.7726847	0.7027917	0.5603360	0.5246932	0.7325118	0.5311592	0.5782168	0.7579264	0.4231604	0.8181866	0.1159705	0.1010995	0.0083953	0.4230815	0.2952027	0.0041300	0.2180056	0.0278218	0.1037019	0.0325869	0.0727248	0.1450255	0.0890646	0.0005072	0.4822387	0.7051802	0.0618331
0.4166555	0.7404770	0.6666160	0.5630412	0.6841386	0.5487499	0.7911166	0.5144178	0.0725575	0.6308063	0.1524852	0.3412765	0.2110878	0.2836133	0.7763193	0.0963762	0.4956303	0.4307661	0.0154578	0.2279403	0.4951166	0.0314285	0.3466072	0.0257849	0.2294489	0.3813086	0.5337499	0.0302597	0.0726957	0.7244356	0.3784827	0.5139560	0.3938252	0.0869229	0.6086825	0.6741597	0.6213532	0.0311301	0.5236838	0.5582193	0.6063219	0.2051260	0.0618991	0.0000186	0.5788790	0.1608913	0.5810714	0.3784890	0.0547853	0.6011722	0.5840065	0.5929342	0.0367574	0.4266805	0.7939822	0.5625481	0.2243290	0.0847869	0.6322431	0.1506990	0.1366996	0.2317851	0.6362356	0.3009998	0.6227789	0.7084836	0.5593625	0.4050309	0.2885174	0.0047923	0.0262690	0.5686455	0.1515520	0.1970267	0.6044453	0.0300484	0.3501248	0.3170194	0.4326073	0.6718414	0.6263912	0.3740684	0.2420151	0.6522848	0.0290383	0.0575639	0.0094978	0.2265033	0.0113352	0.6564290	0.0855492	0.3614551	0.1901529	0.1177995	0.3738062	0.0369376	0.0031932	0.0351076	0.2758229	0.0127706	0.4856502	0.0005536	0.2379572	0.0829952	0.0285234	0.0098224	0.0601603	0.0987864	0.1589086	0.0931079	0.0615979	0.1730060	0.2878059	0.0684987	0.3534797	0.1073763	0.2310281	0.5806148	0.7387843	0.5721894	0.0001994	0.7072377	0.6278096	0.6739755	0.2498075	0.3791391	0.4796799	0.5007601	0.1704965	0.6751909	0.5012366	0.4707869	0.0123175	0.1522843	0.0003504	0.0367667	0.4642483	0.7908023	0.1861011	0.5158598	0.7177193	0.4822482	0.3025240	0.0494435	0.3344704	0.1526131	0.5943099	0.6939726	0.6128678	0.0930332	0.3597496	0.4470465	0.6636496	0.0170961	0.0813969	0.3762536	0.0111713	0.1973229	0.3139205	0.6123172	0.6948898	0.5937648	0.0947054	0.5749652	0.3932822	0.5234835	0.2214432	0.2204737	0.6721600	0.6657335	0.7007736	0.7173433	0.7030663	0.5050511	0.7037332	0.4879415	0.5732997	0.3185772	0.8673472	0.6843789	0.6493921	0.5762600	0.7120030	0.1495870	0.0721021	0.0025422	0.4299677	0.4143354	0.0080506	0.2435216	0.0316019	0.0992872	0.0009732	0.0942688	0.2720608	0.1208879	0.0130942	0.3833937	0.7071944	0.1339616
0.3972662	0.6839515	0.6226985	0.7762047	0.6561670	0.4199400	0.4841199	0.3504202	0.3116025	0.7484227	0.1166967	0.4862853	0.4470702	0.2226729	0.4771920	0.2180051	0.6027157	0.5415374	0.0000125	0.1900040	0.5733787	0.0493593	0.2991438	0.0381660	0.0867146	0.3045289	0.3623708	0.0553451	0.2095390	0.5357836	0.3837480	0.3819874	0.2734429	0.0981860	0.6688809	0.7179749	0.5701408	0.0745264	0.5462548	0.6127814	0.6367276	0.2709415	0.1094180	0.0870964	0.6449411	0.3191670	0.4274153	0.3326314	0.1380208	0.6122616	0.6513968	0.5806287	0.0127655	0.2319497	0.6770069	0.5780939	0.2505000	0.1700788	0.6032597	0.1441162	0.0848240	0.3071470	0.6956938	0.3473301	0.7547795	0.5825812	0.5986663	0.1752660	0.2423367	0.3462449	0.0384763	0.6174239	0.1797518	0.1244761	0.5587945	0.0102998	0.1878203	0.2156534	0.2051727	0.7130702	0.6305817	0.2561343	0.3988516	0.7191385	0.0022085	0.1592396	0.0183035	0.2513275	0.0845697	0.6038090	0.0927096	0.2891885	0.2012015	0.2520353	0.5507895	0.1307136	0.4199065	0.0495790	0.3098752	0.0929663	0.3810197	0.0021175	0.1541649	0.0917752	0.0868336	0.0685106	0.0339654	0.2958818	0.3665829	0.1378250	0.4333787	0.1968917	0.3559595	0.2153666	0.3082848	0.1063209	0.1654615	0.6854535	0.5061752	0.5324118	0.0002262	0.6514008	0.6439193	0.6476215	0.3954102	0.2757902	0.3291638	0.5976671	0.2034956	0.5245077	0.2886688	0.3117219	0.0017127	0.0667245	0.0027770	0.0032280	0.2728957	0.7685317	0.2904157	0.3317965	0.6391490	0.4769250	0.1553746	0.1137233	0.2605268	0.0013724	0.5546324	0.5650842	0.6456348	0.1364408	0.2549663	0.4749916	0.6820023	0.0624630	0.0449518	0.4250963	0.0193447	0.2013961	0.5055262	0.7036693	0.5821624	0.4525619	0.0768327	0.5049429	0.5097460	0.3700859	0.1971909	0.4706405	0.5477333	0.5840110	0.5479129	0.6278134	0.6961847	0.6712170	0.7866099	0.5291442	0.6646102	0.6044476	0.5310678	0.6118269	0.4684913	0.4661789	0.7235475	0.1039828	0.0648811	0.0174118	0.2921875	0.4304358	0.0070053	0.3495988	0.0068408	0.1054624	0.0034072	0.0128195	0.1244208	0.1247739	0.0407063	0.3746498	0.6163720	0.0848051
0.5459563	0.7195952	0.5817666	0.6668832	0.6631942	0.4173657	0.4217987	0.4800448	0.0850059	0.6668276	0.1356500	0.3805876	0.3782812	0.2561605	0.6083946	0.2023533	0.6390152	0.6392748	0.0014162	0.2834094	0.5575768	0.0246289	0.3408478	0.0561567	0.0040482	0.2256695	0.3935177	0.0652715	0.2191060	0.5433429	0.2416639	0.5709756	0.2475710	0.0785526	0.6897118	0.5309103	0.6799008	0.1847861	0.4923400	0.6928967	0.6010262	0.2828207	0.0599622	0.0851373	0.6626333	0.1784681	0.5726043	0.5661800	0.0241031	0.7008544	0.6097265	0.5947707	0.0217661	0.4636735	0.6192570	0.6253653	0.1606057	0.2020126	0.6195591	0.2024487	0.1019323	0.2647297	0.7232169	0.2468401	0.5378224	0.4785667	0.6183859	0.2980430	0.2720708	0.1739692	0.0051868	0.7374298	0.2253929	0.1506056	0.6512521	0.0107519	0.2825307	0.3255731	0.5046472	0.6312579	0.7255234	0.3841655	0.3647927	0.7249260	0.0168930	0.1599646	0.0089382	0.1944768	0.0967471	0.5460154	0.1209585	0.2590920	0.0788911	0.1477248	0.4613961	0.0323503	0.0477547	0.0223541	0.3356805	0.0340032	0.5918811	0.0365456	0.1770150	0.0649151	0.0465590	0.0209836	0.0799860	0.2539331	0.2946832	0.0948120	0.1948179	0.1705604	0.3145277	0.1875108	0.3090711	0.0590501	0.2075670	0.6564019	0.5763793	0.7239330	0.0003965	0.7327420	0.5577243	0.7144704	0.4692932	0.3778024	0.4581411	0.5914607	0.2022632	0.6216856	0.4355416	0.4107742	0.0033017	0.0656781	0.0047421	0.0205729	0.2983264	0.6614382	0.2165141	0.5037643	0.6154778	0.4469069	0.3483322	0.0557325	0.3000670	0.1612695	0.5640906	0.5154069	0.4932867	0.1541436	0.3468649	0.3860751	0.6923528	0.0578503	0.1914185	0.3651466	0.0059932	0.1485730	0.2774927	0.4322840	0.6883457	0.6165935	0.1456070	0.4833922	0.5060626	0.3392119	0.1399467	0.7476664	0.5968531	0.6923462	0.8328754	0.6668174	0.6135411	0.4662682	0.7167625	0.5874144	0.5061104	0.7620002	0.6343005	0.6601304	0.6525892	0.4351274	0.6783234	0.2057508	0.0137610	0.0014966	0.3179865	0.3435021	0.0036810	0.3728989	0.0057195	0.1947346	0.0071932	0.0139791	0.1844052	0.0016582	0.0433279	0.4375892	0.6225912	0.0567917
