malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.0583162	0.9427649	0.0928546	0.0262017	0.0315305	0.0000000	0.9548370	0.6824794	0.0000000	0.9892008	0.1880597	0.9961938	1.0406247	0.9680249	0.6246299	0.9173106	0.0923246	0.5119668	0.0814050	1.0315199	0.0600686	1.0302196	1.0230804	0.8749761	0.0667542	0.1113814	0.3934836	0.5591223	0.8994389	0.0655529	1.0085176	0.0138240	0.0148489	1.0824864	1.0392127	1.0255860	0.3276668	0.8988103	0.1949677	0.0779617	1.0079756	0.4939171	1.0071483	0.0849038	0.1857129	0.9786550	0.9733441	0.0301234	0.9671660	0.4114251	0.2036704	0.3122087	0.3969009	0.2650526	0.9677669	0.9057488	1.0843977	0.2947825	0.8768178	0.2833804	0.5806036	0.0165235	1.0662782	0.0698799	1.0112695	0.0919413	0.0111494	0.5412622	0.9319632	0.0454520	0.9222083	0.6059197	0.9695805	0.9869681	0.0027952	0.9838628	0.9926005	0.9559919	0.5799852	0.0737937	0.0614125	0.0275568	1.0219549	0.0400930	0.3154261	0.9380561	1.0340180	0.9784974	0.1070899	0.3553808	1.0054013	0.0929786	0.6775579	1.0151699	1.0837747	0.9506588	0.0211079	0.9420334	1.0732857	0.9970295	0.0636554	1.0078504	0.0053626	0.9834005	1.0608250	0.6939396	0.6833165	0.9275642	0.9979996	0.9907528	0.0383813	1.0367204	1.0538557	0.9208181	0.0834720	1.0169172	0.9478731	0.0613948	0.9564631	0.0647938	0.1117552	0.6057867	0.0632458	0.3097858	0.9865437	0.0497840	0.6414454	0.0663505	0.3516641	0.1947507	0.5625235	0.1041587	0.0310057	0.1444702	0.0059787	0.0386829	0.5482123	0.1395050	0.4773324	0.0212932	0.6207440	0.8163604	0.5047716	0.1518410	1.1042695	0.8405527	0.0800199	0.0268686	0.0851890	0.9500870	0.0526126	0.0003283	0.3830841	0.0819683	1.0044951	0.0372294	1.0201509	0.9585953	0.0350908	0.0273089	0.0389949	0.0149661	1.0451799	0.7467015	0.7678058	0.1041044	0.9149172	0.9468359	0.9922574	1.0123066	1.0924001	1.0182377	0.9889344	0.9305703	0.9712197	1.0861779	1.0396041	1.0527546	1.1518220	0.9816315	0.9926903	0.8787173	1.0103486	0.2172976	0.0723308	0.0130638	0.4989840	0.5548613	0.0105630	0.6037704	0.0392915	0.1797795	0.0576597	0.0969662	0.2905697	0.2394419	0.0756894	0.6216735	1.0360642	0.2215769
0.9922980	0.0000000	0.9565971	0.9345194	0.9081069	0.7547508	0.9678517	0.7337921	0.3030832	0.9978622	0.1604527	0.5181255	0.4776905	0.4149726	0.5880282	0.2874042	0.9986394	0.6184673	0.0628215	0.3246340	0.9304551	0.0635633	0.4293192	0.1118992	0.1009169	0.6179010	0.6361770	0.1121133	0.2518360	0.9815527	0.4116697	0.8056322	0.5005491	0.1893979	1.0292273	1.0612168	0.9711503	0.1370396	0.8583811	0.8552577	1.0746185	0.4076716	0.0935707	1.0242748	1.0004780	0.3755400	0.9496198	0.5251840	0.0641753	0.9840230	0.9688853	0.8356203	0.0422725	0.5240341	1.0192017	0.9817421	0.2568554	1.0198919	0.9798359	0.2865727	0.2057072	0.4879589	0.9878888	0.5559474	0.9311329	0.7881114	0.9674707	0.4984153	0.4801941	0.2405883	0.0563283	1.0182573	0.4190657	0.2340780	0.9385360	0.0303812	0.4878525	0.3872193	0.6897910	0.9044861	1.0812464	0.5266082	0.5050960	1.0232991	0.0389402	0.2490312	0.0123590	0.3039254	0.1262743	0.8873866	0.1159762	0.5014362	0.2998566	0.2528052	0.4832496	0.0345487	0.3725896	0.0403080	0.5019219	0.0987795	0.9439365	0.0223943	0.5360711	0.1151477	0.0844936	0.1031961	0.0882040	0.3394942	0.4303476	0.0966101	0.4797092	0.3089926	0.3861620	0.2465082	0.4882853	0.1158822	0.4291081	0.9891161	0.9428370	0.9270695	0.0778044	1.0026436	0.8593104	0.9805758	0.5275869	0.5359370	0.5617147	1.0112272	0.3090528	1.0059251	0.4782016	0.6048554	0.0155036	0.8647412	0.3222662	0.0413287	0.4794735	0.9411810	0.5561518	0.6947551	0.9485448	1.0465436	0.4671435	0.1093173	0.4354364	1.0641855	0.8375498	0.7733226	0.8451815	0.1672373	0.5958520	0.6837451	1.0251965	0.9290447	0.2263922	0.4651823	0.0574272	0.2680227	0.5153974	0.6459703	0.8689236	0.8115841	0.1471379	0.7556134	0.7214903	0.5967666	0.3491997	1.0024255	0.9341315	0.9553643	0.9886923	0.9866295	0.9343435	1.0441528	1.0392046	0.9513722	1.0087547	1.0704504	1.0779652	0.9552358	0.9582034	1.0500712	0.9815531	0.2065031	0.1264424	0.0127605	0.5416656	0.4975177	0.0166076	0.6802116	0.0371069	0.2141311	0.0553679	0.1087960	0.2729429	0.1924192	0.0780745	0.6216999	0.0000000	1.0466421
0.0606839	1.0129523	0.0000000	0.0026373	0.0382259	0.0000000	0.9951908	0.6857035	0.0003535	0.9656660	0.1893832	1.0078088	0.9576172	1.0518692	0.6592064	1.0302583	0.0611952	0.5362797	0.9657071	0.9930096	0.0433000	0.9655347	0.9639718	1.0289682	0.0760800	0.1437825	0.3680422	0.9404678	0.9705090	0.0412677	1.0894891	0.0079772	0.0254526	1.0607606	1.0841100	1.0294246	0.3014497	1.0427789	0.0792344	0.0646894	0.9381729	0.5234398	1.0114113	0.1120984	0.2128097	1.0074525	0.9195887	0.0261372	0.9453882	0.0182004	0.2190605	0.0759485	0.9670588	0.6272605	0.0096016	1.0430123	1.0204816	0.3598442	0.9700415	0.3812992	0.5827599	0.0161957	1.0180190	0.0896567	1.0317633	0.0907642	0.0097231	0.5403148	0.9513351	0.0525712	0.9994666	0.0046939	1.0642160	1.0905049	0.0067088	1.0148292	1.0030264	0.9764666	0.5674562	0.0990232	0.0769511	0.0423116	1.1252815	0.0445311	1.0512912	1.0675599	0.9793531	1.0798927	1.0433998	0.3660683	1.0259658	0.0754659	0.9308592	0.9622098	0.9760192	0.9504160	0.0162886	0.8988998	1.0523823	1.0866772	0.0488773	1.1085196	0.0171636	1.0179860	0.8796307	1.0257263	1.0432559	1.0818823	1.0401025	1.0426429	0.0632839	1.0124315	0.9512471	0.9426410	0.0610995	1.0037407	1.0799119	0.0416526	0.9056280	0.0775848	1.0972654	0.0290837	0.0210785	0.0320976	1.0512848	0.0401475	0.6577148	0.0387553	0.3771149	0.0366578	0.5807892	0.1206285	0.0185535	0.1381253	0.0052677	0.0415665	0.5800343	0.0633563	0.5135281	0.0315363	0.0621281	0.7654044	0.5292657	0.1434327	1.0369205	1.0320735	0.0081959	0.0380661	0.0607064	0.8905792	0.0279495	0.0004533	0.0374112	0.1188365	0.9701790	0.0246636	0.9840240	1.0220330	0.0607804	0.0299582	0.0199602	0.0096173	0.9948708	0.7125067	0.7187608	0.0234568	1.0537241	0.9837359	1.0526982	1.0950642	1.0016730	1.0216858	1.0595668	0.9938082	1.0254144	0.9788884	1.0268340	1.0771308	0.9945722	1.0641176	1.0508442	0.9923340	0.9529901	0.2135223	0.0855518	0.0160902	0.5227416	0.5005745	0.0160279	0.5457649	0.0388619	0.1701423	0.0452901	0.0970519	0.3027759	0.2168016	0.0651370	0.6429817	1.1171690	0.2035228
1.0798432	0.0000000	0.9761193	0.9166910	1.0254194	0.7982532	0.9869708	0.6270795	0.3078255	1.0856162	0.1261778	0.4653338	0.4970909	0.4495425	0.6494905	0.2870262	1.0418593	0.5047637	0.0778030	0.3702746	0.8808718	0.0560346	0.4997892	0.0882289	0.0851378	0.6227211	0.7463871	0.1054851	0.2209629	1.0242025	0.4000896	0.8023665	0.5465121	0.2187601	0.9891024	0.9950081	0.9829463	0.1545103	0.7508070	0.9682745	1.1123784	0.4609805	0.1150258	0.9383943	1.0170180	0.3930614	0.8360028	0.5180621	0.0817195	0.9934585	0.9230307	0.8697804	0.0396614	0.5347027	0.9586816	1.0300352	0.2908894	0.6593800	0.8444930	0.3367694	0.2610395	0.5531513	0.9966775	0.5939317	0.9635080	0.9306092	0.9041799	0.4864601	0.4666907	0.1748845	0.0716264	1.0192997	0.4481230	0.2355554	0.9614148	0.0413343	0.4351287	0.4394587	0.5655208	1.0136568	0.9730675	0.6333957	0.5146970	0.9998058	0.0304094	0.2293442	0.0340200	0.2932308	0.1169666	0.9683885	0.1214752	0.5366355	0.2810885	0.2627500	0.5305678	0.0476166	0.3192953	0.0401729	0.5032887	0.1646622	0.9370471	0.0398108	0.6668149	0.1070876	0.0510657	0.0836350	0.0678879	0.4065502	0.4561379	0.1298077	0.4775209	0.2800848	0.3952355	0.2554334	0.5605708	0.1354469	0.3882273	1.0515308	0.9058435	0.9235238	0.0841849	0.9916515	1.0259857	1.0245215	0.5857074	0.4946317	0.5316652	0.8646018	0.3614617	0.9689918	0.8937952	0.6587877	0.0201123	0.4107355	1.0461727	0.0403873	0.4544111	0.9310678	0.8821862	0.6072687	0.9873108	1.1088834	0.5307630	0.1447612	0.4683379	0.2172594	0.8718433	0.7498421	0.8816248	0.2267782	0.5516079	0.7202008	0.9868409	1.0287356	0.2719948	0.4501533	0.0425873	0.2849940	0.5262393	0.7537581	0.9384139	0.8297712	0.1915608	0.7665024	0.7504220	0.6092530	0.4118733	1.0134984	1.0433710	0.9855955	1.0328721	1.0259772	1.0044614	0.9628613	1.0040985	1.0083765	1.0996690	0.9773718	0.9914688	0.9431171	1.0405978	1.0521342	0.0000000	1.0448362	0.9561769	1.0209948	0.0722233	1.0175902	0.9995243	1.0232956	0.9938791	1.0537472	0.9810696	1.0216884	0.9738087	0.9812383	1.0189025	0.0268794	1.0394852	0.2414417
0.0780535	0.9922037	0.0000000	0.0005817	0.0381574	0.7483378	1.0029369	0.7062966	0.0000000	0.9834232	0.1422154	0.9260813	0.9513852	0.9250117	0.9026795	0.9538860	0.0594207	0.5424896	1.0093347	0.9170104	0.0428178	0.9428062	1.0716866	1.0172808	0.0711120	0.1088164	0.7554242	0.9756777	1.0629339	0.0435308	1.0116854	0.0157646	0.0236602	1.0904565	1.1567020	0.8485867	0.2513742	0.9341322	0.0861521	0.9156035	1.1228367	0.8147915	1.1045631	0.1003289	0.1477600	1.0455025	0.9388869	0.0318040	0.9760712	0.0106859	0.1821127	0.0521535	1.0402290	0.9280665	0.0048956	0.9751753	1.0075010	0.3026742	0.8991627	0.2194679	0.7346139	0.0081045	1.0890897	0.5068513	1.0244828	0.9214853	1.0234295	0.3845070	1.0205770	0.0261626	1.0393185	0.0017893	1.1193675	1.0272346	1.0089115	0.9608009	0.9899074	1.0671890	0.6463911	0.0871543	0.0370599	0.4663091	1.0709818	0.0399747	1.0510416	1.0889881	1.0749378	0.8736480	0.9563631	0.3307285	0.9994803	0.5479960	0.9869365	1.0312262	0.9768817	0.9958059	0.0186495	0.9872754	0.9927448	1.0727216	0.0802449	1.0138677	0.0137806	0.9640647	0.9997906	1.0174066	1.0491523	1.0889240	0.9632272	0.9445526	0.0439503	1.1307725	1.0379786	1.0251129	0.4987281	1.0708086	1.0935955	0.0396856	0.8939173	0.0727988	1.0646771	0.0367366	0.0353729	0.0290760	0.9702677	0.0318357	0.4113595	0.0547839	0.2733292	0.0259888	0.5573325	0.0916339	0.0366534	0.1340154	0.0052719	0.0365069	0.4393491	0.0749729	0.4722459	0.0212025	0.0590821	0.8283181	0.5211229	0.0746646	1.0483225	0.9898235	0.0102503	0.8777512	0.0458371	1.1085924	0.0341683	0.7866089	0.0347255	0.1327657	0.9525319	0.5011989	1.0358695	1.0685548	0.5115048	0.7507650	0.9056626	0.8088332	1.0397700	0.7179674	0.8901327	0.0221350	0.9011111	1.0163074	1.0742773	0.9485157	0.9620636	1.0425456	1.0602139	1.0639149	1.0516618	1.0517529	1.0449700	1.0599574	0.9659528	0.9939053	1.0276111	1.0594866	0.9816992	0.2362867	0.1047215	0.0147325	0.5267467	0.5333562	0.0128731	0.6154184	0.0386357	0.1462609	0.0406511	0.1089237	0.2325781	0.2246362	0.0575732	0.6368801	0.9631027	0.2597232
0.0820288	0.9815260	0.2026505	0.1330231	0.1390168	0.0281620	0.0000000	0.0000000	0.0089948	1.1183045	0.1286385	0.9849333	1.1003396	0.9721876	0.5820595	0.8896590	0.4534376	0.0467734	0.0593394	1.0467647	0.0861878	0.9850094	1.0483960	0.7407912	0.0698568	0.1502013	0.4016464	0.3821435	0.7510951	0.1569855	1.0854153	0.0337024	0.0125366	1.0429253	1.0382849	0.0560961	0.3747003	0.6995404	0.3349893	0.0762074	0.0441170	0.4618113	0.8931012	0.0991553	0.2576702	0.9548077	0.0511685	0.0431596	0.9834796	0.6647966	0.2411691	0.5761816	0.1811105	0.0068163	0.9987778	0.0381671	1.0448647	0.2818272	0.0233718	0.2626403	0.4711864	0.0167420	0.0426460	0.1224135	0.1214600	0.0685045	0.0151710	0.4486599	0.9026440	0.0378097	0.4999462	0.8620599	1.0597323	0.4065671	0.0338864	0.8087417	0.9991774	0.9723383	0.0957440	0.1530862	0.0744307	0.0401715	1.0004212	0.0615859	0.1009920	0.4134811	0.9470039	0.9427219	0.1052370	0.4205178	0.9475783	0.0841954	0.5911419	0.9564886	0.9709973	1.0146404	0.0149812	0.7283405	1.0057353	0.8667307	0.0751428	0.6048584	0.0167937	0.7992227	1.0055212	0.4472397	0.4027372	0.8121504	1.0713277	0.9675133	0.0727058	1.0521485	1.0199718	0.8398201	0.0525737	1.0668137	0.8112423	0.0555373	0.0304591	0.0651699	0.0765973	0.9520768	0.1855008	0.7281237	1.0258379	0.0334953	0.5692553	0.2668499	0.3160968	0.5296253	0.5415915	0.0983236	0.0114287	0.1425669	0.0058507	0.0303758	0.4987506	0.4598857	0.4901917	0.0444241	0.8019373	0.8231987	0.5129765	0.1440789	1.0276184	0.5279579	0.3118768	0.0178699	0.2382165	0.6984115	0.0892572	0.0691638	0.9324978	0.1031226	1.0184313	0.0507816	1.0408673	0.9973702	0.0546804	0.0440886	0.0390050	0.0129459	0.9810050	0.8208249	0.7505037	0.1555434	0.9878481	0.9841821	1.0292428	1.0045337	1.0574122	0.9663099	1.0126312	1.0957724	1.0519272	0.9815570	0.9580573	1.0209385	0.9908279	1.0284995	1.0308332	1.0291867	1.0285710	0.2118783	0.1312169	0.0160282	0.6064216	0.5160521	0.0141104	0.5727960	0.0444147	0.2304418	0.0319098	0.1080933	0.2791326	0.2642866	0.0783978	0.6665024	1.0291153	0.2582417
0.1041726	0.9187540	0.1962058	0.1800951	0.2037911	0.0401742	0.0000000	0.0181693	0.0000000	0.9922661	0.1305836	0.9805889	1.0610185	0.9993380	0.5728791	0.8359887	0.4959333	0.0552719	0.0657697	0.9806817	0.0815349	0.9609280	0.9029437	0.6838250	0.0564386	0.1235337	0.3714294	0.3543980	0.7449504	0.1742934	1.0606658	0.0422429	0.0217565	0.9469120	0.9471161	0.0300617	0.4862943	0.6076451	0.3787890	0.1008530	0.0444330	0.4397730	0.9246371	0.1186818	0.2856676	0.9835125	0.0614964	0.0735321	1.0351079	0.7615868	0.3572158	0.5449827	0.1381871	0.0125669	1.0281648	0.0409968	1.0843527	0.2786764	0.0244850	0.2638290	0.4999211	0.0178277	0.0441274	0.1486691	0.0822380	0.0933050	0.0100458	0.4888541	0.7499407	0.0328436	0.4280982	0.8892294	1.0465760	0.3625592	0.0397879	0.7053902	0.9789040	0.9351247	0.1049956	0.2071027	0.0961478	0.0379551	0.8956741	0.0736550	0.0828895	0.3789969	0.8916576	0.9020012	0.1219488	0.4709369	0.8212910	0.0916703	0.5625307	0.9862943	0.9917292	0.9780787	0.0154934	0.7110633	0.9217931	0.7018235	0.0928235	0.5259284	0.0109629	0.8219516	0.9958874	0.3771950	0.2861882	0.8022705	0.9260865	0.9510505	0.0427108	0.9237623	0.9659301	0.8266194	0.0513049	1.0918082	0.7762988	0.0774857	0.0318422	0.0716430	0.0950626	0.9451777	0.2577220	0.7333975	1.0235140	0.0444110	0.5172210	0.2498348	0.2722543	0.5610095	0.5685886	0.1368650	0.0208449	0.1256192	0.0122230	0.0380371	0.4000706	0.5488812	0.5837429	0.0652944	0.8590950	0.7596126	0.4848427	0.1098580	1.0597417	0.4022449	0.2818552	0.0168507	0.2182362	0.7096410	0.1512626	0.0952561	1.0370536	0.0735038	0.9621538	0.0882836	1.0147428	1.0808456	0.0488475	0.0359248	0.0372097	0.0289955	1.0291777	0.7973408	0.7393512	0.1466879	1.0156566	0.9300261	1.0046947	1.0320551	1.0183495	1.0151865	1.0772274	0.9851813	1.0936681	1.0073179	0.9284056	1.0080678	1.0384442	1.0455917	1.0519798	1.0252628	0.9926606	0.2193019	0.1540769	0.0174287	0.5548672	0.5188591	0.0019533	0.5655802	0.0327563	0.1224350	0.0525383	0.0929668	0.2440696	0.1543354	0.0629688	0.6477107	1.0046698	0.2194426
0.0891539	1.0601269	0.0860856	0.0954469	0.0824014	0.0331813	0.9999295	0.0000000	0.0000000	1.0008614	0.2156733	0.9531670	1.0458855	0.9948709	0.6735291	0.8063624	0.2641888	0.0667748	0.0760099	1.0413657	0.0472490	0.9630818	0.9938520	0.9284872	0.0690460	0.1391282	0.3778063	0.4652768	0.7435049	0.1159433	0.9689055	0.0178429	0.0257464	1.0089274	1.0048309	1.0278982	0.3254349	0.7876804	0.2675072	0.0495587	0.9699236	0.4627160	0.9714660	0.1084232	0.2440287	0.9768545	0.8968333	0.0347065	0.9313086	0.6803759	0.2657759	0.5108835	0.1820826	0.0324913	1.0010214	0.9605326	1.0560120	0.2529937	0.9410929	0.3368443	0.4836246	0.0120959	0.9583551	0.0976237	0.9857369	0.0648571	0.0069156	0.6150497	0.8875111	0.0461326	0.6376401	0.8339945	0.9573551	0.5531106	0.0171533	0.8328507	0.9475263	1.0102626	0.5711237	0.0895683	0.0594439	0.0347628	0.8635462	0.0434565	0.1216774	0.6428280	0.9835042	0.9388175	0.0953416	0.4333849	0.9693749	0.0776774	0.6610827	0.9691588	0.9940491	0.9518763	0.0300105	0.9477123	1.0363657	0.8275030	0.0746576	0.8122502	0.0101903	0.8124737	1.0479794	0.5063443	0.4771903	0.8288392	0.9734650	1.0526066	0.0484220	1.0087966	0.9307988	0.9631662	0.0602447	1.0097404	0.8201731	0.0720054	0.9965508	0.0714621	0.1077804	0.9206563	0.1407730	0.5052348	1.0041349	0.0284317	0.6239805	0.1468956	0.3542491	0.3119993	0.5131343	0.1075270	0.0222860	0.1111736	0.0085471	0.0644628	0.5625527	0.3340526	0.4394208	0.0322941	0.7944008	0.7757924	0.4849213	0.1772149	1.0234615	0.5569749	0.2013698	0.0175348	0.2028874	0.8426876	0.0936815	0.0148536	0.9666564	0.0728737	0.9822766	0.0447122	1.0138761	0.9806075	0.0582383	0.0313420	0.0219130	0.0124775	1.0221561	0.6688311	0.5995046	0.1424451	0.9971273	0.9318054	1.0408338	0.9943375	0.9532773	1.0247170	0.9993492	0.9294352	0.9280542	0.9953510	0.9683504	0.9198663	0.8954623	1.0203091	1.0343217	1.0078701	0.9148769	0.2360115	0.1322642	0.0160672	0.4862911	0.5780381	0.0136796	0.5757137	0.0499751	0.2585681	0.0516515	0.1448206	0.3320368	0.2156863	0.0941327	0.5681126	0.9807380	0.2411798
0.7385052	1.0044638	0.8472543	0.9250054	1.0144843	0.7286113	1.0980542	0.7205549	0.3048565	0.9971717	0.1546443	0.4986884	0.5388362	0.5161239	0.5538018	0.2922150	0.9969929	0.5462312	0.0771339	0.4047970	0.8882673	0.0498310	0.5354576	0.0824432	0.0853044	0.5778842	0.6915722	0.1205128	0.2686073	0.8657180	0.4204937	0.8107328	0.4860916	0.2409544	0.9877254	1.0572776	1.0448770	0.1429162	0.8064044	0.9197727	1.0095170	0.4510762	0.1079162	0.1095144	1.0189351	0.4059978	0.9541227	0.5401211	0.0891827	1.0385618	1.0173478	0.8860798	0.0324474	0.4882905	1.0515989	0.9124094	0.3085192	0.6736868	0.8706576	0.2509399	0.2031201	0.3679028	1.0175347	0.5842548	1.0802093	0.9253843	0.9373501	0.4718176	0.4748044	0.2569590	0.0552329	0.9224035	0.4832559	0.2067556	0.9948779	0.0382083	0.4755055	0.4198068	0.6540327	0.8989127	0.9119006	0.5707229	0.6209337	0.9870222	0.0392425	0.2502985	0.0339627	0.2554698	0.1070080	1.0190302	0.1152135	0.5140684	0.2921085	0.3055312	0.5887572	0.0578967	0.3984514	0.0519188	0.4788355	0.1297508	0.7598738	0.0348697	0.3200631	0.1181405	0.0836219	0.0902915	0.0946662	0.3963727	0.4566572	0.1283828	0.5181261	0.2696866	0.4254613	0.2887673	0.5002648	0.1058906	0.3980182	1.1036665	0.8302769	0.8460366	0.0949621	0.9638770	1.0152877	1.0629585	0.6082957	0.4753718	0.5345021	0.8365676	0.3402384	0.9324744	0.1751651	0.5734720	0.0224992	0.5837202	1.0030527	0.0312233	0.4437942	0.9301756	0.0096830	0.6332660	1.0197894	0.9994289	0.4934989	0.1514601	0.5395472	1.0168530	0.8873894	0.8504497	0.8150780	0.1949644	0.5094607	0.7129697	0.9918714	0.0652598	0.2496541	0.5297375	0.0442596	0.2988576	0.6082513	0.7704104	0.9413996	0.8282117	0.1374255	0.7358254	0.7114068	0.5610264	0.4911242	0.9902695	1.0051476	1.0557651	1.0043818	1.0036752	1.1138374	1.0168832	0.9332450	0.9564722	1.0249559	0.9907326	1.0045541	1.2018484	1.0400977	0.9465679	0.0000000	1.0763851	1.0218640	1.0775938	0.0688923	1.1228978	0.9531104	1.0950963	0.9695551	1.0322149	1.0297356	0.9251883	0.9692935	1.0086830	0.9369779	0.0395921	0.0000000	1.0235551
0.0647928	1.1208252	0.0877496	0.0311206	0.0584752	0.0000000	0.0000000	0.0315063	0.0029604	0.9887960	0.1636935	1.0393516	0.9988906	1.0891768	0.6000614	0.9432098	0.1272264	0.0474215	0.0480270	0.9534824	0.0376418	1.0219870	1.0599360	0.9365863	0.0565991	0.1058823	0.3518760	0.5040929	0.9208308	0.0577187	0.9858575	0.0111656	0.0225811	0.9850836	0.9799515	0.0492680	0.2724569	0.8893214	0.2127272	0.0572447	0.0492704	0.5345832	1.0513938	0.0973153	0.1834216	0.9946087	0.0514027	0.0447559	1.0019521	0.4646781	0.1940804	0.3877182	0.3064795	0.1706122	0.9747069	0.0478668	0.9342186	0.3041720	0.0139470	0.3066099	0.5628730	0.0279549	0.0313272	0.0657961	0.0774860	0.0611501	0.0095143	0.5486604	0.8791831	0.0484460	0.8530737	0.6640701	1.0276184	0.8064674	0.0057605	1.0280651	1.0616145	1.0254928	0.0995189	0.0786096	0.0792596	0.0537595	1.0210436	0.0378997	0.2607519	0.8088501	1.0568585	1.0165676	0.1135083	0.3482376	0.9382372	0.0650711	0.7523401	0.9498935	1.0673458	1.0975530	0.0136038	1.0039942	1.0529671	0.8520843	0.0858474	0.9835876	0.0166685	0.8881220	0.8868235	0.7081040	0.5800090	0.8699476	0.9626443	1.0173412	0.0651134	0.9804516	1.0576811	0.9761083	0.0794446	0.9914577	0.9260845	0.0343794	0.0212991	0.0882153	0.0839198	0.7289891	0.0899464	0.3838067	0.9531066	0.0227731	0.5755353	0.0728962	0.3734779	0.1682039	0.4880733	0.1018080	0.0446947	0.0733367	0.0085849	0.0317761	0.4664974	0.1819717	0.4791436	0.0200771	0.6670330	0.8538743	0.4980552	0.1228428	1.1085461	0.9038211	0.0980548	0.0192926	0.1195147	0.9102148	0.0366567	0.0030451	0.5788259	0.1022208	1.0261437	0.0321168	1.0372165	0.9949011	0.0522218	0.0409714	0.0476079	0.0071231	0.9277845	0.7032061	0.7783258	0.0941214	1.0356927	1.0007527	0.9526180	0.9650837	0.9921695	1.0238023	1.0540549	1.0200109	0.9919016	1.0092608	1.0230510	1.0764453	1.0055254	1.0250180	0.9968839	1.0441725	1.0789272	0.1573424	0.1084137	0.0127699	0.6254153	0.4459918	0.0244924	0.5346234	0.0621153	0.1152200	0.0514095	0.1043465	0.2276035	0.2370611	0.0742562	0.7754334	0.9852951	0.2573440
