malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.4163496	1.0616866	0.9428821	0.8439368	1.0384708	0.7539308	0.9358806	0.6406141	0.2723983	1.1092777	0.1568607	0.5443653	0.5776757	0.5307231	0.7135953	0.2720811	0.9891788	0.5728051	0.0721314	0.4802477	0.9215610	0.0687517	0.5100656	0.0979781	0.0747593	0.3576213	0.6565237	0.1005770	0.2745492	0.8962322	0.4316245	0.7957384	0.4890294	0.2391246	1.0290936	1.0188828	1.0054444	0.1642659	0.7241942	0.8879633	0.9809992	0.4153729	0.0982130	0.0810654	0.9204767	0.3881039	0.8915869	0.4921690	0.0920602	0.9342985	0.8746024	0.9423352	0.0488476	0.5042656	1.0045612	0.9859674	0.3811177	0.3018574	0.8470033	0.3116247	0.2357848	0.1522096	0.9604892	0.4735159	1.0838447	0.9295840	1.0102902	0.4607266	0.5788561	0.2065305	0.0520062	0.9728363	0.5018248	0.2980601	0.9220635	0.0384047	0.5274054	0.4206276	0.6229338	1.0725269	0.9732834	0.5624379	0.6529274	0.9909641	0.0281958	0.2498375	0.0412989	0.2876237	0.1057656	0.9592524	0.1570201	0.4893119	0.2908027	0.2994056	0.5692231	0.0649688	0.4049634	0.0544413	0.5616040	0.1220795	0.3332006	0.0311423	0.0717379	0.1109772	0.1177385	0.0640875	0.0712905	0.4383220	0.4403209	0.1235685	0.5066790	0.2963892	0.4367680	0.2788333	0.4671824	0.1447066	0.3658325	0.9764983	0.9343315	0.8340310	0.1147250	0.9945259	0.9740388	1.0685699	0.6278152	0.4416897	0.5277211	0.8252493	0.3554657	0.9827469	0.5824724	0.5712623	0.0283958	0.1568381	0.0018948	0.0282874	0.5130842	0.8880200	0.4702249	0.5978268	0.9842817	0.7194854	0.5469246	0.1370345	0.5063845	0.2265915	0.8790454	0.8227663	0.8196369	0.2360586	0.5344858	0.6523534	0.9510457	0.0973633	0.2451997	0.4701749	0.0481568	0.2774335	0.5617465	0.8561612	0.9297117	0.8140565	0.1455322	0.7772439	0.7196689	0.6200593	0.4592100	1.0080941	1.0086961	1.0275210	1.0084288	0.9825184	0.9823089	1.0081249	0.9663112	1.0341027	1.0488584	0.9393377	1.0642081	1.0794325	0.9809660	1.0236340	0.9556931	0.2376426	0.1084278	0.0086782	0.5315601	0.5268440	0.0136383	0.5851167	0.0476157	0.1833484	0.0571865	0.1089594	0.2503189	0.2701899	0.0556346	0.5696407	1.0171936	0.2257223
0.7760314	0.4676371	1.0504735	0.8239585	0.9621631	0.7772574	1.0172464	0.6978367	0.3313010	1.0305048	0.1412457	0.5000674	0.4844953	0.4155055	0.7053174	0.2494023	0.9601500	0.5741571	0.0291054	0.3435674	0.8611434	0.0213284	0.4712510	0.0796434	0.0686123	0.5726590	0.7415347	0.1230840	0.2757435	0.9397140	0.3558113	0.8497550	0.5959295	0.2016294	0.9969590	0.9672251	0.8869408	0.1162326	0.7911649	0.8966194	0.8840221	0.5151899	0.1173381	0.1444488	0.9084800	0.3574884	0.9396535	0.5858540	0.0531039	0.9479038	1.0215633	0.9980311	0.0525060	0.5254818	1.0087599	0.9856865	0.3223824	0.3761912	0.9081815	0.2930600	0.2178602	0.3622843	1.0044081	0.5874476	1.0704043	0.8551910	1.0454343	0.5004633	0.4737522	0.2311244	0.0606105	1.0250062	0.4255736	0.1939836	0.9689876	0.0308205	0.5157082	0.3982743	0.5950307	0.9855993	1.0059071	0.5826310	0.5425015	1.0382232	0.0616779	0.1771659	0.0257372	0.2732551	0.1019682	0.9724018	0.1552244	0.6239711	0.2849863	0.2713010	0.4886680	0.0442801	0.3976763	0.0336053	0.4354776	0.1527290	0.7515426	0.0553867	0.3507252	0.1523130	0.0863154	0.0675708	0.0848209	0.4202872	0.4070030	0.0948929	0.4751629	0.2444100	0.3740624	0.2946411	0.5179316	0.1153601	0.3407629	1.0052442	0.9664243	0.9042594	0.0794948	1.0003096	0.9158393	1.1008392	0.5924384	0.5114972	0.5637144	0.9581826	0.3960408	0.9958405	0.6640987	0.6777468	0.0183185	0.1994352	0.0143410	0.0275372	0.5243616	0.9819351	0.5259828	0.6309642	0.9725603	0.8355297	0.6053256	0.1195727	0.3873708	0.2203617	0.9215319	0.8724653	0.8757607	0.2210998	0.5870969	0.7304725	0.9085935	0.2681996	0.3485982	0.4665333	0.0538306	0.2906627	0.5964355	0.8150422	1.0086756	0.8731180	0.2236337	0.7512906	0.7806258	0.5903214	0.3910475	1.0528287	1.0303172	1.1127454	1.0571021	1.0021470	1.0737829	0.9844020	1.0568673	0.9608376	1.0222925	0.9466743	1.0257585	1.0243356	0.9943556	1.0417692	1.0971963	0.2654013	0.1157217	0.0104176	0.5615423	0.5947122	0.0164945	0.6720214	0.0375361	0.3377367	0.0420114	0.1175256	0.3454840	0.2142136	0.0638989	0.4992522	1.0451648	0.2251661
0.3877146	1.0671073	0.4659690	0.5958202	0.8180072	0.7563957	1.0056769	0.6974836	0.3582687	1.0027309	0.1820126	0.8470640	0.9926145	0.7767109	0.6896117	0.5576513	0.9764039	0.5437656	0.0683467	0.8677323	0.5189901	0.3548216	0.7321232	0.1822776	0.1089618	0.2723730	0.6742506	0.1777667	0.4009079	0.6485675	0.9144652	0.3129379	0.4347770	0.8106944	1.0239867	0.9971340	0.9454222	0.2779871	0.6248103	0.8927367	0.8922352	0.5929785	0.2976632	0.1052332	0.8566669	0.7074938	0.9249311	0.1920972	0.4896164	0.9297585	0.8651839	0.7219829	0.0641527	0.4597089	1.0274720	0.9656158	0.7109692	0.3108504	0.8645623	0.3630426	0.2241495	0.1328127	0.9893384	0.6017605	0.9986196	0.8606463	0.9745559	0.5338685	0.6292034	0.2141640	0.0972202	0.9453830	0.7862537	0.2085055	0.9418367	0.1520834	0.7861542	0.6517150	0.5554854	0.9769614	0.9008085	0.6004346	0.7763210	0.9943496	0.0386867	0.2257580	0.1670248	0.5210965	0.0922310	0.8637797	0.1577006	0.5507034	0.3594547	0.6438123	0.9005072	0.7419394	0.3509745	0.1180393	0.7083606	0.3086802	0.2902679	0.0559876	0.0488362	0.3367272	0.6173753	0.1695373	0.1484871	0.5929364	0.8043383	0.5084264	0.4749267	0.6979979	0.8906369	0.6182539	0.5230166	0.3874278	0.4828770	0.9187797	0.8643122	0.4722760	0.0913322	1.0952082	0.7227034	0.9023549	0.8578385	0.1209707	0.6206125	0.6523405	0.3475486	0.9548376	0.6139433	0.3538085	0.0276713	0.1570280	0.0103924	0.0287425	0.5601986	0.9413295	0.4445647	0.3090926	0.8998075	0.7889304	0.5646645	0.1763962	0.9451482	0.2556114	0.6833378	0.8191419	0.7208631	0.3461619	0.3180909	0.7149060	1.0453467	0.0977285	0.3912346	0.4251494	0.0692377	0.7136082	0.4952098	0.7560254	1.0109793	0.8933389	0.3142742	0.7680894	0.6466947	0.4439706	0.8403867	0.9998315	1.0560637	1.0382015	0.9788020	0.9499675	0.9974528	0.9519490	0.9966140	1.1223057	1.0741562	0.9741848	0.9998705	1.0613630	1.0437063	1.0903092	1.0242293	0.2013343	0.1183632	0.0160581	0.5666960	0.5555924	0.0170787	0.5914112	0.0232908	0.1621466	0.0291895	0.0934231	0.2633785	0.1724528	0.0907220	0.5860519	1.0524407	0.2238580
0.7714160	0.9312489	0.9633767	0.4316610	1.0345935	0.7282741	0.9850115	0.6623007	0.3464340	1.0280691	0.1663534	0.5393095	0.4874043	0.4756638	0.7525640	0.2518531	1.0478148	0.5694690	0.0665691	0.3919326	0.9390395	0.0435469	0.4814270	0.0986341	0.0688111	0.6126798	0.7331550	0.1160922	0.2399204	0.8895837	0.3765978	0.8320340	0.5751288	0.2275905	0.9762940	0.9620945	1.0129453	0.1613369	0.6906925	0.9800497	1.0369430	0.4892650	0.1257675	0.1106592	0.9969246	0.4199221	0.9030755	0.5087133	0.0560915	0.9301379	0.9488042	0.9147289	0.0616351	0.4986931	1.0812188	1.0846719	0.2931101	0.3431214	0.9344897	0.2919480	0.2270621	0.4014017	1.0159060	0.5238508	1.0712650	0.8885086	0.9707398	0.4824418	0.4473399	0.1716312	0.0541573	0.9795682	0.4274651	0.2298682	0.9653559	0.0407202	0.5068890	0.4025503	0.5980845	0.9646914	0.9663139	0.5872828	0.5262752	1.0736357	0.0387098	0.2706106	0.0216654	0.3024414	0.0921736	0.9548230	0.0934958	0.5370000	0.2764072	0.2917253	0.4666729	0.0524337	0.3065623	0.0657384	0.4552130	0.1693014	0.8410196	0.0505387	0.3284227	0.1404857	0.0687338	0.0724930	0.0832307	0.4774375	0.4044210	0.0983884	0.4658519	0.2991564	0.3908681	0.2725808	0.5104760	0.1297914	0.3315292	0.9723310	0.9441701	0.9238140	0.0827974	0.9656381	1.0107750	0.9268507	0.6471815	0.5056323	0.5232479	0.9317381	0.3766841	0.9596656	0.5570280	0.6372829	0.0253727	0.1261806	0.0075875	0.0315222	0.5543401	1.0441093	0.4362526	0.6544540	0.9848040	0.8301882	0.4782013	0.1252654	0.4557733	0.2136753	0.8699999	0.8031618	0.8423995	0.1912774	0.6110939	0.7438336	1.0647934	0.1046813	0.2618494	0.4818794	0.0318821	0.2737080	0.5773909	0.7641762	0.9495400	0.8495852	0.1803824	0.7689955	0.7863103	0.6088434	0.4430813	1.0160360	0.9477534	1.0634769	1.0089958	1.0162042	0.9551962	0.8656135	0.9853259	1.0039597	1.0603436	1.0573393	1.0151200	0.9966957	1.0473420	1.0098926	0.9968724	0.2487628	0.1018803	0.0234710	0.5568898	0.4885588	0.0114752	0.5573142	0.0315520	0.2158004	0.0446224	0.1185247	0.2342327	0.2462139	0.0860896	0.6453033	1.0491886	0.2404339
0.8619718	1.0948398	0.9927441	0.9547064	0.4597173	0.7948704	1.1068687	0.7664729	0.3437896	1.0039800	0.1330906	0.4137353	0.4112217	0.4069170	0.5756789	0.2271057	1.0332741	0.5342106	0.0517456	0.3248919	0.8749646	0.0329118	0.4766717	0.0783877	0.1102682	0.6629225	0.7347280	0.1128561	0.2520141	0.8891994	0.2727863	0.8901391	0.5793069	0.1391115	0.9590085	1.0144656	1.1000717	0.1093852	0.8069875	0.9751773	0.9900197	0.4684152	0.0654898	0.0958463	0.9943240	0.3186590	0.9013511	0.6066174	0.0487794	1.0516826	0.9442391	0.9732946	0.0427125	0.5101092	0.9891437	0.9970274	0.2278578	0.3103036	0.9321668	0.2523035	0.2185262	0.5449885	0.9238773	0.5468225	1.0374321	0.8448835	1.0776625	0.4531448	0.4816688	0.2203696	0.0731252	0.9340953	0.3505761	0.2600453	1.0198989	0.0400685	0.4617913	0.3986717	0.6593259	1.0361588	0.9659881	0.6425384	0.5206487	0.9965401	0.0363691	0.2524257	0.0114596	0.2253160	0.1056645	0.9818232	0.1280636	0.4746847	0.2695866	0.2301190	0.4188679	0.0221443	0.5050338	0.0442054	0.4305215	0.1326661	0.9026251	0.0310213	0.5050720	0.1213820	0.0447807	0.0871604	0.0825053	0.3868682	0.3336479	0.0658786	0.5447947	0.2154270	0.2671274	0.2357361	0.4977360	0.1221318	0.3212484	1.0639898	0.9394839	0.9268677	0.0741934	0.9937353	0.9584208	0.9909739	0.5395833	0.6081010	0.5433611	0.8490060	0.3699979	1.0946119	0.5672095	0.6443153	0.0247883	0.1551174	0.0080195	0.0587252	0.5114891	1.0589646	0.4108277	0.7327660	0.9276869	0.7577614	0.4957727	0.1266651	0.3397119	0.1789930	0.9070323	0.8596154	0.8956211	0.1788410	0.6035900	0.6602582	1.0627322	0.0904127	0.7097647	0.4462976	0.1366267	0.1971372	0.6231337	0.7914279	0.9518246	0.8924585	0.7458522	0.7453581	0.6834326	0.6734888	0.3162782	1.0373388	1.0571969	0.9782603	1.0691250	1.0235334	1.0502067	0.9996014	1.0755872	0.9524239	1.0544559	0.9730020	1.0735702	0.9614266	0.9786418	0.9515504	1.0075895	0.2106242	0.1086458	0.0125431	0.6081141	0.5008378	0.0067805	0.6191084	0.0280876	0.1551240	0.0401126	0.0959567	0.2549019	0.1763846	0.0813777	0.6203809	1.0265343	0.2681714
0.7141202	1.0456171	0.8890722	0.8536855	1.0313988	0.4148832	1.0261507	0.6934468	0.3049375	0.9673758	0.1308089	0.6039183	0.6027769	0.5543789	0.5664798	0.3510816	1.0054872	0.5333814	0.0526154	0.4935778	0.8456045	0.0723199	0.5226665	0.1135229	0.0982372	0.5422499	0.4723549	0.1241540	0.2771675	0.8602738	0.5086947	0.7100052	0.1639126	0.2715747	0.9799896	1.0078378	1.0211966	0.1410569	0.6900577	0.7082915	1.0237958	0.1805745	0.1619070	0.0975269	0.9498568	0.4417371	0.8368247	0.4727913	0.1249895	1.0138985	0.9588399	0.8100467	0.0485257	0.4153476	0.9367961	1.0000435	0.4284749	0.3395754	0.9390380	0.2530754	0.0537323	0.3720118	0.9966565	0.4163321	1.0154966	0.6850186	0.7067029	0.4963088	0.5494993	0.2046435	0.0718043	0.9745608	0.5219021	0.2198355	0.7579530	0.0573845	0.5021535	0.4712583	0.6082158	0.8840444	0.9788948	0.0940226	0.6011448	0.9841520	0.0423300	0.2308328	0.0438182	0.2982168	0.1162252	0.9201175	0.1130323	0.3516406	0.3335270	0.3659509	0.6548622	0.0735891	0.3281827	0.0529895	0.5202815	0.1643790	0.7212635	0.0565328	0.2545695	0.1472970	0.1488916	0.0639296	0.0521373	0.4251900	0.5404924	0.1259300	0.4315254	0.3288818	0.5412858	0.2815338	0.1835158	0.1620478	0.3813453	1.0522309	0.9112969	0.8479512	0.0881025	0.9821678	0.8317917	0.9972855	0.5720846	0.4060568	0.5930424	0.8190988	0.3475527	1.0418627	0.5183713	0.6174710	0.0147751	0.1210404	0.0035898	0.0421083	0.5312629	1.0115672	0.4395613	0.5819478	0.9044497	0.8118445	0.5323503	0.1439475	0.6781868	0.2538031	0.8725890	0.2734200	0.8025899	0.1998149	0.5178028	0.5230223	1.0850958	0.1030075	0.2685262	0.2831991	0.0429299	0.3655232	0.2387402	0.3919749	0.5981529	0.5697623	0.1837458	0.7176508	0.7847444	0.5432546	0.4788785	1.0089614	1.0175647	1.0787372	1.0923750	1.0796556	1.0052581	1.0245299	0.9406770	1.0982585	0.9764757	1.0115140	1.0282698	1.0152478	0.9199635	0.9821653	1.0301737	0.2199241	0.1219458	0.0170471	0.6351701	0.4226197	0.0149003	0.5404325	0.0261219	0.1176067	0.0515170	0.0977864	0.2565676	0.2406507	0.0719394	0.7339867	0.9503893	0.2701982
0.7276863	1.0145033	0.9258539	0.8979645	0.9354662	0.7646498	0.4625071	0.4485799	0.2660912	1.0667773	0.1456528	0.6474427	0.6078270	0.5253231	0.6957615	0.3056335	0.9008652	0.2484437	0.0592940	0.4686694	0.9482098	0.0634840	0.4992064	0.0760862	0.0896232	0.5621329	0.7006126	0.1107201	0.2716800	0.8180703	0.3919935	0.7656566	0.4750040	0.2177721	0.9988322	0.8145549	1.0284343	0.1604197	0.8528511	0.9358896	0.9781573	0.4528118	0.1210057	0.1082315	0.9864118	0.4197285	0.2958899	0.4826601	0.1226633	0.9580097	0.8565604	0.9090153	0.0532177	0.5491961	0.9555901	1.0446322	0.3735494	0.3109221	0.6424395	0.2549434	0.2404031	0.3814636	0.8196518	0.5732374	0.9269920	0.8841757	0.9397843	0.5221123	0.5272028	0.2248383	0.0667719	1.0220138	0.5112610	0.1531903	0.9947219	0.0386584	0.5106967	0.4209560	0.1303181	0.9151912	1.0458313	0.5578197	0.5369642	0.8780890	0.0299681	0.2409602	0.0253210	0.3161017	0.1022529	0.9040188	0.1288715	0.5840720	0.3400175	0.3160123	0.6238026	0.0635148	0.3411591	0.0666761	0.5176615	0.1621556	0.7691053	0.0381928	0.3085192	0.1441560	0.1036657	0.0730332	0.1086651	0.4339474	0.4542271	0.1180785	0.5296051	0.2862703	0.4846484	0.3420290	0.5109691	0.1324323	0.4269065	1.0195070	0.4728390	0.8801612	0.0840651	1.0073487	0.9157827	1.0393109	0.5595849	0.4294754	0.5986867	0.8897086	0.3403050	0.9738889	0.5084686	0.6269472	0.0300160	0.1372375	0.0109261	0.0398104	0.4728141	1.0454636	0.4619291	0.6631001	1.0195634	0.7909533	0.4897095	0.1051628	0.5854775	0.2465601	0.8512969	0.7914159	0.8902839	0.2161816	0.5165617	0.7475497	1.0386676	0.0896878	0.2914177	0.4556642	0.0391214	0.3201137	0.5023232	0.7196193	0.9285979	0.8632238	0.1487016	0.7952611	0.7228052	0.5792683	0.5046685	1.0209012	0.9708182	1.0044655	1.0348791	0.9742195	1.0705519	1.0518071	1.0081129	1.0222575	0.9929921	1.0040891	0.9914920	0.9687370	0.9651766	1.0385432	1.0396172	0.2229417	0.1230282	0.0170695	0.5727171	0.5480165	0.0150898	0.6084838	0.0349789	0.2343734	0.0519021	0.1109149	0.3064862	0.2121050	0.0624516	0.5624516	1.0412528	0.2462510
0.7076362	0.9253979	0.8989978	0.8736153	1.0685687	0.7821528	1.0099781	0.3301632	0.3440553	1.0071487	0.2188933	0.5894872	0.5514852	0.5258803	0.6703152	0.2939611	0.9258087	0.3076610	0.0591104	0.4297714	0.7844382	0.0450426	0.4365170	0.0940801	0.0651522	0.5845303	0.6089584	0.1178107	0.2696738	0.8919376	0.4737566	0.6930103	0.5461760	0.2264079	0.9898880	0.9603537	0.9950688	0.1518349	0.7434806	0.9610441	1.0265799	0.5446846	0.1184498	0.1038279	1.0498007	0.4218791	0.9476528	0.4913564	0.0864603	1.0451856	0.9387556	0.8946304	0.0377876	0.5022479	1.0299338	0.9805051	0.3635684	0.3527274	0.9002210	0.3895573	0.2034487	0.4117858	0.9575720	0.6105644	1.0201218	0.8106990	0.9615789	0.5869018	0.5248089	0.2510139	0.0857519	0.9593528	0.4689848	0.2319918	0.9525390	0.0305423	0.5146131	0.4499642	0.6900074	0.9038850	0.9985129	0.6296831	0.5930312	0.9357332	0.0371933	0.2089882	0.0312450	0.3088763	0.1029405	0.9613938	0.1256796	0.5797578	0.2646444	0.3420346	0.5662902	0.0738142	0.4585098	0.0623726	0.5119634	0.1473847	0.7996992	0.0451217	0.3483448	0.1548828	0.1192959	0.0744312	0.0872422	0.4094206	0.4420302	0.1560443	0.4502032	0.2506228	0.4630520	0.3286258	0.5428696	0.1649146	0.3470942	1.0202272	0.8876054	0.9221256	0.0892664	0.9470449	0.9130140	0.9848901	0.6247874	0.4667780	0.6684313	0.8865799	0.3772105	0.9478221	0.6573676	0.6538291	0.0173610	0.1743147	0.0041653	0.0568974	0.5572540	1.0134153	0.4359153	0.6602661	0.9647413	0.8363972	0.4931532	0.1501032	0.5891778	0.2081450	0.8563029	0.8420630	0.8474106	0.1749385	0.5491907	0.6784902	0.9888147	0.0905299	0.2173552	0.5206130	0.0363017	0.3447577	0.4944898	0.7179740	0.9247087	0.8568623	0.2102590	0.7193718	0.7421796	0.5134076	0.4314255	0.9993223	0.9154177	0.9836376	0.9206641	0.9862095	0.9816378	1.0872007	0.9339997	1.0783384	1.0597942	1.0368517	0.9890408	1.0300942	1.0137405	0.9477544	1.1271523	0.2618972	0.1305485	0.0116351	0.5107357	0.4981769	0.0192702	0.5470843	0.0536516	0.1771962	0.0401220	0.0881927	0.2428316	0.2003723	0.0708266	0.6965219	0.9286158	0.2600501
0.7326770	1.0297284	0.9596495	0.8766919	0.9432248	0.8348016	1.1579062	0.7857197	0.1710745	1.0146553	0.1573310	0.5470521	0.4700943	0.4387103	0.8882975	0.2818746	1.0426934	0.6233034	0.0556063	0.3884977	0.9915774	0.0504023	0.4807121	0.1236890	0.0725743	0.6157430	0.7422869	0.1386262	0.2576871	0.9028077	0.3424159	0.7468955	0.4832934	0.2161375	1.0189254	1.0512957	1.0146710	0.1533214	0.8884320	0.9042709	0.9860350	0.4349511	0.0850281	0.1168015	0.9609818	0.3572046	0.8998725	0.5935509	0.0508795	1.0473201	0.9695301	0.8758163	0.0336698	0.5771743	1.0076665	0.9841479	0.2685200	0.3017415	0.9771676	0.2769519	0.2222418	0.4002867	1.0133168	0.5464079	1.0368419	0.8904040	1.0013330	0.5335794	0.5212574	0.0948077	0.0660301	1.0062408	0.4353045	0.2625368	1.0483665	0.0414546	0.4813388	0.4000419	0.6940941	1.0201476	0.9993511	0.5516242	0.5493651	1.1290824	0.0369852	0.2778482	0.0323985	0.2313912	0.1109581	0.9350829	0.1362914	0.5165509	0.2842598	0.2627783	0.5000310	0.0469487	0.0597201	0.0269117	0.5840043	0.1368335	0.8026651	0.0302068	0.3418476	0.1247737	0.0698521	0.0544949	0.1126751	0.4455580	0.4083462	0.0895472	0.1719387	0.2079575	0.4294901	0.2505580	0.5060303	0.1137178	0.3508908	0.9923020	0.9721439	0.9371392	0.1122805	1.0082363	0.9423135	0.9045977	0.5189419	0.6110608	0.4968886	0.8988694	0.3491590	0.9617691	0.5921692	0.6378527	0.0230128	0.1531544	0.0050897	0.0434023	0.4602754	1.0147858	0.4276686	0.6322878	1.0517482	0.8829748	0.6000370	0.1315301	0.5038077	0.2115317	0.8671314	0.8020526	0.8195149	0.1696131	0.5510030	0.7015059	0.9746419	0.1142226	0.2940636	0.4983387	0.0374691	0.3016089	0.5247732	0.6906029	0.9696936	0.8377607	0.1933227	0.7279016	0.7729147	0.6336974	0.3403690	0.9278297	1.0162230	1.1035441	1.0191254	0.9783347	1.0607929	1.0738087	1.0172422	1.0665590	1.0187713	0.9455372	1.0519160	1.0056840	0.9629207	1.0253417	0.9824507	0.2116991	0.1120604	0.0200166	0.5773805	0.5347479	0.0109710	0.5971990	0.0430382	0.1616718	0.0629843	0.1104014	0.3014422	0.2033352	0.0559258	0.7034533	1.0052221	0.2721875
0.6836337	0.9680408	0.8449388	0.9680243	1.0120694	0.8094479	1.0164254	0.6676624	0.3972195	0.5251135	0.6562289	0.6027506	0.5549304	0.4972062	0.5552256	0.2922270	0.9959601	0.5385723	0.0684132	0.4348659	0.8773457	0.0452600	0.5160662	0.1186800	0.0982581	0.5573190	0.6509616	0.1118466	0.2587088	0.8535748	0.4022799	0.7455640	0.5553033	0.2489057	0.9261288	0.9271260	1.0695883	0.1393301	0.6958706	0.9875411	1.0064547	0.4659132	0.1257142	0.0735182	0.9331821	0.3917696	0.9349693	0.4281994	0.0735854	0.9319231	0.9270648	0.9610461	0.0346370	0.4907318	0.8937351	0.9613596	0.3293285	0.3209605	0.9173091	0.8434523	0.2047510	0.3195573	1.0007542	0.5905802	1.0129576	0.9107785	0.9878944	0.9237462	0.5374840	0.3773489	0.0612841	0.9842725	0.4735373	0.2111955	0.9580775	0.0566282	0.5777221	0.4601897	0.6090939	0.9543032	0.9506587	0.5315484	0.6108511	1.0137776	0.0264179	0.2316945	0.0150821	0.2408934	0.0997020	0.9622344	0.1357279	0.5328698	0.2723883	0.2777233	0.5179685	0.0443921	0.6743520	0.0539944	0.4890674	0.1740033	0.6465226	0.0552128	0.2778152	0.1132362	0.0933492	0.0892995	0.0992306	0.4535068	0.4297103	0.1056767	0.5779531	0.2670199	0.4901988	0.2818022	0.4497507	0.1658120	0.3912147	0.9097136	0.9272790	0.9397749	0.1007569	1.0785024	0.9985609	0.9969478	0.5622026	0.4743846	0.9944008	0.8351845	0.5452693	0.9236981	0.5477600	0.6430848	0.0149117	0.1264557	0.0036987	0.0866981	0.8368664	1.0350201	0.4553749	0.5979004	1.0047010	0.7872161	0.7749101	0.3185313	0.5853494	0.2568478	0.8537292	0.8050589	0.8771641	0.1872197	0.4920537	0.6971694	1.0611663	0.0929246	0.2832189	0.4433887	0.0366250	0.3775016	0.4935270	0.6918414	0.9771567	0.7986599	0.1725675	0.5571412	0.2467949	0.6186120	0.5102352	0.9923322	1.0351166	1.0039563	1.0640913	0.9581714	0.9455551	0.9797429	1.0472356	0.9682302	1.0053560	1.0991290	0.9958810	1.0466355	1.0202714	0.9433382	1.1007869	0.2284746	0.1193050	0.0257070	0.5600288	0.6105030	0.0116856	0.6055925	0.0204072	0.1942277	0.0500467	0.1135019	0.3052510	0.2108189	0.1041890	0.5521919	1.0799670	0.2202676
