malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.0000000	1.0284838	0.9646038	0.8207214	0.9147564	0.7937707	0.9693712	0.6438983	0.3382681	1.0206854	0.1608795	0.4035663	0.3986283	0.4467707	0.6787586	0.2509668	0.9963735	0.6403666	0.0492193	0.3579357	0.8851681	0.0327018	0.4179085	0.0700817	0.1024688	0.1047225	0.6582823	0.1078858	0.2375644	0.9481603	0.3340784	0.8785903	0.4872550	0.1713234	0.9560086	1.0637590	0.0863521	0.1249601	0.7958723	0.8784060	0.9692563	0.4349729	0.0972793	0.1086897	0.0546825	0.3228376	0.8814785	0.6483584	0.0698162	0.9569945	0.0392669	0.9570946	0.0439973	0.5513862	1.0516804	1.0042334	0.2281079	0.2971568	0.8351628	0.3174977	0.2069196	0.0060863	1.0302898	0.5153127	1.0593263	0.8822458	0.9410084	0.5122446	0.4112966	0.2530188	0.0645179	0.9548227	0.4036389	0.2497488	0.9530925	0.0450873	0.5197807	0.4321274	0.5228290	0.9435650	0.0617110	0.5185408	0.5613660	0.9426992	0.0430586	0.2355965	0.0104434	0.2025537	0.1420283	0.1388167	0.1165795	0.5678676	0.2655679	0.2540918	0.4082801	0.0220598	0.3497477	0.0486435	0.3582058	0.1304750	0.0853024	0.0339200	0.0077859	0.0897805	0.0665177	0.0575680	0.0682589	0.4096065	0.3618979	0.0847045	0.4620311	0.2112728	0.2908208	0.2397064	0.5080807	0.1013844	0.3130318	0.0455185	0.9235862	0.9439382	0.1118267	0.9550202	0.9769314	1.0400765	0.5266793	0.5995866	0.6131590	0.9379027	0.3481328	0.9967734	0.5163477	0.7233749	0.0167287	0.0987259	0.0087774	0.0414084	0.5189033	0.9730686	0.4949080	0.6580751	1.0355971	0.8275245	0.5350748	0.1292636	0.3069751	0.2237227	0.8351993	0.8608995	0.8474813	0.1689199	0.5768384	0.6731032	1.0299065	0.0962120	0.3056875	0.4717401	0.0476893	0.2442604	0.5120982	0.8339279	1.0027085	0.7928806	0.2123127	0.7522710	0.7393391	0.5616612	0.3946872	1.0536732	1.0528158	1.0846985	1.0489709	1.1253152	1.0166434	0.9846310	1.1077180	1.0716872	1.0020766	1.0078165	0.9798156	0.9575293	0.9757956	0.9819910	0.9965010	0.2237637	0.1244238	0.0152021	0.5460604	0.5167437	0.0304252	0.6319101	0.0309475	0.2096799	0.0502374	0.0832828	0.2677509	0.2785278	0.0953363	0.5687910	1.0246321	0.2564209
1.0223856	0.0000000	0.9479551	0.8702078	1.0084929	0.8169619	1.0017302	0.5914178	0.3255631	0.9203101	0.1354151	0.4298713	0.4118372	0.3942802	0.6174628	0.2313104	0.9554940	0.5400911	0.0721639	0.2964677	0.9567959	0.0344984	0.4544006	0.0721043	0.0933890	0.6469075	0.6725653	0.0986516	0.2728229	0.9116132	0.3183614	0.8520222	0.5234851	0.1829627	1.0496061	0.9757009	0.9629997	0.1255748	0.7945745	1.0391388	1.0792316	0.4558399	0.0935281	1.0806394	0.9792311	0.3785029	0.9548055	0.5865559	0.0595841	1.0124505	0.9166853	0.9295091	0.0513897	0.4464667	0.9439319	1.0084887	0.2738756	0.5876444	0.9296807	0.2760219	0.2499063	0.5208744	1.0446591	0.5575025	1.0206119	0.8899182	0.9516931	0.5691561	0.4517627	0.2383795	0.0430910	0.9663325	0.4490746	0.1939455	1.0299444	0.0322420	0.4781218	0.3856833	0.6266375	0.9808617	0.9129980	0.6033219	0.5414664	1.0400589	0.0266711	0.2141787	0.0244817	0.2409998	0.1266310	1.0008036	0.1132344	0.5644828	0.3009737	0.2720782	0.4731915	0.0291348	0.4440554	0.0378626	0.4549748	0.1224025	0.8250166	0.0437165	0.5930753	0.1262213	0.0625662	0.0859767	0.0826644	0.4320152	0.3861199	0.0679798	0.5487573	0.1971979	0.3570940	0.2445770	0.4993962	0.1025682	0.3366400	1.0441923	1.0200574	0.9948811	0.0966010	1.0099277	1.0148492	0.9976587	0.5445974	0.5179390	0.5676645	0.8877325	0.3437693	1.0063433	1.0593501	0.6777462	0.0280337	0.2770516	0.3432764	0.0198758	0.4681885	1.0614602	0.8589445	0.6731314	0.9557736	1.0151180	0.4908608	0.1287452	0.3830114	0.2340182	0.8598734	0.7988115	0.9578874	0.1517925	0.6048424	0.7344966	1.0574782	0.9759538	0.2325443	0.4806427	0.0291047	0.2382039	0.6006096	0.7920658	0.9041436	0.9033977	0.1931960	0.7883256	0.7827470	0.6650720	0.3823592	0.9550305	1.0537696	1.0261901	0.9920489	0.9996845	1.0107877	1.0121965	0.9156261	1.1104407	1.0602016	1.0081940	1.0198315	0.8943614	0.9573779	0.9694836	0.9244580	0.2570856	0.1454152	0.0147815	0.5687595	0.5525709	0.0159360	0.6402253	0.0439679	0.1767657	0.0376574	0.0960618	0.2435921	0.2193408	0.0670139	0.5896157	0.9533325	0.1898868
0.0790127	1.0426199	0.0000000	0.0006064	0.0433105	0.8224160	0.9791052	0.6813058	0.3213256	1.1094593	0.0995262	1.0752623	0.8952561	0.9020543	0.5855933	0.9365269	0.0627686	0.5333938	1.1001989	1.0467098	0.0434085	1.0571187	0.9659030	1.1086912	0.0659660	0.1062560	0.6959308	1.0267323	1.0609409	0.0564050	1.0758149	0.0149455	0.0233583	0.9575243	1.0058369	0.9588200	0.1977943	1.0453544	0.0643309	0.9325246	0.9706444	0.6999547	1.0495071	0.0781481	0.1103959	1.0713790	0.8956922	0.0254340	1.0253808	0.0233943	0.1424221	0.0646601	1.1186519	0.8887196	0.0071714	1.0143194	1.0177504	0.2684247	0.9322529	0.2316122	0.7241921	0.0145086	1.0469500	0.5032698	0.9640545	0.8904594	0.9338497	0.5324213	1.0784769	0.2940128	1.0888605	0.0112228	1.1097024	0.9995372	0.9867423	0.9030906	0.9498537	0.9998470	0.5893966	0.1040487	0.0485096	0.5024973	0.8944962	0.0531731	0.9327143	1.0562702	1.0161619	0.8956921	1.0483599	0.2898549	1.0142890	0.5172730	1.0380962	1.0302108	1.1212803	1.0106125	0.5819334	0.9543460	0.9423980	0.9121773	0.0655426	1.0251394	0.0081499	0.9912983	1.0131949	0.9793782	0.9593219	1.0081381	1.0142987	1.0182279	0.4974404	1.0166088	0.9878246	1.0972326	0.4967331	1.0224997	0.9373719	0.0492943	0.8722784	0.0640894	1.0090490	0.0218631	0.0182974	0.0393649	1.0504451	0.0400671	0.5737790	0.0158469	0.2842186	0.0312226	0.5098137	0.0837319	0.0324875	0.1090600	0.0099781	0.0417120	0.3921263	0.0843999	0.4501589	0.0246713	0.0396907	0.8407570	0.4635480	0.1410229	1.0126933	0.9645011	0.0111447	0.7764083	0.0392838	1.0093596	0.0229628	0.6965453	0.0309802	0.0872472	1.0764777	0.3948381	1.0856367	0.9612291	0.5494524	0.7715828	0.9232070	0.8347819	0.9863246	0.7078733	0.7630804	0.0250074	1.0259938	0.9371940	0.9555945	0.8862356	1.0217875	0.9837382	0.9079993	1.0098670	1.0513871	0.9438334	1.0154049	0.9831557	0.9654165	1.0999559	0.9862196	1.0519424	0.9659428	0.2099108	0.1172482	0.0169531	0.6002283	0.5391642	0.0120979	0.5650524	0.0492880	0.1406453	0.0374415	0.1022161	0.2943143	0.2232890	0.0580903	0.6669868	1.0098246	0.2362466
0.7562713	1.0603687	0.8912755	0.0000000	1.0191084	0.7051576	0.9470424	0.6688812	0.2955749	1.0030752	0.1262171	0.4399167	0.5146777	0.4891141	0.6170108	0.2922621	1.0642352	0.5352825	0.0622405	0.3842151	0.8345395	0.0748887	0.4849503	0.0724220	0.0865978	0.6214539	0.6253672	0.0924423	0.2704586	0.9097070	0.3608179	0.7929906	0.4924095	0.1973903	0.9947756	1.0064970	0.8908308	0.1361187	0.6897116	1.0040829	0.9726807	0.3864402	0.1114007	0.0880230	1.0303773	0.4229428	0.9667435	0.5336913	0.0852979	0.9681344	0.9827079	0.9124168	0.0346367	0.4919839	0.9650297	0.9649927	0.3346029	0.3262758	0.8489857	0.2551295	0.1921569	0.3950103	1.1378397	0.5170180	1.0189817	0.8402920	0.9473883	0.4848429	0.5380808	0.2038534	0.0583435	0.9798526	0.4284050	0.2167407	0.9727032	0.0373965	0.4872801	0.4509462	0.5782572	0.9823271	1.0459403	0.5022879	0.5142398	0.9680463	0.0421511	0.2160960	0.0256828	0.2124560	0.1478498	0.9211324	0.1229835	0.4558891	0.2884367	0.2907187	0.5671486	0.0421463	0.4386806	0.0408261	0.4772567	0.1374464	0.7750224	0.0310301	0.4007612	0.1699850	0.0769782	0.0786770	0.0951718	0.4291502	0.4328920	0.0967713	0.5245914	0.2246158	0.4102668	0.3085885	0.4405698	0.1019111	0.3648157	0.9754129	0.8509334	0.9441200	0.0804698	1.1192073	0.9866192	0.9655952	0.5240308	0.5140426	0.4788254	0.8281522	0.2589018	0.9330646	0.5109360	0.6112987	0.0263027	0.1155860	0.0061305	0.0446605	0.5267207	1.0383791	0.4568772	0.7046176	0.9488213	0.7509583	0.5059082	0.1297505	0.4754236	0.2724428	0.9077110	0.7374194	0.8860211	0.1553120	0.5619569	0.7818899	1.0617503	0.0784141	0.3199769	0.4435323	0.0490647	0.3386577	0.5023327	0.7230682	0.9282872	0.8547554	0.1983451	0.7849429	0.8497819	0.5858499	0.4596537	0.9856761	1.0313878	1.0805223	1.0943803	1.0606834	0.9966755	0.9908500	1.0563208	0.9762436	0.9362057	1.0416749	1.0794283	1.0623674	0.9469756	0.9991769	1.0657242	0.2345637	0.1522825	0.0136572	0.5564729	0.5282796	0.0110600	0.5551498	0.0463325	0.2282220	0.0535222	0.0720237	0.3144359	0.2172670	0.0612572	0.5950081	1.0544023	0.2194705
0.7132199	1.0146199	0.9553295	0.8144256	0.0000000	0.8205375	0.9997681	0.7497257	0.2635809	1.0012096	0.1293209	0.4861145	0.5666353	0.4984390	0.7103331	0.3029396	1.0309472	0.5642018	0.0696624	0.4294421	0.9387936	0.0491096	0.4954346	0.0929174	0.0804324	0.5956838	0.7113451	0.1120693	0.2817243	0.8519444	0.3573173	0.6984683	0.5231872	0.2239657	0.9194943	1.0251362	1.0388186	0.1631228	0.8211771	0.9067387	1.0140704	0.4682974	0.1097595	0.0784549	0.9842431	0.3936023	0.9229969	0.5395893	0.0824513	1.0072114	0.9098181	0.9265227	0.0301377	0.4997264	1.0423138	0.9846538	0.3433175	0.3746979	0.9027142	0.2685018	0.2361456	0.4335818	1.0083557	0.4906370	0.9736641	0.8603527	0.9239658	0.5134910	0.5338430	0.2123663	0.0874997	0.9440323	0.4520388	0.1825493	0.9303830	0.0488633	0.5137887	0.3848081	0.5661755	0.8899424	0.8719088	0.5505580	0.4829963	0.9834183	0.0239023	0.2462222	0.0166929	0.3019862	0.0815148	1.0389741	0.0628682	0.4810401	0.2678712	0.3206370	0.5382357	0.0505230	0.4031684	0.0285139	0.5728392	0.1529208	0.8191470	0.0331584	0.3129123	0.1541324	0.0703653	0.1090867	0.1021945	0.4097516	0.4519846	0.1241416	0.4201188	0.2118562	0.3927163	0.3089260	0.4839541	0.1403082	0.3633970	0.9896396	0.9758289	0.8923374	0.0774427	0.9994701	0.9464815	0.9484500	0.5419568	0.5104669	0.4988315	0.9340315	0.3447570	1.1134250	0.6070147	0.6035493	0.0270433	0.1837433	0.0151719	0.0479656	0.3696844	1.0194981	0.4641285	0.6926707	0.9641819	0.8710088	0.4409817	0.1028171	0.4690550	0.2414187	0.8994530	0.7957067	0.8002528	0.1902767	0.5009912	0.6570335	1.0106506	0.0828284	1.1189842	0.4214310	1.0871142	0.2670903	0.6516325	0.6751243	0.9524013	0.8346329	1.0504767	0.7825083	0.8626442	0.5961286	0.4626005	1.0369940	1.0193829	1.0431611	1.0532148	0.9506321	0.9970961	1.0550927	1.0180295	1.1094544	0.9483303	0.9404512	0.9665785	1.0173183	1.0703686	1.0798215	1.0595729	0.2625097	0.1446084	0.0165561	0.5329499	0.5104178	0.0177380	0.5652026	0.0514301	0.1952281	0.0531808	0.0911274	0.2978029	0.2659369	0.0820084	0.6590152	1.0341437	0.2746251
0.0710463	0.9500006	0.0902597	0.0496584	0.0542985	0.0000000	0.9862199	0.6221058	0.0012645	0.9832500	0.1760512	0.8942176	0.9685574	0.9770057	0.5920541	0.9438687	0.1572853	0.5524310	0.0836659	1.0413685	0.0522152	0.9094433	1.0139803	0.9090329	0.0706317	0.1262851	0.3650218	0.5843025	0.7489757	0.0697898	1.1343282	0.0132289	0.0171056	0.9967458	1.0168712	0.9593769	0.2467460	0.8125386	0.1961038	0.0471559	0.9286340	0.4640351	0.9792824	0.0852419	0.1733730	0.9833340	0.8842698	0.0511596	0.9116092	0.5736516	0.1703543	0.4314777	0.2908967	0.1037838	1.0385409	0.9674620	0.9559990	0.2903613	0.9979007	0.3532239	0.5958608	0.0193156	1.0402143	0.0611151	0.9677504	0.0697056	0.0175670	0.4906695	0.9768856	0.0461990	0.7189434	0.6860946	1.0676851	0.8306954	0.0068596	1.0188648	0.9872060	0.9758266	0.4813750	0.0710088	0.0818979	0.0572370	0.9896488	0.0502298	0.2248364	0.7357525	0.9897647	0.9068426	0.1171101	0.3176391	0.9995910	0.0775326	0.6703088	0.9610422	0.9858067	1.0018423	0.0060890	0.8802681	1.0564956	0.9498667	0.0823797	0.9979771	0.0129975	0.9064110	1.0148935	0.6080919	0.5330525	0.8456202	0.9553080	0.9660470	0.0541027	1.0162276	0.9573051	0.9174204	0.0905805	0.9711045	0.9306325	0.0589390	0.8250260	0.0726625	0.0651364	0.7635575	0.0783327	0.4068422	0.9775729	0.0210679	0.5714008	0.1277699	0.3567264	0.2810321	0.6386074	0.0879493	0.0237331	0.1498455	0.0082241	0.0408860	0.5115800	0.1764573	0.4082260	0.0501122	0.7496174	0.8351727	0.5179608	0.1573704	1.1028416	0.7729293	0.1447429	0.0219957	0.1203785	0.8393838	0.0801434	0.0037818	0.7536032	0.1024903	1.0295858	0.0415500	1.0059313	0.9698165	0.0377654	0.0247211	0.0482924	0.0105991	1.0721960	0.7298134	0.7431885	0.1024056	1.0155604	0.9979774	1.0084633	0.9879729	1.0711163	1.0238495	0.9529183	1.0150858	1.0066609	0.9627021	0.9415946	1.0267144	0.9884623	0.9389958	1.0003256	1.0631772	0.9877567	0.2242142	0.1042399	0.0198509	0.5308313	0.5647871	0.0165284	0.6123993	0.0343168	0.1366984	0.0646359	0.1181742	0.2548373	0.1989697	0.0691891	0.6703724	1.0915708	0.2275590
0.0875981	0.9619324	0.2118985	0.0889719	0.1097013	0.0302924	0.0000000	0.0267901	0.0106909	1.0736582	0.1380097	1.0197046	1.0583887	1.0808556	0.6133903	0.8745124	0.4445272	0.0307289	0.0562587	0.9733357	0.0532985	0.9021105	1.0267025	0.7798408	0.0539536	0.1237776	0.3883296	0.3271676	0.7295445	0.1551124	1.0908040	0.0347086	0.0182324	0.9630754	1.0889166	0.0591646	0.4937722	0.6935946	0.3721360	0.0818621	0.0321942	0.3941124	0.9579298	0.0808347	0.3345656	1.0364476	0.0532203	0.0390227	1.0557204	0.7153846	0.3119264	0.5259107	0.1224378	0.0167637	1.0711824	0.0363993	0.9862825	0.3340683	0.0200834	0.2589705	0.4987004	0.0143856	0.0387089	0.1378685	0.0860856	0.0910617	0.0170555	0.4813140	0.7948188	0.0427016	0.4452802	0.8243295	0.9843318	0.3790245	0.0181319	0.7061598	1.0318389	0.8645784	0.0869211	0.1247717	0.0743809	0.0498829	1.0273245	0.0510639	0.0793503	0.4787005	1.0032499	0.8656399	0.1305143	0.4763495	0.8704233	0.0954889	0.5606136	1.0858725	1.0491552	1.0452221	0.0225350	0.6615802	1.0108608	0.7641109	0.0979254	0.5696326	0.0173128	0.7535296	0.9600487	0.4370234	0.3780063	0.8373096	0.9571704	1.0848722	0.0431892	1.0062062	1.0095246	0.9393277	0.0707052	0.9870762	0.7490044	0.0904523	0.0455779	0.0739526	0.0952545	0.8829353	0.1944324	0.7658630	0.9754063	0.0345319	0.5448401	0.1969561	0.3762024	0.4980771	0.5267544	0.1378263	0.0152029	0.1342509	0.0037368	0.0301423	0.5318684	0.4751587	0.4795441	0.0529999	0.8213654	0.7870250	0.5049446	0.1259243	0.9702867	0.4284147	0.2298105	0.0185805	0.2468910	0.6911523	0.0948077	0.0544532	1.0390219	0.0894716	1.0258085	0.0518680	0.9603329	0.9487251	0.0341486	0.0422989	0.0443351	0.0142719	0.9982702	0.8129645	0.7112678	0.1548065	0.9362505	1.1340904	1.0931766	0.9722232	1.1045969	1.0460886	1.0568771	1.1138591	0.9222755	0.9844498	1.0364213	1.0429437	0.9593707	0.9838652	1.0087868	1.0882217	1.0656319	0.2189269	0.1037692	0.0174338	0.5313947	0.5584206	0.0143406	0.5615550	0.0392146	0.1521976	0.0389336	0.1065459	0.2800883	0.2461245	0.0888290	0.5615203	0.9693455	0.2345972
0.1138978	1.1053509	0.1594072	0.1364272	0.1126891	0.0377882	1.0582302	0.0000000	0.0086066	1.0385312	0.1816708	0.9601472	0.9378500	0.9341396	0.6075559	0.8183138	0.4211389	0.0371414	0.0605492	0.9669897	0.0752354	0.9060200	0.9770146	0.7107986	0.0682650	0.1221441	0.3790171	0.3784362	0.6811406	0.1642045	0.9579157	0.0238106	0.0134709	1.1170866	1.0720585	1.0921708	0.6066009	0.6890707	0.3315608	0.0688748	1.0660396	0.5623284	0.8765861	0.1042241	0.3747379	1.0408142	0.9096898	0.0404012	1.0027523	0.6754656	0.4158933	0.5221836	0.1316381	0.0145808	1.0540604	1.0290334	0.9652501	0.2567144	0.9456022	0.3580355	0.5651028	0.0353266	1.0873364	0.1174646	1.0210466	0.0915733	0.0108024	0.5225377	0.7598670	0.0394071	0.4392149	0.8232640	1.0157703	0.4149207	0.0286094	0.7611383	0.9532524	0.9019145	0.6289636	0.1267927	0.1133163	0.0330642	0.8541464	0.0485403	0.0894102	0.4213894	1.0135837	0.8096590	0.1495085	0.5003025	0.8624205	0.0845786	0.6058973	0.9535983	0.9769050	0.9819058	0.0199236	0.7278677	1.0097637	0.7666166	0.0780568	0.5808956	0.0149048	0.8316904	1.0588847	0.4379628	0.3987016	0.8278229	1.0120525	0.9211762	0.0333279	0.9593081	1.0394733	0.8345509	0.0586161	1.0126014	0.7412855	0.0697315	1.0071825	0.0939209	0.0796607	1.0067885	0.2053473	0.6533640	1.0085339	0.0483550	0.6833126	0.2316196	0.3993529	0.5262221	0.4610185	0.1364485	0.0225170	0.0694854	0.0061891	0.0268963	0.5223341	0.5017064	0.4859364	0.0537831	0.7931163	0.7003499	0.5191324	0.1575684	1.0237921	0.4804207	0.2871644	0.0280146	0.2186807	0.7249725	0.1217199	0.0424308	1.0431959	0.0672982	0.9649190	0.0733608	0.9518404	1.0546088	0.0329431	0.0469701	0.0408145	0.0158179	0.9833134	0.7753704	0.7605864	0.1797049	1.0438707	1.0289359	0.9862361	1.0328379	1.0579271	0.9458573	1.0272226	0.9620305	1.0063809	1.0276874	0.8854158	1.0542945	1.0359653	1.0462366	0.9958794	1.0253000	1.0118396	0.2367568	0.1020279	0.0208704	0.5759814	0.4918930	0.0153069	0.5628856	0.0465884	0.1421386	0.0567578	0.0791831	0.2303634	0.2322601	0.0625022	0.6672618	0.9942550	0.2196646
0.7102096	1.0511498	0.9755316	0.9132280	0.9370209	0.8044359	0.9970420	0.6765167	0.0000000	0.9928978	0.1186206	0.5046591	0.5114434	0.5227555	0.8884754	0.2834310	1.0073732	0.5459146	0.0621010	0.3864667	0.9274606	0.0471753	0.5012566	0.0939275	0.0726070	0.5296040	0.6781455	0.1252981	0.2977712	0.9089910	0.4106093	0.7618123	0.4362393	0.1960649	0.9805549	0.9383735	0.9776612	0.1594760	0.8185125	0.8871724	0.9322681	0.4845456	0.0631392	0.0945545	1.0258727	0.3812500	0.7516967	0.4725309	0.0695715	0.9445401	0.9864181	0.9059426	0.0490178	0.6102583	0.9556421	1.0357859	0.2620653	0.3037072	0.8257418	0.2826840	0.7702521	0.3984360	1.0079647	0.6074686	1.0027380	0.9649690	0.9715651	0.4884559	0.5113302	0.0404272	0.0428489	0.9988190	0.4457620	0.2296306	0.8810845	0.0334491	0.4996385	0.4272810	0.5079217	1.0121328	1.0613689	0.4678194	0.5504722	1.0364870	0.0356562	0.2820399	0.0050099	0.2732255	0.1321287	0.9929033	0.1417136	0.4848474	0.3005062	0.2601622	0.4984415	0.0318082	0.0084398	0.0688483	0.4656275	0.1555310	0.7384918	0.0332328	0.3572793	0.1356230	0.0694782	0.0878697	0.0822312	0.3983734	0.4424633	0.1110307	0.0408311	0.2334529	0.4129385	0.2239410	0.4430597	0.1119801	0.3229648	1.0288903	0.8777543	0.9849034	0.1007652	0.9883264	0.9780405	1.0110069	0.5095779	0.5123485	0.5875100	0.9675821	0.3057977	0.9512802	0.5622859	0.6761311	0.0235146	0.1623851	0.0174703	0.0417281	0.5080316	1.0081313	0.4039888	0.5774205	1.0151173	0.8470980	0.5256744	0.1314390	0.4519901	0.2027983	0.8934572	0.7033634	0.8393980	0.1800584	0.5299772	0.7410675	1.0005506	0.0771621	0.2690303	0.3979761	0.0078055	0.2925103	0.5658603	0.6674525	0.9176706	0.7571683	0.1484116	0.7680371	0.8661318	0.5439394	0.3566437	1.0362989	0.9716274	0.9916759	0.9730782	1.0270240	0.9369270	1.0001875	1.0315221	0.9749220	1.0334329	0.9959230	1.0029614	1.0489250	1.0125927	1.0317257	0.9723833	0.2343400	0.1445524	0.0219442	0.5695678	0.5018182	0.0116295	0.5938159	0.0430089	0.1782508	0.0292499	0.1009887	0.2979429	0.2105469	0.0713724	0.5611328	0.9750809	0.2559723
0.8227709	1.0321037	0.9051339	0.9291775	0.9878091	0.7699424	1.0182482	0.6480318	1.0837450	0.0000000	1.0300414	0.5131195	0.4927739	0.4409859	0.4116373	0.2513270	1.0318297	0.7172734	0.0565483	0.4237025	0.8877270	0.0451938	0.5387304	0.1027765	0.1953245	0.5023477	0.3507886	0.1237336	0.2324052	0.9145752	0.3588327	0.8349027	0.5894695	0.2036965	0.8479027	0.9820413	0.9716460	0.1322858	0.7275757	1.0139031	0.9732246	0.3647242	0.0869186	0.1037679	1.0026849	0.3644110	0.9479755	0.5714245	0.0534643	1.0018324	0.9576358	0.8479004	0.0401150	0.2630481	0.9934235	1.0762100	0.2980301	0.3001241	0.8885749	1.0025351	0.2306799	0.3006444	1.0234047	0.5920615	1.0003809	0.8454854	0.9809236	0.9881333	0.5408006	0.8133510	0.0664068	0.9634806	0.4257607	0.2504537	0.9752091	0.0340583	0.4942440	0.4129692	0.6215028	0.9390266	1.0481290	0.5679963	0.5143482	1.0050913	0.0295476	0.2681575	0.0161991	0.2447011	0.0964728	1.0026059	0.0770494	0.5584650	0.2817998	0.2405786	0.5103167	0.0265852	0.9974137	0.0415905	0.4723333	0.1274048	0.7097714	0.0198440	0.3190519	0.1275420	0.0608150	0.0835999	0.0876153	0.3723501	0.3380675	0.0995363	0.9528041	0.2218739	0.3681800	0.2744482	0.5145785	0.1210950	0.3370674	0.9810945	0.9078526	0.8911347	0.0718197	1.0861578	0.9496339	1.0669948	0.5942717	0.5153662	0.9502981	0.9136597	1.0212106	0.9802933	0.5309936	0.6635286	1.0221365	0.1195515	0.0082315	1.0019756	1.0141090	0.9957035	0.4961387	0.6642386	0.9635092	0.7783374	1.0371017	0.9756564	0.4926142	0.2885286	0.8765240	0.8183288	0.8211231	0.2096043	0.5351344	0.7446247	1.0291409	0.0841436	0.2960360	0.4385822	0.0420907	0.2998860	0.6095560	0.7125220	0.8767623	0.8225988	0.1917370	0.0929011	0.0516549	0.5843862	0.4222889	1.0248967	1.0978846	0.9839627	1.0218556	1.0531038	0.9980822	1.0287583	0.9845855	1.0364658	0.9574759	1.0644913	1.1306571	0.9982919	1.0111323	0.9650411	1.0177461	0.2567260	0.1443396	0.0186430	0.5259711	0.5761655	0.0058345	0.5996863	0.0380104	0.2815902	0.0504385	0.0924429	0.2952911	0.2164680	0.0641940	0.6044681	0.9749504	0.2453462
