malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.7372992	0.9067964	0.8832182	0.8461447	0.9683471	0.8200874	0.7998548	0.6684584	0.0018276	0.8612680	0.0785994	0.5971568	0.5161635	0.1789846	0.6309924	0.2956962	0.9904461	0.4869398	0.0001418	0.4720465	0.9552227	0.0392620	0.5415946	0.0782983	0.0003244	0.4338734	0.7068584	0.1139800	0.2743758	0.9007616	0.3191397	0.8322989	0.5610157	0.1033388	0.9271161	0.8998718	0.8667945	0.0945819	0.7802473	0.7815609	1.0640322	0.6351059	0.0646425	0.0002365	0.8414259	0.3344704	0.9092474	0.6478114	0.0846485	0.9208781	0.9793454	0.8048319	0.0112237	0.2499396	0.9618356	0.9906248	0.2060794	0.3325941	0.9647986	0.3959516	0.5572730	0.5306758	0.9885670	0.5783338	0.9594090	0.8986810	0.9363288	0.5061289	0.4975960	0.5467459	0.0569413	0.9693061	0.2356251	0.2236217	0.9471057	0.0141011	0.3628154	0.2517343	0.4831484	0.8420758	1.0756571	0.5690337	0.3955137	0.9661553	0.0237064	0.2159259	0.0161034	0.2527074	0.0015562	0.8378851	0.1162495	0.4061531	0.3054374	0.3164569	0.3299568	0.0631725	0.0000004	0.0403285	0.5227429	0.0387157	0.7305163	0.0320492	0.3727479	0.1272387	0.0705661	0.0831593	0.0684765	0.3756686	0.4476302	0.1224063	0.0744951	0.2916650	0.3933301	0.2131699	0.4284712	0.0232060	0.3380427	0.9587084	0.8099852	0.9770131	0.1020736	1.0470729	0.8144637	0.9843300	0.5492792	0.5150180	0.4591465	0.8931714	0.1973385	1.0453188	0.3737999	0.5620314	0.0339884	0.1885283	0.0091958	0.0104527	0.4774411	1.0161993	0.5013368	0.6782108	0.9230981	0.7947686	0.6205535	0.1691454	0.4809679	0.0106701	0.9611290	0.9224747	0.8543597	0.1423267	0.7988556	0.7246933	1.0070844	0.0998542	0.2653685	0.4886225	0.0451901	0.3588376	0.5194747	0.8138951	0.9281561	0.9992374	0.1958833	0.7057585	0.6328414	0.9194195	0.1166933	0.9119235	0.9780752	0.8334619	1.0327963	0.8177037	0.8891424	0.9147258	1.0533766	1.0040082	1.0126163	0.9700648	1.0302257	1.0165974	0.7931092	1.0657511	1.0115947	0.2476815	0.0450421	0.0016460	0.4689632	0.5664639	0.0044631	0.4493373	0.0065513	0.1396908	0.0631812	0.0964290	0.2192937	0.2019394	0.0037630	0.5907068	1.0789228	0.2458997
0.7104993	1.1428359	0.9767592	0.9054797	0.8610685	0.9516915	0.7020224	0.5625384	0.5070836	0.5155793	0.7862080	0.3097844	0.1743197	0.1780494	0.5728958	0.1540951	1.0284522	0.5043153	0.0634921	0.2415294	0.9633505	0.0200583	0.4896692	0.0280171	0.3394308	0.5706722	0.7832148	0.1019800	0.1565795	0.9421757	0.2613314	0.7329846	0.6032104	0.1952763	0.8940754	0.9469812	1.0297330	0.0572081	0.6935029	0.8150736	0.9330210	0.8114602	0.0402426	0.1007789	0.8072856	0.2770281	0.6214993	0.6362190	0.0800482	0.9927002	0.9970793	0.7755322	0.0076445	0.4370827	1.0145366	0.9838983	0.1268647	0.3277138	0.7528406	0.9593602	0.1452410	0.3703936	0.9662089	0.5312047	0.8679567	0.9467277	0.9715555	0.9576119	0.3247605	0.4137385	0.0029394	0.9270608	0.1873792	0.2133846	0.9592160	0.0489316	0.3572590	0.3501343	0.4600313	1.1107553	1.0093427	0.8531522	0.2963993	0.9335068	0.0341544	0.2125978	0.0176946	0.2693327	0.0014498	0.7934217	0.1530006	0.5933071	0.3091378	0.1635684	0.4524309	0.0287627	0.9254576	0.0288566	0.4402330	0.0302852	0.7163215	0.0002145	0.2619233	0.1354461	0.0697968	0.0813472	0.0376233	0.3067332	0.4119658	0.0764350	0.6380745	0.2675972	0.3465231	0.2814563	0.5594514	0.1044774	0.3354334	0.9729017	0.6920627	0.9299790	0.0415173	0.9960579	0.9714450	0.9453108	0.5055881	0.5923891	0.6883856	0.8872037	0.3909474	0.9487850	0.4601767	0.6616198	0.0325885	0.0959046	0.0156952	0.0765007	0.8919186	0.9193867	0.3998122	0.6605160	0.9634855	0.7697759	0.8082788	0.3359804	0.3218239	0.0048341	0.8456233	0.9005316	0.8150043	0.0591569	0.5928822	0.8097809	0.9379678	0.0417239	0.3140604	0.6604041	0.0076281	0.2804209	0.5355284	0.7692364	1.1126005	0.9752617	0.1707051	0.6876054	0.1662220	0.7101904	0.3452040	1.0753005	0.7609419	1.0326660	0.9590955	1.0174390	0.8574010	0.9787866	0.9820951	0.8329034	1.0897370	1.0390997	0.9628288	0.7154719	1.0200756	1.1117811	1.0381031	0.1651651	0.0398274	0.0199443	0.5556474	0.5026170	0.0085675	0.5542138	0.0382182	0.1198994	0.0034322	0.1015841	0.2036972	0.0582061	0.0036830	0.7295996	0.9994098	0.2215505
0.4669151	0.7080441	1.0059170	0.7855755	0.9679899	0.9505548	0.8449175	0.6611657	0.8985846	0.3477061	1.0054628	0.5075357	0.3987462	0.4403852	0.2454728	0.2804495	0.8933657	0.8057487	0.0001835	0.2853962	0.9164512	0.0217143	0.3903854	0.0925308	0.1220684	0.3156723	0.4006335	0.0866939	0.2180100	0.8760730	0.2934531	0.9681341	0.6465573	0.1887879	0.8939914	1.0512126	1.0052725	0.1644003	0.7098215	0.8527812	0.9471210	0.7275296	0.1042561	0.0264159	0.8547687	0.4356695	0.9117673	0.6229723	0.0902912	0.9566867	0.8344806	0.7932602	0.0510887	0.0084608	0.9799821	1.0074362	0.3080938	0.1207338	0.8857321	0.9069600	0.3936462	0.2407209	1.0357418	0.9005062	0.9265423	1.0263318	0.9257489	0.9226132	0.3212912	0.7104386	0.0024233	0.9604345	0.3764959	0.0010586	1.0329456	0.0389409	0.3018681	0.3749432	0.6715027	0.9141952	0.8850991	0.7466212	0.5665273	0.9983616	0.0312398	0.2211862	0.0314311	0.2085588	0.0821319	0.9079974	0.0045877	0.7093617	0.2914900	0.3051915	0.5479022	0.0251329	1.0613918	0.0578288	0.4310226	0.1704781	0.3947579	0.0002409	0.1245722	0.1218001	0.0865644	0.0948451	0.0647806	0.3293026	0.4588641	0.1123899	0.9518790	0.2606721	0.3992397	0.3079706	0.6086212	0.1264569	0.1700126	0.8953681	0.8094666	0.8036628	0.1020721	1.0652802	0.9632921	1.0149102	0.5705528	0.4910724	0.5897210	0.8413213	0.7148664	0.9837251	0.8702069	0.4778019	0.1010413	0.1179761	0.0184335	0.3291570	0.8865454	0.9730368	0.5125202	0.6947658	0.9870039	0.8407765	0.8367015	0.5650019	0.4550520	0.0044497	0.8694300	0.9070674	0.8114814	0.1855668	0.5936722	0.8586193	1.0529283	0.1952909	0.2779569	0.5009259	0.0120010	0.2850262	0.7106553	0.8813689	1.0088283	1.0524548	0.1532997	0.2425816	0.0293053	0.6062081	0.4495334	0.6713456	0.7568222	0.9801208	0.9472138	0.4965200	0.7989394	0.5751983	0.9544681	0.9946032	0.9034865	1.0129107	0.9137608	0.9898348	1.0361129	0.7570653	0.8915178	0.2726240	0.1290271	0.0020702	0.4990507	0.4228364	0.0000084	0.3587788	0.0226596	0.3564231	0.0005884	0.0797483	0.3425366	0.2402493	0.0093252	0.4787918	0.9871128	0.1408572
0.6980894	1.0558232	1.0517700	0.9007874	1.0072530	0.8795423	1.0533487	0.6649317	0.4317306	1.0342837	0.1495283	0.5842457	0.4855961	0.3392353	0.2655561	0.2896522	1.0198721	0.5655488	0.0849236	0.2432115	0.8619144	0.0430611	0.3952781	0.0834260	0.5143617	0.6217799	0.5844614	0.0911251	0.1978581	0.8876437	0.2226410	0.7548253	0.6628851	0.2327594	1.0193646	0.9641868	0.9391050	0.1390413	0.7932669	0.9867525	0.9069539	0.4812454	0.0616739	0.0816450	0.9839003	0.3606639	0.9324892	0.4728256	0.0888449	0.9249170	0.9802157	0.8718439	0.0532584	0.6018776	1.0533263	1.0545197	0.2848589	0.3317348	0.9550112	0.3401639	0.2291009	0.3553639	0.9665254	0.4738826	1.0166933	0.9051621	1.0576577	0.3837040	0.3013423	0.4916597	0.0676190	0.9300116	0.4619725	0.0862614	0.9666596	0.0335349	0.5596209	0.4566090	0.4673937	0.9208995	0.9839088	0.7335571	0.4190694	0.9178004	0.0038004	0.2069427	0.0211897	0.2555872	0.0869742	0.8417083	0.0012267	0.6905404	0.2730834	0.1024526	0.2651194	0.0450370	0.5421785	0.0443275	0.4843782	0.0323835	0.8292192	0.0482847	0.3243703	0.0473130	0.0937835	0.0393255	0.0786201	0.3865858	0.4854710	0.1107316	0.5196340	0.1803428	0.3325533	0.2201509	0.6889840	0.1109438	0.0883624	1.0156791	0.8759881	0.9375193	0.0005053	1.0290252	0.9431127	0.9705284	0.5488632	0.5010065	0.4258265	0.7993012	0.2395565	0.9146656	0.2920384	0.6875214	0.0034130	0.1132716	0.0177425	0.0259458	0.4051767	1.0439587	0.3550437	0.6856125	0.8651665	0.9641564	0.5110425	0.1460962	0.2606311	0.2676341	0.8986785	0.9967763	0.9061862	0.1218454	0.6072744	0.7317973	0.9823716	0.0866269	0.2625277	0.5001268	0.0470004	0.2903207	0.7187217	0.7237270	0.9715571	0.8954829	0.1248687	0.6808818	0.8413039	0.6976087	0.4848134	0.8555183	1.0908637	0.9662877	0.8885179	1.0256473	0.9697835	0.7954121	0.7506902	1.0428169	0.6269020	1.0358791	1.0205811	0.8956487	0.7408821	1.0572079	0.9942149	0.1029734	0.0986928	0.0147924	0.8146196	0.4344168	0.0122907	0.2236245	0.0091537	0.1237748	0.0354933	0.0814740	0.1861108	0.1288934	0.0045112	0.8320508	0.6470806	0.2353476
0.7428166	1.0463621	0.8543719	0.8479066	0.8967506	0.9311599	0.9558189	0.6327901	0.2526163	1.0034493	0.1103618	0.5733718	0.5253366	0.3708234	0.6493004	0.2281827	1.0267389	0.9175093	0.0006075	0.4152606	0.9100623	0.0350750	0.1954053	0.1076577	0.0109899	0.5014377	0.5558667	0.0822935	0.2474914	0.8698419	0.3342203	0.6917674	0.5506731	0.2342825	0.9874613	0.9488708	1.0263797	0.1572353	0.7819464	1.0015516	1.0013492	0.3992651	0.1116729	0.0963870	0.8878764	0.3171024	0.8687229	0.5269427	0.0629831	0.9892971	0.9956507	0.9405726	0.0318022	0.5646829	0.9317359	1.0007656	0.2372100	0.2127691	0.9333929	0.1424353	0.0035606	0.5397521	0.8854089	0.6284609	1.0274755	0.9452381	0.9094768	0.4819034	0.4674193	0.3183832	0.0683900	0.9142435	0.2791892	0.1829807	1.0526663	0.0536258	0.5254843	0.4918814	0.9700804	0.9314571	0.8673072	0.6537669	0.3746485	0.9964733	0.0018747	0.2302913	0.0170841	0.2410352	0.0000436	1.0077876	0.0756604	0.6864984	0.1306789	0.1947605	0.3698436	0.0551627	0.2233123	0.0498000	0.4609768	0.1615621	0.8069826	0.0010404	0.6372999	0.1341735	0.1018578	0.1102312	0.0505346	0.1443589	0.4296137	0.1099826	0.2915922	0.2818291	0.2510779	0.2687720	0.4890019	0.1252017	0.2703265	0.9740740	0.8415328	0.8559526	0.0005427	1.0426499	0.9262206	0.9937937	0.5090926	0.3981757	0.2566294	0.7869402	0.3103597	0.9856005	0.4967032	0.5719280	0.0271680	0.0392896	0.0009069	0.0261859	0.4688864	0.8890797	0.1593598	0.6667619	0.9285980	0.6717068	0.4701479	0.1303243	0.3643087	0.0137944	0.8760271	0.9364574	0.8788168	0.0752255	0.5762865	0.7776293	1.0824169	0.0576667	0.2746943	0.7632041	0.0080886	0.3757238	0.5936360	0.8377026	0.9825343	0.8783991	0.2084328	0.8807505	0.8661310	0.6746466	0.5068741	1.0410499	1.0315912	0.9730466	0.9052886	0.8509785	1.0668786	0.9898585	1.0418992	1.0134043	0.7456831	0.9960793	0.9159350	0.6469178	1.0386026	1.0526160	1.0007357	0.0498201	0.1314889	0.0011972	0.5215991	0.3653261	0.0075208	0.5996354	0.0528889	0.1697760	0.0026821	0.1069785	0.1103367	0.2404359	0.0539580	0.5384443	0.9165050	0.2809492
0.5170779	0.7549775	0.8472975	0.9043914	0.9782804	0.7991240	1.0268064	0.6960587	0.4126547	0.7759658	0.3658229	0.7493748	0.4153226	0.5718512	0.0409473	0.1955726	1.0048408	0.5613493	0.0739509	0.5597059	0.8412335	0.0811271	0.2774342	0.1170931	0.0454907	0.4519100	0.5852922	0.0879206	0.2957880	0.8656559	0.5379080	0.6769487	0.4145052	0.3049791	0.8777712	0.8406339	1.0768699	0.1834066	0.7739336	0.8287953	0.9355821	0.4663315	0.1183279	0.0566005	0.9087821	0.4888652	0.9170486	0.5988727	0.1190860	0.9170796	0.9362745	0.8193475	0.0542885	0.2737338	0.9698587	1.0230269	0.4559626	0.2824279	0.9057791	0.4953556	0.5504701	0.2488316	1.0125234	0.7257445	0.9711666	0.8387381	1.0118802	0.5754520	0.3987280	0.5295256	0.0756325	1.0244411	0.3254701	0.2309545	0.9410946	0.0367064	0.5991874	0.4770245	0.8498390	0.8929743	1.0378168	0.4677015	0.5764722	0.9387999	0.0539304	0.1016113	0.0305841	0.3153311	0.1056479	0.7743862	0.1087990	0.4943425	0.1459486	0.4475340	0.7288112	0.0885324	0.7906487	0.0765720	0.3543843	0.1662856	0.5530831	0.0417624	0.0861969	0.1643696	0.1410421	0.0321399	0.1032214	0.4504718	0.5626383	0.1537945	0.6818796	0.3513730	0.6082356	0.2718110	0.4559172	0.0717353	0.1146908	0.9088882	0.9495670	0.8803695	0.0002366	1.0288291	0.8381105	1.0497653	0.4496395	0.3137892	0.7906918	0.7995988	0.4330344	1.0109114	0.4875971	0.4892215	0.0007773	0.2630930	0.0293783	0.0453944	0.6605307	0.9353000	0.4340681	0.6014094	0.8745268	0.7645483	0.6675617	0.2124148	0.6882809	0.2071374	0.8142470	0.8376958	0.7968647	0.2455492	0.4104936	0.6668246	0.9701332	0.1671828	0.2178774	0.7289678	0.0354611	0.3265299	0.7465968	0.7195482	0.9245528	0.8286569	0.1213053	0.7387346	0.4731892	0.4611215	0.3068151	0.9776207	0.7443780	0.8504158	1.0029963	1.0457303	1.0087090	0.8947343	0.9523176	0.8177623	0.5978641	1.0242211	1.0218284	0.8271260	0.6710852	0.9866594	0.6574598	0.3473055	0.2228582	0.0048183	0.3456543	0.8727934	0.0002033	0.7700203	0.0444684	0.7359215	0.0068768	0.1943719	0.5328220	0.0003347	0.0123085	0.1756855	0.9878355	0.1795132
0.6383714	0.9982059	0.8567888	0.8693367	0.9238071	0.8465415	1.0044272	0.7228138	0.2725684	0.7435283	0.2812162	0.5383684	0.6241480	0.4839094	0.9292732	0.3140660	1.0396540	0.4113002	0.0644429	0.3886294	0.8967182	0.0307320	0.4682429	0.0286783	0.0187091	0.4721697	0.7012795	0.1067540	0.1893280	0.8713373	0.3946834	0.7971794	0.4259384	0.2845650	0.9175756	0.9958513	0.9804643	0.0610457	0.8629410	0.8873942	1.0519906	0.5154702	0.0948471	0.0920992	0.9409506	0.1943301	0.9415865	0.4540191	0.0871304	0.9966640	1.0260292	0.8610929	0.0240675	0.1535717	1.0467854	0.9695610	0.3347043	0.1843518	0.9676885	0.5600279	0.2095971	0.2857817	0.9732831	0.4899802	0.8764590	0.8791098	0.9232762	0.3624730	0.4801289	0.1188769	0.0032890	0.9023313	0.4622037	0.1933861	0.9947968	0.0508647	0.3842990	0.4529316	0.4777722	1.0245270	0.9740023	0.5682092	0.4721604	0.9781886	0.0352164	0.0620903	0.0262752	0.2343587	0.0068907	0.8720994	0.1130068	0.4343786	0.1774776	0.1757316	0.5513872	0.0240879	0.4493603	0.0523741	0.4047411	0.0324024	0.8094181	0.0355498	0.2692661	0.1389931	0.0490860	0.0173332	0.0907426	0.4170799	0.4315677	0.1133811	0.4010349	0.1789601	0.2786285	0.2179432	0.4721726	0.1164654	0.3492009	0.9239718	0.8574023	0.9753766	0.0002657	1.0583347	0.8147651	0.9546112	0.6352223	0.4750193	0.8552502	0.8364790	0.4531327	0.9095211	0.7195693	0.8339385	0.0022347	0.0949566	0.0011902	0.0544402	0.3806927	0.9695748	0.7688800	0.6730680	1.0343937	0.7593559	0.6386109	0.1194270	0.5000339	0.2119612	0.8985148	0.9831796	0.7324831	0.1366629	0.5423832	0.8212077	0.9097267	0.0893797	0.2825347	0.6655839	0.0583250	0.3296030	0.5160129	0.8456842	0.8988147	0.7531534	0.2167944	0.5902030	0.6252077	0.6180367	0.3958599	0.9054521	0.6284105	0.6822257	0.7602434	0.9851676	0.6541042	1.0097994	0.9829435	0.7305680	0.8005262	1.0313902	0.7946860	0.9672260	1.0236480	0.7284120	1.0827524	0.1424802	0.1043437	0.0125675	0.6051566	0.4181602	0.0098597	0.3471186	0.0347028	0.1478185	0.0473548	0.0961416	0.3025400	0.1751267	0.0010795	0.7778609	1.0646269	0.1360675
0.7240278	0.9976766	0.9385849	0.7881567	0.9117490	0.9162486	1.0097928	0.8267010	0.0762235	0.8786439	0.1993502	0.5224913	0.2844153	0.3533403	0.9233044	0.1480966	0.9411108	0.5641307	0.0474458	0.3803813	0.8961702	0.0434605	0.4633646	0.0286972	0.3241818	0.4189669	0.8557179	0.0649022	0.0922263	1.0762911	0.3945915	0.7461478	0.6539966	0.1882243	1.0000970	0.9380999	1.0607109	0.0721517	0.7302444	0.9117867	0.9834658	0.3444513	0.1100018	0.0001588	0.9567965	0.2310093	0.9029955	0.5017790	0.0680580	0.9865338	0.8919541	0.8338740	0.0425580	0.6331819	1.0269859	0.9426235	0.3515287	0.1399526	0.9741140	0.2344755	0.2046892	0.3239803	0.9612282	0.5216624	0.9862061	0.9883208	0.9431800	0.5306852	0.3911271	0.0082832	0.0319289	0.9297430	0.2644474	0.2646408	0.8786837	0.0518041	0.5062299	0.4189789	0.6826554	0.9734032	0.9873866	0.6537168	0.4119326	1.0181429	0.0464315	0.1010428	0.0228983	0.3291620	0.0295987	0.9200525	0.1016555	0.6100164	0.2777028	0.1351032	0.5035788	0.0653530	0.0064778	0.0368980	0.4248466	0.0209597	0.6275186	0.0013735	0.2901240	0.1439505	0.0619901	0.0231489	0.0885873	0.1377780	0.2283265	0.0951372	0.0358536	0.2611729	0.3621391	0.1026190	0.5212611	0.1222628	0.3246729	0.9298023	0.9719852	0.8820253	0.0003399	1.0485664	0.9738441	1.0254965	0.3324115	0.5268366	0.6219431	0.8890517	0.2453344	0.9363412	0.7059943	0.6301145	0.0253864	0.1141785	0.0001475	0.0345834	0.6795005	1.0215005	0.3238296	0.8878313	0.8962077	0.8094227	0.5477861	0.1188902	0.5299746	0.2390618	0.8651645	0.8857264	0.8478067	0.1765234	0.5241842	0.7441104	1.0182223	0.0349302	0.1487795	0.5313846	0.0083104	0.2467266	0.4733592	0.7971406	1.0114352	0.8251876	0.1523368	0.7664113	0.6216012	0.7152792	0.3133299	0.3371441	0.9496407	0.9740980	1.0475471	1.0936024	0.9931711	0.7482186	1.0271858	0.7120622	0.9559815	0.4629389	1.0731683	1.0701617	0.9756690	0.9518513	1.0582687	0.2621053	0.1137576	0.0020429	0.5807001	0.6093183	0.0194103	0.4214047	0.0514082	0.1516241	0.0023165	0.1377777	0.3010802	0.2151213	0.0088418	0.5362723	1.0019745	0.2215266
0.6622224	1.0044077	0.8759332	0.9515878	1.0017897	0.7306997	0.6922604	0.5676548	0.4121237	1.0208216	0.1346005	0.7490992	0.5624803	0.2758244	0.8131316	0.3498071	0.9103996	0.7527113	0.0000076	0.3830045	0.8439492	0.0813958	0.4448841	0.0606602	0.1478798	0.4324967	0.4809037	0.0674531	0.2705710	0.8264190	0.5336076	0.6453075	0.4919058	0.2277415	1.0648769	1.0012748	0.9374580	0.1140419	0.7395101	0.9171636	1.0152275	0.4079986	0.1355524	0.1066785	0.8597661	0.4909206	0.6246340	0.5347754	0.1173984	0.8692031	0.9785564	0.8555522	0.0227199	0.3378762	0.9802118	0.9313587	0.3952337	0.2208855	0.8343198	0.2009839	0.1119655	0.3061930	0.9880977	0.4834907	1.0418523	0.7983002	0.9468296	0.2924739	0.3322798	0.4843976	0.0844612	0.9624118	0.2619251	0.2114367	0.9705044	0.0228497	0.2555017	0.2964320	0.2709087	1.0185883	0.9336264	0.4302408	0.6276094	0.9371545	0.0045123	0.2266290	0.0333071	0.3782781	0.1061476	0.9277641	0.1223600	0.4559801	0.3036489	0.3120362	0.6961594	0.1204921	0.6275259	0.0551603	0.5160177	0.1925544	0.5636539	0.0041418	0.2284011	0.1889586	0.1723374	0.0898553	0.0362757	0.3998217	0.5091844	0.1613942	0.7563398	0.2441928	0.5290615	0.3360158	0.4865770	0.1430993	0.3216762	1.0181247	0.7179137	0.8416554	0.0001018	0.9355119	0.8860824	0.9671522	0.6466128	0.3445039	0.5534301	0.8539555	0.3021012	0.9107560	0.4647327	0.4452477	0.0025614	0.1102957	0.0057443	0.0029831	0.4537858	0.9301536	0.3868854	0.5044353	0.8657801	0.7536310	0.2546929	0.1343980	0.4477715	0.0061644	0.8822307	0.7660578	0.9310401	0.2140882	0.4031513	0.6940491	1.0360384	0.0989144	0.0982402	0.5788002	0.0350658	0.3266392	0.7051315	0.7915443	0.9214079	0.7729174	0.1410275	0.6793254	0.7297347	0.5293667	0.3444715	0.6654771	0.9236334	0.9638234	0.9094258	0.9861042	0.9874060	0.9801529	0.9593518	0.8185583	0.9120975	0.8902279	0.8835903	0.9982810	0.5930809	0.8237123	1.0838663	0.1254724	0.1288443	0.0310308	0.4346290	0.6123173	0.0078603	0.5257041	0.0040344	0.1507498	0.0055047	0.0288086	0.2567812	0.1818772	0.0786704	0.5645015	0.9469901	0.1386980
0.7479778	1.0121074	0.9284984	0.9563882	0.9203737	0.7070058	0.7206163	0.6551449	0.1510537	1.0670688	0.1636369	0.5994021	0.5137848	0.3559505	0.8773519	0.2695442	0.9809553	0.8280235	0.0003640	0.3864777	0.9005780	0.0435286	0.4534676	0.1072597	0.0074875	0.4091233	0.5664074	0.0791001	0.2743919	0.8093894	0.3062447	0.8086993	0.4278200	0.1343834	1.0569966	0.8702133	0.9889192	0.1527670	0.8117452	0.8924684	0.8716419	0.4004318	0.0963904	0.0936436	1.0742875	0.1991154	0.8123654	0.7297062	0.0482351	0.9310846	0.9740547	0.9121582	0.0154050	0.6393215	0.9236105	1.0351148	0.3128049	0.2616192	0.8355808	0.2893200	0.1410244	0.3411853	1.0545326	0.4489264	0.8597815	0.7978977	0.9541903	0.4677655	0.3671947	0.1952776	0.0061499	0.9772754	0.4252499	0.2306149	1.0271136	0.0134340	0.4242464	0.4549442	0.7070011	0.8779240	1.0067123	0.5545886	0.5368276	0.9810505	0.0308226	0.2443960	0.0234080	0.2290574	0.1029730	0.7930439	0.1392094	0.4366055	0.0751758	0.2334861	0.5499761	0.0513934	0.0635907	0.0448297	0.5630904	0.0580479	0.7749050	0.0479038	0.3103560	0.0757624	0.0924141	0.0456980	0.0858157	0.3065083	0.4717347	0.1093339	0.2807200	0.2542899	0.4553143	0.2092300	0.4352668	0.1261437	0.2447701	0.9547675	0.8581617	1.0078343	0.0005643	1.1291062	0.9052748	0.9163968	0.6011299	0.6293419	0.6152031	0.8538688	0.3610852	0.9200337	0.6359389	0.5676338	0.0054156	0.0994932	0.0112763	0.0448923	0.4186714	0.9436921	0.3144451	0.8316952	0.9042993	0.8330839	0.6089326	0.1311393	0.3491195	0.2318468	0.7806730	0.8582267	0.7666563	0.2340712	0.4539887	0.7088023	0.9803703	0.0782552	0.3509599	0.4114348	0.0163032	0.1939414	0.4630052	0.6749181	0.8991983	0.7674734	0.2244386	0.6824578	0.8605523	0.5208713	0.2107100	1.0262838	0.9723028	1.0694023	0.9946137	0.9491990	0.9092867	0.8396022	0.9760471	0.9474883	0.8439308	0.9584585	0.9493544	0.9998069	0.8806196	0.7496497	1.0197847	0.2685749	0.0246875	0.0043135	0.4860833	0.5165379	0.0108369	0.5371845	0.0105310	0.2102690	0.0068493	0.0205696	0.3334876	0.0027168	0.0802833	0.5537692	0.9709216	0.0821755
