malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.0710536	0.8947193	0.0849390	0.0226620	0.0467583	0.0000000	0.9485414	0.6084359	0.0000000	0.9675586	0.1311974	0.9988220	1.0680933	1.0810070	0.6033060	0.9341466	0.1540447	0.5110801	0.0758718	0.9917326	0.0587665	1.0148098	0.9399577	0.9252785	0.0815474	0.1285459	0.3348110	0.5266109	0.8702414	0.0873220	1.0578135	0.0069827	0.0178458	1.0267245	1.0034498	1.0651526	0.3155581	0.8362213	0.2120606	0.0906179	1.0172522	0.4889567	1.0551090	0.0795140	0.1707897	0.8865178	0.9274376	0.0447557	1.0330467	0.4923936	0.1767512	0.3554121	0.3013981	0.2461653	1.0366437	0.9799293	0.9366884	0.3084284	0.9222226	0.3470286	0.5252739	0.0236342	1.0351248	0.0518154	1.0176406	0.0617492	0.0178540	0.4640354	0.8876341	0.0547340	0.8675842	0.6501377	0.9600518	0.8791032	0.0152500	1.0558007	0.9402181	0.9152589	0.5798268	0.0658815	0.0642304	0.0258553	1.0671489	0.0459769	0.2722915	0.8746123	0.9944596	0.9715598	0.1309859	0.3357876	1.1186762	0.0678773	0.6905463	0.9976302	1.1625308	1.0527685	0.0236878	0.9186525	0.9636662	1.1164108	0.0705561	0.9751258	0.0041847	0.8818955	0.9804005	0.6810289	0.6108833	0.8592982	1.0412471	1.0346702	0.0365996	1.0694866	1.0195790	0.9857350	0.1011238	0.9463438	0.9486209	0.0328901	0.9443955	0.0686944	0.0878790	0.5876164	0.0534980	0.2945687	1.0428058	0.0425327	0.5683841	0.0887563	0.3078199	0.1880690	0.5244570	0.0928024	0.0366728	0.1417052	0.0068423	0.0432769	0.5303607	0.1860737	0.4033405	0.0422641	0.6917238	0.8407985	0.4857522	0.1306436	1.1428385	0.7767027	0.1283191	0.0206634	0.1162725	0.8836910	0.0688145	0.0003451	0.5398656	0.0831858	0.9983554	0.0365719	1.0121651	0.9044770	0.0413373	0.0353220	0.0387300	0.0069936	1.1131898	0.6776594	0.8339466	0.1001712	0.9689301	0.9820007	0.8866318	0.9561488	1.0766195	0.9156630	1.0018428	0.9021168	0.9538466	1.1064897	0.8660314	1.1431861	1.1422433	0.8586345	1.1572229	0.9401850	1.1037692	0.2125754	0.1054283	0.0122702	0.5718477	0.4726941	0.0096650	0.6343184	0.0338936	0.1624510	0.0492633	0.0791028	0.3065032	0.2293364	0.0586740	0.5857621	1.0652344	0.2113691
0.9267420	0.0000000	0.9844880	0.8672606	1.0618976	0.7278869	1.0664254	0.6423024	0.2936037	0.9509519	0.1405374	0.4721948	0.4985472	0.4373063	0.6860132	0.2865863	1.0324419	0.5749859	0.0577231	0.3045466	0.9760231	0.0384674	0.5104832	0.0912186	0.1044631	0.6724196	0.6224110	0.0873085	0.2617151	0.9442812	0.3444531	0.9205549	0.5690629	0.1486723	0.9377216	1.0278798	1.0287149	0.1308019	0.8520071	0.9109315	1.1112302	0.4262400	0.0920064	1.0950589	0.9153769	0.3697510	1.0222745	0.5540791	0.0555055	0.9221336	0.8938644	0.8171907	0.0385805	0.4732345	0.9574528	0.9617068	0.2901965	1.0532132	1.0090381	0.2692329	0.1894781	0.5264098	0.9908931	0.5360073	0.9936935	0.7758119	1.0550842	0.4548292	0.4643793	0.2693627	0.0464838	1.0651310	0.5126482	0.2214261	1.0741167	0.0376941	0.4912098	0.3874282	0.6806399	0.9633788	0.9631296	0.4584215	0.5398942	1.0349626	0.0404742	0.2784398	0.0120705	0.2455807	0.1156179	0.9723522	0.1316062	0.5265316	0.3152924	0.2690226	0.4670601	0.0297383	0.3869742	0.0536831	0.5316593	0.1328819	0.8237139	0.0253879	0.5398506	0.1073694	0.0671013	0.0667807	0.0852835	0.3555918	0.4046400	0.1048433	0.4568920	0.2505811	0.3564728	0.2658664	0.5086864	0.1026194	0.3674841	0.9895599	0.9168929	0.9661689	0.0893990	0.9353500	0.8846997	1.0127921	0.4773820	0.5814873	0.5864507	0.9218104	0.2524725	1.0086621	0.4408946	0.6120492	0.0214982	0.8931179	0.3673215	0.0323392	0.4618544	0.9405207	0.5753955	0.6547728	0.9606686	1.0426377	0.5284587	0.1060584	0.4154658	1.0589280	0.9118586	0.7859048	0.9147965	0.1810503	0.5887694	0.7075499	0.9578893	0.9965126	0.2171515	0.4279023	0.0372941	0.2220371	0.5540682	0.6686095	0.9538331	0.7980824	0.1658601	0.7563204	0.7980905	0.6395973	0.4444446	0.9754997	1.0029618	1.0977860	1.0822016	1.0323880	1.0489298	1.0574314	1.0175955	0.9216933	1.0718579	1.0855535	1.0701493	0.9253988	1.0798969	1.0023520	0.9811350	0.1766785	0.1712096	0.0122647	0.5341241	0.5536940	0.0168804	0.6611834	0.0363718	0.2464250	0.0792898	0.1112289	0.2925327	0.2460770	0.0662341	0.6404443	0.0000000	0.9160903
0.0719820	0.9760006	0.0000000	0.0065933	0.0427227	0.0000000	0.9025433	0.6772299	0.0005996	0.9575675	0.1855031	0.9426380	0.9691082	1.1115675	0.6163639	1.0636241	0.0596550	0.5278257	1.0247150	0.9712075	0.0268213	0.9876074	1.0480341	0.9924473	0.0531355	0.1254763	0.3611802	0.8931067	1.0122549	0.0481730	1.0296361	0.0095018	0.0277396	1.1460510	1.0286575	1.0390683	0.2338860	1.1187079	0.0784667	0.0431809	1.0473706	0.5183307	1.0740547	0.1108467	0.1670642	0.9596013	0.8833205	0.0352599	0.9285224	0.0200924	0.1868138	0.0708533	1.0144512	0.5846705	0.0213112	0.9725797	1.0142771	0.2881292	0.9570162	0.3685928	0.4843033	0.0095480	1.0728004	0.0837847	1.0453497	0.0973188	0.0136941	0.5640875	0.9289088	0.0544956	1.0556414	0.0063180	1.0977227	1.0540639	0.0102182	1.0139594	1.0751580	0.8968473	0.6913295	0.0787883	0.0906302	0.0366604	1.0703378	0.0453915	0.9881682	1.1202221	1.0410534	0.9640095	0.9929100	0.4047756	1.1794511	0.0655040	1.0043686	1.0046641	1.0665097	0.8973885	0.0080363	0.9198882	1.0841832	1.0982664	0.0622963	1.0320486	0.0270460	0.9516895	0.8940400	1.0616870	1.0231245	1.2088005	1.0620854	1.0234672	0.0771504	1.0531930	1.0041800	0.8934293	0.0734614	1.0328338	1.0200187	0.0434006	0.9935778	0.0653322	1.0041139	0.0399905	0.0267364	0.0312234	1.0608209	0.0436974	0.6792310	0.0310809	0.3670947	0.0404151	0.5595009	0.1098252	0.0190156	0.1806684	0.0088974	0.0310298	0.5411739	0.0603822	0.4721031	0.0280501	0.0459261	0.8010006	0.5614630	0.1442378	1.0980282	1.0392792	0.0017613	0.0187944	0.0607630	0.9224866	0.0347187	0.0040946	0.0490387	0.1077961	1.0013813	0.0235825	1.1219243	1.0583839	0.0428380	0.0402090	0.0297371	0.0044226	1.0809041	0.7401119	0.7111034	0.0389858	1.0107614	0.9509940	1.1132422	1.1177290	1.1241855	0.9797291	1.0767683	0.9583317	1.0309394	1.0654411	0.9641363	0.9972875	0.9707470	1.1661123	1.0990994	1.0610455	1.0495696	0.2542379	0.0723190	0.0320744	0.5338103	0.5948659	0.0070710	0.5835751	0.0530264	0.2133839	0.0411795	0.0942403	0.2932296	0.2633834	0.0795626	0.6014935	1.0222957	0.2517490
1.0332769	0.0000000	1.0340473	0.9142330	0.9837157	0.8872164	0.9373096	0.6270663	0.2420205	1.0553684	0.2114778	0.5299655	0.4661130	0.4734160	0.6505071	0.2465581	1.0560572	0.5137907	0.0742920	0.4210027	0.9084554	0.0739903	0.4882153	0.0748825	0.0934831	0.6073634	0.6696785	0.0935403	0.2244961	1.0412010	0.3704704	0.7932375	0.5532898	0.2190857	0.9562235	1.0170723	1.0854923	0.1225327	0.8248189	0.9657407	1.0277414	0.4522636	0.1031386	1.0567853	0.9405473	0.3853539	0.8916849	0.4924112	0.0836901	1.0991789	1.0912308	0.8655792	0.0373721	0.5735125	0.9825264	1.0149780	0.3155767	0.6463883	0.8059697	0.3457860	0.2541360	0.4882935	1.1053874	0.6874202	1.0518355	0.8999825	0.9231578	0.4740812	0.4464274	0.2525811	0.0800936	0.9546826	0.4658422	0.1974393	0.9511516	0.0436361	0.4660732	0.4309222	0.5568727	1.0102758	1.0037076	0.5701141	0.5947500	1.0191152	0.0294675	0.2574262	0.0209236	0.2764711	0.0650067	1.0804303	0.1099190	0.5470638	0.2852192	0.2641966	0.5601161	0.0575188	0.3888525	0.0575854	0.4544819	0.1241912	0.9583712	0.0393219	0.6685250	0.1190441	0.0550167	0.0722227	0.0690816	0.3832180	0.5028252	0.1223476	0.5121476	0.2663569	0.4066572	0.2907339	0.4842828	0.1194901	0.4459914	1.0244262	0.8789914	0.9030217	0.0974846	1.0263643	1.0292625	0.9666907	0.6320427	0.4708918	0.5245624	0.9418814	0.3669292	0.9583809	0.9458225	0.5599398	0.0179924	0.4101509	0.9973327	0.0350040	0.4537771	0.9613690	0.8775452	0.5847056	0.9531814	1.0338909	0.5534553	0.1260435	0.3893853	0.2426102	0.9363072	0.7457149	0.9068179	0.1919459	0.6165643	0.7417506	1.0459541	1.0648993	0.2936401	0.4742254	0.0496738	0.3158679	0.5089259	0.8057183	0.9748682	0.8529081	0.2088175	0.7423047	0.7170986	0.6362492	0.4240867	1.0624267	1.0077520	1.0350131	0.9587566	1.0677601	1.0766525	0.9408114	1.0800572	1.0273089	1.1370112	1.0425969	1.0463766	1.0710122	1.0637884	1.0593883	0.0000000	1.0111754	0.9210022	1.0759441	0.0817389	1.0384130	0.9970959	1.0686363	1.0042761	1.1239275	0.9180933	0.9511040	1.0547715	1.0321397	1.0423095	0.0522472	1.0518465	0.2411997
0.0747110	0.9457474	0.0000000	0.0003536	0.0538833	0.7936347	1.0409397	0.7738653	0.0000000	1.1787534	0.1120104	1.0279757	0.9248172	0.9314877	0.9294259	0.9843542	0.0581951	0.5160504	1.0617654	0.8956346	0.0555005	1.0144286	1.0065569	1.0945241	0.0687909	0.1237879	0.7876260	0.9963777	1.0107914	0.0368439	0.9526756	0.0270256	0.0294023	0.9901444	1.1732935	0.9531279	0.1784755	0.9661268	0.0876668	0.8566019	1.0581361	0.6967296	1.0868986	0.0810512	0.1281718	0.9836075	0.9203036	0.0329936	0.9936782	0.0188762	0.1566378	0.0520897	0.9307477	0.9908758	0.0087594	0.9151794	0.9164514	0.2927602	0.9086389	0.2517669	0.7749467	0.0056052	0.9986767	0.4695549	0.9906301	0.8526506	1.0362025	0.3905312	0.9723619	0.0537337	1.0144677	0.0032729	1.0011133	0.9818308	0.9707598	1.0358902	1.0589029	0.9474151	0.6141651	0.0789316	0.0591370	0.3746564	0.9376320	0.0544979	1.1134351	1.0174878	1.0838771	0.9411461	1.0169373	0.2993716	0.9961735	0.4875745	0.9587440	0.9774439	0.9453221	1.0270470	0.0236411	1.0199015	1.0020281	1.0664619	0.0670898	0.9716240	0.0180537	0.9868780	1.0068597	0.9920938	0.9749637	1.1038393	0.9775158	0.9949416	0.0696139	1.1995677	0.9918772	1.0211956	0.4438150	1.0891801	1.0534053	0.0488144	0.9186845	0.0720765	1.0160049	0.0101518	0.0250738	0.0345343	0.9472701	0.0586478	0.4447458	0.0409106	0.2711863	0.0399140	0.5018782	0.1046423	0.0248818	0.1194714	0.0050485	0.0583977	0.4929146	0.0609806	0.5254264	0.0307504	0.0432557	0.7697631	0.5227398	0.1140214	0.9712728	0.9746006	0.0072205	0.7566938	0.0406260	1.0061126	0.0344878	0.7177289	0.0517762	0.0891141	1.0625396	0.5142317	0.9938716	1.0173176	0.5681057	0.7077197	0.9142253	0.7740023	0.9813868	0.7571856	0.9144058	0.0348541	1.0150508	1.0291527	1.1441171	0.8614032	1.0155399	1.0387077	1.0521989	1.0422770	1.1218877	1.0461577	1.0549890	0.9421630	0.9667900	1.0453023	0.8530474	1.0374086	1.0100427	0.2138933	0.1055554	0.0178058	0.5267168	0.5045946	0.0096561	0.6642691	0.0419894	0.1370646	0.0436680	0.0663825	0.2261680	0.2362500	0.0527028	0.6194452	1.0293240	0.3047941
0.0821954	1.0259054	0.1984025	0.1052971	0.0850424	0.0411480	0.0000000	0.0000000	0.0157747	1.0479765	0.0955798	0.8960924	1.0606954	0.9947473	0.6202192	0.9466983	0.3894721	0.0536288	0.0552574	0.9595673	0.0904689	0.9935867	1.0494807	0.7651572	0.0895978	0.1266067	0.3615575	0.4372108	0.6952355	0.1970865	1.0542889	0.0292075	0.0174683	1.0141122	0.9205133	0.0516011	0.3496918	0.7950835	0.3200894	0.0847381	0.0471169	0.4624385	0.9305336	0.0989078	0.2003639	0.9635899	0.0416537	0.0456299	1.0615252	0.6826695	0.2132716	0.5161413	0.2116985	0.0083358	1.0259990	0.0354255	1.0053453	0.2784601	0.0178131	0.3379341	0.5162188	0.0290391	0.0281019	0.0832274	0.0795614	0.0796286	0.0129697	0.4308117	0.8354753	0.0469727	0.5123170	0.7652379	1.0915716	0.4024392	0.0240160	0.8202026	1.0544496	0.9642682	0.1032134	0.1137916	0.0495853	0.0337608	0.9384028	0.0521324	0.1101007	0.4167659	0.9968801	0.9114893	0.0914145	0.4059169	1.0304970	0.0805638	0.6231944	0.9386636	0.9006225	0.9949256	0.0275672	0.7010652	0.9174169	0.8146982	0.0742141	0.6418496	0.0206742	0.7359550	1.0573823	0.4038416	0.4607697	0.9376547	1.0539179	0.9524932	0.0603529	0.9456154	0.9977812	0.8115000	0.0597446	1.0149346	0.7752390	0.0468260	0.0304550	0.0889716	0.0756190	0.9225867	0.2024551	0.6515283	0.9887916	0.0297963	0.5549088	0.1808236	0.3579566	0.5460092	0.5750306	0.0703478	0.0272512	0.1683564	0.0019674	0.0381296	0.5303382	0.4230883	0.4780168	0.0312417	0.8579284	0.7626423	0.4880855	0.1291021	0.9620154	0.4890856	0.2645987	0.0299891	0.2040865	0.6742854	0.0795980	0.0629061	1.0046268	0.0929947	1.0723316	0.0525879	1.0731623	0.9657876	0.0697018	0.0369203	0.0432052	0.0178157	1.0102414	0.7556034	0.8107532	0.1295262	1.0482803	1.0217026	1.1399046	0.9930842	1.0661336	0.9662085	0.9755679	0.9865170	0.9441012	0.8510882	1.0224811	0.9875690	0.9863926	0.9591140	1.0348015	1.0156499	1.0142272	0.2011202	0.1479691	0.0198078	0.5754017	0.5278565	0.0151183	0.5779448	0.0391224	0.1935805	0.0530940	0.0982159	0.2756717	0.1745437	0.0678696	0.6592921	1.0021948	0.2432217
0.0924631	0.9847513	0.2129543	0.1313490	0.1533109	0.0593701	0.0000000	0.0264406	0.0000000	1.1307018	0.1412629	1.0155024	0.9827869	1.0409478	0.6110509	0.9349990	0.4499402	0.0639798	0.0727367	0.9646042	0.0639788	0.9303266	0.9275470	0.6460163	0.0561649	0.1390113	0.4158245	0.3984969	0.8131844	0.1456469	0.9804573	0.0261994	0.0100188	0.9323575	0.9691673	0.0469957	0.5089282	0.6774146	0.3383817	0.0685604	0.0514366	0.5472039	0.9499991	0.0951160	0.3314251	1.0439042	0.0495385	0.0405649	1.0205260	0.7486156	0.3373692	0.5625899	0.1976026	0.0217281	1.0356707	0.0327318	1.0250743	0.3042511	0.0137166	0.2761269	0.4621512	0.0173985	0.0408289	0.1228817	0.0987625	0.1027338	0.0215347	0.4964427	0.7397110	0.0313881	0.5277799	0.8395374	1.0091348	0.4127314	0.0589665	0.7669326	0.8559606	0.9140091	0.1192972	0.1174874	0.0794881	0.0318918	0.8511524	0.0664731	0.1299812	0.4457843	1.0070048	0.9075479	0.1134529	0.5153857	0.9195643	0.0957074	0.6287772	0.9901050	1.0559041	0.9358030	0.0180518	0.8039398	0.8798006	0.7795270	0.0922985	0.5454807	0.0112782	0.7890469	1.0061750	0.4406056	0.3627770	0.7996251	1.0252363	0.9352440	0.0471694	0.9551352	1.0026159	0.8070463	0.0576865	1.0616427	0.8300139	0.0775231	0.0389966	0.0792610	0.0999201	0.9506964	0.2021054	0.5940455	0.9932140	0.0407948	0.5796880	0.2081216	0.2823766	0.5685942	0.5431118	0.1699933	0.0379342	0.1000041	0.0124075	0.0520089	0.4797982	0.5412188	0.5302737	0.0704782	0.8392930	0.7539988	0.4881376	0.1567059	1.0451596	0.4461852	0.2501337	0.0308322	0.2189375	0.7282294	0.1258655	0.0819451	1.0326766	0.0833737	0.9309387	0.0847838	1.0487819	1.0205195	0.0540083	0.0478150	0.0399344	0.0331827	1.0508489	0.6822413	0.7036462	0.1538317	1.0543093	0.9657156	1.0411850	1.0421563	1.0120053	0.9829689	1.0337783	1.0123618	1.1102620	1.0779911	1.0641592	0.9830509	1.0295804	1.0575106	1.0419848	1.0737122	1.0008702	0.2048719	0.1629597	0.0138882	0.5501240	0.4192604	0.0095410	0.6074965	0.0482641	0.1133973	0.0553364	0.0907885	0.2668478	0.2138828	0.0729195	0.6502712	1.0157994	0.1897499
0.0878890	1.1632203	0.0939650	0.1188406	0.1113753	0.0178078	1.0207714	0.0000000	0.0000000	0.8752320	0.1751197	0.9916945	0.9630751	0.9224646	0.6510831	0.8848339	0.2839073	0.0482311	0.0590230	1.0820239	0.0574258	1.0782413	0.9533116	0.9557276	0.0688268	0.1473199	0.3930094	0.4308263	0.6249107	0.1080741	1.0725627	0.0255957	0.0243665	0.9677454	1.0308547	1.0854526	0.3389331	0.8070443	0.2871452	0.0435727	1.0161036	0.4917941	0.9744266	0.1021305	0.2151018	0.9476616	0.9029387	0.0365088	0.9113820	0.7021054	0.2677950	0.5193443	0.1230801	0.0255277	1.0280956	0.9883137	1.0721457	0.2709740	0.9905118	0.3720709	0.5500620	0.0267371	0.9326522	0.0961922	0.9763742	0.0709384	0.0068388	0.5923644	0.8694182	0.0470832	0.6274700	0.8039752	0.9457526	0.5019043	0.0183863	0.8227600	0.9445131	0.9341765	0.5462479	0.1235753	0.0558550	0.0355908	0.9186762	0.0753166	0.0789541	0.4897328	0.9698137	0.9173059	0.1021422	0.3963822	0.9631495	0.0726774	0.6474278	1.0352809	0.9573265	1.0147757	0.0302562	0.8367204	1.1153119	0.7767069	0.0580461	0.7378788	0.0144378	0.7083778	1.0893438	0.4963879	0.4921699	0.8227827	0.9605938	1.0912541	0.0610154	0.9826161	1.0062241	0.9855735	0.0506219	1.0535000	0.7678081	0.0608989	0.9149603	0.0836393	0.1124485	0.9605813	0.1701777	0.6116016	1.0250710	0.0185127	0.6167513	0.1690637	0.3074369	0.4184311	0.5726996	0.1090576	0.0345658	0.1320710	0.0043999	0.0802108	0.5709332	0.4011225	0.4853765	0.0524621	0.7508689	0.7279337	0.5335740	0.1595753	1.1436282	0.4863271	0.2617368	0.0434947	0.1930279	0.7692466	0.0904907	0.0210262	0.9307845	0.1020510	1.0628933	0.0529545	1.0062360	1.0458591	0.0477650	0.0345647	0.0158421	0.0141039	1.0365021	0.7295838	0.6275865	0.1662891	0.9204815	0.9715697	1.0394061	1.0604853	0.9153356	1.0444950	1.0633223	1.0533297	1.0310322	1.0893123	0.8814925	0.9205402	0.9516187	1.0307540	0.9967326	0.9727680	0.9306177	0.2149867	0.1322674	0.0190280	0.5162905	0.5476007	0.0192498	0.5601771	0.0382456	0.2854784	0.0516790	0.1177956	0.3540908	0.2246678	0.1202179	0.5338175	1.0210672	0.2074004
0.7693690	1.0492548	0.8578433	0.9047919	1.0245461	0.7438042	1.0359343	0.7694684	0.3062591	0.9934319	0.1741654	0.5274710	0.5147584	0.4954779	0.6178626	0.2787640	1.0455068	0.5580666	0.0796480	0.3645846	0.8639446	0.0291942	0.4901849	0.0589366	0.0607472	0.5326489	0.7200511	0.0882554	0.2465723	0.8623427	0.3885562	0.7137431	0.5063881	0.2072322	0.9738343	1.0261788	1.1161080	0.1368271	0.8414131	0.8873960	1.0616935	0.4518081	0.1054440	0.1055865	0.9683286	0.3623975	0.9417532	0.6125971	0.0899319	1.0300253	0.9871246	0.8929825	0.0471713	0.4798036	0.9997904	0.9596303	0.3246278	0.7090936	0.9428053	0.2524019	0.1850831	0.4039546	1.0481343	0.5410520	1.0811727	0.9257273	0.9188945	0.4517181	0.4637213	0.2491964	0.0657163	0.9827013	0.4574119	0.2398996	0.9843568	0.0382545	0.5602697	0.4387822	0.5813466	1.0166444	0.9777418	0.5404716	0.6184758	1.0139544	0.0424670	0.2299070	0.0235397	0.2631045	0.1263105	0.9735984	0.1152000	0.5934389	0.2445858	0.2884415	0.5702747	0.0528801	0.3849445	0.0513561	0.4919609	0.1522289	0.7940519	0.0346232	0.3570496	0.0991403	0.0690035	0.0862853	0.1028955	0.4280701	0.4576564	0.1033226	0.4749180	0.2901573	0.4644939	0.2738823	0.5026539	0.1577078	0.3923555	1.1050827	0.9295984	0.8256867	0.0891003	0.9475903	1.0096166	1.0658927	0.5985620	0.4937961	0.5786594	0.8781268	0.3387343	0.9384531	0.1715775	0.6999262	0.0179688	0.5778942	1.0233197	0.0810875	0.5093902	0.9439206	0.0184276	0.6551983	1.0490198	1.0795362	0.4879539	0.1759744	0.4827109	0.9528635	0.8544080	0.8359037	0.8712017	0.1875203	0.5173473	0.7146633	0.9482871	0.0898367	0.3319312	0.4737907	0.0251971	0.2369588	0.5577545	0.7399951	0.9712369	0.8153720	0.1607069	0.7315763	0.7080872	0.5970358	0.4839535	1.0602067	0.9927284	1.0738403	1.0602891	1.0333655	1.1520043	1.0685600	0.9993552	0.9995608	0.9777645	0.9599575	1.0145541	1.1187656	1.0292615	0.8996969	0.0000000	0.9617690	1.0065018	1.0404411	0.0648907	1.0337941	0.8987008	1.0363170	1.0461494	1.0600605	1.1000712	0.9987057	0.8935117	0.9902721	0.9690435	0.0275054	0.0000000	0.9947234
0.0722636	1.1218823	0.0668617	0.0429471	0.0617519	0.0000000	0.0000000	0.0362336	0.0006836	0.9996697	0.1286728	1.0295454	1.0965460	0.9880923	0.5458085	1.0129370	0.1638974	0.0445410	0.0749547	0.9182726	0.0409943	1.1454079	1.0201977	0.8651418	0.0805064	0.1314349	0.3454696	0.5341518	0.9301676	0.0463462	1.0127271	0.0124325	0.0168215	0.9591522	0.9621005	0.0505023	0.2621601	0.9071563	0.2390542	0.0571690	0.0494429	0.5542500	1.1149112	0.0924379	0.1554328	1.0699906	0.0537601	0.0412596	1.0281194	0.5534944	0.1594587	0.4144554	0.2393159	0.1287944	0.9928532	0.0522375	0.9320286	0.2983808	0.0235077	0.2724618	0.6196968	0.0315803	0.0435621	0.0599143	0.0686704	0.0506701	0.0118285	0.4968326	0.9096605	0.0649538	0.8594109	0.7687528	1.0422600	0.8939109	0.0168201	0.9939045	0.9622707	0.9904804	0.1075000	0.0712673	0.0752626	0.0560202	0.9979512	0.0254735	0.2681203	0.7227870	1.0868658	0.9947883	0.0962826	0.3554987	0.9489958	0.0582414	0.7416269	1.0169784	1.0739041	1.0250926	0.0142451	1.0002503	1.0052085	0.9033119	0.0682577	1.0344377	0.0133151	0.8296572	0.9287116	0.5829332	0.5810547	0.9695781	0.9695451	1.0269118	0.0540227	1.0135914	0.9131106	0.9641911	0.0539309	1.0989730	0.9368228	0.0477761	0.0229403	0.0852033	0.0854527	0.6701922	0.0844289	0.3557934	1.0713337	0.0274897	0.6122146	0.0985550	0.3828790	0.2496567	0.4873492	0.0738676	0.0396049	0.0890640	0.0061954	0.0380101	0.4345907	0.1820459	0.4385967	0.0210214	0.5921063	0.7904820	0.5350162	0.1490924	1.0386723	0.8978551	0.1222968	0.0201936	0.1093075	0.9079111	0.0365818	0.0048844	0.6639145	0.0738886	0.9881028	0.0305832	1.0379915	0.9761297	0.0417639	0.0299829	0.0483617	0.0175382	1.0346523	0.7540678	0.7938071	0.0853008	1.0358915	0.9583168	0.9760173	0.9685378	1.0521999	1.0343243	1.0397597	1.0823102	0.9579648	1.0116596	1.1195343	1.0436962	1.0371818	1.0503836	0.8933770	1.0565298	1.1429129	0.1981993	0.1105768	0.0075955	0.5711782	0.5059194	0.0161331	0.5319304	0.0566315	0.1388329	0.0432071	0.1405786	0.2803752	0.2355125	0.0662769	0.6477685	0.9996966	0.2413933
