malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.4058104	0.9375205	0.9687729	0.8626518	1.1327214	0.7735258	1.0005844	0.6469306	0.2933208	1.0474601	0.1773966	0.5839379	0.6329492	0.5627850	0.6223546	0.2802775	1.0018912	0.5417989	0.0488230	0.4695528	0.8862050	0.0618667	0.4976283	0.1087052	0.0952420	0.4050376	0.6508823	0.1008422	0.2553387	0.8829915	0.4198548	0.7469769	0.4782994	0.2838131	1.0228253	1.0118664	1.0556396	0.1185855	0.8056454	0.9135356	1.0116640	0.4344393	0.1194910	0.0847042	0.8411887	0.4525662	0.9456149	0.5025311	0.0734332	0.9630602	0.8554288	0.9334282	0.0375233	0.5276998	0.8663105	1.1118195	0.4620183	0.3032061	0.7827709	0.3298284	0.2257708	0.1199848	0.8888767	0.4954363	1.0716965	0.9344614	1.0051352	0.4725915	0.5100737	0.2005725	0.0782514	0.9509036	0.4781898	0.2817252	0.8909309	0.0609814	0.5539178	0.4286230	0.6455080	0.9465637	0.9423786	0.5880151	0.5869917	0.9699432	0.0335288	0.2655385	0.0393793	0.2550194	0.1211961	0.9159380	0.1217163	0.4946827	0.2878965	0.3042244	0.5492287	0.0895913	0.4349370	0.0331306	0.5724301	0.1134664	0.3559508	0.0210956	0.0663455	0.1209980	0.0960916	0.0650446	0.0694716	0.4324138	0.5158881	0.1088488	0.5869385	0.3080653	0.4793867	0.2550578	0.4948806	0.1821963	0.4288069	0.9818964	0.9313686	0.8656649	0.1085877	1.0399668	0.9911220	0.9914983	0.5596511	0.4224262	0.5635860	0.9244121	0.3553072	0.9832263	0.5492130	0.5633588	0.0281680	0.1415101	0.0079653	0.0271658	0.4703180	0.8166546	0.5507922	0.6407646	1.0513952	0.8280882	0.6213177	0.1189608	0.4891306	0.2470954	0.8848317	0.7805296	0.8705179	0.2053800	0.5582229	0.6986472	0.9374644	0.0921164	0.2145826	0.4594056	0.0553053	0.3285881	0.5619970	0.8637648	0.9247752	0.7858403	0.1417688	0.8030913	0.7308542	0.5946112	0.5016605	1.0271305	1.0665141	1.0695760	0.9725492	0.9896281	1.0030434	1.0164545	0.9914530	1.0302027	1.0080594	0.9641418	1.0997034	1.0357152	0.9674468	0.9758096	1.0659103	0.3173554	0.1183253	0.0045542	0.5631890	0.5414419	0.0096080	0.6320283	0.0261185	0.1863316	0.0599781	0.0802950	0.2473195	0.2555671	0.0518690	0.6153612	1.0601326	0.2751221
0.7236937	0.5060437	1.0051711	0.7461934	0.8891282	0.8215705	1.0672303	0.6704857	0.3587502	0.9697698	0.1309702	0.5243675	0.5693765	0.4307617	0.7267595	0.2720232	0.9265308	0.5907987	0.0462087	0.3559169	0.8454215	0.0369457	0.4421317	0.0844847	0.1084217	0.5744522	0.7369025	0.1091320	0.3178736	0.9123833	0.4005186	0.7785457	0.5771287	0.2031040	1.0002501	1.0417693	1.0247291	0.1594211	0.8000017	0.8921595	0.9325811	0.5090813	0.1171524	0.1282471	1.0027068	0.3377949	0.8946411	0.5662249	0.0730861	0.9687683	1.0123877	0.9054665	0.0656635	0.4980633	1.0842093	1.0099081	0.3604826	0.4044099	0.8860467	0.3053595	0.2640063	0.3811657	1.0234316	0.5457242	1.1489949	0.8895278	1.0214414	0.4811850	0.4782115	0.1592860	0.0621043	0.9956154	0.4416801	0.1981146	0.9142460	0.0459895	0.5534471	0.4237069	0.5873143	0.9068431	1.0604056	0.6235108	0.5178687	1.0534260	0.0467689	0.2507028	0.0178903	0.2578336	0.0826187	1.0085057	0.1500213	0.5613375	0.2857735	0.2978692	0.4980803	0.0472799	0.3465360	0.0505706	0.4718893	0.1679051	0.7825969	0.0651753	0.2969071	0.1338050	0.1100196	0.0798197	0.0715317	0.4275284	0.4273936	0.0987583	0.4612191	0.2482336	0.4133962	0.3134586	0.4910672	0.1262053	0.3295688	0.9864906	0.8473522	0.8930331	0.0564313	1.0076348	1.0526805	1.0082137	0.6066897	0.5097486	0.5118942	0.8947104	0.3050199	0.9507303	0.6872894	0.6140291	0.0038141	0.2412332	0.0204829	0.0384512	0.5546666	1.0494923	0.5209031	0.5995346	1.0337109	0.8381207	0.6473613	0.1232758	0.4765872	0.2290084	0.7947021	0.8757232	0.7901742	0.1791632	0.5087903	0.7372906	0.9919883	0.2283640	0.3422417	0.4864112	0.0697481	0.3691859	0.5882262	0.7240655	0.9048768	0.8432639	0.1923373	0.7016042	0.8028136	0.6300544	0.4438291	1.0806177	1.0513517	1.1050300	1.0336783	0.9672624	1.0462561	0.9209155	1.0562376	0.9737886	0.9166051	0.9358770	1.0301044	0.9241799	1.0191000	0.8981970	0.9906590	0.2817363	0.1446219	0.0142527	0.4927411	0.6679684	0.0231087	0.6683247	0.0332241	0.3270695	0.0389057	0.1022312	0.3285481	0.2173838	0.0937187	0.5708959	1.0906692	0.2383558
0.3758914	1.0303999	0.5136590	0.5782690	0.7987610	0.8217644	1.0713828	0.7123017	0.3130322	0.9579847	0.1742586	1.0140052	0.9815708	0.8005872	0.6429449	0.5372615	0.9404688	0.5767532	0.0398000	0.8751733	0.4783761	0.3718223	0.8143394	0.2083446	0.1103050	0.3041841	0.6756656	0.1851632	0.4750489	0.6151261	0.9045442	0.2812563	0.4400258	0.7389591	1.0199996	0.9870444	0.8579754	0.2780173	0.5833323	0.9290476	0.9213902	0.5587548	0.3496356	0.1439956	0.7780735	0.7605569	0.8345994	0.2226429	0.5320159	1.0196156	0.8769278	0.8150603	0.0660842	0.4826473	1.0471409	1.0563243	0.7241639	0.2257065	0.8604909	0.3431553	0.2198985	0.1515913	1.0349731	0.5641605	1.0058669	0.9069514	0.8979822	0.5689135	0.6941925	0.2585250	0.1011518	0.9625397	0.7594359	0.2122942	0.9253666	0.1348625	0.8900267	0.5178660	0.5892921	0.9975107	0.8894450	0.6047042	0.7727212	1.0925845	0.0434485	0.2074142	0.1606845	0.5276674	0.0997873	0.9360677	0.1744172	0.4988231	0.3752669	0.6598970	0.9390789	0.7284831	0.3756236	0.1337526	0.7274923	0.2568967	0.2453421	0.0636843	0.0333667	0.3109220	0.6634681	0.1947706	0.1376207	0.5425275	0.6858634	0.5400659	0.5237128	0.6800701	0.8178893	0.5103135	0.4824988	0.4777140	0.4378065	0.8394453	0.9082144	0.4963785	0.1148025	1.0591686	0.7513070	1.0695381	0.8185214	0.1122978	0.6507217	0.6630404	0.3609309	1.0044083	0.5921223	0.3853206	0.0206294	0.1033465	0.0024073	0.0390808	0.5644708	0.9770152	0.4857128	0.2376005	0.8836184	0.7577463	0.5720039	0.1372294	0.9205774	0.2748998	0.7150422	0.9230760	0.7226588	0.3388489	0.3499898	0.6692529	1.0183546	0.1138694	0.4110135	0.4736022	0.0694442	0.7083266	0.4855077	0.7683885	0.9770462	0.8093000	0.3047823	0.7786843	0.6283655	0.4287781	0.9183094	0.9143301	1.1011427	1.1226929	1.0369408	0.9513588	1.0194461	0.9895714	0.9654159	1.0968122	1.1054734	1.0407927	0.9908365	1.0731125	1.0513454	1.0349286	1.0375313	0.2423382	0.0987757	0.0222747	0.5782823	0.5595848	0.0105697	0.6196888	0.0236751	0.1783530	0.0297644	0.0828060	0.2662727	0.2347083	0.0738593	0.6520199	1.0852949	0.2261517
0.8361358	0.9866790	1.0683374	0.4374721	0.9906405	0.8074605	1.0389755	0.7300706	0.3055213	1.0236947	0.1498510	0.5916719	0.4986893	0.4630372	0.7359445	0.2959051	1.0705353	0.5344601	0.0649151	0.3581153	0.9121231	0.0711351	0.4439206	0.1014237	0.0726712	0.5222509	0.6614978	0.0752284	0.2547528	0.8405323	0.3289515	0.8068109	0.6113050	0.2123764	0.9852525	0.9527057	1.0045141	0.1497576	0.7320607	1.0319404	1.0269320	0.5334978	0.1211879	0.1144131	0.9717393	0.4502353	0.9817230	0.5608060	0.0489842	0.9796888	1.0294845	0.9424388	0.0880547	0.5308896	1.0663446	1.0886576	0.2936590	0.2940168	0.8803465	0.3170050	0.2042397	0.3741887	0.9943142	0.5300340	1.0297113	0.9737433	0.9642410	0.5411210	0.4901831	0.1602331	0.0849879	0.9999390	0.4391767	0.2057735	0.9650154	0.0560268	0.4969029	0.4010350	0.6806573	0.9472191	0.9033065	0.5594764	0.5740727	0.9534501	0.0673972	0.2272765	0.0321799	0.3275883	0.0951566	1.0940645	0.1070726	0.5720882	0.2639120	0.2767722	0.4826699	0.0700458	0.3263419	0.0848770	0.5272396	0.1440419	0.7673221	0.0578127	0.3230535	0.1159080	0.0720361	0.1087086	0.1011783	0.4064004	0.4209998	0.1100795	0.4286287	0.3053909	0.4274873	0.2938743	0.5124239	0.1276453	0.4237275	0.9638624	0.8340246	0.9025457	0.1027506	1.0156724	1.0049821	0.9288502	0.6735754	0.4579766	0.5719009	0.9121943	0.4209106	0.9624407	0.4866974	0.5865545	0.0249172	0.1494837	0.0224377	0.0290993	0.5486843	1.0201717	0.4872749	0.6716836	1.0595196	0.9795995	0.5232323	0.1250369	0.4824982	0.2681734	0.8503042	0.8499172	0.8774364	0.1914432	0.5430936	0.6956933	0.9914148	0.1058678	0.2480920	0.4532389	0.0389177	0.2642275	0.5812761	0.7331298	0.9399801	0.7946705	0.1620249	0.7701240	0.7614935	0.5525782	0.4558507	1.0745447	0.9537391	1.0205457	0.9724201	1.1014856	0.9539386	0.8485621	0.9993056	0.9406244	1.0244513	1.0870585	1.0395645	0.8774308	1.0048568	0.9708417	1.1096115	0.2023842	0.1089625	0.0439852	0.5572369	0.4582537	0.0218150	0.6003607	0.0325204	0.2281843	0.0531045	0.1086114	0.2493820	0.2599046	0.0921163	0.5715992	1.0573419	0.1997502
0.9425386	0.9952016	1.0795865	0.9706568	0.5596924	0.8798340	1.0553632	0.7199686	0.3495063	1.0968758	0.1364277	0.4108695	0.3842679	0.4222099	0.5959324	0.2387568	1.0689131	0.5433831	0.0734701	0.3351423	0.7491338	0.0356378	0.4145067	0.0780275	0.1049150	0.6411953	0.7389669	0.0881731	0.2255349	0.8812516	0.3259232	0.9202219	0.5413110	0.1372991	0.9591723	0.9735024	1.0364724	0.0974493	0.7944069	0.9569224	1.0310425	0.4429742	0.0897689	0.1194714	1.0451735	0.3702094	0.9482115	0.5443224	0.0548322	1.0790033	0.9753410	0.8550653	0.0402701	0.4396924	1.1042910	0.9903933	0.1809863	0.3118999	0.8893375	0.2533613	0.2452505	0.5066634	1.0221258	0.5402591	0.9936128	0.8919384	1.0072289	0.4765874	0.4729282	0.1904082	0.0581826	0.9983063	0.4317485	0.2216537	1.0832122	0.0388386	0.5276481	0.4840579	0.6498008	0.9999483	1.0099742	0.6485652	0.4426739	1.0290712	0.0446246	0.2396738	0.0180648	0.2476438	0.1455677	1.0110210	0.1235826	0.4955208	0.3090847	0.2229470	0.4403844	0.0248334	0.4274186	0.0513515	0.4296733	0.1511371	0.7834080	0.0360956	0.4973733	0.1221394	0.0464508	0.0841483	0.0776676	0.4216902	0.3275730	0.0812816	0.5339488	0.1841469	0.2801689	0.2127370	0.4775288	0.1021605	0.3421141	1.0060383	0.9297204	0.9360783	0.0709597	1.0996171	0.9181108	1.0586815	0.6025866	0.5549025	0.5156451	0.9197649	0.3740126	0.9821216	0.5512212	0.7035515	0.0419838	0.1487722	0.0192233	0.0701508	0.5279305	1.0555684	0.4490350	0.7441021	0.9599250	0.7628651	0.4974966	0.1497700	0.3086600	0.1959979	0.8964410	0.8199463	0.8902456	0.2023021	0.6205609	0.6542745	1.1302359	0.0792790	0.7277880	0.4292915	0.1808870	0.2574358	0.6426165	0.7305300	0.9112576	0.8619640	0.7671602	0.8262072	0.6708158	0.5924684	0.3865501	1.0223766	1.0423984	1.0416763	1.1069357	0.9717617	1.0197158	0.9704909	1.0944423	1.0579295	1.1318817	0.8758659	1.1764105	0.9620215	1.0546886	0.8928747	1.0216919	0.2173973	0.1367412	0.0170850	0.5657385	0.5628049	0.0053428	0.6214515	0.0384787	0.1840449	0.0144977	0.1049594	0.2777613	0.1992614	0.0652449	0.6833160	0.9559699	0.2388543
0.6583703	1.0155420	0.8580475	0.7926487	0.9961615	0.3807030	0.9587218	0.6930012	0.3145356	1.0485702	0.1105076	0.5653593	0.5773030	0.5590121	0.5434486	0.3325827	1.0890236	0.5702457	0.0640912	0.4832230	0.8453415	0.0697661	0.5613447	0.1018797	0.0804083	0.4898787	0.4557882	0.1194563	0.3129706	0.8533616	0.5287993	0.6716262	0.2041728	0.2578051	0.9819062	0.9703023	0.9535062	0.1530342	0.7157837	0.8023956	1.0723875	0.1947447	0.1535561	0.1159560	1.0525147	0.4157085	0.8830335	0.4727879	0.0954286	0.9165416	0.9949842	0.8631644	0.0571796	0.4926128	0.9438353	0.9839293	0.4228172	0.3241129	0.9553627	0.2508518	0.0733608	0.3221903	0.9302180	0.4297568	1.0062224	0.6739301	0.6620980	0.5729137	0.6280366	0.1908127	0.0920745	0.9547276	0.5223079	0.1675897	0.8296338	0.0463512	0.5155285	0.4694868	0.6099716	0.8546909	0.9540978	0.1385086	0.6081045	0.9915146	0.0515269	0.2213867	0.0220452	0.3242305	0.1321366	0.9587436	0.0808832	0.3308138	0.3074535	0.3261424	0.6177489	0.0701877	0.3071105	0.0523178	0.4547538	0.1949049	0.7243557	0.0535479	0.2698699	0.1793556	0.1424110	0.1005884	0.0801363	0.4618441	0.5755077	0.1408764	0.4141928	0.3488016	0.4407623	0.3104143	0.2117308	0.1267356	0.4147057	1.1040073	0.9027077	0.8007663	0.1114897	0.9154256	0.7729973	0.9337619	0.5296541	0.4018950	0.6777622	0.7781223	0.3522033	1.1167060	0.5500664	0.5592672	0.0241362	0.1480101	0.0105833	0.0365798	0.5156647	0.9968152	0.4735297	0.6315909	1.0752587	0.7901165	0.5760394	0.1879140	0.6375751	0.2589949	0.8747375	0.3297855	0.8454340	0.2140272	0.4992360	0.5238054	1.0052849	0.0974429	0.2506946	0.3058669	0.0486388	0.3362522	0.2901067	0.4005683	0.6781156	0.6578720	0.1864495	0.7477803	0.7131370	0.5388725	0.5405425	1.0284107	0.9804645	1.1242362	0.9555589	1.0891065	1.0565495	1.0415618	0.9702754	1.0499303	0.9131563	0.9863815	1.0568060	0.9507353	0.9391196	0.9737282	1.1010344	0.1906538	0.1019626	0.0331513	0.5694175	0.4608662	0.0146242	0.5939062	0.0680163	0.1011904	0.0595307	0.0802659	0.2731042	0.2297308	0.0885917	0.7506471	1.0699300	0.2515332
0.7207185	0.9353981	0.9161963	0.9125835	0.9961413	0.7824159	0.4414473	0.4413393	0.3123125	1.0161290	0.1054779	0.6703607	0.6104209	0.5506845	0.6608450	0.2541211	0.9681950	0.2906887	0.0397506	0.3890070	0.9919014	0.0730602	0.4935723	0.0694203	0.0713797	0.5316134	0.7222363	0.0759374	0.2979907	0.8749277	0.4934695	0.7328408	0.4212896	0.2309483	1.0388421	0.7718835	1.0368070	0.1674525	0.9186356	0.9176484	0.9766323	0.4751888	0.1182465	0.0668233	0.9105830	0.4093179	0.2960982	0.4648686	0.1073624	0.9427220	0.9293321	0.8848838	0.0575677	0.5744568	0.9801704	1.1189157	0.3189566	0.3244659	0.6440483	0.2845388	0.1688215	0.3485053	0.7036506	0.5412186	0.8811568	0.7971720	0.9752419	0.5133580	0.5250641	0.2491107	0.0859071	0.9552570	0.5500547	0.2431350	0.9780500	0.0482273	0.4635330	0.4684152	0.1227994	0.9386281	0.9744218	0.5304059	0.5769223	1.0511396	0.0344496	0.2015990	0.0204163	0.2709916	0.1193497	0.9553150	0.1087300	0.6495621	0.3032928	0.2936685	0.6436767	0.0687658	0.3782560	0.0577005	0.4987390	0.1639547	0.7550157	0.0374376	0.2994118	0.1749054	0.1036953	0.0938516	0.1015691	0.4278600	0.4688323	0.0969560	0.4988771	0.2804207	0.4887945	0.3541834	0.4944920	0.1201428	0.4415475	1.1415908	0.4565883	0.8909146	0.0970042	1.0660675	0.9546249	1.0243468	0.6161504	0.4117631	0.6585999	0.9209194	0.2980774	0.9620306	0.5599874	0.6130438	0.0251698	0.1495528	0.0075504	0.0370547	0.5073431	1.0156865	0.5545644	0.6778442	0.9975390	0.8388054	0.4851657	0.1210502	0.5843578	0.2498326	0.8543203	0.8638440	0.8807716	0.2630093	0.5172721	0.7986272	1.0559981	0.0899125	0.2486669	0.4862937	0.0447658	0.3855834	0.5778664	0.6193833	0.9520154	0.8703087	0.1825819	0.7693401	0.7789325	0.5872060	0.5456512	1.0013934	0.9802782	0.9917575	0.9560111	0.9569433	1.0531249	0.9745755	1.1093810	1.0113184	0.9950095	1.0148764	1.0097073	1.0617285	1.0873586	0.9881636	0.9831331	0.2218573	0.1297382	0.0173524	0.5684959	0.6154843	0.0250219	0.5423404	0.0506296	0.2138620	0.0686337	0.1371099	0.2769099	0.1916422	0.0889976	0.5724939	0.9767858	0.2740064
0.7276711	0.9824041	0.9239194	0.8543698	1.0360119	0.8644321	0.9882269	0.3326010	0.2979720	0.9376755	0.1581433	0.5008478	0.5447726	0.5823829	0.6809762	0.3081451	0.8538022	0.3983222	0.0716360	0.4229992	0.9876097	0.0689083	0.4926231	0.0866386	0.0648156	0.5713580	0.6056857	0.1119098	0.2765110	0.8769664	0.4445876	0.7654175	0.5793628	0.2689490	0.9157406	0.9864710	1.0611483	0.1712988	0.7652754	0.9354278	1.1059870	0.4953764	0.0958127	0.1062359	1.0569782	0.4054652	0.9990945	0.4564854	0.0871253	1.0725156	1.0077798	0.8524172	0.0300336	0.4746333	1.0593084	1.0295612	0.3455340	0.3150392	0.8493829	0.3793981	0.1915522	0.4245797	0.8918321	0.6242134	1.0943760	0.8499043	0.9231131	0.5481485	0.5371823	0.2051268	0.0825580	1.0300000	0.4324803	0.1981006	0.9076082	0.0464307	0.5485437	0.3806811	0.7267587	0.8917155	0.9901771	0.5475318	0.5321536	1.0662003	0.0519212	0.1659447	0.0361510	0.3138334	0.1002898	0.9903957	0.1330995	0.5503625	0.3138298	0.3239904	0.5875679	0.0701999	0.4584163	0.0782264	0.4431372	0.1287582	0.7912419	0.0465310	0.4047256	0.1649848	0.1016473	0.0964331	0.0939652	0.3854875	0.5234625	0.1722933	0.5192932	0.2743410	0.4760889	0.3182008	0.5532660	0.1515451	0.3282565	1.0165801	0.9604152	0.9060924	0.0802516	0.9772517	0.8597460	1.0066378	0.5675747	0.5235939	0.6136758	0.9358621	0.3284049	1.0207883	0.6622742	0.7324507	0.0183987	0.1585296	0.0022572	0.0491956	0.4941557	0.9423646	0.4445446	0.6923011	1.0014751	0.8750834	0.5419175	0.1406734	0.5243287	0.2097299	0.8725332	0.7893145	0.8320549	0.2267180	0.6314845	0.7068036	1.0434967	0.1041049	0.3169645	0.4243670	0.0472860	0.2882555	0.4932068	0.8515897	0.8974839	0.8156982	0.2400151	0.6471326	0.7803913	0.4616352	0.4545418	1.0228676	0.9451433	0.9587155	0.9597733	1.0547919	1.0738838	1.0380708	1.0526691	1.0367317	0.9858326	1.0727606	0.9707368	1.0231500	0.9826513	0.9942118	1.0645787	0.2353752	0.0861219	0.0197088	0.5375393	0.5703924	0.0249634	0.5444080	0.0543324	0.1612585	0.0258756	0.0744189	0.1933680	0.2671409	0.0644767	0.6564757	0.9147302	0.2627658
0.8145606	1.0135189	0.9962904	0.8534361	0.9718769	0.8009517	1.1006919	0.7116353	0.1568157	1.0751574	0.1535630	0.4701048	0.5015146	0.4518680	0.8038652	0.2833168	1.0933734	0.6346071	0.0743970	0.3605848	1.0566976	0.0568688	0.4299216	0.1065004	0.0604688	0.6011450	0.7828463	0.1564840	0.2901616	0.8846705	0.4372963	0.7382080	0.4708872	0.1964409	0.9258477	1.1126423	1.0767706	0.1296377	0.8014697	0.8819543	1.0093828	0.4513523	0.0845278	0.1183143	1.0291264	0.4324729	0.9841748	0.6185356	0.0705714	1.0365619	0.9300213	1.0415666	0.0395339	0.5676531	1.0589780	0.9184681	0.2852006	0.3301294	0.9099627	0.3171395	0.2056305	0.3685912	1.1109024	0.5876122	1.0551471	0.9127938	0.9163402	0.5409138	0.5118954	0.0686376	0.0871472	1.0470657	0.4290866	0.2094539	0.9581016	0.0359312	0.4096445	0.3725595	0.6554055	1.0390815	0.9631152	0.5014965	0.5105773	0.9982190	0.0304627	0.2352968	0.0204973	0.2607572	0.1015676	0.9066066	0.1572728	0.5441584	0.2773091	0.2898210	0.5015348	0.0594196	0.0725389	0.0442232	0.5950983	0.1018782	0.8393848	0.0339196	0.2804358	0.1329495	0.0640153	0.0694273	0.1040980	0.4203764	0.4121263	0.0923150	0.2208867	0.2032997	0.4336587	0.2447590	0.4620111	0.0967865	0.3610795	1.0438224	0.9490024	0.9292053	0.1099796	0.9238951	0.9817013	0.9139567	0.5662910	0.6101565	0.6004200	0.8894525	0.3910918	0.9460518	0.6075139	0.6517702	0.0275753	0.1277419	0.0119641	0.0312414	0.5023008	0.9463414	0.4693577	0.6789151	1.0683748	0.9033710	0.5855932	0.1620562	0.4684014	0.2618930	0.7836582	0.7104892	0.8616110	0.1967029	0.6069165	0.7759136	1.0169016	0.1452894	0.2720680	0.4539340	0.0584463	0.2973948	0.5051532	0.7069475	0.9617337	0.8272745	0.1923605	0.7593232	0.7602269	0.5844221	0.3462367	1.0144886	1.0647694	0.9158578	1.0805413	1.0259600	1.0043269	1.1009806	1.0445961	1.0046315	0.9846287	1.0798572	1.1447244	0.9634901	0.9300022	1.0510936	1.0574322	0.2319811	0.1548140	0.0167392	0.5401138	0.5504103	0.0259263	0.5368224	0.0344960	0.2265817	0.0849041	0.1046340	0.2990635	0.2231318	0.0629675	0.6612479	0.9473104	0.2589659
0.6696680	0.9629662	0.9067130	0.8674519	1.0341857	0.7759469	0.9737473	0.6421553	0.4163676	0.5390062	0.7244537	0.6140569	0.5605477	0.4744704	0.6356402	0.2940063	0.9283764	0.5000457	0.0640175	0.4386622	0.8685632	0.0680106	0.5581994	0.0808198	0.0901517	0.5407339	0.7306816	0.1302150	0.2766915	0.8997436	0.3946207	0.7316877	0.5026307	0.2680501	0.9710881	1.0263085	1.1217985	0.1418373	0.7140178	0.9357276	0.9783077	0.4463471	0.1464972	0.0569755	0.9084458	0.3650588	0.9756248	0.4376323	0.0951296	0.9654566	1.0418562	0.9538225	0.0266408	0.4414014	0.9624448	1.0464267	0.3336243	0.3265936	0.9036007	0.8615161	0.2351986	0.3196551	0.9482098	0.5899926	1.0887170	0.9085561	1.0053264	1.0186452	0.5312164	0.3019780	0.0713583	1.0382848	0.5040611	0.2452913	0.8568293	0.0580979	0.5941835	0.5151546	0.6413198	0.9945908	0.9766054	0.5378278	0.5874391	1.0153245	0.0283950	0.2000804	0.0158723	0.2542544	0.0785291	0.9619885	0.1648881	0.5769259	0.2840996	0.2740992	0.5333706	0.0611918	0.5939766	0.0659754	0.4905492	0.2028153	0.7176146	0.0312639	0.2742225	0.1584595	0.1131667	0.1299734	0.1137692	0.3865813	0.5096661	0.1231211	0.5689989	0.3334514	0.5183978	0.2981109	0.4934664	0.1264416	0.3389962	0.8127107	0.9630217	0.8837977	0.1036922	1.0345276	1.0334537	0.9543209	0.5639445	0.4670529	1.0604386	0.8015482	0.5522975	0.9854097	0.6014831	0.5615663	0.0283686	0.1244016	0.0102078	0.0991636	0.9232442	0.9513686	0.4037535	0.6061742	0.9851358	0.7270627	0.8147688	0.3549596	0.5774187	0.2203429	0.8775243	0.8144301	0.8679418	0.2058425	0.5346427	0.7153675	0.9680223	0.0909249	0.2819867	0.4444231	0.0385252	0.3184444	0.3996761	0.6338262	1.0573263	0.7869770	0.1786614	0.4869164	0.2233523	0.5819040	0.4604948	1.0133439	1.1369835	0.9944726	1.0473124	1.0276349	1.0262123	0.8659641	0.9904468	0.9241671	1.0647142	0.9708992	1.0259642	0.9093511	1.0588300	1.0201629	1.0298491	0.2084272	0.1344686	0.0253147	0.5759651	0.5642852	0.0152612	0.5259579	0.0301795	0.1718699	0.0482697	0.1188907	0.2764435	0.2568434	0.0923243	0.5817119	1.0849753	0.2179779
