malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.0000000	1.0054991	1.1298208	0.7687234	0.9803238	0.7610533	0.9950439	0.6554950	0.3545963	0.9773749	0.1380048	0.4809007	0.4808677	0.4308643	0.7948647	0.2176613	1.1008457	0.6485180	0.0491242	0.3837969	0.7925988	0.0356212	0.4494287	0.0776237	0.0676292	0.1053619	0.6840830	0.0672595	0.2642184	0.9411184	0.3450809	0.7835807	0.4901110	0.1983242	1.0722476	1.0497429	0.0700202	0.1290702	0.8396913	0.8918626	0.9990393	0.4783075	0.1188780	0.1266839	0.0451767	0.3625258	0.9235337	0.5742858	0.0831837	0.9458929	0.0508790	0.8845182	0.0329823	0.4865404	1.0755614	1.0609709	0.2139886	0.3121065	0.9016726	0.3183724	0.1954094	0.0062843	1.0006164	0.5380173	1.0650245	0.9631884	0.9972287	0.5183020	0.5655987	0.1948664	0.0497347	1.0034805	0.4029339	0.2284369	0.9413548	0.0572268	0.5611521	0.4869912	0.6490496	0.9839388	0.0601395	0.5536800	0.6131246	0.9431472	0.0290310	0.2682109	0.0060501	0.2361757	0.1219309	0.0955987	0.1237037	0.5547779	0.2962864	0.2828465	0.3984715	0.0419406	0.3088918	0.0717682	0.3985613	0.1368614	0.0818645	0.0248287	0.0108629	0.1404826	0.0864769	0.0850822	0.0901625	0.4310403	0.4132911	0.0925133	0.4809601	0.2238442	0.4040385	0.2764683	0.4643093	0.1202341	0.3487110	0.0326180	0.9002247	1.0956323	0.1393806	0.9020106	0.9552704	0.9364507	0.4868443	0.5824283	0.5892910	0.8670199	0.3207658	1.0137374	0.5516997	0.6812604	0.0339313	0.1093885	0.0074249	0.0458423	0.4635324	0.9814411	0.4587007	0.6323746	1.0198597	0.7457736	0.5363163	0.1716809	0.3784242	0.2294527	0.7878649	0.8016997	0.8487880	0.1828430	0.5888560	0.6585602	1.1078210	0.1033630	0.3012904	0.4897163	0.0556391	0.2388299	0.5132990	0.7494462	1.0034244	0.8021963	0.2261619	0.6749937	0.7860516	0.5563192	0.3762758	1.0264201	1.0604722	1.0527318	1.0365920	1.1046535	0.9038202	1.1475995	1.1052934	1.0076397	0.8344767	0.9873311	1.0130967	0.9923422	0.9858931	0.9628025	0.9741572	0.2335711	0.1277092	0.0199249	0.5289961	0.5180048	0.0110155	0.6090478	0.0262482	0.2099934	0.0606361	0.1031046	0.3043574	0.2630756	0.0654768	0.5816392	1.0749388	0.2449990
1.0111207	0.0000000	0.9727248	0.9235429	1.0807403	0.8340027	1.1094237	0.5883748	0.3420980	0.9997515	0.1551827	0.4162677	0.4101428	0.4140439	0.5841508	0.2485194	1.0175789	0.5327406	0.0623671	0.2742849	0.9436855	0.0464708	0.5044729	0.1012159	0.1185924	0.7344680	0.7712450	0.1066161	0.2671924	0.8415826	0.2876942	0.9051046	0.5438990	0.1860664	0.9996632	1.0736234	1.0093045	0.1325779	0.7799275	0.9358794	1.0908129	0.4374553	0.0828090	1.0186803	0.9298273	0.3441857	0.9142190	0.5307455	0.0441218	0.9669225	1.0173668	0.9471513	0.0502571	0.4436524	0.8376754	1.0294572	0.2606981	0.6482747	0.9093388	0.2786270	0.2321074	0.4889393	1.0026339	0.5965502	1.0051016	0.9286007	0.9799658	0.4995206	0.5000883	0.2385569	0.0613172	0.9431636	0.4528228	0.2122192	1.0901538	0.0324203	0.5084347	0.3463180	0.6344387	1.0561500	0.9842346	0.6159510	0.4916374	0.9847352	0.0372678	0.2268620	0.0229085	0.2318013	0.1255892	1.0135743	0.1062053	0.5965246	0.2845352	0.2825384	0.4370534	0.0241281	0.5105882	0.0389043	0.4321310	0.1196925	0.8851175	0.0415259	0.5966447	0.1326772	0.0652588	0.0998283	0.0698285	0.4953744	0.3859678	0.0905209	0.5813692	0.2422816	0.3501996	0.2513202	0.4488631	0.1249740	0.3028343	1.0292076	0.9734304	1.0483123	0.1131909	1.0871753	0.9854854	0.9601895	0.4852278	0.5483109	0.5268223	0.8728826	0.3739759	0.9578021	0.9987695	0.7193832	0.0209575	0.2882744	0.3580616	0.0205216	0.4704334	1.0353989	0.8361518	0.7493210	1.0255182	0.9409655	0.4705411	0.1385449	0.3652965	0.2205810	0.8885128	0.8499975	0.9012706	0.1586183	0.6064135	0.8047498	1.0858215	0.9697435	0.2843514	0.4897128	0.0481788	0.2477552	0.4793746	0.8339933	0.9474568	0.8044084	0.1878445	0.7523385	0.8156476	0.6423448	0.3089193	1.0118406	0.9802667	1.0268451	0.9111532	0.9463052	0.9307643	0.9779316	1.0017951	0.9971334	0.9765245	1.0217357	1.0342030	1.0841877	0.9842142	1.0222600	0.9858372	0.1839180	0.1783844	0.0102070	0.6092948	0.5330353	0.0189870	0.5462460	0.0494347	0.1728267	0.0461190	0.1372298	0.2678078	0.2470662	0.0918958	0.6543926	1.0307807	0.1732863
0.0606244	1.0057687	0.0000000	0.0016003	0.0427926	0.8047642	0.9146806	0.6442459	0.3206550	1.0752222	0.1457617	1.0479885	0.8747788	0.9866057	0.5818916	1.0196084	0.0555277	0.5748228	1.0546451	1.0124957	0.0618490	1.0233200	1.0251349	1.1172896	0.0596587	0.1197355	0.7127015	1.0186316	1.0151966	0.0616567	0.9187970	0.0100297	0.0342776	0.9364458	0.9758040	0.9029330	0.2529693	1.0641584	0.0433517	0.9680738	0.9325545	0.6917499	1.0882101	0.1115341	0.1034540	1.0472655	0.8847766	0.0382444	0.9376724	0.0277614	0.1240567	0.0391280	1.1027000	0.8982678	0.0122998	1.0603030	1.0118280	0.2867067	0.9583860	0.2472739	0.7149540	0.0211276	0.9004331	0.5401892	0.9986360	0.8793821	0.8790118	0.5102358	0.9564681	0.3077727	1.0444015	0.0120541	1.1088566	1.0343446	0.9993428	0.9574204	0.9503189	0.9851181	0.6286094	0.0931227	0.0666509	0.5303095	0.9470271	0.0475824	1.0107050	1.0452094	1.0359539	0.7933342	0.9797562	0.2903097	1.0530265	0.5570692	1.0220553	0.9886073	1.1715428	1.0067158	0.5606995	0.9762481	1.1313297	0.8776590	0.0750550	0.9956935	0.0052716	0.9585874	1.0046874	1.0618177	0.9877527	1.0467083	1.0606286	1.0649705	0.5170731	0.9374012	0.9685173	1.0324094	0.4675740	0.9657802	1.0559120	0.0578645	0.8584853	0.0742605	1.0052476	0.0177955	0.0318547	0.0393948	0.9403696	0.0306380	0.5426085	0.0300751	0.3109573	0.0303926	0.5487587	0.0686848	0.0229907	0.1036718	0.0065880	0.0542837	0.3623534	0.0655286	0.5045810	0.0190650	0.0355324	0.7454782	0.4442968	0.1241787	0.9754066	1.0424726	0.0199387	0.8121881	0.0615139	1.0143446	0.0205940	0.7594110	0.0160083	0.0876646	1.0593965	0.4005409	1.0487552	0.9460434	0.5050491	0.7351066	0.9578240	0.9002241	0.9192789	0.7984121	0.7829266	0.0411910	1.0806867	0.8525413	1.0044405	0.9078999	1.0393238	1.0585830	0.9998353	1.0118188	1.0891245	0.9395808	0.9338969	0.9232927	1.0327918	1.0842056	0.9787424	1.0809241	1.0547492	0.1911415	0.1271917	0.0232108	0.6441245	0.5194128	0.0156489	0.6243726	0.0287110	0.1301463	0.0544818	0.1177749	0.2990335	0.2237018	0.0631807	0.6371100	1.0386464	0.2391036
0.7485692	0.9909780	0.8814905	0.0000000	0.9945095	0.7429603	0.8572507	0.6919083	0.3529754	1.0379763	0.1469012	0.4668201	0.4356265	0.5423820	0.6243481	0.2561995	1.1623758	0.5653133	0.0455365	0.3720316	0.9339934	0.0656267	0.4907837	0.0855606	0.0730236	0.6126406	0.6420669	0.0837019	0.2496138	0.9054188	0.3642274	0.7483833	0.4977161	0.2190030	0.9387224	1.0057419	1.0111752	0.1503138	0.7541765	0.8869200	0.9924653	0.4181413	0.0660718	0.0969720	0.9718314	0.3816168	0.8533655	0.6057288	0.0678908	0.9988482	1.0121747	0.9379307	0.0402133	0.4863807	0.9825844	0.9728776	0.2940060	0.2686255	0.8536218	0.2385280	0.2418953	0.3860651	1.0584459	0.5069401	1.0748677	0.8297588	1.0639876	0.3935907	0.5054931	0.2351965	0.0468778	0.9374995	0.4086484	0.2474449	1.0125897	0.0347777	0.5364135	0.4047340	0.5816389	0.8830106	0.9763663	0.4987032	0.4969774	1.0100766	0.0366789	0.2326910	0.0428049	0.2087008	0.1262596	0.8319739	0.0855498	0.4876020	0.2759435	0.2748637	0.5300235	0.0270256	0.4171463	0.0332063	0.4671738	0.1027557	0.6813261	0.0335535	0.3710128	0.1430694	0.0577782	0.0836808	0.0804549	0.3912432	0.4017629	0.0961159	0.4559196	0.2361866	0.4015799	0.2776871	0.4785833	0.0940711	0.3959513	1.0316308	0.9033670	0.9364693	0.0865426	0.9854585	1.0452911	0.9356706	0.4408836	0.5491626	0.5249325	0.8428413	0.2830087	1.0100708	0.4891908	0.6598892	0.0225346	0.1290678	0.0051282	0.0523224	0.4923974	1.0427631	0.5116422	0.7112211	0.9586393	0.6999114	0.4857374	0.1591366	0.4783147	0.2584650	0.8382962	0.7601583	0.8555001	0.1498526	0.6352139	0.8064501	1.1116990	0.0747771	0.3134404	0.4197771	0.0492652	0.2769522	0.4757835	0.7338312	0.8801171	0.7947983	0.1872475	0.8303070	0.8348961	0.5662619	0.4602680	1.0697163	0.9929737	0.9465515	1.0475894	1.0384046	1.0492204	1.0820749	1.0856779	0.9876995	1.0432682	1.0504123	1.0621165	1.1069509	0.9492756	1.0061562	1.0049007	0.2504114	0.1720033	0.0082711	0.4996772	0.5303666	0.0036619	0.5509219	0.0387306	0.2320167	0.0772836	0.0993129	0.2731398	0.2196362	0.0957528	0.6404491	1.0318861	0.2161516
0.7497759	0.9959840	0.9340560	0.7763687	0.0000000	0.7408191	0.9697514	0.8014083	0.2662018	1.0945602	0.1254714	0.4793995	0.5413015	0.5025782	0.6485600	0.2893152	0.9664160	0.4745105	0.0668818	0.3767329	0.8701441	0.0417015	0.4589890	0.0930640	0.0834530	0.5306722	0.7177436	0.1177031	0.2950654	0.8019827	0.3696036	0.6728886	0.5412337	0.2607779	0.9387459	0.9983708	1.0577547	0.1679098	0.8139942	1.0606937	0.9710926	0.4208710	0.1113798	0.1019837	1.0596545	0.3301662	0.8876745	0.5287513	0.0767100	0.9917400	0.9107317	0.9512473	0.0248672	0.5750656	1.0742391	0.9511613	0.3550604	0.3404777	1.0001872	0.2745452	0.2257750	0.4584867	0.9712648	0.4809137	0.9967157	0.8896437	0.9344727	0.5100389	0.5169035	0.2181693	0.0700046	0.9259692	0.4406853	0.2080264	0.9514019	0.0514743	0.4350840	0.4264869	0.5440354	0.8470325	0.8832864	0.4664215	0.5453822	1.0128044	0.0602653	0.2243610	0.0248187	0.3527943	0.1221500	1.0628498	0.0810718	0.5576022	0.2936687	0.2944720	0.4712896	0.0474308	0.4634914	0.0368335	0.5720845	0.1587962	0.8001277	0.0421622	0.2752613	0.1527749	0.0802927	0.0739726	0.0791985	0.3909332	0.4893867	0.1204377	0.4780489	0.2098818	0.3828052	0.2763748	0.4992006	0.1374494	0.3731500	1.0288956	0.8814194	0.8462191	0.0699969	0.9253758	0.9447379	0.9676166	0.5014610	0.4593273	0.5468037	0.8990437	0.2969204	1.0145332	0.5322134	0.6155311	0.0218976	0.2041175	0.0229784	0.0350033	0.3818566	0.9654641	0.4587825	0.7212764	0.9059515	0.8959443	0.4219500	0.1434998	0.4179028	0.2546954	0.9524222	0.8518917	0.8426828	0.1602245	0.6378714	0.7461774	1.0629596	0.1127786	1.2280606	0.4470750	0.9654974	0.2513884	0.6945489	0.6669027	0.9752106	0.9037007	1.0924463	0.6912766	0.7281139	0.5488476	0.4327468	1.0094651	1.0900423	0.9480092	0.9551053	1.0332055	1.0150243	1.0429546	1.0405613	1.0387275	1.0173944	0.9475176	0.9797149	1.1168749	1.0070655	1.0880644	1.0826536	0.2853028	0.1205340	0.0183972	0.4897919	0.5545524	0.0143935	0.6136532	0.0489979	0.1919128	0.0656037	0.0992061	0.3518984	0.2353138	0.0801739	0.6351972	0.9459202	0.2869525
0.0602029	0.9608541	0.0926284	0.0372793	0.0594334	0.0000000	0.9453403	0.6671503	0.0039851	0.9181382	0.1549223	0.9591903	1.0506571	0.9746028	0.5970808	0.9078008	0.1669722	0.5894479	0.0836057	0.9743173	0.0418561	0.9416964	1.0025072	0.9243081	0.0754268	0.1022028	0.3835216	0.5603105	0.7489475	0.0742115	1.1498676	0.0121376	0.0154470	0.9871488	1.0482519	0.9062746	0.2809558	0.8357445	0.2452780	0.0379097	0.9394169	0.4976396	0.9193356	0.1095510	0.1633404	1.0652552	0.9150307	0.0495662	0.8939650	0.5940157	0.2255274	0.4083058	0.2306842	0.1127963	1.0712580	1.0968328	0.9709532	0.3031408	0.9195710	0.2663079	0.6097951	0.0165016	1.0527807	0.0617915	1.0869770	0.0584113	0.0069574	0.4808284	0.9097688	0.0360583	0.7272889	0.7408594	1.0686615	0.7084249	0.0089935	0.8889712	1.0143841	1.0046114	0.5026592	0.0622730	0.0996449	0.0419666	0.9903386	0.0478897	0.2601421	0.7528289	1.0854807	0.9745240	0.1137197	0.3203835	1.0233487	0.1160892	0.6349693	1.0316702	0.9981912	0.9849415	0.0149158	0.8915271	0.9905508	1.0561440	0.0900573	0.8606736	0.0151076	0.8743047	1.1021617	0.5525772	0.4936906	0.8115156	1.1062391	0.9579756	0.0338127	0.9780105	0.9619755	0.9924024	0.0682340	0.8688506	0.8700632	0.0585418	0.8571136	0.0555257	0.1200903	0.7288411	0.0849929	0.4242551	0.9598150	0.0174203	0.5688936	0.1186176	0.3394894	0.2316839	0.6004694	0.1039572	0.0228793	0.1493806	0.0157110	0.0314003	0.4925844	0.1993725	0.3852826	0.0396352	0.7977322	0.7692334	0.5081510	0.1445242	1.0003786	0.7000915	0.1453655	0.0311999	0.1104435	0.8519014	0.0818508	0.0045476	0.8908091	0.1272145	0.9824256	0.0264049	1.0044790	0.9822466	0.0299066	0.0341588	0.0411063	0.0042633	1.0247095	0.7487444	0.7079772	0.0880381	1.0155306	0.9998044	1.0274227	1.0238256	1.0803713	0.9917667	0.9419506	1.0331541	1.0629535	0.9725750	0.9738440	1.0694888	0.9891644	1.0125994	1.0629546	1.0773819	1.0785712	0.2605627	0.1309462	0.0109952	0.6282078	0.5564145	0.0162156	0.5578002	0.0407581	0.1551595	0.0487534	0.0760413	0.2210408	0.1962823	0.0582006	0.6191424	1.0923407	0.2164239
0.1218848	0.9920035	0.1780233	0.0986634	0.1244429	0.0368146	0.0000000	0.0225869	0.0078978	1.0586359	0.1717682	1.0692448	1.1123856	0.9978971	0.6642597	0.7661510	0.4477469	0.0320951	0.0622687	1.0219284	0.0617563	0.9389746	0.9725265	0.7534911	0.0557915	0.1516674	0.3624601	0.3657195	0.6873639	0.1655519	1.1723163	0.0186939	0.0239384	1.0418330	0.9772178	0.0457250	0.3921029	0.6432996	0.4390338	0.0461172	0.0396170	0.3841499	0.8610167	0.0817178	0.2089741	0.9821715	0.0563677	0.0420363	1.0148054	0.7272571	0.2752851	0.5691350	0.1418115	0.0263857	1.0867326	0.0527610	0.9419928	0.2580707	0.0199760	0.2289669	0.4334274	0.0125314	0.0419519	0.0999852	0.0901758	0.0846996	0.0230663	0.4839844	0.7902265	0.0319463	0.4797793	0.8119174	1.0070946	0.4211808	0.0208882	0.7453221	1.0159393	0.9102754	0.0837430	0.1688545	0.0386620	0.0519089	1.0069137	0.0567835	0.1063913	0.4318448	1.0145438	0.8949630	0.1068836	0.4267521	0.9011708	0.1074181	0.5464297	1.0584028	1.0787693	0.9448449	0.0247028	0.6517586	0.9652091	0.7897167	0.1026761	0.6045364	0.0144261	0.7804341	1.0589403	0.4324866	0.3407216	0.8833767	0.8556913	1.0339222	0.0496309	0.9623108	0.8964894	0.8832364	0.0650483	1.0105144	0.8300232	0.0835071	0.0423896	0.0787461	0.0919205	0.8503336	0.2033639	0.7317443	1.0817878	0.0437918	0.5252671	0.2478215	0.3586543	0.5196446	0.5002742	0.1577820	0.0303653	0.1437973	0.0096189	0.0276994	0.4654529	0.5575726	0.5456856	0.0832507	0.8411291	0.7568559	0.5543289	0.1686368	0.9791419	0.4825686	0.2445682	0.0228854	0.2157113	0.6526491	0.1154347	0.0511010	1.0365186	0.0939603	0.9326014	0.0504796	0.9491741	0.9912614	0.0497238	0.0583293	0.0453131	0.0272066	0.9645684	0.7618349	0.7204311	0.1783832	0.9935203	1.0727513	0.9973309	0.9931602	1.0584760	0.9505589	1.0746611	1.0470150	0.9911262	1.0447398	1.0879611	1.0530072	1.0471769	0.9802430	1.0695153	1.0645146	1.0348171	0.2170236	0.1590135	0.0303495	0.5481120	0.5014736	0.0221293	0.6182361	0.0478806	0.1646936	0.0446657	0.0991843	0.3116595	0.2681354	0.0640933	0.6605634	1.0560863	0.2339923
0.1156411	1.1615473	0.1742142	0.1421313	0.1331205	0.0451713	1.0789143	0.0000000	0.0072708	0.9762666	0.1684854	0.9572313	0.9205577	0.9372458	0.6316509	0.8826452	0.5015433	0.0392614	0.0405540	0.9366966	0.0670220	0.8817306	0.9484215	0.7169633	0.0668907	0.1205975	0.4020326	0.3336186	0.6882537	0.1934585	1.0769473	0.0414863	0.0219695	1.0023298	1.0423240	1.0033031	0.5907240	0.7473825	0.3285253	0.0801067	1.1142687	0.5699629	0.8503306	0.1117976	0.4051977	0.9771233	0.9267129	0.0227966	0.8994225	0.7621824	0.3891396	0.5554817	0.1367272	0.0143216	1.0493123	1.0510585	1.0025146	0.2843317	0.9960493	0.3043191	0.5541753	0.0266144	1.0976120	0.1151154	1.0346681	0.1180415	0.0114366	0.5137739	0.8459377	0.0331078	0.4121324	0.7838411	1.0300464	0.3782174	0.0273629	0.6928417	0.9407053	0.9461922	0.6453864	0.1839549	0.0876613	0.0342545	1.0175233	0.0491031	0.0770701	0.3715609	0.9176378	0.8892705	0.1115756	0.5299722	0.7992594	0.0992832	0.5689709	0.9199331	0.9262338	0.9448422	0.0213128	0.7546320	0.9480942	0.7287054	0.0706319	0.5314642	0.0062102	0.8019783	0.9853389	0.3833113	0.3428065	0.8303528	1.0148416	0.9418185	0.0331745	0.9817185	1.1488844	0.8516429	0.0567029	0.9911899	0.7154965	0.0868698	0.9552433	0.0831255	0.1222961	0.9531350	0.2349787	0.7079971	1.0725527	0.0357124	0.6147635	0.2641159	0.3886966	0.5230404	0.5260020	0.1388148	0.0181047	0.0685214	0.0043647	0.0411246	0.5340216	0.5304710	0.4872719	0.0700539	0.8449449	0.7536300	0.5313770	0.1677251	1.0724976	0.4681261	0.2895040	0.0291065	0.2147651	0.6992801	0.0931936	0.0417693	0.9773066	0.0877228	0.9940962	0.0840451	0.9192827	1.0487087	0.0484025	0.0581048	0.0392921	0.0266618	0.9988044	0.7782724	0.6966731	0.1839358	1.0818353	1.0616386	1.0350219	1.0960650	1.0030796	1.0955398	1.0252355	1.0254069	0.9100703	1.0716690	1.0161077	1.0166027	0.9992243	1.1623184	1.0153515	1.0697042	1.1193152	0.2482800	0.1144436	0.0161829	0.5541754	0.5122225	0.0108236	0.5544231	0.0424775	0.1334112	0.0815098	0.0718261	0.2378252	0.2819717	0.0521684	0.6819552	1.0709929	0.2867255
0.7060406	1.0254875	0.9654660	0.8679678	1.0108817	0.7416794	0.8235711	0.7269624	0.0000000	1.0261243	0.1406812	0.4718067	0.5227097	0.4186472	0.9614063	0.3130505	1.0341346	0.6160565	0.0550956	0.3818647	0.8883140	0.0579977	0.5419310	0.0844706	0.0757147	0.5171502	0.6080681	0.1295419	0.2747517	0.9943042	0.4108488	0.8251106	0.4207715	0.2060037	0.9815061	1.0557281	1.0443006	0.1174838	0.8000061	0.9737354	0.9757529	0.5062888	0.0679352	0.1135681	0.9359649	0.4217937	0.8531380	0.5617513	0.0671762	0.9571904	0.9549755	0.8847281	0.0327795	0.6173669	1.0530093	1.1242351	0.2663057	0.3019251	0.9006601	0.2953553	0.7927817	0.3359827	0.9587045	0.5954637	1.0116823	0.8883001	1.0178135	0.5176561	0.4826745	0.0308386	0.0471242	0.9071564	0.3772353	0.1970972	0.9376468	0.0353677	0.4533298	0.4766960	0.5813490	1.0365938	1.1113621	0.5592078	0.5545154	1.0610776	0.0395562	0.2867692	0.0190569	0.2643690	0.1370036	0.9260430	0.1624183	0.5046745	0.2817552	0.2158903	0.4846743	0.0593750	0.0111731	0.0554256	0.4659843	0.1471190	0.7536754	0.0358633	0.3819402	0.1484617	0.0824330	0.0829750	0.0883651	0.3810920	0.4134105	0.1023999	0.0441942	0.2373548	0.3474253	0.2770549	0.5626754	0.1234027	0.3139342	1.0442038	0.8748289	0.9696615	0.0931428	0.9573926	0.9922544	1.0576071	0.4750471	0.5325919	0.5559237	0.9375031	0.2596342	0.9106401	0.6396894	0.6586175	0.0188436	0.1593439	0.0119100	0.0522877	0.4620276	1.0204008	0.4171465	0.6236639	0.9537280	0.8053365	0.6133941	0.1635670	0.4130099	0.1897054	0.8915406	0.8011300	0.9439331	0.1710001	0.4944957	0.6999307	1.0456702	0.1204579	0.3241121	0.3772793	0.0332018	0.2246247	0.4610928	0.7300594	0.9702644	0.8372280	0.2043403	0.7663786	0.8313732	0.5991759	0.3723353	1.1199575	0.8411869	0.9533524	1.0181650	1.0282056	0.9720609	1.0564350	1.0706672	0.9082982	0.9686143	1.0359274	0.9008843	0.9835717	1.0107466	1.0553296	0.9598662	0.2079923	0.1589045	0.0146061	0.6290948	0.5921467	0.0227496	0.5443850	0.0519165	0.1977360	0.0458058	0.1337243	0.2662672	0.2306908	0.0777828	0.5407023	0.9279766	0.2476459
0.7320565	1.0129700	0.9333799	0.9075402	0.9570841	0.7852764	1.0136910	0.6948198	1.0210292	0.0000000	1.0383866	0.4980840	0.4372899	0.4158498	0.3609978	0.2278734	1.0008417	0.7430775	0.0603149	0.4265758	0.9628551	0.0305479	0.4976062	0.0981406	0.2032988	0.5431985	0.3706378	0.1626640	0.2191702	0.9156136	0.3213841	0.8361413	0.5432540	0.1849589	0.7678646	0.9348944	0.9931662	0.1286798	0.7384018	1.0356195	0.9820282	0.3567291	0.1184546	0.1084409	1.1167440	0.3618376	0.9789373	0.5403185	0.0716950	1.0653541	1.0330815	0.8801931	0.0285399	0.2839483	0.9209178	1.0262461	0.2487529	0.2728010	0.9138435	1.0467393	0.2232426	0.3306100	0.9431725	0.5507654	1.0001356	0.8394856	0.9455624	0.9702249	0.4882182	0.7994766	0.0601208	0.9600467	0.3818619	0.2232873	0.9303559	0.0536003	0.5035166	0.4048748	0.5688375	1.0275548	1.1057613	0.5732061	0.5228941	0.9963266	0.0581389	0.2642138	0.0207753	0.2636183	0.1128363	0.9483942	0.1120561	0.6104732	0.2705440	0.2413529	0.4595103	0.0319899	0.9498214	0.0475994	0.4582826	0.1235536	0.7431781	0.0433646	0.2558652	0.1200329	0.0566877	0.1042803	0.0817262	0.3972464	0.3346345	0.0845833	0.9522664	0.2330607	0.4004573	0.2426754	0.5269040	0.1200066	0.3400313	1.0120765	0.9027509	0.9166006	0.0860387	1.1546462	1.0178191	1.0655714	0.5505546	0.5657750	0.9246162	0.9088355	1.0105846	1.0611121	0.5361341	0.6610396	1.0352947	0.1348283	0.0153075	0.9922199	1.0417804	0.9866378	0.5403079	0.6175413	0.9117407	0.7697229	1.0552639	1.0259281	0.3892975	0.2332485	0.9496598	0.8598462	0.6875751	0.1861928	0.5069551	0.7022894	0.9882986	0.0704168	0.2644636	0.4684237	0.0439224	0.2260596	0.5586254	0.7317768	0.8848687	0.7726700	0.1956607	0.0509508	0.0696496	0.6362090	0.4099618	1.1020791	1.0992616	0.9737654	1.0518108	1.0193714	1.0464428	1.0056229	1.0242917	1.0428074	1.0296410	1.0797471	1.0937524	1.0760899	1.0360396	1.0183235	0.9810851	0.1949070	0.1327641	0.0304632	0.6345806	0.5003321	0.0070620	0.5475731	0.0306964	0.2581413	0.0748192	0.0988770	0.3213277	0.2202966	0.0836420	0.6036197	1.0500746	0.2162398
