malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.6607533	0.9555787	0.9461270	0.8537831	0.9657755	0.8244702	0.8443888	0.6656304	0.0034271	0.9840295	0.0889880	0.6217518	0.5497048	0.1914855	0.6244010	0.2577661	0.9877762	0.5211431	0.0006435	0.4769679	0.9023204	0.0626689	0.5420471	0.0888187	0.0027863	0.4479132	0.7195236	0.1250756	0.2815652	0.8724047	0.3533382	0.8346863	0.6219571	0.1108501	0.9308977	0.8629556	0.9363617	0.0651530	0.7787745	0.8294728	1.0373350	0.6041519	0.0671333	0.0003501	0.9183743	0.4130506	0.7889565	0.6578934	0.0684894	1.0144112	1.0147008	0.7944585	0.0187185	0.2252438	0.9156503	0.9597595	0.2100544	0.3345295	1.0044066	0.4731782	0.5874219	0.4496017	0.9366529	0.6048688	0.9889436	0.8381280	0.9540206	0.5184657	0.5113154	0.5460022	0.0687520	0.9750684	0.2262782	0.2223021	0.9623758	0.0214093	0.3187793	0.2723890	0.4539761	0.9260110	1.0203232	0.5596205	0.4196195	0.8979789	0.0394579	0.1807029	0.0232027	0.3207199	0.0026933	0.7748785	0.1526197	0.4669699	0.2317293	0.3408517	0.3718694	0.0605361	0.0000527	0.0443725	0.5334672	0.0376707	0.7111771	0.0254077	0.4206138	0.1571016	0.0779256	0.1102134	0.0797522	0.3406357	0.4144518	0.1404634	0.0719726	0.2387029	0.4753909	0.2044201	0.4904900	0.0224534	0.3138553	0.9679793	0.8175695	0.9960332	0.1234757	0.9754011	0.9143420	0.9400741	0.5854081	0.5148727	0.4457230	0.8740418	0.1954485	1.0308893	0.3981521	0.5452172	0.0244193	0.1399357	0.0096527	0.0256822	0.4588726	1.0045545	0.4214220	0.5882040	0.9501520	0.7841181	0.5949020	0.1378726	0.5114667	0.0120792	0.8199577	0.8907526	0.8723767	0.1765488	0.8433526	0.7397775	1.0866609	0.0877392	0.2693206	0.5128523	0.0485549	0.3136218	0.4934521	0.7289077	1.0012910	0.9141779	0.2095913	0.7107319	0.6558581	0.8776521	0.0995375	0.9462003	1.0205722	0.8581362	1.0691219	0.7240668	0.9654242	0.8754592	1.0883869	1.0607061	1.0030520	0.8825959	1.0030594	0.9863491	0.8390519	1.0104335	1.0173152	0.2850338	0.0520382	0.0021797	0.4721687	0.6229480	0.0134776	0.4244202	0.0147014	0.1510639	0.0508432	0.1352594	0.2836006	0.2473752	0.0067457	0.5535986	0.9437747	0.2503392
0.7279965	1.0395921	0.9550735	0.9193723	0.8910281	0.8920354	0.6592510	0.5422570	0.4818113	0.4852729	0.8356764	0.2734231	0.1602381	0.2058882	0.6727517	0.1717982	1.0215158	0.4807806	0.0611334	0.1840202	0.9564762	0.0149667	0.4440017	0.0254382	0.3211074	0.6089312	0.7140718	0.1001911	0.1461362	1.0061649	0.2167346	0.7753445	0.5745454	0.1743305	0.9289400	0.8836024	0.9795265	0.0653053	0.6709285	0.9501099	0.9373595	0.9166770	0.0372540	0.0926101	0.8986128	0.2970664	0.6127705	0.6577213	0.0771284	1.0415914	0.9395900	0.7533654	0.0058405	0.4445447	1.0521230	0.9297485	0.1360023	0.3603601	0.6783187	0.9392699	0.1388572	0.4400845	0.9955536	0.5485518	0.8679364	0.8732895	0.9808903	0.8757565	0.4087874	0.4649424	0.0048390	0.9980320	0.1428461	0.2040186	0.9859302	0.0359720	0.2991675	0.3975909	0.4838933	1.0758684	1.0626677	0.8777773	0.3361078	0.8997724	0.0304861	0.2816159	0.0117407	0.2671960	0.0022273	0.8620164	0.1443572	0.6202324	0.2731392	0.1390765	0.3860923	0.0176990	0.8968279	0.0189989	0.4010513	0.0423114	0.7459535	0.0079375	0.2209496	0.1489308	0.0696436	0.0777317	0.0344975	0.3274233	0.4553803	0.0662513	0.5687004	0.2321359	0.3517877	0.2692637	0.5588478	0.1370284	0.3455848	1.0173958	0.6175160	0.8782023	0.0496438	1.0203234	0.9751210	0.9166978	0.5257421	0.6533604	0.6958076	0.9422006	0.3724921	0.9454793	0.4543220	0.6023261	0.0421507	0.1255327	0.0113533	0.1211669	0.9664049	0.8884771	0.3891961	0.6059470	0.9669086	0.8112887	0.7940181	0.3289572	0.3380072	0.0055614	0.9561840	0.8441958	0.8551423	0.0870017	0.6300615	0.7710208	0.8985398	0.0417268	0.2986001	0.6028196	0.0098615	0.2536749	0.5590785	0.8511764	0.9946875	0.9401733	0.1601828	0.6013786	0.1616448	0.7424967	0.2656591	1.0175602	0.7621646	0.9491885	0.9277018	0.9761639	0.8102003	1.0177302	1.0580885	0.9157594	1.1104709	0.9599696	0.9331458	0.6954827	1.0393968	1.1129291	1.0313438	0.1442785	0.0315583	0.0165880	0.5676798	0.5083844	0.0089501	0.5643504	0.0287992	0.1398657	0.0065167	0.1120844	0.2251607	0.0729002	0.0076704	0.6297697	1.0689506	0.2252024
0.4645358	0.6382536	0.9795912	0.8358255	0.9281950	1.1054681	0.8567186	0.5830412	0.8106739	0.2255203	1.0161221	0.5761823	0.4149445	0.4374881	0.2544055	0.2506551	1.0524079	0.7431621	0.0003373	0.3020585	0.9101811	0.0236427	0.3817674	0.1184514	0.0971324	0.3156477	0.3959577	0.0957931	0.1917569	0.9314162	0.2904235	0.9372132	0.5745562	0.2063692	0.8559859	1.0704013	1.0346577	0.1693275	0.6477211	0.8680645	1.0659476	0.6689843	0.1415911	0.0110898	0.8380676	0.4132238	0.8210994	0.6079521	0.0822612	1.0155356	0.9315045	0.8076810	0.0443554	0.0008417	0.9153801	1.0372103	0.3072804	0.0958365	0.8593270	0.9076653	0.3808776	0.2729636	1.0238980	0.7968038	0.9319998	1.0927600	0.9859777	1.0848571	0.2895397	0.7146923	0.0052129	0.9433376	0.3480186	0.0012876	0.9143396	0.0399402	0.3613559	0.3877341	0.7536991	0.9445217	0.8727027	0.7157605	0.4964062	0.9608499	0.0442484	0.2279243	0.0286031	0.2049108	0.0869650	0.9184659	0.0070261	0.7236663	0.2716258	0.2724159	0.6267183	0.0429203	1.0581567	0.0700072	0.4377862	0.1798538	0.4086891	0.0019494	0.1099188	0.1271224	0.0954834	0.0731379	0.0969057	0.3517647	0.4823533	0.1181477	0.9862635	0.3080044	0.4341478	0.2819184	0.5325030	0.1478277	0.1571536	0.9155036	0.7971808	0.7592260	0.0947461	1.0201423	0.9581130	1.0174191	0.5188882	0.4658134	0.6415842	0.8939166	0.7053919	0.9935534	0.8038566	0.5757330	0.0794912	0.1162009	0.0154959	0.3306164	0.9490215	0.9723881	0.5467307	0.6689440	0.9608827	0.9203551	0.8436855	0.5502788	0.4612240	0.0041216	0.8602939	0.9088033	0.8762308	0.1500049	0.5962698	0.8822170	1.0210739	0.2341633	0.3160921	0.5313520	0.0183057	0.2612348	0.6738049	0.8447720	0.9365009	1.0263028	0.1777179	0.2521117	0.0282299	0.5455342	0.4743322	0.7559757	0.7466919	0.9823742	0.9577695	0.5450224	0.7100746	0.5915273	0.9066275	0.9945373	0.9185001	0.9785571	0.9408713	0.9967960	1.0764502	0.7432172	0.9350873	0.2921001	0.1381803	0.0026684	0.4655888	0.4433473	0.0003639	0.2975956	0.0151225	0.2721579	0.0011150	0.0890207	0.3471565	0.2000914	0.0094132	0.4909042	0.9963840	0.1992144
0.7066485	1.0427483	0.9886481	0.8699329	0.9321263	0.8613596	0.9989888	0.6768351	0.3704994	0.9550304	0.1656330	0.5249269	0.4810919	0.3231351	0.2427322	0.3032718	0.9280047	0.5485032	0.0466338	0.2255859	0.8849285	0.0591948	0.4212935	0.0710443	0.4423087	0.6245036	0.5808524	0.0953071	0.2113252	0.9839290	0.1939832	0.7525915	0.7040505	0.2346956	1.0787166	0.9479328	0.9616367	0.1452454	0.7943582	0.9141699	0.9479748	0.4940647	0.0649039	0.1134391	0.9556200	0.3341907	0.8819259	0.4052570	0.1133199	0.8402507	0.8679555	0.8650209	0.0360739	0.5130870	0.9885029	1.0907342	0.3071277	0.3498258	1.0080605	0.3516961	0.2623807	0.3719676	1.0376813	0.5045369	0.9711309	0.9905262	1.1163890	0.4089993	0.3289191	0.5617982	0.0682306	0.9553461	0.4543008	0.0872333	0.9398243	0.0288520	0.4628215	0.4457144	0.4278705	0.9143941	0.9668502	0.7857050	0.4213606	0.9579981	0.0090992	0.2037384	0.0327644	0.2606352	0.0807663	0.8066563	0.0007084	0.7194870	0.2695687	0.1010026	0.2874444	0.0618544	0.5449300	0.0440313	0.4689308	0.0227224	0.7506418	0.0276489	0.2929285	0.0659995	0.0663100	0.0320716	0.0811812	0.3922757	0.4593138	0.1315839	0.4918958	0.1453166	0.3740331	0.1989328	0.7108199	0.1208778	0.0980999	1.1500964	0.8985237	0.9153390	0.0050989	1.0893212	0.8846414	1.0186659	0.5146554	0.4829630	0.5217824	0.7882519	0.2840183	0.8571921	0.2534221	0.6402401	0.0005235	0.1019911	0.0141998	0.0403102	0.4426486	1.0156833	0.3157712	0.7525339	0.8532299	1.0052642	0.5052636	0.1560340	0.2668861	0.3116236	0.9041600	1.0085018	0.9314620	0.1127239	0.6115509	0.7612699	0.9783824	0.0600547	0.2615374	0.4554977	0.0184636	0.2993430	0.6644474	0.7006699	1.0076982	0.8953419	0.1346460	0.6890614	0.8241491	0.6499289	0.3825044	0.9456706	1.1544626	1.0426496	0.8835227	0.9918021	0.9863169	0.8699525	0.8015033	0.9898701	0.6242639	1.0165558	1.0564219	0.9305978	0.7484591	1.0781242	1.1052933	0.1135797	0.1396919	0.0210544	0.7697900	0.4574193	0.0083595	0.2224925	0.0187110	0.1077302	0.0389970	0.0936542	0.2153184	0.1179652	0.0031374	0.8367823	0.7497024	0.2329337
0.7342182	1.0467452	0.9274478	0.8876761	0.9434194	0.8577568	1.0021674	0.6424167	0.2275951	1.0852787	0.1201946	0.5860429	0.5447889	0.4324260	0.6284301	0.2324561	0.9996409	0.9040453	0.0020777	0.4243917	0.8359747	0.0598816	0.2548464	0.1039569	0.0164277	0.4102996	0.5793257	0.1400818	0.2145693	0.8819745	0.3056058	0.7689942	0.5131562	0.2285235	1.0453989	1.0240262	1.0845948	0.1468989	0.7030161	1.0172093	1.0586172	0.4762718	0.1097612	0.0942709	1.0045492	0.3596515	0.7645864	0.5097190	0.0596060	0.9332067	0.9810203	0.9957859	0.0553142	0.5868628	0.9034371	0.9902240	0.2608320	0.2611075	0.9356905	0.1959390	0.0069803	0.5380046	0.9833620	0.5504469	1.0392549	0.8364942	0.9437868	0.4481793	0.5603440	0.3344780	0.0965085	1.0574645	0.2391897	0.1977319	1.0692914	0.0462768	0.4481407	0.4643793	0.9439117	0.8569671	0.9336243	0.6750563	0.3264677	0.9102322	0.0060201	0.2358916	0.0324632	0.2353406	0.0021838	0.9892769	0.0490579	0.6612257	0.1239407	0.2183175	0.3768786	0.0475017	0.1809528	0.0426085	0.4871001	0.1629443	0.7992281	0.0031731	0.7166868	0.1115824	0.0861562	0.1110961	0.0468762	0.1625156	0.3931474	0.1368278	0.2986549	0.2706905	0.2785430	0.2324973	0.5127173	0.1365367	0.2680732	0.9890044	0.9093398	0.8541944	0.0006373	1.0075780	0.8551283	0.9110368	0.5074038	0.4738464	0.2791735	0.8705101	0.3457576	0.9026579	0.4541882	0.4701494	0.0194864	0.0365372	0.0028329	0.0274238	0.4583405	0.9435050	0.1677042	0.7319340	0.8968461	0.6322085	0.4667494	0.1294067	0.4238665	0.0169245	0.8649169	0.9837859	0.9201612	0.0730624	0.5288229	0.8492548	1.0539553	0.0585007	0.2645458	0.7171196	0.0042292	0.4037294	0.5519247	0.7551062	0.8601972	0.9374928	0.2154653	0.8742604	0.7606250	0.6789440	0.5398873	1.0625838	0.9949920	1.0246442	0.9111214	0.9359261	0.9749920	1.0658671	1.1725579	0.9634737	0.8325968	0.9922878	0.9859477	0.6144246	0.9316018	0.9948701	1.0079903	0.0443364	0.1625139	0.0040666	0.5672629	0.3839322	0.0050783	0.5681119	0.0447423	0.1495221	0.0018409	0.1066031	0.1135238	0.2264427	0.0680807	0.6556626	0.9349592	0.2343806
0.5120521	0.7831463	0.8160106	0.7843607	0.9952114	0.8133144	1.0657127	0.7310287	0.4940411	0.7421828	0.4509370	0.6372852	0.3881796	0.6073324	0.0408957	0.2166759	0.9548186	0.6091882	0.0606055	0.5914714	0.8291607	0.0832616	0.2516429	0.1131924	0.0625586	0.4823104	0.5463574	0.0469437	0.2945198	0.8830596	0.5381151	0.6559469	0.4920449	0.3352258	1.0042092	0.8518358	1.1378936	0.1870170	0.8098819	0.8218214	1.0126005	0.5098581	0.1392963	0.0733592	0.7869827	0.5137478	0.9026754	0.5086325	0.1252713	0.8894847	1.0104529	0.8521773	0.0725640	0.2500752	0.9777930	0.9839159	0.4789902	0.2800150	0.8531870	0.4945864	0.5475406	0.2832144	1.0043720	0.6993165	0.9636158	0.9015488	1.0113242	0.4978078	0.3893047	0.4939186	0.1015448	0.9839803	0.3343522	0.2329022	0.9744293	0.0364854	0.5413717	0.5332389	0.8572687	0.7870925	0.9973069	0.5454038	0.5625853	0.9025846	0.0321905	0.0809390	0.0215069	0.3524365	0.1300887	0.8099585	0.0756695	0.4871849	0.1334022	0.4101711	0.6786637	0.0838828	0.7403740	0.0877969	0.3730731	0.1798511	0.5763812	0.0411190	0.0955859	0.1599659	0.1206193	0.0300928	0.1133733	0.4271992	0.4948849	0.1753870	0.6712850	0.3639702	0.6374417	0.3241043	0.4337195	0.0714444	0.1256619	0.9822267	0.9277377	0.8110588	0.0009880	0.9887676	0.9458904	1.0723629	0.4308221	0.3444332	0.8432733	0.8505167	0.4175624	1.0112387	0.4741332	0.5147239	0.0058430	0.2579752	0.0391598	0.0536675	0.7051732	1.0190880	0.3957627	0.5869763	0.9213235	0.7144689	0.6829692	0.2328034	0.7423145	0.1983087	0.8600881	0.8328062	0.7676353	0.2195682	0.3656329	0.7149845	1.0345751	0.1507093	0.2450516	0.6674707	0.0462299	0.2658004	0.6767412	0.6633605	0.9738205	0.8577303	0.1072844	0.6702891	0.3908540	0.5379405	0.3009491	0.8814964	0.8575581	0.8868476	0.9620694	1.0072512	1.0833676	0.8461265	0.9675642	0.7796011	0.5959203	1.0620852	1.0087784	0.9241195	0.6742229	0.9576193	0.6111190	0.3335902	0.2146615	0.0011057	0.3618376	0.8393840	0.0002656	0.7241539	0.0383952	0.6680217	0.0033339	0.1682861	0.5640959	0.0030881	0.0109534	0.2221743	0.9975139	0.1840357
0.7046481	0.9905117	0.9221170	0.8619159	0.8852617	0.7663377	0.9832510	0.6383976	0.2909507	0.7325314	0.2429585	0.4755196	0.5589471	0.5406100	1.0259716	0.2927894	0.9696795	0.4569049	0.0461430	0.4280974	0.9309636	0.0410652	0.4600061	0.0386799	0.0228362	0.4413708	0.6733463	0.1003820	0.2245744	0.8349915	0.4838458	0.7387447	0.4538053	0.2685880	0.9823718	0.9703434	1.0274393	0.0811591	0.7927532	1.0005891	0.9786368	0.4853553	0.0712091	0.0865367	0.9368096	0.2126071	0.8917929	0.4258903	0.1051760	0.9635050	0.9716067	0.8509545	0.0175612	0.2051071	1.1634962	0.9305324	0.3069282	0.2079278	1.0306535	0.5156230	0.1679648	0.3342791	0.9213860	0.5143195	0.9150278	0.8702389	0.8953256	0.3011734	0.5020194	0.1580994	0.0039827	0.8920300	0.4886716	0.2013032	0.9166082	0.0235724	0.3898472	0.4665881	0.5439793	0.9797924	0.9004183	0.6214925	0.4367325	0.9602941	0.0311074	0.0610493	0.0244992	0.2772892	0.0151603	0.8578348	0.1284546	0.4923564	0.1365765	0.1539094	0.4746204	0.0418159	0.4305810	0.0541138	0.3543414	0.0303348	0.7349548	0.0451533	0.2283172	0.1355575	0.0561943	0.0272374	0.1222720	0.3744142	0.4240676	0.1203968	0.4427812	0.1652236	0.2992091	0.2129752	0.3782323	0.1371892	0.3557409	0.8618338	0.8747611	0.9929139	0.0018628	1.0573981	0.9864746	0.9550993	0.5907417	0.4309116	0.8120830	0.8326455	0.4538813	0.9489676	0.7764467	0.7629599	0.0036729	0.1085033	0.0080645	0.0574400	0.4152282	0.9766245	0.7825210	0.6674438	1.0597495	0.7214869	0.6077785	0.0827292	0.4966715	0.1980781	0.8950845	0.9565396	0.7688748	0.1158107	0.6077427	0.7808306	0.9891393	0.0880699	0.2821614	0.6140460	0.0755270	0.2940031	0.5343724	0.8105386	0.9595234	0.7697207	0.1851978	0.7471093	0.6583408	0.6930956	0.4286246	1.0196644	0.6996832	0.6930985	0.6719062	1.0035528	0.6376644	1.1187193	0.9659436	0.6702238	0.8548728	1.0147379	0.7227053	0.9447772	1.1479883	0.6234879	1.1082488	0.1555731	0.1484052	0.0146665	0.5697031	0.4141960	0.0093230	0.3761948	0.0292473	0.1805209	0.0287591	0.0643019	0.3040377	0.2443188	0.0036105	0.7986819	1.0634911	0.1634484
0.6638181	1.0358052	0.9378736	0.9071663	0.9642273	0.8733297	1.0920346	0.8011413	0.0461554	0.9076276	0.2487904	0.5540100	0.2615324	0.3736228	0.9644188	0.1592555	1.0076390	0.5839937	0.0434709	0.3962498	0.9990330	0.0526914	0.5169625	0.0234797	0.3145654	0.3979562	0.8858313	0.0886540	0.1057510	1.0721924	0.3495150	0.7336962	0.5564270	0.1862981	0.9832711	0.9715051	1.0471174	0.0780259	0.7885723	0.9045967	0.9410599	0.3137380	0.0994741	0.0007381	0.8691898	0.2510314	0.9279703	0.4781941	0.0737083	1.0550481	0.9450281	0.8631224	0.0426961	0.6299220	1.1125984	1.0140273	0.3563980	0.1839821	0.9012404	0.3003190	0.2756494	0.3821449	0.9409966	0.5685766	0.9447079	1.0717275	1.0178556	0.4561690	0.4044857	0.0141844	0.0443618	0.9925776	0.2710297	0.2234522	0.8723043	0.0643114	0.5146262	0.4358861	0.5984568	0.9138242	0.9378342	0.5610294	0.4096167	1.0729160	0.0361605	0.1127988	0.0212020	0.3003901	0.0295018	0.9356796	0.1044332	0.6165246	0.2323254	0.1132586	0.5212628	0.0586099	0.0064577	0.0443780	0.4430279	0.0349125	0.6176541	0.0023749	0.2867722	0.1745185	0.0612740	0.0257002	0.0722704	0.1336825	0.2204937	0.0885333	0.0435737	0.3186785	0.3624357	0.0949201	0.5728919	0.1139339	0.3873500	0.8679765	0.8610677	0.9740837	0.0005901	1.1161726	1.0187584	0.9413294	0.3328306	0.5495773	0.6642129	0.9664894	0.2860526	0.9171366	0.7153068	0.6250639	0.0248146	0.1088339	0.0008381	0.0348377	0.6373209	1.0416250	0.3293340	0.8055617	0.9108617	0.7562682	0.5509565	0.1423222	0.5263850	0.2444083	0.8013965	0.8396496	0.8404658	0.1472198	0.4574676	0.7051511	0.9380813	0.0532785	0.1758295	0.5135426	0.0082762	0.2555215	0.5231852	0.8493997	0.9898954	0.7813928	0.1552911	0.7434218	0.5855707	0.7068279	0.3350019	0.3326021	0.8236695	1.0020522	1.0010119	1.0340173	1.0274032	0.7802135	1.0552208	0.7778961	1.0416853	0.5488991	1.0773657	1.0938571	1.0032024	1.0115760	0.9049873	0.1898632	0.1000451	0.0020243	0.6115987	0.5429051	0.0198674	0.3992789	0.0355631	0.1194621	0.0004743	0.1413856	0.2898536	0.2390614	0.0053996	0.6115257	1.0418590	0.1867126
0.6044693	1.0538465	0.8440949	0.9470445	1.0145634	0.7118781	0.7432144	0.5000449	0.4115700	1.0544208	0.1364802	0.6749710	0.5639585	0.2660603	0.8602375	0.3474660	0.9684666	0.7688836	0.0021482	0.4018933	0.8112830	0.0561189	0.4371508	0.0702795	0.1401120	0.4299423	0.4967068	0.0875764	0.2810585	0.8469523	0.5128181	0.6346268	0.4343810	0.2204284	1.1493025	1.1042576	0.9116795	0.1043025	0.7841619	0.9268935	0.9558048	0.3913810	0.1195267	0.1055788	0.8439550	0.4900920	0.6784632	0.5127411	0.1258473	0.8637382	0.9576025	0.9354923	0.0131876	0.3262747	1.0170717	0.8739297	0.4176449	0.2128423	0.8740895	0.1909766	0.1051978	0.2574195	0.9745099	0.4597656	1.1061742	0.8124655	0.9526354	0.2557428	0.3249338	0.4458661	0.0794944	1.0250346	0.2717032	0.2458003	1.0128784	0.0267216	0.2517913	0.2799502	0.2699043	1.0040122	0.9020935	0.4314916	0.7156177	0.9284746	0.0034432	0.2284995	0.0303230	0.3564720	0.1033125	0.9577961	0.1057230	0.4870228	0.2924031	0.3229826	0.7776716	0.1439069	0.6612600	0.0517946	0.5350054	0.1769525	0.6222439	0.0065987	0.2211437	0.1620413	0.1692013	0.0723264	0.0367337	0.4454620	0.4427192	0.1457048	0.7910315	0.2889163	0.5481293	0.3833312	0.4948698	0.1534725	0.3256321	0.9561354	0.7412136	0.8743765	0.0009014	1.0102805	0.9106569	1.0228587	0.6590844	0.3203654	0.5834717	0.8442259	0.3120119	0.9110249	0.3617326	0.4505474	0.0056499	0.1120355	0.0084416	0.0081900	0.4607900	0.9276147	0.3528130	0.5153588	0.8848561	0.8066928	0.2913964	0.1132036	0.4853817	0.0120037	0.9155950	0.7489690	0.8505043	0.2025012	0.3838359	0.6906830	1.0248592	0.1142071	0.0843134	0.5853572	0.0293413	0.3466085	0.7347501	0.8071615	0.9145144	0.8353141	0.1669820	0.6190467	0.6701584	0.5303976	0.3435716	0.6193520	1.0134198	0.9950326	0.9847122	1.0022946	0.9588622	1.0495596	1.0330368	0.9066234	0.8576774	0.9689972	0.9337620	1.0223096	0.6795547	0.8216638	1.0315290	0.0969969	0.1435312	0.0257548	0.4622979	0.5929199	0.0149889	0.5155701	0.0016145	0.1261422	0.0099305	0.0210923	0.2437990	0.1557500	0.0828423	0.5136655	1.0307389	0.1286918
0.8376861	1.1256730	0.9837974	0.9577277	0.8657227	0.7319192	0.7557456	0.7206364	0.2023092	0.9558041	0.1829384	0.5804496	0.5918834	0.3458007	0.8727770	0.3025475	0.9843131	0.8130665	0.0041719	0.4279344	0.8740197	0.0400714	0.4720628	0.1205160	0.0106693	0.4349748	0.4931272	0.0761039	0.3038736	0.8372115	0.3333829	0.7904836	0.4405363	0.1542176	1.0925199	0.8432294	0.9868964	0.1681935	0.8714846	0.9161088	0.9783539	0.4065581	0.1231000	0.1210871	1.0272163	0.1933017	0.7768033	0.7427244	0.0487842	0.9137054	0.9958918	0.9028149	0.0162072	0.6252566	0.8888363	1.0302454	0.3546710	0.2760759	0.8791107	0.2811968	0.1421522	0.3535749	0.9776359	0.5117286	0.9056336	0.8096321	1.0675457	0.4366542	0.3361936	0.1685192	0.0087304	0.9440066	0.4981198	0.2551409	1.0215728	0.0197802	0.4508813	0.4494037	0.6990981	0.8216701	1.0069094	0.5824063	0.5333007	0.9668920	0.0316019	0.2152882	0.0521906	0.2474010	0.1043094	0.7481987	0.1298618	0.4035225	0.0691079	0.2342557	0.5339741	0.0905653	0.0355712	0.0330922	0.5449931	0.0494103	0.6999412	0.0449770	0.2767217	0.1031525	0.1249558	0.0511449	0.0849899	0.2774637	0.4852011	0.1264597	0.2597584	0.2677767	0.4355586	0.2147079	0.4501726	0.1303730	0.1642032	0.9990816	0.8776052	1.0338349	0.0003814	1.2151329	1.0126013	0.9783842	0.5823799	0.6981184	0.6148931	0.9255453	0.3238968	0.9815344	0.6644774	0.4838032	0.0095290	0.1430145	0.0187100	0.0622122	0.3877532	0.9787584	0.2750883	0.7585242	1.0214122	0.8853849	0.6167657	0.1595622	0.4586935	0.2552049	0.8028711	0.8131304	0.8383947	0.1795804	0.4533503	0.6978960	0.8804806	0.0743494	0.3682556	0.4167405	0.0082952	0.1872320	0.5166033	0.7623200	0.9243065	0.8227132	0.1896496	0.6957819	0.7630160	0.4980560	0.2089448	1.0233642	0.9701363	1.0434654	0.9648612	0.9960130	0.9749544	0.8679296	0.9532824	0.9428050	0.9770562	1.0102735	0.9300252	1.0001622	0.9665841	0.8863247	1.0204009	0.2481691	0.0424095	0.0035249	0.4807383	0.5157659	0.0257236	0.5707045	0.0098552	0.2730660	0.0046275	0.0092187	0.3640245	0.0029046	0.0773438	0.4441255	0.9645739	0.1056769
