malT	dgsA	lrp	yeiL	stpA	gadE	evgA	ydeO	gadW	rutR	gmr	livF	livJ	sdaA	gadC	livG	yojI	mdtF	lysU	livK	tdh	rrlA	ileT	rrlE	mdtE	malZ	gadB	livH	rrfE	ilvH	alaT	dadA	gltF	livM	gadA	yneN	lamB	rrsE	aroA	lpxD	ydeP	hdeB	rrsA	ynfK	malQ	gltV	emrK	argO	aidB	kbl	malM	serC	ilvD	hdeA	ilvI	evgS	dadX	crr	yegR	nemA	yhiD	malP	emrY	lpxA	yfdX	fabZ	fliC	fepB	rrlH	gadY	rrsB	fimE	rrfH	rrlG	purA	rrlD	rrfC	ilvL	frc	gltB	malG	gnd	ilvE	gltD	ileV	rrfG	alaV	rrfD	rrlB	malS	oppC	hlpA	oppB	rrsH	gltT	oppD	slp	rrlC	rrsD	rrfF	malF	ilvA	malE	rrfA	rrsC	thrV	serA	oppF	gltU	alaU	dctR	ilvX	rrfB	ilvM	hdeD	oppA	gltW	malK	acrD	fimC	rrsG	fimA	gcvP	fimD	ileU	fimG	rutC	fimI	rutE	fimF	ptsH	gcvT	rutB	manX	manZ	rutF	rutD	csiD	ptsI	fimH	lhgO	manY	rutA	rutG	osmY	adhE	gabT	cadB	gabD	osmC	gabP	cadA	gcvH	ptsG	bglB	cyoB	bglF	ompC	cyoA	cyoC	cyoE	cyoD	bglG	carA	carB	ompF	micF	ppiD	ompX	hofP	tehB	trmA	valT	yidQ	cynS	glgA	proX	fecI	cyaR	bioA	ykgO	rimM	nagC	nagB	glmS	nagE	glmU	nagD	nanM	chbG	chbA	chbF	nagA	chbC	nanC	chbB	galP	fimB	fruR	pfkA
0.0577976	1.0000000	0.0915593	0.0289245	0.0428169	0.0000000	1.0000000	0.6835622	0.0000000	1.0000000	0.1476652	0.9998397	0.9999144	0.9943925	0.5923316	0.9447816	0.1355034	0.5521679	0.0634388	0.9996771	0.0425131	0.9987246	0.9837774	0.9231205	0.0692447	0.1120468	0.3717615	0.5344253	0.8201469	0.0681034	0.9998684	0.0142096	0.0191383	0.9999860	1.0000000	0.9858737	0.2457124	0.8662596	0.2266989	0.0552680	0.9992383	0.4965212	0.9833764	0.0921301	0.1564181	0.9922494	0.9115732	0.0339425	0.9995461	0.5186522	0.1791801	0.3681736	0.2690515	0.1523582	0.9999345	0.9994784	0.9990601	0.2986751	0.9128474	0.2972372	0.5258988	0.0105351	0.9995862	0.0719862	0.9964938	0.0669823	0.0108028	0.5153790	0.9000887	0.0362804	0.8225014	0.6714252	0.9981421	0.8623819	0.0066643	0.9475791	0.9948061	0.9625968	0.5926953	0.0761324	0.0580782	0.0397220	0.9817639	0.0444932	0.2249017	0.7963497	0.9911161	0.9608203	0.1051203	0.3354621	0.9935361	0.0742943	0.6935984	0.9979460	0.9999062	0.9999960	0.0151658	0.9197961	0.9890121	0.9417898	0.0730549	0.9637956	0.0110199	0.9186804	0.9996985	0.6487749	0.5905661	0.8950464	0.9933319	0.9986624	0.0470096	0.9952401	0.9999100	0.9486379	0.0643591	0.9993976	0.8788792	0.0410898	0.9129371	0.0678668	0.0937231	0.7176521	0.0642253	0.3658284	0.9864424	0.0306669	0.5707837	0.0895760	0.3297937	0.2188306	0.5268413	0.0967777	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.1626885	0.4533668	0.0309737	0.6941925	0.7981035	0.5190202	0.1414235	0.9999962	0.7695811	0.1101610	0.0216073	0.1174278	0.8706093	0.0641573	0.0015142	0.7565329	0.0890099	0.9997338	0.0293266	0.9999177	0.9966306	0.0385617	0.0349531	0.0291138	0.0094231	0.9999286	0.7413249	0.7350443	0.0914178	0.9998063	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.9999996	0.0000016	0.9542753	0.8660946	0.9740726	0.7708361	1.0000000	0.6835622	0.3168272	1.0000000	0.1476652	0.5253605	0.5132636	0.4682842	0.6238965	0.2824733	0.9929840	0.5600735	0.0586360	0.3948893	0.9044968	0.0471126	0.4887898	0.0900579	0.0862179	0.6897019	0.6674203	0.1090577	0.2540208	0.8900627	0.3951284	0.7626083	0.5057427	0.2056306	0.9908652	0.9858737	0.9947694	0.1444309	0.7779588	0.9174553	0.9992383	0.4462842	0.0965139	0.9999999	0.9774042	0.3859822	0.9115732	0.5227940	0.0759007	0.9695123	0.9808628	0.8880438	0.0372776	0.4875618	1.0000000	0.9994784	0.3011705	0.9999963	0.9128474	0.2972372	0.2125102	0.5179135	0.9995862	0.5433340	0.9964938	0.8692978	0.9617656	0.5153790	0.5011242	0.2233698	0.0634252	0.9574856	0.4381522	0.2232320	0.9613766	0.0379083	0.4973348	0.4180659	0.5926953	0.9614556	0.9998987	0.5439271	0.5438077	0.9875401	0.0351104	0.2231587	0.0221897	0.2695496	0.1032451	0.9680124	0.1153414	0.5254572	0.2727310	0.2796050	0.5393994	0.0451762	0.4091565	0.0494561	0.4869411	0.1399246	0.8964514	0.0339966	0.5810562	0.1398234	0.0831439	0.0824297	0.0798874	0.4071108	0.4358310	0.1054112	0.4823865	0.2615027	0.4077851	0.2802192	0.4814221	0.1202284	0.3523331	0.9985315	0.9129371	0.9091244	0.0921547	0.9989712	0.9306677	0.9831209	0.5416387	0.4921066	0.5707837	0.8709422	0.3297937	0.9771649	0.4581957	0.6193790	0.0199679	0.8324747	0.3280006	0.0371597	0.4948543	0.9928675	0.5397747	0.6389351	0.9645778	1.0000000	0.5190202	0.1414235	0.4824372	0.9999987	0.8611043	0.7937604	0.8378399	0.1869689	0.5268531	0.7094158	0.9999993	1.0000000	0.2723331	0.4550095	0.0401377	0.2981528	0.5272740	0.7335506	0.9500302	0.8280719	0.1765061	0.7413249	0.7350443	0.5734444	0.4321976	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	0.0000000	1.0000000
0.0505864	1.0000000	0.0000000	0.0007197	0.0298570	0.0000000	1.0000000	0.6835622	0.0007920	1.0000000	0.1476652	1.0000000	1.0000000	1.0000000	0.5923316	1.0000000	0.0612957	0.5521679	1.0000000	1.0000000	0.0405684	1.0000000	1.0000000	1.0000000	0.0692447	0.1096474	0.3717615	0.9999998	1.0000000	0.0448435	1.0000000	0.0130530	0.0191383	1.0000000	1.0000000	0.9858737	0.2045904	1.0000000	0.0665863	0.0552680	0.9992383	0.5056424	1.0000000	0.0921301	0.1335175	1.0000000	0.9115732	0.0309306	1.0000000	0.0161339	0.1493175	0.0592640	1.0000000	0.5925834	0.0070203	0.9994784	1.0000000	0.2986751	0.9128474	0.2972372	0.5258988	0.0091153	0.9995862	0.0719862	0.9964938	0.0669823	0.0108028	0.5153790	1.0000000	0.0362804	1.0000000	0.0047649	1.0000000	1.0000000	0.0066643	1.0000000	1.0000000	1.0000000	0.5926953	0.0761324	0.0575749	0.0397220	1.0000000	0.0444932	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.3039790	1.0000000	0.0742942	0.9999999	1.0000000	1.0000000	1.0000000	0.0151658	1.0000000	1.0000000	1.0000000	0.0727992	1.0000000	0.0109854	1.0000000	1.0000000	1.0000000	1.0000000	0.9999999	1.0000000	1.0000000	0.0470107	1.0000000	1.0000000	1.0000000	0.0643591	1.0000000	1.0000000	0.0393881	0.9129371	0.0671855	1.0000000	0.0243194	0.0210950	0.0317751	1.0000000	0.0304925	0.5707837	0.0257761	0.3297937	0.0227693	0.5268413	0.0862645	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.0677948	0.4533668	0.0240295	0.0439450	0.7981035	0.5190202	0.1414235	1.0000000	1.0000000	0.0105340	0.0216073	0.0563052	1.0000000	0.0307312	0.0015142	0.0329457	0.0890099	0.9999084	0.0293266	0.9999842	1.0000000	0.0385617	0.0349531	0.0291138	0.0094231	0.9999808	0.7413249	0.7350443	0.0310438	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
1.0000000	0.0000003	0.9542753	0.8660946	0.9740726	0.7708361	1.0000000	0.6835622	0.3168272	1.0000000	0.1476652	0.5253605	0.5132636	0.4682842	0.6238965	0.2824733	0.9929840	0.5600735	0.0586360	0.3948893	0.9044968	0.0471126	0.4887898	0.0900579	0.0862179	0.6897632	0.6674203	0.1090577	0.2540208	0.8900627	0.3951284	0.7626083	0.5057427	0.2056306	0.9908652	0.9858737	0.9947696	0.1444309	0.7779588	0.9174553	0.9992383	0.4462842	0.0965139	1.0000000	0.9774043	0.3859822	0.9115732	0.5227940	0.0759007	0.9695123	0.9808638	0.8880438	0.0372776	0.4875618	1.0000000	0.9994784	0.3011705	0.6412243	0.9128474	0.2972372	0.2125102	0.5179229	0.9995862	0.5433340	0.9964938	0.8692978	0.9617656	0.5153790	0.5011242	0.2233698	0.0634252	0.9574856	0.4381522	0.2232320	0.9613766	0.0379083	0.4973348	0.4180659	0.5926953	0.9614556	0.9998987	0.5439271	0.5438077	0.9875401	0.0351104	0.2231587	0.0221897	0.2695496	0.1032451	0.9680128	0.1153414	0.5254572	0.2727310	0.2796050	0.5393994	0.0451762	0.4091565	0.0494561	0.4869411	0.1399246	0.8964554	0.0339966	0.5810676	0.1398234	0.0831439	0.0824297	0.0798874	0.4071108	0.4358310	0.1054112	0.4823865	0.2615027	0.4077851	0.2802192	0.4814221	0.1202284	0.3523331	0.9985316	0.9129371	0.9091244	0.0921547	0.9989712	0.9306677	0.9831209	0.5416387	0.4921066	0.5707837	0.8709422	0.3297937	0.9771649	0.9771772	0.6193790	0.0199679	0.4149420	0.9999243	0.0371597	0.4948543	0.9928675	0.8628095	0.6389351	0.9645778	1.0000000	0.5190202	0.1414235	0.4824372	0.2254064	0.8611043	0.7937604	0.8378399	0.1869689	0.5268531	0.7094158	0.9999993	1.0000000	0.2723331	0.4550095	0.0401377	0.2981528	0.5272740	0.7335506	0.9500302	0.8280719	0.1765061	0.7413249	0.7350443	0.5734444	0.4321976	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	1.0000000	1.0000000	1.0000000	0.0764740	1.0000000	0.9999995	1.0000000	1.0000000	1.0000000	1.0000000	0.9999990	1.0000000	1.0000000	1.0000000	0.0423670	1.0000000	0.2267196
0.0505864	1.0000000	0.0000000	0.0007197	0.0298570	0.7513227	1.0000000	0.6835622	0.0000000	1.0000000	0.1476652	1.0000000	1.0000000	1.0000000	0.8634384	1.0000000	0.0612957	0.5521679	1.0000000	1.0000000	0.0405684	1.0000000	1.0000000	1.0000000	0.0692447	0.1096474	0.6769530	0.9999998	1.0000000	0.0448435	1.0000000	0.0130530	0.0191383	1.0000000	1.0000000	0.9858737	0.2045904	1.0000000	0.0665863	0.9131269	0.9992383	0.7671242	1.0000000	0.0921301	0.1335175	1.0000000	0.9115732	0.0309306	1.0000000	0.0161339	0.1493175	0.0592640	1.0000000	0.9827133	0.0070203	0.9994784	1.0000000	0.2986751	0.9128474	0.2972372	0.7078691	0.0091153	0.9995862	0.5369895	0.9964938	0.8631321	0.9585528	0.5153790	1.0000000	0.0362804	1.0000000	0.0047649	1.0000000	1.0000000	0.9590378	1.0000000	1.0000000	1.0000000	0.5926953	0.0761324	0.0575749	0.5226069	1.0000000	0.0444932	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.3039790	1.0000000	0.5183139	0.9999999	1.0000000	1.0000000	1.0000000	0.0151658	1.0000000	1.0000000	1.0000000	0.0727992	1.0000000	0.0109854	1.0000000	1.0000000	1.0000000	1.0000000	0.9999999	1.0000000	1.0000000	0.0470096	1.0000000	1.0000000	1.0000000	0.4671154	1.0000000	1.0000000	0.0393881	0.9129371	0.0671855	1.0000000	0.0243194	0.0210950	0.0317751	1.0000000	0.0304925	0.5707837	0.0257761	0.3297937	0.0227693	0.5268413	0.0862645	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.0677948	0.4533668	0.0240295	0.0439450	0.7981035	0.5190202	0.1414235	1.0000000	1.0000000	0.0105340	0.7793168	0.0563052	1.0000000	0.0307312	0.7027178	0.0329457	0.0890099	0.9999084	0.4479584	0.9999842	1.0000000	0.5178630	0.7225052	0.9455531	0.8206033	0.9999808	0.7413249	0.7350443	0.0310438	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.0707757	1.0000000	0.1394303	0.0718180	0.0811689	0.0288349	0.0000000	0.0000000	0.0032538	1.0000000	0.1476652	0.9992447	0.9995434	0.9855145	0.5938579	0.8956990	0.2891833	0.0457737	0.0591924	0.9985098	0.0492870	0.9924188	0.9651601	0.8128991	0.0692447	0.1168590	0.3731589	0.4302288	0.7388342	0.1071478	0.9992813	0.0178066	0.0193752	0.9998552	1.0000000	0.0517555	0.3243847	0.7590499	0.3026254	0.0626164	0.0407910	0.4840548	0.9482869	0.0921301	0.2016894	0.9799634	0.0491313	0.0394104	0.9970500	0.6632104	0.2360929	0.4762429	0.1837804	0.0309929	0.9999896	0.0383566	0.9961721	0.2986751	0.0177207	0.2972372	0.5255874	0.0134333	0.0307616	0.0999042	0.0942210	0.0727428	0.0113177	0.5153790	0.8559186	0.0362812	0.5972096	0.7585591	0.9937162	0.5248573	0.0161572	0.8421953	0.9866230	0.9309606	0.0840840	0.0884748	0.0600917	0.0397340	0.9641123	0.0494696	0.1187519	0.5366917	0.9575949	0.9198650	0.1036405	0.3899515	0.9555650	0.0907728	0.6056493	0.9924133	0.9995165	0.9999355	0.0151658	0.8090185	0.9754442	0.8511153	0.0737293	0.8063706	0.0111127	0.8406312	0.9978794	0.4983945	0.4417331	0.8437378	0.9830364	0.9935013	0.0470351	0.9848635	0.9994838	0.9018069	0.0646215	0.9957643	0.8026991	0.0463707	0.0293463	0.0708846	0.0924438	0.8802594	0.1314414	0.5635164	0.9706534	0.0312972	0.5707837	0.1588323	0.3297937	0.3998810	0.5268413	0.1107126	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.3345761	0.4533668	0.0423433	0.7793007	0.7981035	0.5190202	0.1414235	0.9999641	0.5851980	0.1952694	0.0216630	0.1781575	0.7805242	0.0903137	0.0388460	0.9697690	0.0890099	0.9982449	0.0461952	0.9984834	0.9891121	0.0450945	0.0367508	0.0292744	0.0156483	0.9993066	0.7413249	0.7350443	0.1292984	0.9990448	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.0739841	1.0000000	0.1481766	0.0816590	0.0920939	0.0318800	0.0000000	0.0245246	0.0000000	1.0000000	0.1476652	0.9990550	0.9994182	0.9833973	0.5941815	0.8860203	0.3236653	0.0457737	0.0590432	0.9981412	0.0513876	0.9902020	0.9611530	0.7896486	0.0692447	0.1181515	0.3734443	0.4155187	0.7253257	0.1163910	0.9990813	0.0188817	0.0194573	0.9997967	1.0000000	0.0517555	0.3441426	0.7395978	0.3153825	0.0644056	0.0407910	0.4815420	0.9393235	0.0921301	0.2134820	0.9770404	0.0491313	0.0407744	0.9961344	0.6824762	0.2505152	0.4926769	0.1735989	0.0244406	0.9999920	0.0383566	0.9953120	0.2986751	0.0177207	0.2972372	0.5263160	0.0142157	0.0307616	0.1029545	0.0942210	0.0740835	0.0115183	0.5153790	0.8483836	0.0362804	0.5578355	0.7697767	0.9925100	0.4737325	0.0186985	0.8173514	0.9846731	0.9247062	0.0840840	0.0959025	0.0609283	0.0397390	0.9604696	0.0511738	0.1087999	0.4989866	0.9471557	0.9113909	0.1035607	0.4028757	0.9418583	0.0928497	0.5925341	0.9908419	0.9993870	0.9999035	0.0151658	0.7857799	0.9724446	0.8312204	0.0739455	0.7612893	0.0111428	0.8253110	0.9971893	0.4762524	0.4207934	0.8348312	0.9806018	0.9918391	0.0470096	0.9821294	0.9993354	0.8924912	0.0646938	0.9943888	0.7894320	0.0482433	0.0293463	0.0719074	0.0923810	0.8955738	0.1466395	0.5923838	0.9672367	0.0314963	0.5707837	0.1729508	0.3297937	0.4310557	0.5268413	0.1138519	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.3706994	0.4533668	0.0450774	0.7901376	0.7981035	0.5190202	0.1414235	0.9999503	0.5573393	0.2113859	0.0216854	0.1903287	0.7643795	0.0954119	0.0436657	0.9782690	0.0890099	0.9974540	0.0482246	0.9973060	0.9871108	0.0461684	0.0371954	0.0293428	0.0170340	0.9989108	0.7413249	0.7350443	0.1362722	0.9987969	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.0707757	1.0000000	0.1394303	0.0718179	0.0811689	0.0288349	1.0000000	0.0000000	0.0000000	1.0000000	0.1476652	0.9992447	0.9995434	0.9855145	0.5938579	0.8956990	0.2891833	0.0457737	0.0591924	0.9985098	0.0492870	0.9924188	0.9651601	0.8128991	0.0692447	0.1168589	0.3731589	0.4302288	0.7388342	0.1071478	0.9992813	0.0178066	0.0193752	0.9998552	1.0000000	0.9858737	0.3243844	0.7590499	0.3026254	0.0626164	0.9992383	0.4842860	0.9482869	0.0921301	0.2016894	0.9799634	0.9115732	0.0394104	0.9970500	0.6632104	0.2360927	0.4762429	0.1837804	0.0309929	0.9999896	0.9994784	0.9961721	0.2986751	0.9128474	0.2972372	0.5262376	0.0134333	0.9995862	0.0999042	0.9964938	0.0727428	0.0113177	0.5153790	0.8559186	0.0362804	0.5972096	0.7585591	0.9937162	0.5248574	0.0161572	0.8421953	0.9866231	0.9309606	0.5926953	0.0884748	0.0600917	0.0397340	0.9641123	0.0494696	0.1187519	0.5366917	0.9575950	0.9198650	0.1036405	0.3899514	0.9555650	0.0907728	0.6056493	0.9924133	0.9995165	0.9999355	0.0151658	0.8090186	0.9754442	0.8511153	0.0737293	0.8063706	0.0111127	0.8406313	0.9978794	0.4983945	0.4417331	0.8437379	0.9830364	0.9935013	0.0470096	0.9848635	0.9994838	0.9018069	0.0646215	0.9957643	0.8026991	0.0463707	0.9129371	0.0708846	0.0924438	0.8802593	0.1314414	0.5635163	0.9706534	0.0312972	0.5707837	0.1588323	0.3297937	0.3998810	0.5268413	0.1107126	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.3345760	0.4533668	0.0423433	0.7793007	0.7981035	0.5190202	0.1414235	0.9999641	0.5851980	0.1952694	0.0216630	0.1781575	0.7805242	0.0903137	0.0388460	0.9697690	0.0890099	0.9982449	0.0461952	0.9984834	0.9891121	0.0450945	0.0367508	0.0292744	0.0156483	0.9993066	0.7413249	0.7350443	0.1292983	0.9990448	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
0.7338238	1.0000000	0.9542753	0.8660946	0.9740726	0.7708361	1.0000000	0.6835622	0.3168272	1.0000000	0.1476652	0.5253605	0.5132636	0.4682842	0.6238965	0.2824733	0.9929840	0.5600735	0.0586360	0.3948893	0.9044968	0.0471126	0.4887898	0.0900579	0.0862179	0.5728346	0.6674203	0.1090577	0.2540208	0.8900627	0.3951284	0.7626083	0.5057427	0.2056306	0.9908652	0.9858737	0.9893507	0.1444309	0.7779588	0.9174553	0.9992383	0.4462842	0.0965139	0.0921301	0.9584974	0.3859822	0.9115732	0.5227940	0.0759007	0.9695123	0.9653343	0.8880438	0.0372776	0.4875618	1.0000000	0.9994784	0.3011705	0.6388441	0.9128474	0.2972372	0.2125102	0.3837565	0.9995862	0.5433340	0.9964938	0.8692978	0.9617656	0.5153790	0.5011242	0.2233698	0.0634252	0.9574856	0.4381522	0.2232320	0.9613766	0.0379083	0.4973348	0.4180659	0.5926953	0.9614556	0.9994228	0.5439271	0.5438077	0.9875401	0.0351104	0.2231587	0.0221897	0.2695496	0.1032451	0.9494833	0.1153414	0.5254572	0.2727310	0.2796050	0.5393994	0.0451762	0.4091565	0.0494561	0.4869411	0.1399246	0.7636400	0.0339966	0.3327985	0.1398234	0.0831439	0.0824297	0.0798874	0.4071108	0.4358310	0.1054112	0.4823865	0.2615027	0.4077851	0.2802192	0.4814221	0.1202284	0.3523331	0.9946367	0.9129371	0.9091244	0.0921547	0.9989712	0.9306677	0.9831209	0.5416387	0.4921066	0.5707837	0.8709422	0.3297937	0.9771649	0.1960888	0.6193790	0.0199679	0.5974567	0.9999936	0.0371597	0.4948543	0.9928675	0.0055590	0.6389351	0.9645778	1.0000000	0.5190202	0.1414235	0.4824372	0.9999894	0.8611043	0.7937604	0.8378399	0.1869689	0.5268531	0.7094158	0.9999993	0.0890099	0.2723331	0.4550095	0.0401377	0.2981528	0.5272740	0.7335506	0.9500302	0.8280719	0.1765061	0.7413249	0.7350443	0.5734444	0.4321976	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	1.0000000	0.9999995	0.9999989	0.0764750	1.0000000	0.9999785	1.0000000	0.9999991	0.9999997	0.9999976	0.9999629	0.9999982	0.9999973	0.9999998	0.0423670	0.0000000	1.0000000
0.0577976	1.0000000	0.0915593	0.0289245	0.0428169	0.0000000	0.0000000	0.0245251	0.0007920	1.0000000	0.1476652	0.9998397	0.9999144	0.9943925	0.5923316	0.9447816	0.1355034	0.0457737	0.0634388	0.9996771	0.0425131	0.9987246	0.9837774	0.9231205	0.0692447	0.1120468	0.3717615	0.5344253	0.8201469	0.0681034	0.9998684	0.0142096	0.0191383	0.9999860	1.0000000	0.0517556	0.2457124	0.8662596	0.2266989	0.0552680	0.0407910	0.4964882	0.9833764	0.0921301	0.1564181	0.9922494	0.0491313	0.0339425	0.9995461	0.5186522	0.1791801	0.3681736	0.2690515	0.1523582	0.9999345	0.0383566	0.9990601	0.2986751	0.0177208	0.2972372	0.5258849	0.0105351	0.0307616	0.0719862	0.0942210	0.0669823	0.0108028	0.5153790	0.9000887	0.0362804	0.8225014	0.6714252	0.9981421	0.8623819	0.0066643	0.9475791	0.9948061	0.9625968	0.0840840	0.0761324	0.0580782	0.0397220	0.9817639	0.0444932	0.2249017	0.7963497	0.9911161	0.9608203	0.1051203	0.3354621	0.9935361	0.0742943	0.6935984	0.9979460	0.9999062	0.9999960	0.0151658	0.9197961	0.9890121	0.9417898	0.0730549	0.9637956	0.0110199	0.9186804	0.9996985	0.6487749	0.5905661	0.8950464	0.9933319	0.9986624	0.0470107	0.9952401	0.9999100	0.9486379	0.0643591	0.9993976	0.8788792	0.0410898	0.0293463	0.0678668	0.0937231	0.7176521	0.0642253	0.3658284	0.9864424	0.0306669	0.5707837	0.0895760	0.3297937	0.2188306	0.5268413	0.0967777	0.0199679	0.1252200	0.0071580	0.0371597	0.4948543	0.1626885	0.4533668	0.0309737	0.6941925	0.7981035	0.5190202	0.1414235	0.9999962	0.7695811	0.1101610	0.0216073	0.1174278	0.8706093	0.0641573	0.0015142	0.7565329	0.0890099	0.9997338	0.0293266	0.9999177	0.9966306	0.0385617	0.0349531	0.0291138	0.0094231	0.9999286	0.7413249	0.7350443	0.0914178	0.9998063	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.2219818	0.1221218	0.0144352	0.5469103	0.5313210	0.0118951	0.5745742	0.0386755	0.1890873	0.0452908	0.0980789	0.2714179	0.2243198	0.0700883	0.6030041	1.0000000	0.2267196
